region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
IREG701,14,50,64,34,39,73,94,90,184,73,206,279,110,243,353,141,315,456,83,417,500,82,562,644,86,520,606,116,995,1111,115,848,963,68,787,855,122,954,1076,176,758,934,139,163,302,1453,6947,8400
IREG702,9,9,18,97,0,97,69,7,76,66,12,78,175,31,206,150,65,215,85,83,168,122,92,214,86,80,166,96,124,220,45,66,111,21,54,75,21,41,62,158,36,194,92,22,114,1292,722,2014
IREG703,43,357,400,68,258,326,189,554,743,220,1177,1397,322,1393,1715,304,1628,1932,222,1900,2122,270,2441,2711,270,2566,2836,444,4597,5041,401,4134,4535,283,3792,4075,448,5854,6302,508,3956,4464,207,735,942,4199,35342,39541
IREG704,9,14,23,90,12,102,63,16,79,85,32,117,178,42,220,162,44,206,145,72,217,169,105,274,121,96,217,174,149,323,114,103,217,66,84,150,62,121,183,129,64,193,15,36,51,1582,990,2572
IREG705,13,29,42,36,21,57,91,56,147,55,82,137,176,119,295,179,158,337,103,179,282,135,194,329,95,230,325,167,362,529,115,290,405,59,267,326,60,290,350,156,308,464,118,118,236,1558,2703,4261
IREG706,5,10,15,14,3,17,24,5,29,25,11,36,88,15,103,73,28,101,93,40,133,122,85,207,107,107,214,141,241,382,110,158,268,67,349,416,102,417,519,122,137,259,28,20,48,1121,1626,2747
IREG707,13,3,16,26,3,29,29,10,39,23,24,47,69,25,94,86,38,124,41,57,98,68,57,125,35,55,90,61,102,163,43,71,114,23,60,83,17,57,74,55,65,120,98,44,142,687,671,1358
IREG794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG801,22,901,923,69,1110,1179,70,2142,2212,117,4547,4664,159,6004,6163,138,6198,6336,118,6530,6648,171,8196,8367,138,8549,8687,278,15811,16089,268,12644,12912,223,15166,15389,414,27468,27882,206,10129,10335,52,1587,1639,2443,126982,129425
IREG894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG901,0,3,3,0,3,3,0,4,4,0,11,11,0,19,19,0,34,34,0,33,33,0,59,59,3,40,43,3,74,77,0,80,80,0,68,68,3,83,86,0,71,71,3,12,15,12,594,606
IREG902,3,0,3,0,0,0,0,0,0,3,3,6,15,3,18,9,0,9,4,3,7,5,0,5,4,0,4,4,4,8,3,0,3,3,6,9,0,3,3,5,3,8,3,3,6,61,28,89
IREG994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
