region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
IREG594,6,221,237,458,4,3,7,25,35,60,0,0,0,29,38,67,22,9,31,925,255,1180,10,0,10,957,264,1221,22,11,33,744,429,1173,5,7,12,771,447,1218,99,71,170,2432,2008,4440,30,11,41,2561,2090,4651,21,11,32,449,225,674,9,5,14,479,241,720,90,63,153,2610,2112,4722,26,12,38,2726,2187,4913
IREG597,4,28,3,31,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,123,5,128,3,3,6,126,8,134,6,0,6,244,15,259,0,3,3,250,18,268,0,0,0,60,11,71,5,0,5,65,11,76,3,0,3,149,8,157,3,0,3,155,8,163,3,0,3,149,18,167,3,3,6,155,21,176
IREG601,180,11409,15126,26535,85,261,346,1675,3706,5381,18,25,43,1778,3992,5770,1340,927,2267,46006,20356,66362,432,128,560,47778,21411,69189,7474,7683,15157,186527,195066,381593,2421,2533,4954,196422,205282,401704,1646,1904,3550,30230,32655,62885,353,373,726,32229,34932,67161,4601,4565,9166,127333,132250,259583,1717,1833,3550,133651,138648,272299,3408,3891,7299,76098,82828,158926,754,777,1531,80260,87496,167756
IREG694,0,20,41,61,0,0,0,7,6,13,0,0,0,7,6,13,14,0,14,86,33,119,0,0,0,100,33,133,9,0,9,105,82,187,0,0,0,114,82,196,33,14,47,324,304,628,5,8,13,362,326,688,6,0,6,55,38,93,0,0,0,61,38,99,31,14,45,361,334,695,4,5,9,396,353,749
IREG697,0,13,0,13,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,25,5,30,0,0,0,25,5,30,4,4,8,41,15,56,0,0,0,45,19,64,0,0,0,26,11,37,0,3,3,26,14,40,4,3,7,24,8,32,0,0,0,28,11,39,0,0,0,41,18,59,0,3,3,41,21,62
IREG701,19,647,835,1482,16,50,66,68,103,171,0,3,3,84,156,240,179,123,302,2105,889,2994,24,13,37,2308,1025,3333,1549,1701,3250,6836,6803,13639,119,111,230,8504,8615,17119,494,596,1090,2139,2215,4354,28,33,61,2661,2844,5505,879,1003,1882,3843,3727,7570,72,55,127,4794,4785,9579,873,1040,1913,4530,4754,9284,48,64,112,5451,5858,11309
IREG702,0,115,145,260,26,40,66,15,14,29,0,3,3,41,57,98,111,68,179,310,107,417,6,0,6,427,175,602,3329,3639,6968,669,475,1144,31,25,56,4029,4139,8168,217,250,467,434,380,814,8,4,12,659,634,1293,2783,3169,5952,278,182,460,27,19,46,3088,3370,6458,368,395,763,776,638,1414,4,8,12,1148,1041,2189
IREG703,54,3332,3951,7283,71,123,194,407,723,1130,0,6,6,478,852,1330,601,429,1030,11549,4558,16107,90,39,129,12240,5026,17266,3826,4151,7977,37854,35383,73237,475,411,886,42155,39945,82100,1202,1347,2549,11164,10817,21981,120,126,246,12486,12290,24776,2350,2551,4901,20910,19475,40385,295,264,559,23555,22290,45845,2089,2332,4421,24875,23672,48547,211,210,421,27175,26214,53389
IREG704,0,143,144,287,67,66,133,8,22,30,0,0,0,75,88,163,251,155,406,485,102,587,5,3,8,741,260,1001,4763,4761,9524,1070,745,1815,23,18,41,5856,5524,11380,299,315,614,474,394,868,3,3,6,776,712,1488,4063,4100,8163,497,283,780,12,12,24,4572,4395,8967,486,530,1016,960,769,1729,9,5,14,1455,1304,2759
IREG705,7,301,337,638,61,87,148,44,62,106,0,0,0,105,149,254,245,144,389,1022,395,1417,10,0,10,1277,539,1816,3496,3783,7279,2776,2496,5272,65,59,124,6337,6338,12675,388,395,783,958,976,1934,13,13,26,1359,1384,2743,2756,2916,5672,1411,1177,2588,42,32,74,4209,4125,8334,655,752,1407,2061,2015,4076,28,22,50,2744,2789,5533
IREG706,0,198,222,420,39,53,92,14,33,47,0,0,0,53,86,139,170,153,323,810,201,1011,8,6,14,988,360,1348,4218,4361,8579,1810,1514,3324,44,25,69,6072,5900,11972,174,178,352,846,704,1550,4,6,10,1024,888,1912,3699,3819,7518,772,553,1325,38,24,62,4509,4396,8905,316,347,663,1653,1445,3098,9,5,14,1978,1797,3775
IREG707,0,70,92,162,3,10,13,9,15,24,0,0,0,12,25,37,70,36,106,222,84,306,0,0,0,292,120,412,1411,1524,2935,650,529,1179,15,12,27,2076,2065,4141,181,179,360,221,230,451,5,8,13,407,417,824,1122,1216,2338,355,271,626,10,9,19,1487,1496,2983,303,317,620,478,456,934,5,6,11,786,779,1565
IREG794,0,46,67,113,0,0,0,8,9,17,0,0,0,8,9,17,10,0,10,235,86,321,3,0,3,248,86,334,30,9,39,176,129,305,4,0,4,210,138,348,41,31,72,599,567,1166,10,6,16,650,604,1254,20,8,28,85,52,137,6,0,6,111,60,171,45,28,73,659,612,1271,6,5,11,710,645,1355
IREG797,0,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,27,0,0,0,24,3,27,0,0,0,54,12,66,3,0,3,57,12,69,3,0,3,18,0,18,0,0,0,21,0,21,0,0,0,33,6,39,3,0,3,36,6,42,3,0,3,39,7,46,0,0,0,42,7,49
IREG801,138,11482,14564,26046,25,46,71,1025,1644,2669,0,11,11,1050,1701,2751,293,187,480,20884,10059,30943,155,60,215,21332,10306,31638,1938,1848,3786,132883,137743,270626,1009,1061,2070,135830,140652,276482,543,542,1085,29386,30103,59489,199,191,390,30128,30836,60964,1118,1096,2214,83575,87953,171528,690,747,1437,85383,89796,175179,1084,1073,2157,68596,70373,138969,369,382,751,70049,71828,141877
IREG894,0,18,23,41,0,0,0,0,4,4,0,0,0,0,4,4,0,3,3,38,23,61,0,0,0,38,26,64,7,5,12,62,38,100,0,0,0,69,43,112,12,5,17,200,228,428,0,0,0,212,233,445,3,0,3,33,14,47,0,0,0,36,14,50,12,9,21,218,241,459,0,0,0,230,250,480
IREG897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG901,0,50,44,94,0,0,0,12,11,23,0,0,0,12,11,23,0,0,0,171,67,238,0,0,0,171,67,238,5,3,8,779,668,1447,17,22,39,801,693,1494,0,3,3,141,120,261,0,3,3,141,126,267,0,0,0,540,476,1016,12,16,28,552,492,1044,4,4,8,320,265,585,3,3,6,327,272,599
IREG902,0,16,13,29,0,3,3,0,3,3,0,0,0,0,6,6,13,13,26,10,8,18,0,0,0,23,21,44,96,104,200,38,20,58,3,0,3,137,124,261,10,9,19,51,22,73,0,0,0,61,31,92,79,86,165,14,7,21,0,3,3,93,96,189,19,15,34,73,35,108,0,0,0,92,50,142
IREG994,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,26,0,0,0,8,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,27,0,0,0,8,19,27
IREG997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
