region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
IREG601,1113,63484,501,65098,583,14242,116,14941,2334,59959,570,62863,706,15804,247,16757,460,10305,200,10965,27,700,30,757,379,7980,6382,14741,5602,172474,8046,186122,1649,73286,518,75453,791,16470,136,17397,2395,59897,583,62875,646,15224,239,16109,326,10840,227,11393,23,653,24,700,343,9104,5567,15014,6173,185474,7294,198941,2762,136770,1019,140551,1374,30712,252,32338,4729,119856,1153,125738,1352,31028,486,32866,786,21145,427,22358,50,1353,54,1457,722,17084,11949,29755,11775,357948,15340,385063
IREG694,9,151,3,163,6,34,0,40,10,147,0,157,4,45,0,49,5,23,0,28,0,3,0,3,16,68,34,118,50,471,37,558,0,151,3,154,0,33,0,33,11,110,0,121,0,22,4,26,0,14,0,14,3,0,0,3,0,29,19,48,14,359,26,399,9,302,6,317,6,67,0,73,21,257,0,278,4,67,4,75,5,37,0,42,3,3,0,6,16,97,53,166,64,830,63,957
IREG697,0,32,0,32,0,9,0,9,0,20,3,23,0,3,0,3,0,3,0,3,0,0,0,0,3,6,4,13,3,73,7,83,0,14,0,14,0,3,0,3,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,27,0,27,0,46,0,46,0,12,0,12,0,24,3,27,0,6,0,6,0,3,0,3,0,0,0,0,3,9,4,16,3,100,7,110
IREG701,181,3557,27,3765,161,1069,11,1241,248,1548,16,1812,134,344,6,484,280,235,13,528,76,21,3,100,201,256,852,1309,1281,7030,928,9239,273,4352,40,4665,217,926,11,1154,299,1231,22,1552,159,237,7,403,307,184,11,502,82,25,0,107,299,211,619,1129,1636,7166,710,9512,454,7909,67,8430,378,1995,22,2395,547,2779,38,3364,293,581,13,887,587,419,24,1030,158,46,3,207,500,467,1471,2438,2917,14196,1638,18751
IREG702,150,548,4,702,126,120,0,246,388,222,6,616,311,55,3,369,868,44,3,915,184,3,3,190,841,78,196,1115,2868,1070,215,4153,196,544,7,747,136,86,0,222,479,96,5,580,404,21,0,425,948,9,4,961,260,3,3,266,443,15,119,577,2866,774,138,3778,346,1092,11,1449,262,206,0,468,867,318,11,1196,715,76,3,794,1816,53,7,1876,444,6,6,456,1284,93,315,1692,5734,1844,353,7931
IREG703,680,19673,143,20496,623,5629,46,6298,779,8677,70,9526,268,1917,19,2204,329,1510,19,1858,40,248,12,300,834,2194,5264,8292,3553,39848,5573,48974,951,21006,137,22094,659,4579,33,5271,871,6775,61,7707,336,1325,32,1693,364,1312,22,1698,55,275,13,343,376,1225,3909,5510,3612,36497,4207,44316,1631,40679,280,42590,1282,10208,79,11569,1650,15452,131,17233,604,3242,51,3897,693,2822,41,3556,95,523,25,643,1210,3419,9173,13802,7165,76345,9780,93290
IREG704,540,588,5,1133,415,189,3,607,759,363,3,1125,375,87,3,465,732,67,3,802,90,8,0,98,171,50,162,383,3082,1352,179,4613,568,564,5,1137,459,105,0,564,787,189,4,980,416,42,3,461,769,30,0,799,111,4,0,115,170,20,94,284,3280,954,106,4340,1108,1152,10,2270,874,294,3,1171,1546,552,7,2105,791,129,6,926,1501,97,3,1601,201,12,0,213,341,70,256,667,6362,2306,285,8953
IREG705,262,1298,6,1566,289,372,10,671,581,822,14,1417,384,201,8,593,568,178,5,751,169,8,3,180,273,188,369,830,2526,3067,415,6008,357,1498,9,1864,350,325,4,679,700,608,3,1311,414,134,3,551,524,75,3,602,154,7,5,166,301,127,289,717,2800,2774,316,5890,619,2796,15,3430,639,697,14,1350,1281,1430,17,2728,798,335,11,1144,1092,253,8,1353,323,15,8,346,574,315,658,1547,5326,5841,731,11898
IREG706,282,1010,8,1300,211,271,5,487,607,535,4,1146,534,90,6,630,825,39,0,864,118,0,3,121,209,46,171,426,2786,1991,197,4974,380,1026,10,1416,259,171,4,434,708,293,4,1005,469,33,0,502,845,24,0,869,182,12,0,194,207,25,119,351,3050,1584,137,4771,662,2036,18,2716,470,442,9,921,1315,828,8,2151,1003,123,6,1132,1670,63,0,1733,300,12,3,315,416,71,290,777,5836,3575,334,9745
IREG707,88,346,0,434,66,98,0,164,153,192,0,345,166,53,0,219,350,58,6,414,87,3,0,90,210,45,130,385,1120,795,136,2051,103,376,0,479,121,74,3,198,221,125,3,349,186,32,0,218,321,26,3,350,108,3,0,111,194,29,130,353,1254,665,139,2058,191,722,0,913,187,172,3,362,374,317,3,694,352,85,0,437,671,84,9,764,195,6,0,201,404,74,260,738,2374,1460,275,4109
IREG794,11,295,3,309,6,97,3,106,16,199,3,218,9,69,3,81,12,44,3,59,3,4,3,10,13,33,122,168,70,741,140,951,6,330,0,336,8,78,0,86,3,167,0,170,6,35,0,41,4,21,0,25,0,0,0,0,13,20,79,112,40,651,79,770,17,625,3,645,14,175,3,192,19,366,3,388,15,104,3,122,16,65,3,84,3,4,3,10,26,53,201,280,110,1392,219,1721
IREG797,0,47,0,47,3,10,3,16,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,76,9,88,0,11,0,11,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,14,5,19,0,58,0,58,3,13,3,19,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,3,90,14,107
IREG801,751,94036,465,95252,122,5815,44,5981,388,17690,155,18233,122,3443,38,3603,97,3210,42,3349,30,444,10,484,108,3189,5593,8890,1618,127827,6347,135792,735,95471,463,96669,132,5726,50,5908,387,21018,165,21570,142,4446,48,4636,107,4097,66,4270,21,646,16,683,81,3643,4400,8124,1605,135047,5208,141860,1486,189507,928,191921,254,11541,94,11889,775,38708,320,39803,264,7889,86,8239,204,7307,108,7619,51,1090,26,1167,189,6832,9993,17014,3223,262874,11555,277652
IREG894,3,151,0,154,3,17,0,20,3,43,0,46,0,8,0,8,0,8,0,8,0,3,0,3,3,27,22,52,12,257,22,291,5,168,0,173,3,12,0,15,3,30,0,33,3,14,0,17,0,10,0,10,0,3,0,3,0,8,6,14,14,245,6,265,8,319,0,327,6,29,0,35,6,73,0,79,3,22,0,25,0,18,0,18,0,6,0,6,3,35,28,66,26,502,28,556
