region_id,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IREG504,186,424,43,23,66,430,384,814,117,134,251,236,190,426,32,26,58,385,350,735,97,137,234,253,201,454,37,18,55,387,356,743,86,81,167,209,179,388,22,16,38,317,276,593,43,63,106,180,126,306,19,10,29,242,199,441,109,122,231,187,89,276,15,11,26,311,222,533,2648,2856,5504,2768,2338,5106,462,296,758,5878,5490,11368
IREG505,58380,114480,3598,2626,6224,60383,61839,122222,572,675,1247,53592,55943,109535,3200,2362,5562,57364,58980,116344,495,570,1065,49422,52103,101525,2931,2189,5120,52848,54862,107710,313,434,747,43822,46735,90557,2593,2037,4630,46728,49206,95934,244,315,559,40252,41304,81556,2211,1913,4124,42707,43532,86239,276,396,672,84752,102688,187440,5074,6143,11217,90102,109227,199329,12682,12851,25533,757374,775899,1533273,47376,39388,86764,817432,828138,1645570
IREG506,1440,4228,824,296,1120,3900,1996,5896,205,206,411,2426,1226,3652,761,247,1008,3392,1679,5071,158,140,298,2238,1161,3399,664,235,899,3060,1536,4596,115,118,233,1544,775,2319,456,131,587,2115,1024,3139,63,87,150,963,414,1377,248,82,330,1274,583,1857,93,136,229,629,347,976,139,57,196,861,540,1401,3810,3448,7258,26705,17096,43801,7651,3575,11226,38166,24119,62285
IREG507,12581,24344,845,594,1439,12897,13528,26425,264,293,557,12324,12418,24742,823,558,1381,13411,13269,26680,237,225,462,12347,12695,25042,819,565,1384,13403,13485,26888,201,211,412,11596,11840,23436,749,518,1267,12546,12569,25115,132,149,281,11587,11418,23005,649,540,1189,12368,12107,24475,151,192,343,27164,28908,56072,1567,1603,3170,28882,30703,59585,5156,5390,10546,169643,170970,340613,10938,8742,19680,185737,185102,370839
IREG508,64,284,30,24,54,364,225,589,105,117,222,191,78,269,24,14,38,320,209,529,87,95,182,143,99,242,25,16,41,255,210,465,58,75,133,136,84,220,13,22,35,207,181,388,50,48,98,96,49,145,17,8,25,163,105,268,83,98,181,116,52,168,22,9,31,221,159,380,1924,2119,4043,2638,1003,3641,395,335,730,4957,3457,8414
IREG594,165,454,35,15,50,363,200,563,36,23,59,282,145,427,48,9,57,366,177,543,15,17,32,252,201,453,49,18,67,316,236,552,17,7,24,303,299,602,41,28,69,361,334,695,12,3,15,326,256,582,29,18,47,367,277,644,9,7,16,407,241,648,44,13,57,460,261,721,262,194,456,3515,2587,6102,508,234,742,4285,3015,7300
IREG597,0,33,4,0,4,40,0,40,0,0,0,30,3,33,4,0,4,34,3,37,0,0,0,28,3,31,5,0,5,33,3,36,0,0,0,16,0,16,5,0,5,21,0,21,0,0,0,9,0,9,0,3,3,9,3,12,0,0,0,5,6,11,0,3,3,5,9,14,9,0,9,312,27,339,61,9,70,382,36,418
IREG601,16397,31453,657,507,1164,16267,17578,33845,485,562,1047,15883,16804,32687,660,537,1197,17028,17903,34931,458,499,957,16563,17686,34249,684,562,1246,17705,18747,36452,370,369,739,15582,16425,32007,706,563,1269,16658,17357,34015,289,285,574,15191,15595,30786,707,567,1274,16187,16447,32634,428,461,889,34830,40880,75710,1821,2178,3999,37079,43519,80598,9558,9955,19513,222386,232958,455344,10020,9250,19270,241964,252163,494127
IREG694,31,76,3,0,3,51,34,85,3,3,6,41,33,74,3,3,6,47,39,86,3,0,3,30,27,57,3,3,6,36,30,66,0,0,0,33,27,60,3,0,3,36,27,63,3,3,6,39,36,75,3,3,6,45,42,87,0,0,0,49,39,88,3,4,7,52,43,95,57,42,99,503,389,892,60,34,94,620,465,1085
IREG697,3,7,3,0,3,10,3,13,0,3,3,6,3,9,0,0,0,6,6,12,0,3,3,3,0,3,3,3,6,6,6,12,0,3,3,3,0,3,3,0,3,6,3,9,3,0,3,3,3,6,0,3,3,6,6,12,0,0,0,3,4,7,0,0,0,3,4,7,15,15,30,48,37,85,15,9,24,78,61,139
