region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
LGA14000,36,5588,5624,224,43195,43419,9,1162,1171,3,1023,1026,236,45380,45616,19,1413,1432,291,52381,52672
LGA14100,0,661,661,9,3463,3472,0,110,110,0,131,131,9,3704,3713,4,110,114,13,4475,4488
LGA14150,49,5098,5147,168,19858,20026,10,653,663,8,718,726,186,21229,21415,8,974,982,243,27301,27544
LGA14200,163,1903,2066,167,3163,3330,8,204,212,29,193,222,204,3560,3764,28,224,252,395,5687,6082
LGA14250,11,143,154,12,307,319,0,34,34,0,14,14,12,355,367,0,25,25,23,523,546
LGA14300,29,541,570,45,1073,1118,3,63,66,4,65,69,52,1201,1253,7,58,65,88,1800,1888
LGA14350,470,3043,3513,412,5495,5907,28,395,423,77,301,378,517,6191,6708,52,343,395,1039,9577,10616
LGA14400,23,1259,1282,102,5303,5405,0,290,290,8,199,207,110,5792,5902,3,226,229,136,7277,7413
LGA14450,18,3105,3123,74,14613,14687,4,454,458,12,436,448,90,15503,15593,4,628,632,112,19236,19348
LGA14500,6,3060,3066,63,30508,30571,0,657,657,0,592,592,63,31757,31820,3,886,889,72,35703,35775
LGA14550,79,1045,1124,82,1976,2058,9,167,176,16,99,115,107,2242,2349,7,122,129,193,3409,3602
LGA14600,208,723,931,130,1140,1270,5,81,86,29,56,85,164,1277,1441,22,80,102,394,2080,2474
LGA14650,609,15438,16047,1604,46231,47835,80,2085,2165,151,1916,2067,1835,50232,52067,120,2325,2445,2564,67995,70559
LGA14700,0,1159,1159,33,9763,9796,0,247,247,3,411,414,36,10421,10457,6,258,264,42,11838,11880
LGA14750,94,1048,1142,121,2085,2206,10,129,139,21,144,165,152,2358,2510,10,124,134,256,3530,3786
LGA14800,70,2498,2568,176,16501,16677,0,463,463,16,1039,1055,192,18003,18195,14,540,554,276,21041,21317
LGA14850,228,3630,3858,432,10307,10739,26,575,601,60,521,581,518,11403,11921,42,522,564,788,15555,16343
LGA14870,111,2257,2368,221,4332,4553,8,270,278,27,237,264,256,4839,5095,16,306,322,383,7402,7785
LGA14900,291,9984,10275,697,36529,37226,25,1578,1603,82,1949,2031,804,40056,40860,71,2388,2459,1166,52428,53594
LGA14920,147,853,1000,140,1489,1629,8,88,96,27,76,103,175,1653,1828,21,100,121,343,2606,2949
LGA14950,13,313,326,13,667,680,3,40,43,3,25,28,19,732,751,0,50,50,32,1095,1127
LGA15050,242,4901,5143,679,15958,16637,26,692,718,60,730,790,765,17380,18145,51,757,808,1058,23038,24096
LGA15150,8,1678,1686,47,11884,11931,4,360,364,5,723,728,56,12967,13023,4,419,423,68,15064,15132
LGA15200,141,4606,4747,334,21771,22105,8,666,674,33,1469,1502,375,23906,24281,25,921,946,541,29433,29974
LGA15270,102,2155,2257,239,5009,5248,11,271,282,34,248,282,284,5528,5812,16,276,292,402,7959,8361
LGA15300,482,1022,1504,278,2292,2570,9,109,118,61,185,246,348,2586,2934,62,161,223,892,3769,4661
LGA15350,3,1084,1087,18,8655,8673,0,280,280,4,429,433,22,9364,9386,0,271,271,25,10719,10744
LGA15500,50,748,798,44,1563,1607,0,106,106,5,93,98,49,1762,1811,3,96,99,102,2606,2708
LGA15550,57,211,268,40,430,470,0,22,22,8,34,42,48,486,534,0,33,33,105,730,835
LGA15650,96,1215,1311,212,3354,3566,4,174,178,28,215,243,244,3743,3987,16,218,234,356,5176,5532
LGA15700,188,2117,2305,235,4240,4475,21,295,316,26,163,189,282,4698,4980,29,302,331,499,7117,7616
LGA15750,227,1293,1520,231,2442,2673,10,130,140,40,178,218,281,2750,3031,36,195,231,544,4238,4782
LGA15800,96,686,782,105,1074,1179,3,55,58,20,82,102,128,1211,1339,17,106,123,241,2003,2244
LGA15850,186,626,812,226,1129,1355,19,67,86,33,61,94,278,1257,1535,33,71,104,497,1954,2451
LGA15900,477,13201,13678,1235,37533,38768,56,1420,1476,127,2132,2259,1418,41085,42503,110,2160,2270,2005,56446,58451
LGA15950,12,2517,2529,71,22791,22862,4,658,662,8,1687,1695,83,25136,25219,4,676,680,99,28329,28428
LGA16100,17,515,532,39,1099,1138,3,71,74,5,64,69,47,1234,1281,4,69,73,68,1818,1886
LGA16150,268,3265,3533,419,8316,8735,21,418,439,57,518,575,497,9252,9749,60,522,582,825,13039,13864
LGA16180,10,618,628,79,3621,3700,7,209,216,3,157,160,89,3987,4076,3,139,142,102,4744,4846
LGA16200,180,1558,1738,267,2799,3066,20,188,208,27,167,194,314,3154,3468,26,172,198,520,4884,5404
LGA16250,174,9715,9889,423,40861,41284,15,1332,1347,37,1877,1914,475,44070,44545,36,2235,2271,685,56020,56705
LGA16350,435,10138,10573,1649,41331,42980,55,1385,1440,113,2103,2216,1817,44819,46636,112,2070,2182,2364,57027,59391
LGA16370,9,2141,2150,97,15794,15891,11,544,555,5,548,553,113,16886,16999,6,619,625,128,19646,19774
LGA16380,309,7199,7508,681,17924,18605,30,1008,1038,55,820,875,766,19752,20518,44,991,1035,1119,27942,29061
LGA16400,234,5118,5352,620,15515,16135,28,796,824,71,733,804,719,17044,17763,57,805,862,1010,22967,23977
LGA16470,119,2409,2528,322,9682,10004,14,382,396,40,690,730,376,10754,11130,31,423,454,526,13586,14112
LGA16550,182,7257,7439,496,34738,35234,22,1150,1172,47,2053,2100,565,37941,38506,42,1577,1619,789,46775,47564
LGA16610,216,2614,2830,239,4445,4684,19,300,319,34,266,300,292,5011,5303,39,288,327,547,7913,8460
LGA16650,54,6967,7021,207,23767,23974,16,903,919,15,1135,1150,238,25805,26043,4,1339,1343,296,34111,34407
LGA16700,28,5656,5684,137,28759,28896,7,829,836,15,1076,1091,159,30664,30823,9,1161,1170,196,37481,37677
LGA16900,175,4878,5053,548,14579,15127,29,719,748,59,699,758,636,15997,16633,42,708,750,853,21583,22436
LGA16950,530,8896,9426,1091,21331,22422,46,1577,1623,124,1050,1174,1261,23958,25219,90,1198,1288,1881,34052,35933
LGA17000,66,1477,1543,238,5186,5424,17,231,248,30,283,313,285,5700,5985,20,211,231,371,7388,7759
LGA17050,7,393,400,19,1595,1614,3,100,103,4,118,122,26,1813,1839,3,124,127,36,2330,2366
LGA17100,3,1661,1664,42,8679,8721,3,236,239,6,318,324,51,9233,9284,0,430,430,54,11324,11378
LGA17150,130,11108,11238,668,56831,57499,27,1984,2011,49,2244,2293,744,61059,61803,42,2266,2308,916,74433,75349
LGA17200,375,8833,9208,624,54590,55214,21,1565,1586,94,4675,4769,739,60830,61569,85,2310,2395,1199,71973,73172
LGA17310,671,5242,5913,958,11879,12837,71,652,723,128,657,785,1157,13188,14345,94,791,885,1922,19221,21143
LGA17350,18,778,796,26,1245,1271,3,68,71,0,70,70,29,1383,1412,5,78,83,52,2239,2291
LGA17400,98,853,951,59,1401,1460,8,106,114,3,66,69,70,1573,1643,7,84,91,175,2510,2685
LGA17420,27,4449,4476,257,44985,45242,8,1137,1145,16,1053,1069,281,47175,47456,4,1361,1365,312,52985,53297
LGA17450,12,396,408,16,719,735,0,48,48,0,44,44,16,811,827,0,56,56,28,1263,1291
LGA17500,82,1251,1333,95,2307,2402,4,138,142,22,123,145,121,2568,2689,7,170,177,210,3989,4199
LGA17550,318,8081,8399,844,20559,21403,42,1259,1301,66,1135,1201,952,22953,23905,88,1268,1356,1358,32302,33660
LGA17620,54,1435,1489,152,3038,3190,8,168,176,8,178,186,168,3384,3552,7,195,202,229,5014,5243
LGA17640,12,816,828,34,1638,1672,3,121,124,4,81,85,41,1840,1881,3,88,91,56,2744,2800
LGA17650,48,527,575,84,1331,1415,11,70,81,9,60,69,104,1461,1565,6,58,64,158,2046,2204
LGA17700,5,140,145,9,231,240,3,21,24,0,14,14,12,266,278,0,24,24,17,430,447
LGA17750,360,4507,4867,638,13748,14386,33,635,668,86,935,1021,757,15318,16075,66,708,774,1183,20533,21716
LGA17800,14,474,488,21,829,850,3,70,73,3,35,38,27,934,961,3,59,62,44,1467,1511
LGA17850,39,363,402,28,659,687,5,32,37,7,33,40,40,724,764,9,44,53,88,1131,1219
LGA17900,348,665,1013,182,952,1134,11,57,68,23,94,117,216,1103,1319,46,111,157,610,1879,2489
LGA17950,86,331,417,49,512,561,0,30,30,11,20,31,60,562,622,13,49,62,159,942,1101
LGA18000,46,6904,6950,240,38843,39083,8,1264,1272,22,1731,1753,270,41838,42108,15,1561,1576,331,50303,50634
LGA18020,120,1111,1231,146,1878,2024,17,125,142,16,103,119,179,2106,2285,24,124,148,323,3341,3664
LGA18050,19,3126,3145,105,18675,18780,4,609,613,12,1415,1427,121,20699,20820,6,901,907,146,24726,24872
LGA18100,8,457,465,19,859,878,3,70,73,3,37,40,25,966,991,3,45,48,36,1468,1504
