region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
LGA58190,0,3,3,0,3,3,0,3,3,0,7,7,3,17,20,0,13,13,4,14,18,3,10,13,3,14,17,0,15,15,0,8,8,0,5,5,0,3,3,4,10,14,0,8,8,17,133,150
LGA58260,0,8,8,4,8,12,3,4,7,0,20,20,0,25,25,0,17,17,0,22,22,3,24,27,0,19,19,0,29,29,0,13,13,0,11,11,0,9,9,3,17,20,0,8,8,13,234,247
LGA58330,4,22,26,0,43,43,7,49,56,0,115,115,5,160,165,6,144,150,4,117,121,0,115,115,3,109,112,3,151,154,3,101,104,0,102,102,3,107,110,7,226,233,0,35,35,45,1596,1641
LGA58400,0,3,3,0,4,4,0,6,6,0,13,13,0,18,18,3,22,25,0,15,15,0,12,12,0,8,8,0,4,4,0,10,10,0,5,5,0,0,0,0,11,11,3,3,6,6,134,140
LGA58470,0,5,5,0,0,0,0,4,4,0,4,4,11,0,11,5,0,5,5,4,9,0,4,4,3,3,6,0,9,9,4,0,4,0,0,0,0,3,3,0,0,0,6,0,6,34,36,70
LGA58510,3,264,267,9,197,206,14,365,379,16,856,872,28,1015,1043,20,917,937,17,866,883,3,947,950,16,849,865,17,1366,1383,11,959,970,16,1400,1416,15,1644,1659,19,934,953,16,290,306,220,12869,13089
LGA58540,0,11,11,0,7,7,0,4,4,3,25,28,0,38,38,3,35,38,0,40,40,3,26,29,0,33,33,3,24,27,0,19,19,0,12,12,0,13,13,0,30,30,0,19,19,12,336,348
LGA58570,0,196,196,3,165,168,5,361,366,4,649,653,5,822,827,6,676,682,6,686,692,9,799,808,11,791,802,13,1378,1391,9,874,883,11,1643,1654,14,2311,2325,10,1144,1154,0,209,209,106,12704,12810
LGA58610,0,17,17,0,17,17,3,30,33,4,73,77,3,81,84,4,78,82,4,57,61,0,49,49,3,51,54,0,87,87,0,35,35,0,28,28,0,19,19,3,61,64,0,22,22,24,705,729
LGA58680,0,5,5,0,8,8,0,3,3,0,0,0,0,11,11,0,14,14,0,11,11,0,16,16,0,13,13,0,21,21,0,9,9,0,11,11,0,14,14,3,24,27,0,4,4,3,164,167
