region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
LGA14100,9,3358,14,3381,0,144,0,144,0,461,4,465,0,132,0,132,0,108,0,108,0,23,0,23,0,128,173,301,9,4354,191,4554,6,3520,24,3550,0,194,0,194,6,760,0,766,0,185,10,195,0,157,6,163,0,28,0,28,0,236,151,387,12,5080,191,5283,15,6878,38,6931,0,338,0,338,6,1221,4,1231,0,317,10,327,0,265,6,271,0,51,0,51,0,364,324,688,21,9434,382,9837
LGA14150,45,17987,123,18155,9,1141,9,1159,47,5070,47,5164,15,1256,19,1290,8,1504,26,1538,3,333,7,343,11,988,961,1960,138,28279,1192,29609,60,18876,121,19057,6,1031,9,1046,44,5778,58,5880,24,1747,25,1796,9,2044,28,2081,3,581,9,593,11,1236,906,2153,157,31293,1156,32606,105,36863,244,37212,15,2172,18,2205,91,10848,105,11044,39,3003,44,3086,17,3548,54,3619,6,914,16,936,22,2224,1867,4113,295,59572,2348,62215
LGA14200,45,1531,5,1581,19,289,0,308,90,1929,26,2045,52,628,5,685,46,590,9,645,9,26,0,35,40,314,209,563,301,5307,254,5862,42,1919,17,1978,20,322,5,347,90,1968,18,2076,48,629,12,689,40,479,14,533,0,25,0,25,43,385,131,559,283,5727,197,6207,87,3450,22,3559,39,611,5,655,180,3897,44,4121,100,1257,17,1374,86,1069,23,1178,9,51,0,60,83,699,340,1122,584,11034,451,12069
LGA14250,3,169,3,175,0,56,0,56,3,159,3,165,3,61,3,67,3,79,3,85,0,5,0,5,0,30,35,65,12,559,47,618,5,209,0,214,0,50,0,50,8,119,0,127,5,45,0,50,0,40,0,40,3,3,0,6,0,30,23,53,21,496,23,540,8,378,3,389,0,106,0,106,11,278,3,292,8,106,3,117,3,119,3,125,3,8,0,11,0,60,58,118,33,1055,70,1158
LGA14300,10,475,6,491,0,105,3,108,27,709,4,740,5,221,3,229,7,148,4,159,0,3,0,3,192,641,95,928,241,2302,115,2658,16,596,4,616,0,147,0,147,23,617,7,647,5,198,3,206,9,128,3,140,0,3,0,3,4,82,67,153,57,1771,84,1912,26,1071,10,1107,0,252,3,255,50,1326,11,1387,10,419,6,435,16,276,7,299,0,6,0,6,196,723,162,1081,298,4073,199,4570
LGA14350,105,2316,22,2443,52,549,5,606,237,3471,31,3739,146,1230,11,1387,114,960,13,1087,15,49,0,64,235,802,412,1449,904,9377,494,10775,140,2737,25,2902,69,529,3,601,279,3606,35,3920,177,1157,17,1351,99,864,13,976,14,32,0,46,99,538,415,1052,877,9463,508,10848,245,5053,47,5345,121,1078,8,1207,516,7077,66,7659,323,2387,28,2738,213,1824,26,2063,29,81,0,110,334,1340,827,2501,1781,18840,1002,21623
LGA14400,32,3458,24,3514,0,450,4,454,28,2248,21,2297,6,495,3,504,3,325,0,328,0,19,0,19,6,198,237,441,75,7193,289,7557,32,3656,14,3702,7,415,3,425,33,2496,25,2554,7,639,9,655,3,322,4,329,0,19,0,19,8,248,175,431,90,7795,230,8115,64,7114,38,7216,7,865,7,879,61,4744,46,4851,13,1134,12,1159,6,647,4,657,0,38,0,38,14,446,412,872,165,14988,519,15672
LGA14450,30,13741,112,13883,7,776,13,796,18,3096,37,3151,9,710,6,725,0,940,12,952,0,212,3,215,0,665,717,1382,64,20140,900,21104,31,14220,100,14351,9,748,9,766,20,3579,37,3636,4,903,13,920,7,1256,17,1280,0,365,4,369,10,820,697,1527,81,21891,877,22849,61,27961,212,28234,16,1524,22,1562,38,6675,74,6787,13,1613,19,1645,7,2196,29,2232,0,577,7,584,10,1485,1414,2909,145,42031,1777,43953
LGA14500,33,30807,154,30994,0,1088,5,1093,4,2839,27,2870,4,575,3,582,0,355,3,358,0,70,3,73,0,615,1245,1860,41,36349,1440,37830,39,32125,182,32346,4,1642,17,1663,3,5065,41,5109,0,910,9,919,3,571,7,581,0,143,0,143,0,982,1351,2333,49,41438,1607,43094,72,62932,336,63340,4,2730,22,2756,7,7904,68,7979,4,1485,12,1501,3,926,10,939,0,213,3,216,0,1597,2596,4193,90,77787,3047,80924
LGA14550,32,936,14,982,11,227,3,241,50,1176,15,1241,20,372,7,399,22,346,0,368,0,10,0,10,16,145,152,313,151,3212,191,3554,25,1129,14,1168,25,213,7,245,42,1154,14,1210,24,319,8,351,10,247,7,264,0,10,0,10,11,147,118,276,137,3219,168,3524,57,2065,28,2150,36,440,10,486,92,2330,29,2451,44,691,15,750,32,593,7,632,0,20,0,20,27,292,270,589,288,6431,359,7078
