region_id,Med_age_persns_C2001,Med_age_persns_C2006,Med_age_persns_C2011,Med_mortg_rep_mon_C2001,Med_mortg_rep_mon_C2006,Med_mortg_rep_mon_C2011,Med_person_inc_we_C2001,Med_person_inc_we_C2006,Med_person_inc_we_C2011,Med_rent_weekly_C2001,Med_rent_weekly_C2006,Med_rent_weekly_C2011,Med_Famly_inc_we_C2001,Med_Famly_inc_we_C2006,Med_Famly_inc_we_C2011,Avg_num_p_per_brm_C2001,Avg_num_p_per_brm_C2006,Avg_num_p_per_brm_C2011,Med_tot_hh_inc_wee_C2001,Med_tot_hh_inc_wee_C2006,Med_tot_hh_inc_wee_C2011,Average_hh_size_C2001,Average_hh_size_C2006,Average_hh_size_C2011
LGA14450,37,38,37,1354,1900,2167,453,510,600,235,265,380,1192,1369,1667,1.2,1.2,1.2,1021,1183,1460,2.7,2.7,2.8
LGA14500,40,41,41,2000,2500,3000,580,708,805,380,420,575,1802,2531,2679,1.1,1.0,1.1,1628,2140,2505,3.0,2.9,2.9
LGA14550,39,42,45,599,769,1083,254,303,376,95,115,165,586,730,883,1.2,1.1,1.1,492,593,714,2.6,2.5,2.4
LGA14600,36,40,41,600,737,867,323,365,447,72,90,110,735,900,985,1.1,1.1,1.1,634,714,847,2.6,2.5,2.4
LGA14650,38,40,41,867,1300,1733,313,392,517,145,185,256,849,1113,1396,1.1,1.1,1.1,705,920,1114,2.6,2.6,2.5
LGA14700,36,37,37,1733,2180,2734,644,798,952,275,300,420,1740,2300,2637,1.1,1.1,1.1,1381,1663,2178,2.4,2.4,2.5
LGA14750,33,35,36,850,1060,1300,360,401,483,110,135,160,902,1075,1195,1.1,1.1,1.1,764,854,964,2.7,2.6,2.5
LGA14800,35,36,37,1733,2400,3000,691,879,1068,300,350,480,1704,2307,2738,1.1,1.1,1.1,1269,1669,2223,2.2,2.2,2.3
LGA14850,35,38,40,740,1083,1495,285,375,464,130,160,222,719,992,1123,1.1,1.1,1.1,575,763,905,2.5,2.5,2.4
LGA14870,37,40,42,750,1083,1452,295,356,455,110,135,170,822,1027,1190,1.1,1.1,1.1,642,751,894,2.5,2.4,2.3
