region_id,C06_F_u_a_a_h_FH_One_PFam,C06_F_u_a_a_h_FH_oth_fa,C06_F_u_a_a_h_FH_Tot,C06_F_u_a_a_h_LP_H,C06_F_u_a_a_h_GH,C06_F_u_a_a_h_OH,C06_F_u_a_a_h_Tot,C06_F_u_a_T_FH_CF_no_ch,C06_F_u_a_T_FH_CF_w_ch,C06_F_u_a_T_FH_One_PFam,C06_F_u_a_T_FH_oth_fa,C06_F_u_a_T_FH_Tot,C06_F_u_a_T_LP_H,C06_F_u_a_T_GH,C06_F_u_a_T_OH,C06_F_u_a_T_Tot,C06_OD_C_c_hb_FH_CF_no_ch,C06_OD_C_c_hb_FH_CF_w_ch,C06_OD_C_c_hb_FH_One_PFam,C06_OD_C_c_hb_FH_oth_fa,C06_OD_C_c_hb_FH_Tot,C06_OD_C_c_hb_LP_H,C06_OD_C_c_hb_GH,C06_OD_C_c_hb_OH,C06_OD_C_c_hb_Tot,C06_OD_Ih_t_s_FH_CF_no_ch,C06_OD_Ih_t_s_FH_CF_w_ch,C06_OD_Ih_t_s_FH_One_PFam,C06_OD_Ih_t_s_FH_oth_fa,C06_OD_Ih_t_s_FH_Tot,C06_OD_Ih_t_s_LP_H,C06_OD_Ih_t_s_GH,C06_OD_Ih_t_s_OH,C06_OD_Ih_t_s_Tot,C06_OD_H_f_so_FH_CF_no_ch,C06_OD_H_f_so_FH_CF_w_ch,C06_OD_H_f_so_FH_One_PFam,C06_OD_H_f_so_FH_oth_fa,C06_OD_H_f_so_FH_Tot,C06_OD_H_f_so_LP_H,C06_OD_H_f_so_GH,C06_OD_H_f_so_OH,C06_OD_H_f_so_Tot,C06_OD_T_FH_CF_no_ch,C06_OD_T_FH_CF_w_ch,C06_OD_T_FH_One_PFam,C06_OD_T_FH_oth_fa,C06_OD_T_FH_Tot,C06_OD_Tot_LP_H,C06_OD_Tot_GH,C06_OD_Tot_OH,C06_OD_T_T,C06_DS_ns_FH_CF_no_ch,C06_DS_ns_FH_CF_w_ch,C06_DS_ns_FH_One_PFam,C06_DS_ns_FH_oth_fa,C06_DS_ns_FH_Tot,C06_DS_ns_LP_H,C06_DS_ns_GH,C06_DS_ns_OH,C06_DS_NS_T,C06_T_FH_CF_no_ch,C06_T_FH_CF_w_ch,C06_T_FH_One_PFam,C06_T_FH_oth_fa,C06_T_FH_Tot,C06_Tot_LP_H,C06_Tot_GH,C06_Tot_OH,C06_T_T,C11_S_h_FH_CF_no_ch,C11_S_h_FH_CF_w_ch,C11_S_h_FH_One_PFam,C11_S_h_FH_oth_fa,C11_S_h_FH_Tot,C11_S_h_LP_H,C11_S_h_GH,C11_S_h_OH,C11_S_h_Tot,C11_Sd_r_t_1_FH_CF_no_ch,C11_Sd_r_t_1_FH_CF_w_ch,C11_Sd_r_t_1_FH_One_PFam,C11_Sd_r_t_1_FH_oth_fa,C11_Sd_r_t_1_FH_Tot,C11_Sd_r_t_1_LP_H,C11_Sd_r_t_1_GH,C11_Sd_r_t_1_OH,C11_Sd_r_t_1_Tot,C11_Sd_r_t_2m_FH_CF_no_ch,C11_Sd_r_t_2m_FH_CF_w_ch,C11_Sd_r_t_2m_FH_One_PFam,C11_Sd_r_t_2m_FH_oth_fa,C11_Sd_r_t_2m_FH_Tot,C11_Sd_r_t_2m_LP_H,C11_Sd_r_t_2m_GH,C11_Sd_r_t_2m_OH,C11_Sd_r_t_2m_Tot,C11_Sd_r_t_T_FH_CF_no_ch,C11_Sd_r_t_T_FH_CF_w_ch,C11_Sd_r_t_T_FH_One_PFam,C11_Sd_r_t_T_FH_oth_fa,C11_Sd_r_t_T_FH_Tot,C11_Sd_r_t_T_LP_H,C11_Sd_r_t_T_GH,C11_Sd_r_t_T_OH,C11_Sd_r_t_T_Tot,C11_F_u_a_1_2_FH_CF_no_ch,C11_F_u_a_1_2_FH_CF_w_ch,C11_F_u_a_1_2_FH_One_PFam,C11_F_u_a_1_2_FH_oth_fa,C11_F_u_a_1_2_FH_Tot,C11_F_u_a_1_2_LP_H,C11_F_u_a_1_2_GH,C11_F_u_a_1_2_OH,C11_F_u_a_1_2_Tot,C11_F_u_a_3_FH_CF_no_ch,C11_F_u_a_3_FH_CF_w_ch,C11_F_u_a_3_FH_One_PFam,C11_F_u_a_3_FH_oth_fa,C11_F_u_a_3_FH_Tot,C11_F_u_a_3_LP_H,C11_F_u_a_3_GH,C11_F_u_a_3_OH,C11_F_u_a_3_Tot,C11_F_u_a_4m_FH_CF_no_ch,C11_F_u_a_4m_FH_CF_w_ch,C11_F_u_a_4m_FH_One_PFam,C11_F_u_a_4m_FH_oth_fa,C11_F_u_a_4m_FH_Tot,C11_F_u_a_4m_LP_H,C11_F_u_a_4m_GH,C11_F_u_a_4m_OH,C11_F_u_a_4m_Tot,C11_F_u_a_a_h_FH_CF_no_ch,C11_F_u_a_a_h_FH_CF_w_ch,C11_F_u_a_a_h_FH_One_PFam,C11_F_u_a_a_h_FH_oth_fa,C11_F_u_a_a_h_FH_Tot,C11_F_u_a_a_h_LP_H,C11_F_u_a_a_h_GH,C11_F_u_a_a_h_OH,C11_F_u_a_a_h_Tot,C11_F_u_a_T_FH_CF_no_ch,C11_F_u_a_T_FH_CF_w_ch,C11_F_u_a_T_FH_One_PFam,C11_F_u_a_T_FH_oth_fa,C11_F_u_a_T_FH_Tot,C11_F_u_a_T_LP_H,C11_F_u_a_T_GH,C11_F_u_a_T_OH,C11_F_u_a_T_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_T_FH_CF_no_ch,C11_OD_T_FH_CF_w_ch,C11_OD_T_FH_One_PFam,C11_OD_T_FH_oth_fa,C11_OD_T_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_T_T,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_T,C11_T_FH_CF_no_ch,C11_T_FH_CF_w_ch,C11_T_FH_One_PFam,C11_T_FH_oth_fa
LGA16180,3,0,6,0,0,0,6,6,3,3,0,12,19,0,0,31,32,13,12,0,57,63,4,30,154,4,14,3,0,21,5,0,7,33,0,5,0,0,5,0,0,0,5,36,32,15,0,83,68,4,37,192,0,0,0,0,0,0,0,0,0,1407,1652,286,24,3369,831,70,269,4539,1517,1842,332,20,3711,813,75,285,4884,11,9,7,0,27,27,5,5,64,3,4,3,0,10,3,0,4,17,14,13,10,0,37,30,5,9,81,3,0,0,0,3,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,3,0,3,12,6,0,3,0,9,8,0,3,20,38,17,10,4,69,65,3,60,197,3,5,0,0,8,0,0,0,8,5,0,0,0,5,7,0,0,12,46,22,10,4,82,72,3,60,217,0,3,0,0,3,0,0,0,3,1583,1880,355,24
LGA16200,0,0,3,0,0,0,3,29,10,11,0,50,179,7,11,247,3,3,4,0,10,27,0,47,84,0,0,0,0,0,4,0,0,4,4,4,5,0,13,10,0,6,29,7,7,9,0,23,41,0,53,117,0,0,0,0,0,0,0,0,0,1493,1623,617,38,3771,1511,102,203,5587,1428,1493,644,42,3607,1262,101,283,5253,36,16,9,0,61,114,6,17,198,0,3,0,0,3,3,0,0,6,36,19,9,0,64,117,6,17,204,14,3,15,3,35,136,0,25,196,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,14,3,15,3,35,151,0,25,211,7,3,3,0,13,23,0,60,96,3,0,0,0,3,0,0,0,3,8,0,0,0,8,8,0,0,16,18,3,3,0,24,31,0,60,115,0,3,3,0,6,3,0,0,9,1496,1521,674,45
LGA16250,5,0,33,38,5,9,85,3496,2824,1307,414,8041,5766,1223,1699,16729,0,3,3,0,6,0,0,0,6,0,3,0,0,3,72,0,3,78,13,26,11,6,56,39,13,18,126,13,32,14,6,65,111,13,21,210,10,38,11,0,59,53,46,29,187,11300,18239,5879,939,36357,12631,2220,3277,54485,6484,13714,3790,413,24401,4768,755,1040,30964,573,892,350,47,1862,1126,118,153,3259,933,1890,586,75,3484,773,218,234,4709,1506,2782,936,122,5346,1899,336,387,7968,1305,1162,479,101,3047,2610,272,408,6337,2020,2111,751,206,5088,2315,530,586,8519,1436,1226,343,133,3138,1455,460,561,5614,14,15,8,0,37,28,4,5,74,4775,4514,1581,440,11310,6408,1266,1560,20544,0,0,0,0,0,3,0,0,3,0,3,0,0,3,3,0,55,61,23,23,10,3,59,37,10,16,122,23,26,10,3,62,43,10,71,186,18,17,9,6,50,41,9,7,107,12806,21053,6326,984
LGA16350,0,0,27,31,0,8,66,445,234,369,44,1092,2155,158,274,3679,57,30,17,0,104,151,6,15,276,0,5,0,0,5,33,0,4,42,9,8,4,4,25,23,0,9,57,66,43,21,4,134,207,6,28,375,4,12,4,0,20,6,0,3,29,12424,23662,8224,637,44947,10578,1403,1984,58912,11317,21637,6914,550,40418,6990,1004,1405,49817,494,472,513,41,1520,1113,94,115,2842,670,890,833,71,2464,1083,153,175,3875,1164,1362,1346,112,3984,2196,247,290,6717,276,331,225,25,857,840,73,123,1893,302,189,225,32,748,911,109,156,1924,88,75,45,13,221,218,27,39,505,60,55,28,0,143,91,5,12,251,726,650,523,70,1969,2060,214,330,4573,34,12,11,3,60,94,3,9,166,0,3,0,0,3,0,0,42,45,9,17,11,0,37,24,4,16,81,43,32,22,3,100,118,7,67,292,17,6,0,0,23,55,5,19,102,13267,23687,8805,735
LGA16370,21,0,107,101,12,23,243,605,275,220,24,1124,1054,124,206,2508,29,15,16,3,63,63,6,57,189,4,0,0,0,4,8,0,0,12,6,7,7,0,20,12,6,14,52,39,22,23,3,87,83,12,71,253,7,3,0,0,10,3,0,0,13,5203,7355,1730,128,14416,3772,473,1094,19755,4103,6840,1296,90,12329,1988,313,520,15150,159,140,61,4,364,260,13,25,662,419,512,196,11,1138,358,27,53,1576,578,652,257,15,1502,618,40,78,2238,376,155,95,12,638,612,33,59,1342,362,185,159,12,718,426,66,84,1294,70,39,10,0,119,90,7,5,221,21,14,10,4,49,65,0,10,124,829,393,274,28,1524,1193,106,158,2981,4,3,3,0,10,19,6,46,81,0,0,0,0,0,5,0,0,5,26,13,10,3,52,43,13,14,122,30,16,13,3,62,67,19,60,208,3,3,0,0,6,7,0,0,13,5543,7904,1840,136
LGA16380,4,0,20,29,3,3,55,560,120,280,16,976,1615,131,379,3101,206,28,46,0,280,388,13,373,1054,0,0,0,0,0,8,0,4,12,33,20,5,0,58,31,3,10,102,239,48,51,0,338,427,16,387,1168,7,3,0,0,10,3,0,0,13,9295,6682,3000,175,19152,7246,684,1414,28496,8019,6503,2473,149,17144,4343,498,588,22573,697,172,305,19,1193,1194,68,58,2513,252,87,98,4,441,418,36,35,930,949,259,403,23,1634,1612,104,93,3443,269,79,192,16,556,971,62,133,1722,105,34,71,3,213,298,34,78,623,261,49,69,9,388,320,36,179,923,5,4,4,0,13,17,4,0,34,640,166,336,28,1170,1606,136,390,3302,186,15,35,4,240,339,22,296,897,0,0,0,0,0,3,0,18,21,55,13,13,3,84,103,5,6,198,241,28,48,7,324,445,27,320,1116,5,0,4,0,9,11,0,3,23,9854,6956,3264,207
LGA16400,3,0,8,18,0,0,26,222,67,116,8,413,476,45,146,1080,128,25,30,0,183,279,11,152,625,6,5,0,0,11,10,0,5,26,9,12,6,0,27,16,0,4,47,143,42,36,0,221,305,11,161,698,0,0,0,0,0,3,0,0,3,6877,6895,2672,131,16575,5055,500,1062,23192,6385,6528,2328,138,15379,3992,379,727,20477,370,164,201,15,750,695,62,89,1596,330,215,188,8,741,309,40,75,1165,700,379,389,23,1491,1004,102,164,2761,173,74,78,4,329,419,35,78,861,36,9,18,0,63,73,6,65,207,56,7,18,0,81,61,5,54,201,8,0,0,0,8,16,0,0,24,273,90,114,4,481,569,46,197,1293,125,9,16,6,156,299,9,153,617,0,3,5,0,8,7,4,0,19,6,4,7,0,17,13,3,10,43,131,16,28,6,181,319,16,163,679,5,3,3,0,11,5,4,3,23,7494,7016,2862,171
LGA16470,0,0,10,12,0,3,25,327,181,200,32,740,1407,109,315,2571,3,0,0,0,3,5,3,58,69,0,4,0,0,4,3,0,0,7,12,6,3,0,21,10,0,0,31,15,10,3,0,28,18,3,58,107,0,0,0,0,0,0,0,0,0,2976,4573,1497,133,9179,3570,380,870,13999,2381,4173,1144,104,7802,1492,194,338,9826,334,204,158,16,712,658,59,71,1500,179,135,89,15,418,266,45,36,765,513,339,247,31,1130,924,104,107,2265,162,129,85,16,392,759,48,117,1316,147,71,58,10,286,458,42,102,888,85,32,25,10,152,189,25,64,430,5,5,3,0,13,18,0,8,39,399,237,171,36,843,1424,115,291,2673,5,0,0,0,5,24,0,42,71,0,0,0,0,0,3,0,0,3,8,10,3,0,21,13,3,8,45,13,10,3,0,26,40,3,50,119,4,3,0,0,7,5,0,0,12,3310,4762,1565,171
LGA16550,11,3,41,33,7,12,93,5410,2664,1848,783,10705,8788,3274,2766,25533,5,3,0,0,8,4,0,5,17,0,0,0,0,0,5,0,0,5,66,41,26,4,137,80,41,53,311,71,44,26,4,145,89,41,58,333,20,10,8,3,41,15,4,8,68,10327,11995,4298,1217,27837,12687,4327,4111,48962,3199,6763,1541,238,11741,2247,563,602,15153,742,1454,404,55,2655,853,198,169,3875,766,1501,486,56,2809,657,234,207,3907,1508,2955,890,111,5464,1510,432,376,7782,1102,770,422,96,2390,1808,608,547,5353,2604,1458,949,241,5252,3989,1510,1027,11778,2604,1320,591,359,4874,3334,1507,1139,10854,18,13,6,0,37,28,8,3,76,6328,3561,1968,696,12553,9159,3633,2716,28061,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,5,38,37,19,4,98,52,46,27,223,38,37,19,4,98,55,46,32,231,13,9,4,0,26,24,11,3,64,11086,13325,4422,1049
LGA16610,5,0,5,5,0,0,10,102,41,94,3,240,358,29,57,684,53,16,12,0,81,87,0,240,408,3,4,0,0,7,4,0,5,16,19,10,0,0,29,12,6,3,50,75,30,12,0,117,103,6,248,474,0,0,0,0,0,0,0,0,0,2278,2295,1082,90,5745,2135,190,517,8587,2230,2063,979,73,5345,1630,164,232,7371,82,44,34,3,163,185,15,14,377,22,14,16,0,52,51,0,7,110,104,58,50,3,215,236,15,21,487,86,34,93,8,221,402,20,52,695,5,0,0,0,5,0,0,0,5,0,0,0,0,0,4,0,0,4,0,0,0,0,0,3,0,0,3,91,34,93,8,226,409,20,52,707,37,4,9,5,55,97,3,239,394,3,0,0,0,3,0,3,0,6,14,13,0,0,27,7,0,8,42,54,17,9,5,85,104,6,247,442,3,3,0,0,6,0,0,3,9,2482,2175,1131,89
LGA16650,7,3,41,34,5,6,86,2813,2233,1243,267,6556,4187,980,1349,13072,5,4,4,3,16,49,0,26,91,0,3,0,0,3,3,0,3,9,24,37,15,6,82,54,7,17,160,29,44,19,9,101,106,7,46,260,4,12,3,0,19,4,3,4,30,7868,11017,3530,572,22987,8378,1509,2357,35231,4000,7585,2015,253,13853,2731,423,613,17620,690,850,328,41,1909,986,93,113,3101,318,625,175,20,1138,224,34,77,1473,1008,1475,503,61,3047,1210,127,190,4574,444,423,212,41,1120,728,116,164,2128,1433,1267,651,126,3477,2004,330,443,6254,1378,1029,431,151,2989,1372,473,452,5286,18,17,9,0,44,35,4,9,92,3273,2736,1303,318,7630,4139,923,1068,13760,10,0,7,0,17,57,0,26,100,0,0,3,0,3,0,0,5,8,45,43,21,11,120,48,26,42,236,55,43,31,11,140,105,26,73,344,19,15,6,0,40,11,3,5,59,8355,11854,3858,643
LGA16700,7,0,34,22,0,8,64,2193,1346,717,273,4529,4770,864,1180,11343,4,3,3,0,10,8,0,48,66,0,0,0,0,0,3,0,3,6,8,32,3,3,46,18,5,12,81,12,35,6,3,56,29,5,63,153,0,5,0,0,5,4,5,0,14,8414,12001,3326,652,24393,9507,1765,2177,37842,4514,9469,2004,266,16253,3028,604,502,20387,621,777,283,38,1719,798,128,83,2728,727,936,318,43,2024,803,219,93,3139,1348,1713,601,81,3743,1601,347,176,5867,506,301,165,37,1009,1224,154,117,2504,1395,883,399,126,2803,2289,556,291,5939,1189,721,291,97,2298,1319,341,315,4273,5,3,3,3,14,11,3,0,28,3095,1908,858,263,6124,4843,1054,723,12744,3,0,0,0,3,10,0,63,76,0,0,0,0,0,0,0,4,4,10,15,3,0,28,14,0,9,51,13,15,3,0,31,24,0,76,131,11,5,0,0,16,7,0,4,27,8981,13110,3466,610
LGA16900,4,0,11,11,0,3,25,196,92,161,6,455,629,47,77,1208,75,6,16,3,100,156,7,11,274,0,0,0,0,0,0,0,4,4,4,8,5,0,17,10,3,3,33,79,14,21,3,117,166,10,18,311,5,14,0,0,19,0,0,0,19,5368,8036,2907,178,16489,3993,348,725,21555,4973,7729,2564,174,15440,2764,256,369,18829,352,157,267,11,787,694,46,34,1561,204,174,179,16,573,357,35,42,1007,556,331,446,27,1360,1051,81,76,2568,175,74,161,16,426,584,30,65,1105,28,3,6,3,40,43,6,8,97,0,0,0,0,0,0,0,0,0,3,3,3,0,9,5,0,0,14,206,80,170,19,475,632,36,73,1216,72,7,23,4,106,177,7,39,329,0,0,0,0,0,3,0,3,6,9,9,16,0,34,9,0,6,49,81,16,39,4,140,189,7,48,384,0,0,0,0,0,4,0,0,4,5816,8156,3219,224
LGA16950,7,0,21,36,4,0,61,228,60,109,10,407,935,52,114,1508,175,27,15,3,220,384,12,120,736,6,11,3,0,20,5,0,3,28,17,20,5,0,42,16,0,5,63,198,58,23,3,282,405,12,128,827,5,0,0,0,5,3,0,3,11,11344,8839,3923,235,24341,8795,815,1557,35508,10939,8433,3885,238,23495,7593,760,1412,33260,417,107,169,17,710,772,35,97,1614,94,32,47,3,176,146,11,23,356,511,139,216,20,886,918,46,120,1970,241,45,121,16,423,966,49,97,1535,0,0,5,0,5,14,0,0,19,0,0,0,0,0,4,0,0,4,8,8,7,0,23,34,0,10,67,249,53,133,16,451,1018,49,107,1625,158,11,22,7,198,389,11,165,763,0,4,0,0,4,0,0,3,7,18,18,5,0,41,12,3,10,66,176,33,27,7,243,401,14,178,836,18,11,0,0,29,32,0,0,61,11893,8669,4261,281
LGA17000,0,0,7,0,0,3,10,70,31,42,4,147,233,22,47,449,21,8,6,0,35,54,0,34,123,3,5,0,0,8,3,0,3,14,3,0,4,0,7,10,3,3,23,27,13,10,0,50,67,3,40,160,0,0,0,0,0,0,0,0,0,1919,2995,747,61,5722,1388,177,353,7640,1938,2863,706,51,5558,1172,158,263,7151,78,62,32,0,172,108,24,42,346,21,19,15,0,55,40,3,6,104,99,81,47,0,227,148,27,48,450,61,21,38,0,120,217,12,33,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,6,61,24,38,0,123,220,12,33,388,21,3,6,0,30,49,5,39,123,0,3,0,0,3,0,0,15,18,3,7,0,0,10,11,0,6,27,24,13,6,0,43,60,5,60,168,0,3,0,0,3,3,0,0,6,2122,2984,797,51
LGA17050,0,0,13,3,0,17,33,62,27,9,0,98,97,28,612,835,6,3,0,0,9,17,0,131,157,0,4,0,0,4,0,0,0,4,6,3,0,0,9,3,0,5,17,12,10,0,0,22,20,0,136,178,0,6,0,0,6,11,0,104,121,652,674,148,11,1485,573,84,1510,3652,550,622,141,15,1328,397,52,325,2102,54,48,9,3,114,39,5,22,180,21,16,7,0,44,32,14,102,192,75,64,16,3,158,71,19,124,372,40,23,12,0,75,70,28,208,381,9,12,5,0,26,5,5,41,77,0,0,4,0,4,7,0,14,25,0,0,0,0,0,0,0,6,6,49,35,21,0,105,82,33,269,489,9,3,0,0,12,26,4,131,173,0,0,0,0,0,3,0,0,3,3,3,0,0,6,3,0,6,15,12,6,0,0,18,32,4,137,191,12,10,3,0,25,42,0,457,524,698,737,181,18
LGA17100,0,0,3,3,3,3,12,903,1118,492,129,2642,1137,449,533,4761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,4,24,7,4,3,38,7,13,0,4,24,7,4,3,38,3,0,0,0,3,0,0,0,3,2074,4242,1156,246,7718,2046,602,790,11156,1109,2877,609,94,4689,796,121,233,5839,36,63,35,5,139,98,6,6,249,117,226,91,15,449,205,19,33,706,153,289,126,20,588,303,25,39,955,236,340,116,25,717,325,86,145,1273,456,518,175,44,1193,357,129,154,1833,602,534,198,68,1402,355,250,227,2234,0,0,0,0,0,0,0,0,0,1294,1392,489,137,3312,1037,465,526,5340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,5,0,25,9,0,6,40,11,9,5,0,25,9,0,6,40,0,0,3,0,3,5,0,0,8,2567,4567,1232,251
LGA17150,10,0,54,59,5,10,128,3764,1468,1483,223,6938,6931,1023,1402,16294,24,14,6,0,44,66,7,37,154,0,0,0,0,0,6,0,4,10,13,29,21,8,71,29,11,12,123,37,43,27,8,115,101,18,53,287,9,9,8,0,26,7,0,0,33,18697,28810,7102,746,55355,15582,1942,2891,75770,12840,25648,4673,392,43553,6192,645,949,51339,773,445,346,23,1587,1397,56,93,3133,1581,1504,851,64,4000,1406,160,194,5760,2354,1949,1197,87,5587,2803,216,287,8893,772,272,331,38,1413,2012,200,243,3868,1856,978,850,108,3792,3046,523,544,7905,1461,614,466,78,2619,2034,271,340,5264,17,19,16,0,52,63,4,5,124,4106,1883,1663,224,7876,7155,998,1132,17161,26,9,21,0,56,94,3,44,197,0,0,3,0,3,3,0,15,21,26,30,24,3,83,55,7,15,160,52,39,48,3,142,152,10,74,378,6,5,0,0,11,6,0,0,17,19358,29524,7581,706
LGA17200,4,0,32,43,13,26,114,11441,2729,1740,1159,17069,19716,5593,15660,58038,4,3,3,3,13,4,3,8,28,5,0,0,3,8,341,0,3,352,56,36,22,12,126,107,55,96,384,65,39,25,18,147,452,58,107,764,22,14,0,3,39,41,22,128,230,16041,5953,3284,1573,26851,24571,8252,19126,78800,790,843,245,55,1933,766,357,252,3308,982,615,401,67,2065,1128,447,288,3928,3238,2135,989,256,6618,2923,2309,1253,13103,4220,2750,1390,323,8683,4051,2756,1541,17031,859,234,158,57,1308,1696,365,549,3918,1971,472,370,136,2949,3584,1014,1138,8685,12661,3162,1489,1084,18396,18677,5746,7879,50698,24,6,10,0,40,63,3,23,129,15515,3874,2027,1277,22693,24020,7128,9589,63430,3,3,0,0,6,3,3,3,15,0,0,0,0,0,0,0,492,492,47,33,14,5,99,69,71,50,289,50,36,14,5,105,72,74,545,796,94,34,40,8,176,319,39,51,585,20669,7537,3716,1668
LGA17310,0,0,7,8,0,0,15,219,83,164,32,498,1175,94,74,1841,19,5,7,0,31,54,0,104,189,0,6,0,0,6,10,5,7,28,27,15,6,0,48,13,0,7,68,46,26,13,0,85,77,5,118,285,3,5,0,0,8,0,0,0,8,5619,5998,2462,216,14295,5154,522,632,20603,5639,5690,2503,187,14019,4001,470,567,19057,154,72,59,9,294,413,16,33,756,35,31,16,0,82,100,10,19,211,189,103,75,9,376,513,26,52,967,204,68,149,22,443,919,69,130,1561,4,0,4,0,8,29,3,3,43,0,3,3,0,6,9,3,7,25,3,0,3,0,6,19,3,0,28,211,71,159,22,463,976,78,140,1657,20,9,6,0,35,76,5,92,208,6,0,0,0,6,6,0,4,16,10,11,7,0,28,27,6,7,68,36,20,13,0,69,109,11,103,292,8,6,3,0,17,10,3,7,37,6083,5890,2753,218
LGA17350,0,0,0,0,0,0,0,14,0,5,0,19,79,0,3,101,0,0,0,0,0,3,0,9,12,0,0,0,0,0,0,0,0,0,6,0,0,0,6,8,0,0,14,6,0,0,0,6,11,0,9,26,0,0,0,0,0,0,0,0,0,674,658,199,11,1542,702,33,52,2329,691,584,208,14,1497,601,43,41,2182,3,0,0,0,3,7,0,0,10,0,3,3,0,6,0,0,0,6,3,3,3,0,9,7,0,0,16,15,0,6,0,21,93,0,5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,15,0,6,0,21,96,0,5,122,0,0,0,0,0,0,0,16,16,0,4,3,0,7,0,0,0,7,4,0,0,0,4,3,0,0,7,4,4,3,0,11,3,0,16,30,0,3,0,0,3,3,0,0,6,713,594,220,14
LGA17400,0,0,0,0,0,0,0,7,0,3,0,10,41,0,4,55,10,3,4,0,17,32,3,11,63,6,4,6,0,16,18,0,10,44,4,6,0,0,10,6,3,0,19,20,13,10,0,43,56,6,21,126,0,0,0,3,3,3,0,0,6,803,648,281,27,1759,799,48,113,2719,835,566,271,26,1698,729,57,142,2626,0,5,0,0,5,27,0,4,36,0,0,0,0,0,0,0,0,0,0,5,0,0,5,27,0,4,36,6,3,6,0,15,55,0,3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,9,3,6,0,18,55,0,3,76,11,12,4,0,27,29,3,28,87,3,0,4,4,11,8,0,5,24,3,0,0,0,3,3,0,3,9,17,12,8,4,41,40,3,36,120,3,0,0,0,3,5,0,0,8,864,586,285,30
LGA17420,7,0,30,47,6,0,83,584,271,184,21,1060,827,115,123,2125,20,29,11,0,60,31,0,15,106,3,4,0,0,7,4,0,0,11,3,5,0,0,8,6,0,5,19,26,38,11,0,75,41,0,20,136,0,0,0,0,0,0,0,3,3,12242,26250,4263,419,43174,5750,894,1320,51138,10792,25336,3779,366,40273,3986,552,851,45662,380,275,120,19,794,433,25,38,1290,1152,1524,575,41,3292,979,153,139,4563,1532,1799,695,60,4086,1412,178,177,5853,160,117,60,3,340,372,20,34,766,200,191,104,14,509,230,48,44,831,371,225,90,9,695,306,74,88,1163,27,21,14,0,62,27,0,4,93,758,554,268,26,1606,935,142,170,2853,8,4,0,0,12,27,0,4,43,0,0,0,0,0,3,0,0,3,3,3,0,3,9,4,0,3,16,11,7,0,3,21,34,0,7,62,8,23,3,3,37,26,0,0,63,13101,27719,4745,458
