region_id,C06_Tot_resp_Bplace_ns,C06_Tot_resp_Tot_resp,C06_T_P_BP_B_OS,C06_T_P_Fa_only_bor_os,C06_T_P_Mo_O_B_OS,C06_T_P_BP_B_Aus,C06_T_P_Bplace_NS,C06_T_P_Tot_resp,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Polish_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Russian_Birthplac_ns,C11_Rus_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_Sinha_BP_B_OS,C11_Sinh_Fa_O_B_OS,C11_Sinh_Mo_O_B_OS,C11_Sinh_BP_B_Aus,C11_Sinha_Bplace_NS,C11_Sinha_Tot_resp,C11_S_Afr_BP_B_OS,C11_S_Af_Fa_O_B_OS,C11_S_Af_Mo_O_B_OS,C11_S_Af_BP_B_Aus,C11_S_Af_Bplace_NS,C11_S_Af_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_Turk_BP_B_OS,C11_Turk_Fa_O_B_OS,C11_Turk_Mo_O_B_OS,C11_Turk_BP_B_Aus,C11_Turk_Bplace_NS,C11_Turk_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Welsh_BP_B_OS,C11_Wels_Fa_O_B_OS,C11_Wels_Mo_O_B_OS,C11_Wels_BP_B_Aus,C11_Welsh_Bplace_NS,C11_Welsh_Tot_resp,C11_Other_BP_B_OS,C11_Othr_Fa_O_B_OS,C11_Othr_Mo_O_B_OS,C11_Othr_BP_B_Aus,C11_Other_Bplace_NS,C11_Other_Tot_resp,C11_Anc_ns_Bo_pa_born_os,C11_Anc_ns_Fa_on_born_os,C11_Anc_ns_Mo_on_born_os,C11_Anc_ns_Bo_pa_bor_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_T_resp
LGA32500,734,6001,660,269,187,2825,706,4649,14,132,111,1611,57,1925,0,12,0,336,4,352,14,0,0,18,0,32,0,0,0,0,0,0,50,3,3,10,0,66,336,120,94,1108,33,1691,19,0,4,0,0,23,9,0,0,3,0,12,83,11,17,180,5,296,0,3,0,3,0,6,3,3,0,4,3,13,4,0,0,0,0,4,73,32,15,363,14,497,20,13,12,44,0,89,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,4,0,0,10,16,8,4,3,3,34,24,8,6,0,0,38,20,7,0,10,0,37,0,3,0,3,0,6,65,34,26,334,7,466,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,8,4,3,0,4,0,11,0,0,0,0,0,0,11,0,0,0,0,11,11,0,0,12,0,23,186,19,25,110,5,345,16,3,4,110,850,983
LGA32600,27,347,25,9,4,229,23,291,0,6,8,164,3,181,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,3,3,0,9,8,8,4,95,7,122,4,0,0,0,0,4,4,0,0,0,0,4,3,0,0,18,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,27,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,7,4,0,0,3,0,7,0,0,0,36,47,83
LGA32750,37,511,58,14,11,290,36,403,5,16,9,201,3,234,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,34,17,15,131,3,200,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,28,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,58,0,73,4,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,4,9,3,6,33,0,51,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7,6,0,3,3,4,16,0,0,0,5,31,36
LGA32770,93,1084,19,3,9,917,96,1042,3,11,6,62,0,82,0,3,0,1113,0,1116,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,15,10,3,38,0,66,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,21,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,0,0,9,0,23,6,0,0,3,7,16
LGA33100,110,1826,171,71,54,1034,102,1423,5,31,39,579,15,669,0,0,0,5,0,5,8,0,0,6,0,14,3,0,0,0,0,3,6,0,0,5,0,11,97,32,39,474,7,649,3,0,0,0,0,3,4,0,0,0,0,4,21,4,5,51,4,85,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,17,7,7,162,0,193,4,5,0,33,0,42,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,9,0,0,0,0,0,0,10,3,0,0,0,13,3,3,0,0,0,6,3,0,3,4,0,10,28,12,3,82,3,128,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,7,28,7,8,15,0,58,0,0,4,42,69,115
LGA33200,113,2484,128,69,51,1602,115,1959,5,44,29,820,24,922,0,0,0,5,0,5,10,0,0,5,0,15,0,0,0,0,0,0,10,4,4,7,0,25,41,40,24,649,27,781,3,0,0,0,0,3,3,0,0,0,0,3,13,11,3,71,0,98,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,10,15,7,220,6,258,3,3,3,32,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,3,0,17,7,4,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,13,13,6,180,3,215,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,7,18,6,3,13,0,40,10,5,0,54,160,229
LGA33220,6462,114867,13892,5217,3702,59111,5815,87737,446,2996,2324,33436,994,40196,0,6,11,310,10,337,243,22,36,217,15,533,78,12,3,46,4,143,870,194,133,357,31,1585,7932,2894,2055,27213,933,41027,443,18,115,8,12,596,205,38,26,192,7,468,1095,409,263,6034,166,7967,79,40,10,112,7,248,136,31,9,16,4,196,249,18,16,39,5,327,1149,558,311,7746,178,9942,395,191,83,820,38,1527,10,0,3,3,0,16,25,10,4,24,0,63,4,6,0,3,3,16,164,36,13,79,13,305,234,59,50,44,15,402,542,185,144,74,26,971,207,49,20,168,10,454,91,30,19,57,0,197,1751,719,499,6786,182,9937,36,8,4,3,3,54,13,0,0,0,0,13,221,23,13,9,0,266,129,29,14,89,10,271,18,3,0,3,0,24,30,0,5,0,3,38,188,62,29,223,9,511,1878,405,298,1276,101,3958,270,93,65,1774,4337,6539
LGA33360,4108,67505,6905,3037,2138,35825,3793,51709,228,1775,1385,21720,561,25669,0,0,0,176,8,184,154,19,21,236,5,435,44,18,4,32,0,98,428,142,90,268,19,947,3643,1466,1211,15545,536,22401,416,6,56,13,3,494,109,24,19,101,6,259,509,231,160,3059,68,4027,88,40,10,131,8,277,63,22,5,24,4,118,277,13,12,20,14,336,664,298,216,4546,114,5838,237,127,34,555,10,963,27,3,3,5,0,38,10,3,3,20,0,36,18,3,0,4,3,28,41,22,7,46,4,120,360,45,34,40,23,502,453,124,92,35,16,720,110,27,15,92,3,247,93,10,16,57,0,176,946,396,284,3916,94,5636,30,3,0,0,3,36,8,3,0,0,0,11,366,10,15,6,3,400,63,18,6,68,5,160,9,3,0,0,0,12,23,4,5,0,0,32,104,32,13,142,3,294,1283,257,187,735,50,2512,200,45,75,1233,4241,5794
LGA33430,49414,589830,132230,30778,22761,223260,46564,455597,3765,18355,14917,121908,3303,162248,4,40,31,594,33,702,8814,364,439,936,200,10753,1760,220,105,309,42,2436,4671,1201,776,1706,138,8492,64647,16173,12965,102670,4166,200621,3235,112,606,49,97,4099,1976,274,213,1117,53,3633,6509,1706,1379,14008,381,23983,1983,624,282,1230,76,4195,1444,215,84,186,36,1965,3697,168,86,160,82,4193,10957,3386,2448,34544,917,52252,5394,1562,745,4951,258,12910,2921,3,57,29,71,3081,611,176,71,344,33,1235,396,42,24,104,8,574,1213,325,205,639,43,2425,8615,756,421,204,296,10292,8187,1571,1136,285,194,11373,2244,310,244,663,70,3531,1335,145,126,297,30,1933,14641,3824,2888,26252,737,48342,1058,98,33,80,31,1300,84,4,0,0,3,91,3367,190,187,76,40,3860,1546,152,142,440,46,2326,550,88,28,30,20,716,600,28,38,13,10,689,1700,338,232,1139,36,3445,28814,3618,3063,4247,826,40568,2982,619,499,5055,32025,41180
LGA33610,958,13133,610,331,281,8219,903,10351,17,179,150,4328,115,4789,0,0,0,30,9,39,15,3,3,53,3,77,3,3,0,4,0,10,37,7,10,22,5,81,275,155,131,3502,113,4176,66,3,3,3,0,75,6,9,0,19,0,34,38,21,17,618,14,708,3,0,0,3,0,6,3,5,0,8,0,16,16,0,7,3,0,26,58,38,33,1069,40,1238,43,15,0,86,0,144,5,0,0,0,0,5,0,0,3,0,0,3,3,0,0,0,0,3,0,3,0,12,0,15,39,4,10,0,0,53,32,13,9,3,0,57,6,5,0,11,0,22,9,0,0,7,0,16,63,45,32,907,19,1066,0,0,0,0,0,0,0,0,0,0,0,0,33,0,3,0,0,36,6,3,0,4,0,13,0,0,0,0,0,0,3,0,0,0,0,3,9,4,3,23,0,39,87,18,19,85,3,212,20,4,8,294,677,1003
LGA33620,2774,55686,5372,2451,1842,30191,2505,42358,128,1366,1059,16816,413,19782,0,4,3,98,0,105,91,10,12,133,0,246,32,12,3,15,0,62,333,103,61,193,9,699,2919,1351,1014,13552,405,19241,195,0,34,8,4,241,98,17,14,110,5,244,461,184,126,2769,58,3598,30,25,4,66,3,128,57,9,9,17,0,92,59,9,5,16,0,89,432,304,205,3881,71,4893,123,79,39,415,13,669,10,0,0,0,0,10,11,3,0,5,3,22,0,3,0,3,0,6,40,15,8,31,4,98,109,22,26,15,3,175,229,68,46,30,3,376,65,14,8,73,0,160,43,10,4,27,3,87,651,331,209,3192,86,4469,11,0,7,0,0,18,3,0,0,0,0,3,89,0,10,7,3,109,45,3,3,63,0,114,9,0,3,3,0,15,63,7,0,0,4,74,78,19,18,141,0,256,754,216,133,546,39,1688,108,74,49,871,2206,3308
LGA33800,722,16030,2321,905,470,7693,630,12019,61,317,202,3680,100,4360,0,0,3,122,3,128,21,3,3,51,4,82,13,0,3,3,0,19,53,15,16,23,7,114,406,269,158,3037,79,3949,60,0,14,0,6,80,31,9,3,29,0,72,64,28,16,410,4,522,20,0,3,16,0,39,19,4,3,5,0,31,18,4,11,3,0,36,76,64,34,1021,32,1227,1165,403,163,1485,62,3278,0,0,3,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,25,21,0,26,3,75,18,6,0,3,0,27,29,14,21,14,4,82,11,4,0,5,0,20,3,0,7,14,0,24,91,71,40,693,7,902,3,3,0,0,0,6,3,0,0,0,0,3,22,3,0,0,0,25,49,13,0,35,0,97,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,27,0,35,183,40,61,220,20,524,37,20,9,223,414,703
LGA33830,7,885,12,15,4,783,12,822,3,0,3,22,0,28,0,0,0,883,4,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,21,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,0,21,0,0,0,3,50,53
LGA33960,11442,182683,26983,9271,6668,84609,10553,138084,1085,6009,4541,50859,1576,64070,3,31,18,640,48,740,1414,83,93,343,40,1973,169,34,19,61,5,288,1455,530,267,871,45,3168,12594,5318,3988,38300,1620,61820,1278,43,232,38,47,1638,292,55,62,284,21,714,1626,822,530,10240,271,13489,151,84,29,268,12,544,228,61,25,92,8,414,1504,74,41,64,19,1702,2160,969,692,11650,315,15786,551,351,130,1251,47,2330,90,0,3,0,4,97,46,28,4,46,3,127,35,7,0,14,3,59,181,91,53,216,18,559,2463,208,146,56,102,2975,1376,441,245,115,60,2237,458,114,76,370,11,1029,159,38,21,85,3,306,2941,1301,992,9596,222,15052,152,29,8,28,4,221,48,0,0,0,3,51,505,51,32,23,3,614,511,79,60,160,10,820,58,14,8,5,6,91,1510,71,36,37,81,1735,401,152,74,540,21,1188,10672,972,782,1604,478,14508,1105,210,179,2601,7423,11518
LGA33980,4356,30496,2222,1000,708,15877,4264,24069,109,684,656,10606,218,12273,0,3,0,67,0,70,84,0,12,107,0,203,19,3,0,8,0,30,155,59,50,110,8,382,1462,651,507,7833,156,10609,230,8,48,7,7,300,31,8,11,53,3,106,187,76,52,1431,22,1768,7,4,6,42,0,59,15,3,0,3,0,21,101,3,0,11,4,119,334,152,105,2557,41,3189,93,76,15,439,10,633,5,0,3,0,0,8,8,0,0,4,0,12,3,3,0,0,0,6,40,38,20,147,3,248,259,28,24,18,4,333,217,65,62,18,6,368,47,17,8,39,3,114,13,10,0,19,0,42,461,162,128,2104,42,2897,4,0,0,0,0,4,3,0,0,0,0,3,148,9,7,0,3,167,30,9,3,31,0,73,10,0,0,0,0,10,15,0,0,0,0,15,50,12,10,73,0,145,603,112,84,359,23,1181,45,22,17,480,7295,7859
LGA34420,4,1054,13,5,3,973,4,1004,3,3,8,23,3,40,0,0,0,922,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,25,0,34,3,0,4,0,0,7,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,22,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,24,0,33,0,0,0,21,0,21
LGA34570,12,566,8,11,3,491,14,524,0,4,3,34,0,41,0,3,0,374,3,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,28,0,40,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,44,0,55,0,4,0,16,17,37
LGA34580,2297,39137,3752,1517,1182,21032,2123,29611,125,901,762,11857,321,13966,0,3,3,88,3,97,243,13,6,60,8,330,25,8,3,12,0,48,258,95,49,147,3,552,1875,948,712,8943,376,12854,148,4,26,3,3,184,53,16,11,53,0,133,303,152,124,4158,71,4808,24,11,5,48,0,88,33,8,0,14,0,55,100,0,3,18,6,127,344,231,142,2910,97,3724,92,49,22,256,3,422,135,0,5,5,0,145,3,8,3,5,0,19,0,3,0,4,0,7,40,19,5,43,0,107,89,22,18,24,6,159,150,36,57,11,4,258,52,19,13,58,0,142,29,7,0,22,3,61,411,239,160,2077,63,2950,7,4,0,4,0,15,3,0,0,0,0,3,62,11,18,0,0,91,30,4,3,39,3,79,23,3,0,0,3,29,61,5,0,0,3,69,63,13,5,66,3,150,993,125,101,333,49,1601,159,39,33,671,2056,2958
LGA34590,21011,325655,73479,17993,13211,125111,19195,248985,2641,10795,8418,72216,2428,96498,9,63,28,639,28,767,4311,178,230,482,124,5325,863,127,57,129,24,1200,2486,797,472,1169,70,4994,29053,9027,7072,53649,2416,101217,2514,73,394,59,76,3116,683,112,67,440,29,1331,3276,1104,776,9255,301,14712,589,211,91,518,27,1436,836,98,37,123,16,1110,2739,148,117,111,76,3191,4887,1581,1220,16099,456,24243,1366,701,299,2189,116,4671,577,4,16,10,10,617,395,101,24,106,26,652,145,13,8,17,3,186,367,145,91,270,29,902,6816,525,428,178,344,8291,3583,885,587,159,170,5384,1027,192,110,354,30,1713,518,91,70,185,19,883,6598,1955,1417,12571,455,22996,721,48,48,48,12,877,68,0,4,0,0,72,1100,114,91,27,14,1346,903,104,70,218,16,1311,246,38,8,23,10,325,1113,37,35,16,29,1230,699,173,96,465,16,1449,24932,2246,1636,2671,1039,32524,2677,431,420,3614,12483,19625
LGA34710,383,6113,393,191,165,3660,360,4774,16,131,99,2225,35,2506,0,0,0,26,3,29,15,0,0,17,0,32,0,0,0,0,0,0,34,3,3,19,3,62,224,113,102,1546,43,2028,16,0,3,0,0,19,7,0,3,3,0,13,20,25,9,230,8,292,0,5,0,5,0,10,3,0,0,0,0,3,3,0,0,3,0,6,29,17,23,510,13,592,18,13,10,28,0,69,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,8,41,0,12,0,10,63,18,7,3,3,0,31,0,0,0,4,0,4,0,0,0,0,0,0,56,32,43,451,6,588,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,15,0,0,0,5,3,8,0,0,0,0,0,0,3,0,0,0,0,3,11,4,0,18,0,33,53,10,14,40,0,117,8,4,3,127,271,413
LGA34770,9105,133034,12551,5582,4178,69991,8451,100752,434,2975,2339,39949,1089,46786,0,9,19,341,26,395,372,14,37,412,14,849,50,15,8,47,6,126,719,257,155,502,15,1648,5959,2597,2079,29777,1065,41477,1027,33,167,27,48,1302,154,45,25,229,14,467,892,428,256,5600,112,7288,70,40,7,197,5,319,66,25,4,51,3,149,445,13,4,68,9,539,1174,605,471,9546,253,12049,667,369,132,2062,49,3279,33,0,3,9,0,45,5,10,0,24,0,39,4,3,0,0,0,7,947,389,215,1793,50,3394,543,85,62,63,25,778,620,212,144,63,17,1056,139,32,33,149,3,356,68,33,18,152,3,274,1659,751,561,7949,188,11108,25,6,0,3,0,34,34,3,0,0,0,37,701,38,19,8,9,775,119,24,8,122,11,284,14,4,0,3,0,21,33,4,3,3,0,43,166,61,40,294,6,567,2283,532,402,2694,184,6095,319,124,114,2303,4742,7602
LGA34800,128,1714,148,59,42,953,130,1345,8,32,28,573,12,653,0,0,0,0,0,0,3,0,0,11,0,14,3,0,0,0,0,3,9,0,0,3,0,12,76,30,23,455,20,604,0,0,0,0,0,0,0,0,0,8,0,8,15,5,5,68,3,96,3,0,3,6,0,12,0,0,0,0,0,0,0,0,3,0,0,3,19,3,9,166,4,201,6,3,0,31,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,8,0,0,0,0,8,12,4,5,0,0,21,3,0,0,0,0,3,0,0,0,0,0,0,33,11,7,103,4,158,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,10,21,4,3,16,0,44,0,0,0,18,288,306
LGA34830,15,382,7,0,0,248,8,266,0,0,0,29,0,29,0,3,3,172,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,104,0,112,3,3,6,32,0,44
LGA34860,818,16584,676,419,340,10595,743,12776,10,216,193,5696,116,6231,0,0,0,65,3,68,58,3,3,39,0,103,0,3,0,0,0,3,43,14,9,22,3,91,401,223,181,4268,103,5176,153,0,10,0,7,170,10,3,3,14,0,30,56,28,24,783,11,902,6,0,3,12,0,21,5,0,0,0,0,5,22,4,3,8,0,37,88,35,27,1453,15,1618,29,21,9,109,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,12,34,4,9,0,0,47,30,11,7,3,0,51,12,4,0,15,0,31,8,3,0,0,0,11,118,77,34,1158,28,1415,4,3,3,0,0,10,0,0,0,0,0,0,29,0,3,0,0,32,6,3,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,22,0,40,151,25,22,109,8,315,29,6,8,351,1191,1585
LGA35010,21763,429116,64924,23516,16447,197476,19838,322196,2254,14999,11169,118410,3001,149833,4,54,28,743,47,876,2016,184,235,795,79,3309,402,100,22,124,10,658,3331,1002,609,1633,89,6664,38025,13436,9852,90960,3358,155631,2588,89,483,67,66,3293,981,223,140,823,30,2197,3688,1567,993,16263,340,22851,461,207,94,658,38,1458,620,142,56,183,10,1011,2241,131,102,126,66,2666,6368,2683,1841,29967,734,41593,2369,1085,467,3857,162,7940,286,0,17,16,11,330,150,58,25,117,6,356,58,16,12,6,0,92,473,194,100,405,21,1193,3628,434,302,200,141,4705,3936,1012,866,261,129,6204,986,251,136,536,32,1941,485,75,64,247,21,892,8374,3152,2336,23299,606,37767,181,30,13,42,3,269,95,4,0,0,4,103,2278,120,137,68,21,2624,727,136,55,345,31,1294,83,21,3,7,0,114,342,18,23,6,8,397,1155,272,186,986,26,2625,12969,2502,1760,3948,512,21691,1610,457,435,5185,14236,21923
