region_id,C11_85o_SOL_SE_To,C11_85o_LPE_NS,C11_85o_Tot,C11_Tot_SEO,C11_To_SOL_SE_Vw_w,C11_To_SOL_SE_Nw_Na,C11_To_SOL_SE_P_E_n,C11_Tot_SOL_SE_Tot,C11_Tot_LPE_NS,C11_T_T
LGA40120,52,35,559,34468,1934,176,27,2137,999,37604
LGA40220,18,23,566,21823,668,41,6,715,563,23101
LGA40250,13,0,13,400,1603,373,18,1994,28,2422
LGA40310,47,23,540,20751,529,28,8,565,504,21820
LGA40430,0,0,92,2310,18,3,3,24,77,2411
LGA40520,27,15,254,9064,858,172,17,1047,425,10536
LGA40700,169,179,1513,32126,7041,963,74,8078,1369,41573
LGA40910,450,82,1305,30450,13361,2435,205,16001,1158,47609
LGA41010,3,3,42,3358,252,26,3,281,145,3784
LGA41060,978,185,3273,71888,22752,5480,432,28664,3371,103923
LGA41140,8,8,214,8284,160,18,4,182,244,8710
LGA41190,3,3,40,1657,22,4,3,29,25,1711
LGA41330,6,0,9,1439,374,43,3,420,169,2028
LGA41560,7,19,335,12158,246,25,5,276,282,12716
LGA41750,0,0,15,1081,14,0,0,14,11,1106
LGA41830,3,3,53,1673,63,4,7,74,71,1818
LGA41960,0,3,29,1140,17,0,0,17,113,1270
LGA42030,33,69,526,18574,739,124,7,870,777,20221
LGA42110,5,11,112,3920,82,10,0,92,129,4141
LGA42250,11,12,85,7101,145,17,3,165,332,7598
LGA42600,129,110,1693,29640,2882,418,32,3332,1534,34506
LGA42750,0,11,103,3993,142,13,0,155,184,4332
LGA43080,0,8,25,947,26,0,0,26,52,1025
LGA43220,0,11,32,1022,4,0,0,4,56,1082
LGA43360,0,4,53,2060,22,0,3,25,60,2145
LGA43650,8,7,178,12979,326,26,6,358,353,13690
LGA43710,0,0,54,4477,67,9,0,76,200,4753
LGA43790,18,19,338,10376,459,123,9,591,313,11280
LGA43920,7,3,78,7446,356,77,6,439,260,8145
LGA44000,0,0,0,17,50,3,0,53,3,73
LGA44060,296,142,2341,66554,10543,1976,169,12688,2234,81476
LGA44210,8,6,141,7287,182,27,6,215,575,8077
LGA44340,221,118,2059,52209,7427,1025,104,8556,1443,62208
LGA44550,29,18,454,27328,1065,104,10,1179,591,29098
LGA44620,47,36,527,22941,1009,327,19,1355,577,24873
