region_id,C01_Aus_BP_B_OS,C01_Aus_Fa_O_B_OS,C01_Aus_Mo_O_B_OS,C01_Aus_BP_B_Aus,C01_Aus_Bplace_NS,C01_Aus_Tot_resp,C01_Aus_Ab_BP_B_OS,C01_Aus_Ab_Fa_O_B_OS,C01_Aus_Ab_Mo_O_B_OS,C01_Aus_Ab_BP_B_Aus,C01_Aus_Abor_Bplace_NS,C01_Aus_Abor_Tot_respons,C01_Chi_BP_B_OS,C01_Chi_Fa_O_B_OS,C01_Chi_Mo_O_B_OS,C01_Chi_BP_B_Aus,C01_Chi_Bplace_NS,C01_Chi_Tot_resp,C01_Cro_BP_B_OS,C01_Cro_Fa_O_B_OS,C01_Cro_Mo_O_B_OS,C01_Cro_BP_B_Aus,C01_Cro_Bplace_NS,C01_Cro_Tot_resp,C01_Dut_BP_B_OS,C01_Dut_Fa_O_B_OS,C01_Dut_Mo_O_B_OS,C01_Dut_BP_B_Aus,C01_Dut_Bplace_NS,C01_Dut_Tot_resp,C01_Eng_BP_B_OS,C01_Eng_Fa_O_B_OS,C01_Eng_Mo_O_B_OS,C01_Eng_BP_B_Aus,C01_Eng_Bplace_NS,C01_Eng_Tot_resp,C01_Fil_BP_B_OS,C01_Fil_Fa_O_B_OS,C01_Fil_Mo_O_B_OS,C01_Fil_BP_B_Aus,C01_Fil_Bplace_NS,C01_Fil_Tot_resp,C01_Fre_BP_B_OS,C01_Fre_Fa_O_B_OS,C01_Fre_Mo_O_B_OS,C01_Fre_BP_B_Aus,C01_Fre_Bplace_NS,C01_Fre_Tot_resp,C01_Ger_BP_B_OS,C01_Ger_Fa_O_B_OS,C01_Ger_Mo_O_B_OS,C01_Ger_BP_B_Aus,C01_Ger_Bplace_NS,C01_Ger_Tot_resp,C01_Gre_BP_B_OS,C01_Gre_Fa_O_B_OS,C01_Gre_Mo_O_B_OS,C01_Gre_BP_B_Aus,C01_Gre_Bplace_NS,C01_Gre_Tot_resp,C01_Hun_BP_B_OS,C01_Hun_Fa_O_B_OS,C01_Hun_Mo_O_B_OS,C01_Hun_BP_B_Aus,C01_Hun_Bplace_NS,C01_Hun_Tot_resp,C01_Ind_BP_B_OS,C01_Ind_Fa_O_B_OS,C01_Ind_Mo_O_B_OS,C01_Ind_BP_B_Aus,C01_Ind_Bplace_NS,C01_Ind_Tot_resp,C01_Iri_BP_B_OS,C01_Iri_Fa_O_B_OS,C01_Iri_Mo_O_B_OS,C01_Iri_BP_B_Aus,C01_Iri_Bplace_NS,C01_Iri_Tot_resp,C01_Ita_BP_B_OS,C01_Ita_Fa_O_B_OS,C01_Ita_Mo_O_B_OS,C01_Ita_BP_B_Aus,C01_Ita_Bplace_NS,C01_Ita_Tot_resp,C01_Kor_BP_B_OS,C01_Kor_Fa_O_B_OS,C01_Kor_Mo_O_B_OS,C01_Kor_BP_B_Aus,C01_Kor_Bplace_NS,C01_Kor_Tot_resp,C01_Leb_BP_B_OS,C01_Leb_Fa_O_B_OS,C01_Leb_Mo_O_B_OS,C01_Leb_BP_B_Aus,C01_Leb_Bplace_NS,C01_Leb_Tot_resp,C01_Mac_BP_B_OS,C01_Mac_Fa_O_B_OS,C01_Mac_Mo_O_B_OS,C01_Mac_BP_B_Aus,C01_Mac_Bplace_NS,C01_Mac_Tot_resp,C01_Mal_BP_B_OS,C01_Mal_Fa_O_B_OS,C01_Mal_Mo_O_B_OS,C01_Mal_BP_B_Aus,C01_Mal_Bplace_NS,C01_Mal_Tot_resp,C01_Mao_BP_B_OS,C01_Mao_Fa_O_B_OS,C01_Mao_Mo_O_B_OS,C01_Mao_BP_B_Aus,C01_Mao_Bplace_NS,C01_Mao_Tot_resp,C01_NZ_BP_B_OS,C01_NZ_Fa_O_B_OS,C01_NZ_Mo_O_B_OS,C01_NZ_BP_B_Aus,C01_NZ_Bplace_NS,C01_NZ_Tot_resp,C01_Pol_BP_B_OS,C01_Pol_Fa_O_B_OS,C01_Pol_Mo_O_B_OS,C01_Pol_BP_B_Aus,C01_Pol_Bplace_NS,C01_Pol_Tot_resp,C01_Rus_BP_B_OS,C01_Rus_Fa_O_B_OS,C01_Rus_Mo_O_B_OS,C01_Rus_BP_B_Aus,C01_Rus_Birthplac_ns,C01_Rus_Tot_resp,C01_Sco_BP_B_OS,C01_Sco_Fa_O_B_OS,C01_Sco_Mo_O_B_OS,C01_Sco_BP_B_Aus,C01_Sco_Birthplac_ns,C01_Sco_Tot_resp,C01_Ser_BP_B_OS,C01_Ser_Fa_O_B_OS,C01_Ser_Mo_O_B_OS,C01_Ser_BP_B_Aus,C01_Ser_Bplace_NS,C01_Ser_Tot_resp,C01_Sinh_BP_B_OS,C01_Sinh_Fa_O_B_OS,C01_Sinh_Mo_O_B_OS,C01_Sinh_BP_B_Aus,C01_Sinh_Bplace_NS,C01_Sinh_Tot_resp,C01_SAf_BP_B_OS,C01_SAf_Fa_O_B_OS,C01_SAf_Mo_O_B_OS,C01_SAf_BP_B_Aus,C01_SAf_Bplace_NS,C01_SAf_Tot_resp,C01_Span_BP_B_OS,C01_Span_Fa_O_B_OS,C01_Span_Mo_O_B_OS,C01_Span_BP_B_Aus,C01_Span_Bplace_NS,C01_Span_Tot_resp,C01_Turk_BP_B_OS,C01_Turk_Fa_O_B_OS,C01_Turk_Mo_O_B_OS,C01_Turk_BP_B_Aus,C01_Turk_Bplace_NS,C01_Turk_Tot_resp,C01_Viet_BP_B_OS,C01_Viet_Fa_O_B_OS,C01_Viet_Mo_O_B_OS,C01_Viet_BP_B_Aus,C01_Viet_Bplace_NS,C01_Viet_Tot_resp,C01_Wel_BP_B_OS,C01_Wel_Fa_O_B_OS,C01_Wel_Mo_O_B_OS,C01_Wel_BP_B_Aus,C01_Wel_Bplace_NS,C01_Wel_Tot_resp,C01_Oth_BP_B_OS,C01_Oth_Fa_O_B_OS,C01_Oth_Mo_O_B_OS,C01_Oth_BP_B_Aus,C01_Oth_Bplace_NS,C01_Oth_Tot_resp,C01_Anc_ns_BP_B_OS,C01_Anc_ns_Fa_O_B_OS,C01_Anc_ns_Mo_O_B_OS,C01_Anc_ns_BP_B_Aus,C01_Anc_ns_Bplace_NS,C01_Anc_NS_T_resp,C01_Tot_res_Bo_par_bo_os,C01_Tot_res_Fa_onl_bo_os,C01_Tot_res_Mo_onl_bo_os,C01_Tot_res_Bo_pa_bo_Aus,C01_Tot_resp_Bplace_ns,C01_Tot_resp_Tot_resp,C01_T_P_BP_B_OS,C01_T_P_Fa_only_bor_os
LGA36810,235,1214,860,13153,651,16113,3,3,4,214,13,237,67,21,14,189,13,304,179,23,7,28,6,243,392,99,47,98,9,645,2574,1145,786,8508,406,13419,149,0,23,3,10,185,103,16,8,48,6,181,625,128,96,1155,34,2038,57,20,7,73,9,166,54,9,0,0,0,63,24,7,5,10,0,46,420,323,196,3635,99,4673,1846,388,134,1081,102,3551,3,0,0,0,3,6,9,4,0,12,0,25,3,0,0,0,0,3,48,17,7,19,0,91,80,16,16,8,5,125,181,34,26,15,13,269,97,10,9,19,4,139,34,6,5,12,3,60,310,115,80,576,23,1104,75,14,3,11,4,107,7,4,0,0,0,11,21,5,3,4,3,36,112,10,7,38,7,174,19,4,0,3,4,30,15,0,0,0,0,15,68,14,11,69,5,167,1073,164,153,501,61,1952,159,103,52,1176,1609,3099,9042,3916,2559,30658,3102,49277,7923,2710
LGA36910,383,3197,2497,54052,1592,61721,5,6,6,135,6,158,661,37,42,255,26,1021,77,11,0,7,0,95,736,191,154,314,17,1412,5661,3433,2336,34925,1103,47458,261,6,64,7,13,351,92,19,11,188,9,319,776,582,391,11101,242,13092,100,72,15,163,5,355,77,19,6,22,3,127,211,16,13,26,5,271,1003,968,663,14190,353,17177,363,218,69,782,28,1460,43,4,3,4,3,57,62,31,20,128,5,246,6,0,3,3,0,12,40,21,7,27,0,95,222,47,57,21,19,366,379,116,70,48,16,629,193,51,24,158,8,434,53,8,10,40,3,114,796,388,246,2251,70,3751,61,24,6,19,3,113,72,4,3,6,0,85,169,9,9,10,3,200,81,14,3,74,7,179,8,0,0,5,0,13,45,3,4,0,5,57,140,60,32,242,13,487,1809,343,264,1034,130,3580,325,225,176,4454,3466,8646,14910,10123,7204,124691,7153,164081,12865,6853
LGA36950,15,85,31,1329,52,1512,0,0,0,44,3,47,13,3,0,57,5,78,3,3,0,0,0,6,15,4,0,0,0,19,89,46,28,363,21,547,3,3,0,24,0,30,0,0,0,3,0,3,16,6,8,64,0,94,3,3,0,3,0,9,3,0,0,0,0,3,4,0,3,6,3,16,30,14,8,153,13,218,5,6,0,20,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,6,0,0,4,0,10,7,0,3,0,0,10,3,3,3,0,0,9,0,0,0,3,0,3,8,7,7,30,3,55,3,0,0,0,0,3,6,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,8,93,67,20,846,25,1051,9,25,3,267,474,778,340,278,114,3227,599,4558,287,195
LGA36960,3,10,3,108,0,124,0,3,3,223,5,234,0,0,0,3,0,3,0,0,0,0,0,0,4,4,3,3,0,14,16,12,3,51,0,82,0,0,0,5,0,5,0,0,0,6,0,6,3,3,0,18,0,24,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,3,3,0,25,0,31,0,3,0,6,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,9,0,4,0,0,13,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,7,274,105,81,3184,26,3670,0,3,0,41,60,104,322,149,97,3705,91,4364,316,126
LGA37010,630,4643,3483,53481,1861,64098,9,20,14,546,33,622,629,93,109,685,67,1583,92,12,11,19,3,137,859,265,152,351,32,1659,8618,4443,3048,34353,1364,51826,655,8,109,14,38,824,248,55,37,233,14,587,1285,618,356,4576,186,7021,430,143,66,459,33,1131,125,23,3,32,7,190,253,26,16,47,7,349,1568,1298,789,14188,366,18209,1300,686,241,2571,115,4913,109,3,3,6,3,124,23,6,5,18,0,52,16,3,3,5,3,30,146,64,24,100,4,338,333,80,26,48,11,498,772,200,139,67,25,1203,302,53,33,132,11,531,116,29,11,66,6,228,1227,510,310,2391,79,4517,123,34,14,49,10,230,117,13,6,16,4,156,218,11,16,13,0,258,222,62,26,170,12,492,26,3,3,3,0,35,102,3,9,0,0,114,219,82,39,317,11,668,3320,645,462,2071,371,6869,507,325,213,4452,4923,10420,24599,14459,9776,121479,9599,179912,20917,9776
LGA37300,23,65,49,1017,34,1188,0,0,0,19,3,22,10,3,0,14,0,27,0,0,0,0,0,0,11,8,3,5,3,30,138,84,47,584,21,874,27,0,3,0,3,33,8,0,0,9,0,17,18,10,5,73,0,106,0,0,0,5,0,5,6,0,0,0,0,6,6,0,0,0,0,6,25,30,14,207,6,282,14,15,0,26,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,0,13,6,0,0,3,0,9,14,3,0,0,3,20,4,0,3,4,0,11,0,0,0,0,0,0,16,4,3,49,0,72,3,0,0,0,0,3,3,0,0,0,0,3,4,0,3,0,0,7,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,10,48,7,5,55,3,118,3,7,6,85,137,238,400,236,150,2162,216,3164,332,162
LGA37310,43,539,431,12689,377,14079,0,0,0,38,0,38,42,6,8,69,6,131,14,3,0,0,3,20,107,29,19,41,3,199,783,578,443,7956,230,9990,60,0,9,3,0,72,8,0,0,31,3,42,129,84,70,1982,45,2310,9,5,3,14,3,34,16,0,0,0,0,16,26,3,0,0,3,32,141,144,109,2618,57,3069,39,30,12,121,5,207,0,0,0,0,0,0,7,0,0,20,0,27,0,0,0,0,0,0,16,4,0,5,3,28,16,10,0,3,0,29,60,14,19,10,5,108,14,5,6,27,3,55,3,3,4,11,3,24,99,64,57,471,11,702,7,3,0,3,0,13,4,3,0,0,0,7,24,0,0,3,0,27,11,3,0,11,3,28,0,3,0,0,0,3,11,0,0,0,0,11,16,5,6,45,0,72,193,55,40,213,14,515,45,37,49,1109,751,1991,1943,1630,1285,27493,1528,33879,1672,1140
LGA37340,144,863,690,10919,369,12985,3,0,0,72,5,80,63,9,5,64,9,150,26,8,0,5,0,39,261,52,26,74,3,416,2471,868,683,7511,283,11816,104,0,35,0,5,144,88,8,6,60,4,166,377,115,61,1130,25,1708,67,18,10,65,5,165,45,8,0,13,0,66,24,0,0,3,0,27,404,203,169,2511,72,3359,320,81,46,359,20,826,13,0,0,0,0,13,6,0,0,9,0,15,3,0,0,0,0,3,44,14,6,26,0,90,157,16,9,12,12,206,214,38,31,22,13,318,44,7,5,17,0,73,23,5,3,17,0,48,296,112,64,519,14,1005,28,6,6,7,0,47,11,0,0,3,0,14,50,4,4,0,0,58,39,16,3,41,3,102,79,0,3,0,7,89,65,0,3,0,3,71,83,13,11,86,3,196,660,87,65,529,51,1392,158,71,55,879,1881,3044,6370,2622,1999,24953,2787,38731,5569,1805
LGA37400,3,26,37,948,27,1041,0,0,0,9,0,9,5,0,3,10,3,21,15,0,3,0,0,18,6,0,0,3,0,9,52,27,23,508,12,622,0,0,0,0,0,0,3,0,0,0,0,3,9,5,0,43,3,60,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,6,7,166,6,198,6,0,4,18,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,33,3,43,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,20,0,0,23,0,43,3,0,0,62,65,130,161,67,80,1830,119,2257,145,56
LGA37550,0,3,3,33,3,42,0,5,0,883,6,894,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,57,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,44,3,55,0,0,0,10,18,28,11,16,9,1058,30,1124,12,11
LGA37570,0,4,0,20,0,24,0,0,0,223,6,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,8,0,17,0,0,3,16,23,42,21,14,3,278,29,345,19,9
LGA37600,0,3,0,27,0,30,0,17,0,1917,38,1972,0,0,0,5,0,5,0,0,0,0,0,0,0,3,0,0,0,3,9,3,0,13,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,12,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,58,3,70,0,0,0,33,47,80,15,41,3,2068,88,2215,14,26
LGA39399,4,40,29,386,10,469,3,0,0,0,0,3,4,3,0,3,0,10,3,0,0,0,0,3,6,3,0,0,0,9,129,43,35,309,11,527,3,0,3,0,0,6,3,3,3,4,0,13,12,4,3,47,0,66,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,27,15,8,141,3,194,10,4,0,6,3,23,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,0,5,14,3,3,0,0,20,0,0,0,0,0,0,3,0,0,0,0,3,22,8,0,18,0,48,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,8,46,3,4,11,0,64,4,3,4,16,166,193,316,138,92,944,193,1683,281,88
LGA40070,49,427,338,3311,78,4203,0,3,3,12,0,18,735,12,19,19,15,800,40,5,3,5,0,53,147,36,28,20,3,234,1504,520,422,3334,76,5856,27,0,4,0,4,35,35,13,6,36,0,90,244,73,52,679,16,1064,302,51,16,50,12,431,47,13,3,3,0,66,140,4,4,3,3,154,308,146,123,1351,26,1954,368,68,25,142,15,618,52,0,0,0,0,52,36,6,4,13,0,59,4,0,3,0,0,7,30,8,3,9,0,50,14,4,0,0,0,18,56,10,6,4,4,80,134,23,9,27,0,193,51,3,0,15,3,72,240,66,49,298,7,660,68,4,4,3,0,79,61,3,0,0,0,64,19,3,3,0,0,25,34,5,0,11,0,50,17,0,0,0,0,17,42,3,0,3,3,51,50,6,4,29,3,92,826,88,53,145,18,1130,64,19,16,169,1876,2144,5744,1622,1200,9691,2162,20419,5081,1064
LGA40120,169,1488,1065,11666,258,14646,0,4,0,10,0,14,97,16,3,12,3,131,31,10,5,5,3,54,498,121,75,107,12,813,4478,1607,1180,9058,326,16649,32,3,3,0,3,41,71,15,11,70,3,170,799,272,156,2314,66,3607,115,26,16,95,6,258,116,16,8,18,0,158,45,12,5,6,0,68,553,341,212,2127,69,3302,655,215,63,380,32,1345,15,3,0,0,0,18,11,5,3,14,0,33,9,0,0,3,0,12,35,12,7,12,0,66,20,14,4,5,0,43,89,16,15,4,0,124,210,23,13,46,5,297,67,13,7,14,4,105,390,148,86,562,28,1214,53,17,6,5,0,81,18,7,3,4,3,35,57,4,11,4,0,76,28,3,3,9,0,43,6,3,0,0,0,9,19,3,0,0,0,22,128,23,16,80,0,247,849,186,88,275,32,1430,153,85,57,633,707,1635,9816,4711,3121,27538,1560,46746,8419,3058
LGA40220,74,513,425,6249,166,7427,0,0,0,11,0,11,16,3,5,21,0,45,21,4,0,0,0,25,209,43,22,61,3,338,2075,587,478,4472,187,7799,37,0,9,0,3,49,20,5,0,26,0,51,271,85,48,982,23,1409,27,22,8,19,0,76,39,6,3,6,3,57,9,4,0,0,0,13,232,104,68,917,32,1353,89,40,17,96,7,249,4,0,0,3,0,7,0,0,0,3,0,3,4,0,0,0,0,4,18,8,0,10,0,36,12,0,0,4,0,16,33,13,6,3,0,55,45,8,3,23,0,79,13,0,0,3,0,16,187,51,23,266,6,533,13,5,0,6,0,24,0,0,0,0,0,0,15,0,3,0,0,18,11,3,0,12,0,26,5,0,0,0,0,5,3,0,0,3,0,6,56,4,6,40,0,106,227,61,24,119,7,438,73,34,22,362,522,1013,3838,1603,1170,13717,959,21287,3399,1089
LGA40250,3,21,13,185,0,222,0,12,0,2120,28,2160,0,0,0,0,0,0,20,0,0,3,0,23,6,3,0,0,0,9,40,24,7,67,3,141,3,0,0,0,0,3,0,0,0,0,0,0,5,3,3,14,0,25,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,4,6,3,33,3,49,0,4,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,3,6,3,0,0,0,0,3,6,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,20,0,43,3,3,0,12,50,68,130,83,26,2464,90,2793,113,53
LGA40310,60,524,381,6610,138,7713,0,0,0,3,0,3,14,0,0,6,6,26,6,0,0,4,0,10,168,30,28,36,5,267,1777,559,472,4099,134,7041,9,0,5,0,0,14,33,8,3,27,0,71,328,188,120,3519,80,4235,12,3,3,26,0,44,28,6,6,5,0,45,7,0,0,3,0,10,159,69,69,812,17,1126,126,40,14,99,8,287,0,0,0,0,0,0,3,0,4,3,0,10,0,0,0,0,0,0,10,5,0,3,0,18,8,0,3,0,0,11,29,13,5,9,0,56,47,7,0,41,0,95,6,5,0,7,3,21,187,45,27,213,3,475,28,7,3,6,0,44,3,0,0,0,3,6,12,3,4,0,0,19,6,0,3,7,0,16,0,0,0,3,0,3,3,0,0,0,3,6,28,6,5,22,0,61,202,41,24,128,9,404,50,46,9,417,356,878,3349,1605,1188,16108,765,23015,2940,1074
LGA40430,4,34,34,1134,43,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,7,0,25,115,50,38,832,20,1055,0,0,0,0,0,0,0,0,0,3,0,3,9,0,6,127,3,145,4,3,0,5,0,12,3,0,0,0,0,3,3,0,0,4,0,7,13,9,0,109,4,135,5,3,0,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,9,0,0,0,0,0,0,12,3,3,34,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,9,7,3,11,0,30,6,3,0,59,50,118,204,115,90,2346,126,2881,183,83
LGA40520,40,231,191,4013,164,4639,0,5,0,41,4,50,14,0,0,10,6,30,80,5,3,12,0,100,79,23,17,27,3,149,621,316,222,2645,117,3921,22,3,3,0,0,28,8,3,3,15,3,32,120,60,35,907,35,1157,467,38,13,136,33,687,32,11,0,6,0,49,62,5,0,0,5,72,71,49,42,541,23,726,138,33,3,91,10,275,3,0,0,3,0,6,32,5,0,12,3,52,5,3,0,0,0,8,0,0,3,3,0,6,8,4,0,4,0,16,21,6,7,4,0,38,67,3,5,30,3,108,4,0,0,0,0,4,77,17,21,107,10,232,48,5,0,15,3,71,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,3,0,3,3,0,0,0,0,3,3,0,0,0,0,3,6,5,4,11,0,26,216,33,13,77,13,352,39,20,13,302,298,672,2296,883,598,9015,733,13525,2110,610
LGA40700,156,1286,976,10639,260,13317,3,0,0,10,0,13,1643,32,39,38,27,1779,103,8,7,14,3,135,262,56,30,59,6,413,3338,1461,1020,9909,264,15992,35,6,16,3,0,60,98,15,16,59,3,191,612,213,149,1697,45,2716,812,143,71,250,34,1310,189,25,15,11,4,244,360,13,12,5,6,396,592,339,244,2774,76,4025,1818,364,128,645,79,3034,56,0,0,7,3,66,162,26,22,64,0,274,4,3,0,0,0,7,54,9,4,19,0,86,16,0,3,0,0,19,115,20,25,3,3,166,341,36,17,52,11,457,148,12,16,20,4,200,420,149,87,609,15,1280,115,8,4,14,4,145,178,5,4,0,3,190,145,14,4,6,3,172,50,8,0,14,0,72,9,4,0,0,0,13,74,0,3,0,4,81,82,17,15,84,3,201,1663,192,137,240,35,2267,207,66,48,534,585,1440,13860,4530,3112,27779,1480,50761,12359,3004
LGA40910,316,1170,703,8536,267,10992,4,3,0,22,3,32,1337,20,18,16,38,1429,171,12,6,11,4,204,404,74,33,72,8,591,2947,1213,801,6421,278,11660,150,0,17,0,6,173,68,9,6,50,3,136,731,250,105,1359,44,2489,1254,199,93,321,49,1916,220,11,12,20,6,269,265,16,6,6,9,302,538,298,205,1827,67,2935,8695,1102,310,2110,393,12610,83,0,0,3,4,90,250,43,22,27,8,350,19,0,0,0,3,22,119,24,11,33,3,190,13,8,3,3,0,27,60,22,11,6,3,102,439,36,19,58,8,560,210,14,7,6,7,244,343,100,72,367,14,896,181,27,8,14,3,233,131,4,3,0,3,141,72,4,4,3,0,83,74,4,0,5,4,87,22,5,0,3,3,33,128,4,0,0,4,136,87,13,8,48,4,160,1759,184,116,196,63,2318,397,79,55,567,864,1962,21487,4948,2654,22110,2173,53372,19851,3446
LGA41010,3,80,64,1625,38,1810,0,7,0,361,4,372,0,0,0,3,0,3,0,0,0,0,0,0,16,11,3,3,0,33,137,86,62,805,32,1122,10,0,0,0,0,10,7,3,0,5,3,18,31,18,11,208,4,272,38,17,3,29,3,90,3,3,0,0,0,6,0,0,0,3,0,3,10,13,9,199,6,237,8,13,0,10,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,8,3,0,0,0,0,3,7,6,0,7,0,20,3,0,0,3,0,6,17,9,5,28,0,59,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,9,23,15,4,36,3,81,14,4,4,83,60,165,346,291,165,3415,153,4370,305,185
LGA41060,522,2629,1604,23052,835,28642,0,16,5,135,10,166,1630,42,34,82,65,1853,963,80,32,66,22,1163,588,148,107,145,11,999,6029,2596,1793,17386,706,28510,316,5,34,3,19,377,141,36,19,144,3,343,1384,471,246,3110,111,5322,4407,576,180,951,201,6315,292,31,14,32,7,376,332,10,11,18,11,382,1046,654,439,5121,155,7415,8718,1275,479,2225,423,13120,21,3,0,0,0,24,213,38,8,39,15,313,336,23,11,39,7,416,418,82,40,71,18,629,91,16,9,8,6,130,150,39,31,12,3,235,1625,149,46,186,40,2046,612,41,22,65,14,754,1041,278,232,1021,41,2613,1758,86,35,55,51,1985,56,7,4,8,0,75,111,13,0,3,3,130,160,18,11,42,4,235,29,4,0,0,0,33,1924,37,10,3,135,2109,190,45,29,126,8,398,4538,390,193,684,201,6006,916,223,158,1653,2551,5501,40557,10061,5836,56485,5676,118615,37469,7027
LGA41140,17,188,145,3225,77,3652,0,0,0,3,0,3,4,0,0,0,0,4,4,0,0,3,0,7,60,15,4,29,0,108,636,239,179,2331,92,3477,15,0,6,0,0,21,5,0,0,12,0,17,59,33,15,753,11,871,9,4,0,11,3,27,5,3,0,0,0,8,7,0,0,0,0,7,86,31,37,569,18,741,30,17,3,37,0,87,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,3,0,0,0,0,3,30,3,5,0,0,38,16,5,0,23,0,44,3,0,0,0,3,6,50,22,9,93,4,178,4,0,0,3,0,7,0,0,0,0,0,0,8,0,0,0,0,8,5,0,0,5,0,10,0,3,0,0,0,3,0,0,0,0,0,0,18,5,0,18,3,44,70,15,6,47,6,144,27,8,14,207,112,368,1174,591,423,7376,329,9893,1010,388
