region_id,C11_1PF_Cu15DS_4000ov,C11_1PF_Cu15DS_NS,C11_1PF_Cu15DS_Tot,C11_1PF_CU15_NDS_0_299,C11_1PF_CU15_NDS_300_449,C11_1PF_CU15_NDS_450_599,C11_1PF_CU15_NDS_600_799,C11_1PF_CU15_NDS_800_999,C11_1PF_CU15_NDS_1000_1399,C11_1PF_CU15_NDS_1400_1799,C11_1PF_CU15_NDS_1800_2399,C11_1PF_CU15_NDS_2400_2999,C11_1PF_CU15_NDS_3000_3999,C11_1PF_CU15_NDS_4000ov,C11_1PF_CU15_NDS_NS,C11_1PF_CU15_NDS_Tot,C11_1PF_NCu15DS_0_299,C11_1PF_NCu15DS_300_449,C11_1PF_NCu15DS_450_599,C11_1PF_NCu15DS_600_799,C11_1PF_NCu15DS_800_999,C11_1PF_NCu15DS_1000_1399,C11_1PF_NCu15DS_1400_1799,C11_1PF_NCu15DS_1800_2399,C11_1PF_NCu15DS_2400_2999,C11_1PF_NCu15DS_3000_3999,C11_1PF_NCu15DS_4000ov,C11_1PF_NCu15DS_NS,C11_1PF_NCu15DS_Tot,C11_1PF_NDCO_0_299,C11_1PF_NDCO_300_449,C11_1PF_NDCO_450_599,C11_1PF_NDCO_600_799,C11_1PF_NDCO_800_999,C11_1PF_NDCO_1000_1399,C11_1PF_NDCO_1400_1799,C11_1PF_NDCO_1800_2399,C11_1PF_NDCO_2400_2999,C11_1PF_NDCO_3000_3999,C11_1PF_NDCO_4000ov,C11_1PF_NDCO_NS,C11_1PF_NDCO_Tot,C11_1PF_T_0_299,C11_1PF_T_300_449,C11_1PF_T_450_599,C11_1PF_T_600_799,C11_1PF_T_800_999,C11_1PF_T_1000_1399,C11_1PF_T_1400_1799,C11_1PF_T_1800_2399,C11_1PF_T_2400_2999,C11_1PF_T_3000_3999,C11_1PF_T_4000ov,C11_1PF_T_NS,C11_1_PF_T_T,C11_T_0_299,C11_T_300_449,C11_T_450_599,C11_T_600_799,C11_T_800_999,C11_T_1000_1399,C11_T_1400_1799,C11_T_1800_2399,C11_T_2400_2999,C11_T_3000_3999,C11_T_4000ov,C11_T_NS,C11_T_T
LGA45340,0,9,291,39,44,48,104,111,286,268,195,53,27,4,60,1239,17,25,29,58,66,115,71,55,15,11,6,13,481,45,69,67,87,105,207,168,72,26,11,3,47,907,115,150,154,275,325,687,560,356,99,55,13,129,2918,893,722,726,1353,1743,4073,4425,4759,1625,839,349,849,22356
LGA45400,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,9,3,9,9,7,9,4,9,0,3,0,0,62
LGA45540,0,0,6,0,3,5,13,0,0,0,0,0,0,0,3,24,3,3,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,5,0,0,0,0,0,0,9,3,13,5,16,0,5,0,0,0,0,0,3,45,18,27,24,30,15,18,4,0,0,0,0,9,145
LGA45680,0,5,161,16,21,28,86,106,224,132,80,11,5,3,33,745,3,14,14,35,30,63,38,11,0,3,6,13,230,11,38,43,59,66,107,53,18,11,3,3,24,436,30,80,88,194,225,448,251,130,25,14,12,75,1572,267,330,346,728,894,2151,2017,1664,410,213,125,392,9537
LGA45890,3,3,144,24,19,25,50,62,146,129,115,32,21,7,26,656,14,16,11,34,36,61,45,41,6,9,0,18,291,29,25,39,48,45,87,57,65,21,8,3,19,446,74,63,87,146,159,330,254,238,66,41,13,66,1537,414,294,335,588,706,1759,1885,2509,1166,731,283,403,11073
LGA46090,4,0,15,4,4,6,15,11,26,9,5,3,0,0,3,86,0,0,3,0,6,6,0,0,0,4,0,0,19,0,0,6,10,5,10,10,4,0,0,0,4,49,4,9,18,25,22,45,19,9,3,4,4,7,169,42,47,58,137,131,292,242,146,60,40,20,54,1269
LGA46300,0,3,13,0,3,4,10,12,26,5,6,3,3,0,6,78,0,0,3,4,5,4,0,5,0,0,4,0,25,5,3,0,11,3,6,6,3,3,0,0,3,43,5,6,7,25,23,40,11,17,6,3,4,12,159,34,33,39,118,117,324,254,263,90,41,19,57,1389
LGA46450,0,6,38,5,16,11,35,26,27,7,5,0,0,3,0,135,3,3,9,3,11,3,7,3,0,0,0,0,42,7,11,4,7,5,11,4,0,3,0,0,0,52,15,33,27,53,46,49,21,11,3,0,3,6,267,72,114,135,210,230,430,257,208,45,30,16,56,1803
LGA46510,0,0,9,4,3,0,5,4,15,18,12,7,6,3,0,77,5,3,4,0,6,4,12,11,3,0,3,5,56,7,3,6,3,4,8,7,13,3,0,4,6,64,16,12,10,8,14,27,43,36,13,6,10,11,206,85,56,54,73,116,281,273,365,266,288,166,80,2103
LGA46670,0,0,16,0,5,4,11,11,11,8,0,0,0,0,0,50,0,0,0,3,0,4,5,0,0,0,0,0,12,6,3,3,4,3,7,3,0,0,0,0,3,32,9,8,10,18,19,27,16,0,0,0,0,3,110,54,44,40,99,109,245,140,98,30,24,18,50,951
