region_id,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_CF_T,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_CF_T,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_CF_T,C11_650ov_CF_NC,C11_650ov_CF_Cu15DS_,C11_650ov_CF_CU15_NDS,C11_650ov_CF_NCU15_DS,C11_650ov_CF_NDCO,C11_650ov_CF_T,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_CF_T,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_CF_Tot
LGA15500,8,3,0,20,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,141,12,100,6,12,271
LGA15550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,13,59,12,37,0,7,115
LGA15650,122,4,5,207,7,3,14,3,0,27,0,0,3,0,0,3,4,0,0,0,0,4,6,5,15,4,0,30,326,50,406,28,45,855
LGA15700,13,3,0,30,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,10,4,0,14,308,44,250,21,30,653
LGA15750,24,0,0,40,3,0,4,0,0,7,0,0,0,0,0,0,4,0,0,0,0,4,16,0,13,0,0,29,254,34,263,23,28,602
LGA15800,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,12,82,18,54,3,10,167
LGA15850,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,6,0,0,13,105,13,101,6,12,237
LGA15900,603,42,46,1454,192,22,169,13,24,420,75,13,67,7,7,169,50,8,65,13,5,141,106,9,42,4,14,175,3439,251,2244,186,255,6375
LGA15950,188,16,11,1260,1226,6,300,21,29,1582,787,6,231,15,21,1060,914,45,685,96,52,1792,75,3,46,5,3,132,4478,70,1534,158,130,6370
LGA16100,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,10,76,11,92,6,9,194
LGA16150,170,12,12,319,14,8,53,7,5,87,3,3,9,0,0,15,7,0,10,0,0,17,21,0,22,0,0,43,674,110,804,65,97,1750
LGA16180,34,0,0,62,11,5,19,0,0,35,3,4,21,7,0,35,0,0,11,0,4,15,8,0,3,0,0,11,160,20,176,13,7,376
LGA16200,12,3,0,22,3,3,0,3,0,9,0,0,0,0,0,0,0,0,4,0,0,4,8,0,5,3,0,16,223,30,251,24,26,554
LGA16250,2162,190,177,4815,540,93,619,86,98,1436,140,22,148,31,23,364,64,18,87,22,14,205,138,17,118,14,24,311,5176,559,4876,559,570,11740
LGA16350,869,93,127,1813,81,38,182,27,49,377,29,22,35,7,18,111,16,18,28,6,3,71,74,18,80,16,23,211,2493,527,2954,302,528,6804
LGA16370,99,8,10,282,143,10,148,20,12,333,91,16,143,30,26,306,162,79,440,68,54,803,24,3,24,5,7,63,731,128,950,134,119,2062
LGA16380,370,33,32,697,38,21,64,9,5,137,6,3,10,0,4,23,9,0,13,4,0,26,44,3,23,5,9,84,1317,204,1270,131,160,3082
LGA16400,267,30,25,534,35,14,70,0,5,124,6,0,18,4,3,31,11,3,22,0,0,36,41,4,38,3,4,90,1204,207,1375,112,183,3081
LGA16470,206,10,27,479,64,19,104,15,19,221,24,5,45,3,8,85,15,7,30,4,3,59,19,3,27,3,7,59,832,95,849,67,101,1944
LGA16550,480,53,62,1878,1466,48,620,72,69,2275,675,25,397,48,39,1184,597,96,853,111,71,1728,126,7,57,11,4,205,4993,249,2798,356,313,8709
LGA16610,15,0,3,36,0,0,3,0,0,3,0,0,0,0,0,0,3,3,3,0,0,9,20,3,5,0,4,32,371,60,375,30,43,879
LGA16650,831,73,99,2123,505,74,441,47,75,1142,139,26,164,21,39,389,94,21,108,22,19,264,64,13,51,12,8,148,2656,294,2136,248,325,5659
LGA16700,714,72,62,2013,502,50,533,69,54,1208,202,28,282,44,35,591,134,34,225,35,25,453,68,3,48,3,16,138,3211,206,2294,289,260,6260
LGA16900,292,30,47,563,24,28,79,14,12,157,0,3,19,0,0,22,9,0,9,0,0,18,27,3,16,0,7,53,921,205,986,111,214,2437
LGA16950,151,18,12,319,14,5,12,3,0,34,3,0,8,3,0,14,10,0,12,0,0,22,33,5,32,4,7,81,1464,256,1414,139,191,3464
LGA17000,155,5,10,275,16,9,31,8,0,64,4,0,3,0,0,7,8,0,3,0,0,11,11,3,19,3,7,43,393,56,477,36,63,1025
LGA17050,17,3,0,35,0,0,3,0,0,3,3,3,0,0,0,6,4,0,4,0,0,8,6,0,9,0,0,15,118,10,132,9,9,278
LGA17100,346,46,42,902,259,30,187,50,34,560,63,14,54,22,18,171,29,16,46,21,9,121,36,5,19,6,3,69,1069,134,818,189,135,2345
LGA17150,779,64,93,2172,513,80,649,93,77,1412,205,55,368,58,69,755,140,80,337,65,74,696,78,8,47,11,5,149,3142,354,2713,367,400,6976
LGA17200,222,14,26,2319,2751,17,407,22,26,3223,2264,11,370,18,28,2691,2803,29,684,102,84,3702,234,3,42,12,22,313,11933,107,2066,242,271,14619
LGA17310,130,11,14,240,10,0,14,0,0,24,0,3,0,0,0,3,5,0,3,3,3,14,37,11,19,4,9,80,994,121,1001,81,148,2345
LGA17350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,13,68,8,3,170
LGA17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,97,6,98,14,7,222
LGA17420,508,71,52,1103,413,113,709,109,89,1433,174,85,413,75,83,830,129,114,332,86,59,720,43,14,54,17,22,150,1603,428,2355,407,360,5153
LGA17450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,8,63,12,56,9,0,140
LGA17500,4,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,7,7,0,0,0,0,7,190,36,200,21,19,466
LGA17550,558,59,70,1199,93,40,161,24,14,332,22,15,48,5,5,95,20,10,33,4,4,71,45,6,25,3,3,82,1612,238,1477,173,200,3700
LGA17620,37,3,0,54,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,22,5,19,5,0,51,291,37,324,19,34,705
LGA17640,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,12,100,12,84,12,14,222
LGA17650,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,0,6,91,14,81,8,11,205
LGA17700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,12,0,0,27
LGA17750,169,14,14,334,29,13,35,0,0,77,7,4,4,0,0,15,5,3,5,0,0,13,33,8,35,5,0,81,1226,131,1152,77,100,2686
LGA17800,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,11,97,6,57,3,10,173
LGA17850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,4,3,0,0,10,68,13,63,6,6,156
LGA17900,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,10,0,18,0,0,28,136,17,168,11,21,353
LGA17950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,7,0,3,15,50,8,74,0,12,144
LGA18000,461,44,38,1593,803,40,513,46,61,1463,351,45,414,52,47,909,373,152,935,115,90,1665,67,10,54,6,8,145,3155,309,2662,303,276,6705
LGA18020,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,23,149,34,170,17,18,388
LGA18050,169,16,11,767,794,9,240,15,26,1084,584,12,193,15,12,816,777,56,631,45,40,1549,75,4,38,4,8,129,3125,90,1373,118,118,4824
LGA18100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,51,11,52,3,6,123
LGA18150,0,0,0,4,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,4,15,125,24,147,11,16,323
LGA18200,3,3,0,6,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,124,15,122,9,12,282
LGA18250,189,29,24,703,731,27,446,52,28,1284,329,19,286,21,29,684,348,87,790,93,46,1364,46,7,45,7,3,108,2146,160,1876,226,151,4559
LGA18350,159,11,24,336,46,18,57,3,10,134,9,5,29,4,7,54,11,3,22,3,4,43,27,0,17,0,5,49,625,119,654,46,105,1549
LGA18400,103,9,27,215,19,14,44,8,13,98,7,6,14,4,8,39,6,0,13,4,3,26,22,7,19,5,0,53,365,84,496,56,89,1090
LGA18450,666,74,66,1480,177,55,245,23,30,530,52,8,84,10,16,170,40,13,40,5,10,108,108,8,58,14,16,204,3569,391,2739,336,481,7516
LGA18500,66,3,11,382,405,3,113,11,7,539,391,6,137,8,3,545,660,82,704,73,55,1574,53,9,26,5,4,97,2005,110,1128,109,87,3439
LGA18550,576,71,114,1221,52,33,102,5,20,212,16,9,34,3,4,66,19,3,18,0,4,44,70,9,47,7,8,141,2436,450,2524,237,466,6113
LGA18710,41,3,6,83,15,0,19,4,4,42,0,4,10,3,0,17,5,0,0,0,0,5,6,0,10,0,0,16,186,24,235,22,29,496
LGA18750,3,0,0,7,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,5,0,3,0,3,11,195,22,190,17,19,443
LGA19399,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,20,3,38,0,0,61
LGA20110,4,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,4,0,5,3,0,12,194,29,147,18,12,400
LGA20260,6,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,11,124,20,157,18,11,330
LGA20570,122,15,13,242,3,3,15,3,0,24,6,3,0,0,0,9,4,0,7,0,4,15,46,0,33,4,8,91,1543,190,1336,145,148,3362
LGA20660,475,52,48,1109,119,17,166,24,17,343,17,9,41,12,5,84,28,8,41,6,11,94,63,6,46,9,9,133,2017,216,1642,181,200,4256
LGA20740,94,5,8,162,27,0,41,0,3,71,5,3,8,0,0,16,10,4,8,0,0,22,19,0,18,3,5,45,518,43,524,43,60,1188
LGA20830,21,3,3,49,0,0,6,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6,18,4,28,3,6,59,543,65,525,50,67,1250
LGA20910,261,21,25,742,240,23,252,34,18,567,115,35,190,32,15,387,179,112,653,97,35,1076,44,0,33,3,6,86,1457,218,1612,220,133,3640
LGA21010,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,3,3,0,14,202,27,180,20,19,448
LGA21110,531,74,37,2032,464,44,426,76,38,1048,175,44,305,59,23,606,214,121,677,156,55,1223,83,20,61,14,6,184,3840,316,2509,464,215,7344
LGA21180,270,57,50,618,21,14,31,10,5,81,8,3,10,0,0,21,34,8,44,5,5,96,110,19,109,22,21,281,2464,463,2928,339,415,6609
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,0,0,17,65,12,76,9,8,170
LGA21370,11,3,4,32,0,0,4,0,0,4,0,0,5,0,0,5,0,0,5,0,0,5,21,4,16,0,6,47,545,65,497,41,77,1225
LGA21450,216,26,27,388,13,5,22,0,4,44,5,0,6,0,0,11,9,0,7,0,3,19,44,3,28,3,5,83,859,138,1184,95,137,2413
LGA21610,830,100,124,1695,54,29,114,21,22,240,11,4,29,0,3,47,41,12,44,3,9,109,90,23,114,22,35,284,2745,676,3753,389,516,8079
