region_id,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Married_M,C11_85o_Married_F,C11_85o_Seprtd_M,C11_85o_Seprtd_F,C11_85o_Divorce_M,C11_85o_Divorce_F,C11_85o_Wid_M,C11_85o_Wid_F,C11_85o_Nvr_mard_M,C11_85o_Nvr_mard_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_OS_visitrs_Marr_M,C11_OS_visitrs_Marr_F,C11_OS_visitr_Separ_M,C11_OS_visitr_Separ_F,C11_OS_visit_Divorc_M,C11_OS_visit_Divorc_F,C11_OS_visito_Widow_M,C11_OS_visito_Widow_F,C11_OS_vis_Nvr_marr_M,C11_OS_vis_Nvr_marr_F,C11_OS_vis_T_M,C11_OS_vis_T_F,C11_OS_vis_T_P,C11_T_Married_M,C11_T_Married_F,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
LGA36150,0,0,0,0,3,9,0,0,15,16,31,9,7,0,0,3,0,3,3,0,0,15,10,25,0,0,0,0,0,0,3,8,0,0,3,8,11,0,4,0,0,0,0,0,0,10,5,10,9,19,270,205,26,6,64,36,23,32,187,132,570,411,981
LGA36250,37,36,156,173,165,701,47,37,1549,1796,3345,819,563,20,20,93,115,231,909,38,29,1201,1636,2837,549,279,11,5,49,83,332,1327,31,49,972,1743,2715,164,175,3,3,16,32,16,36,114,139,313,385,698,28385,29134,1457,1923,4074,5959,1229,4805,17221,15214,52366,57035,109401
LGA36300,0,0,3,0,3,4,3,3,12,11,23,6,4,0,0,0,0,0,8,0,0,6,12,18,0,0,0,0,0,0,5,9,4,0,9,9,18,0,0,0,0,3,3,0,0,13,5,16,8,24,207,192,8,9,41,26,14,36,167,101,437,364,801
LGA36360,37,26,122,135,222,631,90,65,1514,1618,3132,659,396,26,6,45,56,225,715,78,60,1033,1233,2266,292,137,12,9,30,39,240,988,27,65,601,1238,1839,118,104,3,0,9,15,8,20,125,104,263,243,506,20949,21434,1367,1583,3458,4171,1215,3998,16001,13386,42990,44572,87562
LGA36510,13,5,54,46,48,189,28,14,552,528,1080,240,136,13,0,27,16,30,189,13,13,323,354,677,128,74,6,6,5,10,97,315,17,20,253,425,678,41,33,0,0,6,3,0,12,52,70,99,118,217,7858,7844,486,489,1305,1523,342,1210,4287,3704,14278,14770,29048
LGA36580,6,0,35,24,31,97,23,6,284,245,529,71,41,9,4,14,17,37,110,16,3,147,175,322,58,22,3,0,4,10,36,142,7,3,108,177,285,12,10,0,3,3,0,3,0,19,29,37,42,79,4341,4372,299,337,873,926,235,699,2570,2124,8318,8458,16776
LGA36630,27,15,48,29,74,183,21,15,536,487,1023,194,116,3,6,28,27,58,217,27,15,310,381,691,126,60,3,4,11,7,80,277,25,8,245,356,601,16,14,0,0,3,3,4,5,17,14,40,36,76,6341,6377,467,490,1201,1232,391,1254,3617,2962,12017,12315,24332
LGA36660,20,6,47,39,45,234,34,21,544,572,1116,241,146,3,6,20,22,64,300,25,16,353,490,843,140,84,4,0,16,12,90,400,21,20,271,516,787,10,16,0,0,0,3,4,5,55,73,69,97,166,6882,7015,413,469,1105,1348,390,1520,4021,3451,12811,13803,26614
LGA36710,106,81,413,535,502,1807,157,102,5504,5749,11253,2852,1794,64,38,251,298,605,2374,110,81,3882,4585,8467,1724,908,38,19,131,192,886,3323,80,86,2859,4528,7387,1517,1580,38,45,122,189,85,187,874,1113,2636,3114,5750,66851,69229,3675,4911,10987,16015,3309,12360,37727,34797,122549,137312,259861
LGA36810,32,20,75,52,85,258,48,15,767,667,1434,324,165,13,10,24,27,72,311,41,8,474,521,995,156,74,5,4,17,20,107,330,32,17,317,445,762,81,86,3,3,7,17,5,13,149,181,245,300,545,8772,8825,608,633,1762,1810,530,1669,6230,5045,17902,17982,35884
LGA36910,49,28,154,186,215,960,114,86,1941,2340,4281,946,611,31,16,62,105,239,1104,66,88,1344,1924,3268,610,311,12,6,41,56,333,1515,54,82,1050,1970,3020,113,124,4,3,11,10,4,13,159,224,291,374,665,29539,30251,1620,2077,4036,5834,1400,5845,19346,17349,55941,61356,117297
LGA36950,0,0,3,0,4,6,6,0,18,12,30,5,3,0,0,0,0,3,17,5,0,13,20,33,0,0,0,0,0,0,3,11,4,3,7,14,21,3,5,0,0,0,3,0,0,10,24,13,32,45,439,416,31,48,94,95,30,78,661,668,1255,1305,2560
LGA36960,3,0,0,0,3,6,3,3,12,17,29,5,4,3,0,0,0,3,7,3,0,14,11,25,3,0,0,0,0,0,3,3,0,0,6,3,9,4,0,0,0,4,0,0,0,19,14,27,14,41,355,324,29,20,40,25,37,73,849,854,1310,1296,2606
LGA37010,43,40,167,143,178,766,114,52,1528,1770,3298,713,442,22,23,79,92,209,782,77,41,1100,1380,2480,342,196,8,14,32,52,237,999,38,62,657,1323,1980,221,221,13,12,40,43,21,52,378,516,673,844,1517,30731,32045,2104,2586,5501,6996,1362,4700,29541,25713,69239,72040,141279
LGA37300,6,0,0,0,0,0,0,0,6,0,6,0,3,0,0,0,0,4,3,3,0,7,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,4,12,4,16,773,624,71,34,125,100,18,31,669,511,1656,1300,2956
LGA37310,18,4,37,21,52,149,20,11,420,373,793,166,100,3,0,20,11,57,198,30,7,276,316,592,97,36,3,0,4,4,79,261,15,12,198,313,511,63,14,3,0,7,6,0,0,43,27,116,47,163,7295,6313,478,422,1127,913,352,1043,4765,3160,14017,11851,25868
LGA37340,15,6,56,32,42,151,15,12,419,413,832,173,101,9,3,23,11,60,151,12,3,277,269,546,71,36,7,0,5,7,66,192,8,3,157,238,395,260,263,7,5,21,27,0,15,497,527,785,837,1622,7706,7480,547,407,1545,1309,372,989,6291,4971,16461,15156,31617
LGA37400,3,0,3,3,5,10,3,0,38,26,64,9,3,3,0,3,3,3,9,0,0,18,15,33,11,0,0,0,0,0,4,8,0,0,15,8,23,6,0,0,0,0,0,0,0,3,7,9,7,16,477,430,30,20,77,55,39,58,243,169,866,732,1598
LGA37550,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,31,32,6,0,8,11,3,12,230,273,278,328,606
LGA37570,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,3,6,0,9,3,3,79,88,99,119,218
LGA37600,0,0,0,0,0,8,0,0,0,8,8,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,12,9,9,10,6,57,602,587,759,793,1552
LGA39399,4,0,4,8,12,50,4,3,88,128,216,28,19,0,5,0,4,9,32,0,3,37,63,100,3,3,0,0,0,3,9,21,0,0,12,27,39,131,135,3,0,16,26,3,14,180,255,333,430,763,1102,1030,65,58,201,243,68,208,763,643,2199,2182,4381
LGA40070,5,0,37,39,22,99,21,19,228,266,494,129,70,3,3,16,24,29,106,21,15,198,218,416,94,45,3,0,11,15,63,270,16,13,187,343,530,414,360,9,5,39,39,6,22,525,455,993,881,1874,4725,3787,381,292,1010,1033,222,757,7190,5955,13528,11824,25352
LGA40120,7,3,20,33,35,138,13,12,397,392,789,185,114,3,0,14,23,44,185,14,8,260,330,590,118,58,0,4,6,11,63,286,7,8,194,367,561,21,20,3,3,4,3,0,3,26,48,54,77,131,8504,8686,293,307,1042,1332,278,973,4827,3915,14944,15213,30157
LGA40220,9,9,42,33,49,149,7,9,470,459,929,238,164,7,0,19,29,55,178,17,7,336,378,714,134,71,5,0,9,14,52,262,9,10,209,357,566,4,11,0,0,0,8,0,0,14,19,18,38,56,5173,5260,272,303,859,1119,272,953,2611,2296,9187,9931,19118
LGA40250,3,0,3,0,3,5,0,0,16,9,25,4,0,0,0,0,0,0,8,0,4,4,12,16,0,0,0,0,0,0,7,3,4,0,11,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,434,428,26,51,36,38,24,83,376,316,896,916,1812
LGA40310,4,4,23,22,31,119,20,11,334,340,674,152,115,3,0,7,10,40,172,10,10,212,307,519,113,58,0,0,3,7,47,295,6,13,169,373,542,13,25,3,3,0,3,0,4,11,25,27,60,87,4917,5010,214,240,607,720,211,906,2609,2117,8558,8993,17551
LGA40430,4,0,5,3,7,22,0,0,60,62,122,28,19,0,0,3,0,10,22,7,0,48,41,89,21,7,0,0,0,0,15,41,0,6,36,54,90,5,3,0,0,0,0,0,0,0,0,5,3,8,581,578,32,22,130,74,50,139,251,167,1044,980,2024
LGA40520,3,0,11,13,25,81,4,0,178,204,382,91,45,3,3,9,8,25,98,0,3,128,157,285,43,17,3,0,3,3,30,146,4,6,83,172,255,8,4,0,0,0,0,0,0,9,15,17,19,36,2065,2080,149,162,365,417,141,521,1426,1149,4146,4329,8475
LGA40700,10,15,38,81,55,296,21,44,625,790,1415,412,284,3,9,32,49,84,454,26,53,557,849,1406,277,145,0,0,14,39,167,796,16,59,474,1039,1513,79,97,6,0,6,3,0,14,82,83,173,197,370,9031,9339,329,419,1008,1668,437,2114,5561,5359,16366,18899,35265
LGA40910,15,10,50,81,100,400,34,19,868,988,1856,487,285,6,8,26,44,108,471,13,17,640,825,1465,243,124,7,7,11,35,164,666,16,30,441,862,1303,58,79,0,3,0,6,0,18,53,87,111,193,304,10270,10496,377,558,1129,1913,539,2344,6506,5752,18821,21063,39884
LGA41010,0,0,3,0,6,14,3,0,33,33,66,19,12,3,0,0,0,3,15,0,3,25,30,55,7,4,0,0,0,0,7,21,3,0,17,25,42,3,0,0,0,0,3,0,0,3,3,6,6,12,682,666,55,48,129,86,46,116,650,536,1562,1452,3014
LGA41060,44,33,122,183,182,779,71,57,1667,1993,3660,969,615,46,21,84,121,307,1047,56,42,1462,1846,3308,617,331,11,12,43,65,398,1720,33,42,1102,2170,3272,69,104,3,3,4,13,6,22,89,114,171,256,427,20214,20365,1259,1412,3362,4609,1314,5384,16246,13562,42395,45332,87727
LGA41140,9,0,9,8,19,51,5,3,150,124,274,65,50,0,4,4,0,16,73,9,4,94,131,225,32,17,0,3,3,3,25,126,3,3,63,152,215,4,3,0,0,3,0,0,4,9,10,16,17,33,1945,1951,103,114,280,289,94,376,1034,829,3456,3559,7015
LGA41190,0,0,5,0,0,12,6,4,20,30,50,16,9,0,0,0,0,9,18,3,0,28,27,55,4,5,0,0,0,0,3,25,0,0,7,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,386,384,19,16,57,53,27,77,220,103,709,633,1342
LGA41330,3,0,4,3,9,10,7,0,47,20,67,7,0,0,0,3,3,3,3,3,0,16,6,22,0,0,0,0,0,0,3,3,0,0,3,3,6,4,0,0,0,0,0,0,4,5,7,9,11,20,411,347,43,24,155,79,30,59,344,240,983,749,1732
LGA41560,7,3,23,22,30,117,11,8,239,307,546,127,83,0,3,17,8,33,145,8,3,185,242,427,74,34,0,0,7,5,44,157,7,8,132,204,336,0,0,0,0,0,3,0,0,0,8,0,11,11,2756,2797,162,155,518,572,184,685,1433,1257,5053,5466,10519
LGA41750,0,0,5,0,3,3,3,0,22,8,30,9,5,0,0,0,0,3,3,0,0,12,8,20,4,0,0,0,0,0,0,11,0,0,4,11,15,3,0,0,0,0,0,0,0,0,0,3,0,3,272,255,12,12,35,28,12,27,149,104,480,426,906
LGA41830,3,0,0,3,4,12,3,0,34,28,62,15,4,0,0,0,0,8,13,6,0,29,17,46,11,8,0,0,0,0,3,25,4,0,18,33,51,3,5,0,0,0,0,0,0,5,11,8,16,24,401,393,33,27,62,66,27,96,250,175,773,757,1530
LGA41960,0,0,3,0,0,10,0,0,16,20,36,7,6,0,0,0,0,4,11,0,0,11,17,28,7,5,0,0,0,0,3,13,0,0,10,18,28,0,0,0,0,0,0,0,0,3,0,3,0,3,304,298,13,15,37,27,10,58,157,106,521,504,1025
LGA42030,10,4,29,35,43,158,9,7,347,402,749,194,136,6,5,15,10,44,174,9,6,268,331,599,116,56,4,3,13,8,65,248,3,8,201,323,524,5,13,0,3,0,6,0,3,9,5,14,30,44,3891,3971,242,342,728,980,254,918,2714,2521,7829,8732,16561
LGA42110,0,0,6,3,12,33,7,0,82,78,160,26,19,0,0,3,4,12,28,3,3,44,54,98,22,12,3,0,0,3,9,63,0,3,34,81,115,5,0,0,0,0,0,0,0,3,5,8,5,13,884,873,73,54,166,178,53,191,548,363,1724,1659,3383
LGA42250,0,0,7,0,12,14,8,0,91,54,145,39,19,0,0,4,5,15,30,0,4,58,58,116,16,15,0,0,3,0,16,31,0,4,35,50,85,5,3,0,0,0,0,0,0,3,6,8,9,17,1827,1770,108,55,235,184,70,150,944,643,3184,2802,5986
LGA42600,8,13,47,90,59,276,29,27,512,733,1245,325,262,11,9,23,67,94,471,21,33,474,842,1316,277,170,4,5,21,52,187,915,14,47,503,1189,1692,77,76,3,0,5,8,4,13,74,103,163,200,363,6923,6879,419,433,1270,1787,466,2200,5296,4788,14374,16087,30461
LGA42750,0,0,7,5,3,29,0,0,55,66,121,29,9,0,0,0,3,10,32,0,0,39,44,83,27,16,0,0,3,0,17,40,0,0,47,56,103,63,70,0,3,4,8,3,0,25,49,95,130,225,1017,1014,64,60,182,199,52,158,586,451,1901,1882,3783
LGA43080,0,0,0,0,3,12,3,0,22,24,46,10,10,0,0,3,0,3,9,0,0,16,19,35,3,0,0,3,0,0,3,14,3,0,9,17,26,0,3,0,0,0,0,0,0,0,0,0,3,3,249,241,19,9,33,24,12,47,128,73,441,394,835
LGA43220,0,0,0,0,4,8,5,0,20,15,35,8,9,0,0,4,0,3,13,0,3,15,25,40,7,7,0,0,0,0,3,18,0,0,10,25,35,0,3,0,0,0,0,0,0,3,0,3,3,6,287,280,8,9,20,18,16,57,117,65,448,429,877
LGA43360,3,0,3,3,4,20,4,0,56,49,105,18,11,0,0,0,0,6,23,0,0,24,34,58,7,3,0,0,0,0,7,32,0,3,14,38,52,3,5,0,0,0,3,0,0,3,4,6,12,18,486,477,26,21,79,84,24,114,287,206,902,902,1804
LGA43650,3,6,3,10,13,57,3,0,124,129,253,67,40,3,0,4,0,10,48,3,3,87,91,178,34,22,0,0,7,3,15,83,6,8,62,116,178,6,4,0,0,0,0,0,0,8,10,14,14,28,3036,3071,129,150,355,386,97,359,1648,1355,5265,5321,10586
LGA43710,4,3,5,3,6,16,3,0,51,44,95,28,16,3,0,3,0,10,12,8,0,52,28,80,10,3,0,0,0,0,11,29,0,0,21,32,53,0,0,0,0,0,0,0,0,4,0,4,0,4,1020,1014,74,32,177,130,52,110,643,430,1966,1716,3682
LGA43790,3,4,13,8,22,88,3,7,166,219,385,84,39,3,3,7,6,23,97,9,3,126,148,274,55,25,0,3,5,5,58,182,3,3,121,218,339,3,9,0,0,3,3,0,0,32,34,38,46,84,2481,2487,123,139,370,331,151,574,1483,1091,4608,4622,9230
LGA43920,3,0,4,3,14,24,3,0,77,58,135,26,20,3,0,4,0,3,32,0,3,36,55,91,9,3,0,0,0,3,13,43,7,0,29,49,78,3,0,0,0,0,0,0,0,0,0,3,0,3,1649,1666,129,109,293,302,69,183,1146,927,3286,3187,6473
LGA44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,3,0,0,22,21,34,27,61
LGA44060,22,25,97,163,103,562,25,35,1055,1430,2485,727,520,9,14,53,96,154,794,40,33,983,1457,2440,424,256,8,10,29,72,319,1180,13,30,793,1548,2341,78,111,3,3,8,13,4,24,105,108,198,259,457,15612,16026,826,1074,2546,4084,884,3713,12612,11175,32480,36072,68552
LGA44210,4,0,23,3,15,41,8,3,165,106,271,54,32,0,0,8,3,30,74,6,3,98,112,210,18,6,4,3,3,3,23,75,3,3,51,90,141,3,5,0,0,3,3,0,0,8,18,14,26,40,1801,1744,146,101,421,336,135,333,1135,703,3638,3217,6855
LGA44340,21,11,61,84,78,350,35,54,899,1025,1924,559,371,12,5,25,49,130,553,37,38,763,1016,1779,403,242,10,5,18,41,253,1016,17,55,701,1359,2060,66,78,0,3,4,5,3,9,101,161,174,256,430,13405,13705,507,612,1461,2399,644,2643,8516,7830,24533,27189,51722
LGA44550,6,4,16,43,31,106,8,8,246,310,556,148,93,4,0,8,9,32,165,3,4,195,271,466,77,44,3,4,5,5,62,243,3,10,150,306,456,15,20,0,3,3,3,0,3,31,55,49,84,133,5880,6051,311,381,880,1304,239,855,3498,3361,10808,11952,22760
LGA44620,7,5,33,22,37,167,20,8,330,383,713,196,109,0,4,16,24,49,219,9,6,270,362,632,75,37,4,0,0,13,75,308,6,9,160,367,527,13,8,0,0,4,0,3,0,11,18,31,26,57,4580,4606,279,384,813,1072,265,1124,3486,3096,9423,10282,19705
LGA44830,3,0,5,0,11,19,3,0,61,48,109,25,15,3,3,3,0,4,20,6,0,41,38,79,16,11,0,0,3,0,6,40,0,3,25,54,79,0,0,0,0,4,0,0,0,0,0,4,0,4,676,679,43,27,114,96,43,127,370,245,1246,1174,2420
LGA45040,3,7,29,28,35,125,18,4,310,338,648,153,96,10,4,9,11,33,149,5,4,210,264,474,77,34,0,0,3,8,44,233,4,4,128,279,407,7,7,0,0,0,0,0,0,28,12,35,19,54,3676,3588,290,318,694,800,215,847,3036,2302,7911,7855,15766
LGA45090,0,0,5,8,11,54,4,4,88,120,208,56,41,0,0,6,7,14,55,3,3,79,106,185,37,32,0,5,0,3,23,100,0,3,60,143,203,3,3,0,0,0,3,3,0,20,6,26,12,38,1857,1748,77,80,249,236,75,329,1043,708,3301,3101,6402
LGA45120,0,0,3,8,13,39,3,0,67,86,153,39,21,3,0,4,0,10,46,4,0,60,67,127,22,12,0,0,0,3,19,64,3,0,44,79,123,0,0,0,0,0,0,0,0,3,3,3,3,6,984,1000,61,57,165,125,64,219,557,350,1831,1751,3582
LGA45290,20,16,37,70,55,280,22,39,463,680,1143,303,212,4,0,29,47,83,351,18,38,437,648,1085,214,106,4,9,16,43,131,638,16,63,381,859,1240,71,84,0,3,3,9,7,10,82,96,163,202,365,6208,6340,327,398,1115,1625,413,1767,6072,5669,14135,15799,29934
LGA45340,30,19,138,192,181,727,38,37,1667,1928,3595,965,615,25,19,79,110,254,918,23,23,1346,1685,3031,548,317,18,10,34,55,389,1362,15,36,1004,1780,2784,68,84,3,0,13,10,6,20,108,138,198,252,450,30453,31180,1744,2231,5157,7474,1416,5029,22120,19119,60890,65033,125923
LGA45400,0,0,0,3,3,7,0,0,8,21,29,11,4,0,0,3,0,0,12,3,3,17,19,36,11,3,0,0,3,0,5,17,0,0,19,20,39,0,0,0,0,0,0,0,0,0,0,0,0,0,219,219,17,6,33,32,11,50,105,69,385,376,761
LGA45540,0,0,7,0,3,12,0,3,45,32,77,10,6,0,0,3,0,3,27,3,0,19,33,52,9,4,0,0,0,0,4,16,4,3,17,23,40,3,0,0,0,0,0,0,0,0,0,3,0,3,356,335,39,32,100,81,34,100,226,174,755,722,1477
LGA45680,22,17,87,86,102,429,27,9,865,1030,1895,408,256,16,7,37,59,157,483,22,7,640,812,1452,173,88,13,4,18,22,145,483,9,7,358,604,962,29,25,0,0,0,7,0,5,25,25,54,62,116,12274,12515,1122,1407,2646,3359,740,2577,12833,11124,29615,30982,60597
LGA45890,47,26,133,192,173,760,65,49,1353,1804,3157,779,499,24,27,72,117,253,1021,77,52,1205,1716,2921,494,250,22,9,55,64,367,1409,51,44,989,1776,2765,118,155,3,0,7,6,5,44,97,132,230,337,567,19753,19625,1424,1701,4058,5349,1218,5108,19359,15537,45812,47320,93132
LGA46090,7,6,12,16,33,96,5,7,157,199,356,73,49,4,3,10,11,29,113,3,4,119,180,299,34,19,0,0,4,0,27,92,0,4,65,115,180,12,11,3,0,3,0,0,3,3,5,21,19,40,2503,2389,212,223,469,479,157,553,2405,1995,5746,5639,11385
LGA46300,3,0,11,20,21,97,0,4,155,226,381,110,74,4,0,5,15,32,117,8,0,159,206,365,61,39,3,0,8,9,39,175,0,4,111,227,338,7,8,0,0,0,0,3,3,3,0,13,11,24,2502,2544,151,212,457,592,158,613,2098,1764,5366,5725,11091
LGA46450,6,5,23,15,41,141,24,3,289,307,596,127,85,5,0,8,7,50,178,16,9,206,279,485,76,25,3,0,3,3,47,251,3,8,132,287,419,4,4,0,0,0,3,0,0,8,4,12,11,23,3183,3224,222,261,577,661,231,933,2378,1980,6591,7059,13650
LGA46510,4,4,10,25,18,112,22,9,205,252,457,117,66,4,0,9,19,29,140,20,18,179,243,422,90,46,3,0,4,11,45,248,8,17,150,322,472,34,37,0,0,0,3,0,5,34,32,68,77,145,3824,3845,164,197,534,753,152,740,3435,2858,8109,8393,16502
LGA46670,3,0,9,5,16,67,5,3,116,146,262,77,31,9,0,3,8,22,81,4,0,115,120,235,33,18,0,0,0,3,31,100,3,0,67,121,188,3,4,3,0,0,3,0,0,37,41,43,48,91,1942,1898,118,131,324,299,118,435,1322,1039,3824,3802,7626
LGA46860,0,0,3,0,0,12,3,0,18,25,43,14,0,0,4,3,0,6,10,0,0,23,14,37,7,4,0,0,3,0,3,4,0,0,13,8,21,0,0,0,0,0,0,0,0,6,0,6,0,6,332,324,20,19,59,56,18,44,184,139,613,582,1195
LGA46970,0,0,0,0,0,3,0,0,3,3,6,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,3,0,3,7,3,0,0,0,0,0,4,9,5,16,12,28,1548,744,123,56,238,95,14,18,1380,553,3303,1466,4769
LGA47140,30,21,118,127,174,645,28,22,1339,1508,2847,572,352,21,17,54,78,223,741,7,8,877,1196,2073,297,144,7,6,28,37,236,951,14,18,582,1156,1738,99,124,3,8,6,15,6,21,124,95,238,263,501,23465,23784,1577,1909,4116,5608,1193,4371,20334,16468,50685,52140,102825
LGA47290,3,0,0,3,5,16,4,0,29,33,62,17,11,3,0,3,0,3,6,4,0,30,17,47,11,8,0,0,0,0,15,36,0,0,26,44,70,0,0,3,3,0,0,0,0,8,6,11,9,20,456,445,33,21,77,61,38,90,285,168,889,785,1674
LGA47490,0,0,3,0,3,13,7,0,29,22,51,12,11,0,0,3,0,0,17,3,0,18,28,46,11,9,0,0,0,0,15,15,0,4,26,28,54,0,3,0,0,0,3,0,0,4,5,4,11,15,466,460,24,17,77,64,28,72,317,178,912,791,1703
LGA47630,3,0,6,4,10,23,10,3,93,88,181,55,24,0,4,0,4,11,48,0,0,66,80,146,25,17,3,0,0,3,25,86,5,0,58,106,164,10,6,0,0,0,0,0,0,26,27,36,33,69,1472,1393,78,66,196,163,67,242,907,567,2720,2431,5151
LGA47700,16,20,54,94,143,490,20,24,1138,1284,2422,587,391,13,16,32,63,143,548,11,12,786,1030,1816,343,167,4,5,15,31,189,886,7,16,558,1105,1663,56,66,0,3,4,5,5,16,88,119,153,209,362,20423,20781,871,1189,2480,3788,911,3260,12478,10809,37163,39827,76990
LGA47800,0,0,5,0,10,30,4,3,86,78,164,30,20,0,0,6,5,13,33,7,0,56,58,114,24,12,0,0,0,0,17,43,5,0,46,55,101,5,3,0,0,0,0,0,0,12,11,17,14,31,1181,1181,80,60,192,187,76,195,731,493,2260,2116,4376
LGA47910,3,0,5,5,8,19,0,0,63,52,115,20,8,0,0,0,5,13,28,0,0,33,41,74,10,9,0,0,3,3,12,44,6,0,31,56,87,0,0,0,0,0,0,0,0,0,0,0,0,0,607,603,22,15,88,76,39,144,263,158,1019,996,2015
LGA47980,12,7,29,68,44,206,18,25,376,520,896,237,182,7,6,18,58,59,358,24,41,345,645,990,217,140,3,6,19,39,165,800,22,79,426,1064,1490,43,50,0,0,0,6,0,7,82,83,125,146,271,6851,7052,322,380,1006,1632,371,1781,5683,5663,14233,16508,30741
LGA48050,7,3,14,22,37,125,8,20,403,437,840,255,182,6,5,14,11,46,212,5,16,326,426,752,167,90,0,0,7,10,110,273,5,20,289,393,682,12,10,0,0,4,0,0,3,15,26,31,39,70,3252,3303,153,190,408,681,252,883,1298,1118,5363,6175,11538
LGA48130,0,0,9,4,16,43,8,0,95,110,205,58,28,0,0,7,3,9,54,4,5,78,90,168,25,20,0,0,3,3,23,94,9,12,60,129,189,0,3,0,0,0,3,0,0,11,16,11,22,33,1296,1308,61,78,258,226,80,310,914,628,2609,2550,5159
LGA48260,0,0,7,16,5,57,11,7,102,152,254,82,56,3,0,6,3,22,97,6,4,119,160,279,47,28,0,0,6,8,28,150,4,14,85,200,285,4,4,0,3,0,0,0,0,10,12,14,19,33,1508,1561,60,67,199,260,78,414,1017,889,2862,3191,6053
LGA48340,3,5,3,9,15,77,3,5,143,185,328,83,41,3,0,6,8,24,117,9,3,125,169,294,35,22,4,0,3,4,39,131,4,3,85,160,245,6,3,0,0,0,0,0,3,11,7,17,13,30,2319,2344,127,124,397,417,139,512,1494,1138,4476,4535,9011
LGA48410,9,14,55,88,70,416,47,30,847,1049,1896,502,357,12,6,39,89,126,579,36,40,715,1071,1786,377,194,11,7,23,48,242,881,29,74,682,1204,1886,72,85,4,3,6,9,3,16,91,85,176,198,374,10077,10192,576,630,1713,2291,622,2696,9704,8307,22692,24116,46808
LGA48540,13,9,29,29,47,143,11,0,285,319,604,136,70,3,6,11,20,39,148,5,4,194,248,442,38,28,0,0,6,8,38,179,8,0,90,215,305,14,7,0,0,0,0,0,3,3,8,17,18,35,3924,3766,321,305,835,862,238,887,3738,2909,9056,8729,17785
LGA48640,0,0,3,0,0,11,3,0,11,15,26,9,7,0,0,0,0,5,14,0,0,14,21,35,11,3,0,0,0,0,7,20,0,0,18,23,41,0,3,0,0,0,0,0,0,3,3,3,6,9,309,282,18,12,36,20,22,59,163,82,548,455,1003
LGA48750,3,3,5,3,3,23,8,3,93,86,179,38,28,0,0,3,11,11,34,3,0,55,73,128,23,14,0,0,5,0,7,70,0,0,35,84,119,3,0,0,0,4,0,0,4,4,4,11,8,19,1012,1021,65,50,231,228,47,189,477,395,1832,1883,3715
LGA48830,5,5,25,11,39,85,5,3,277,269,546,142,82,4,0,14,6,36,135,16,3,212,226,438,61,44,6,0,3,6,52,161,4,3,126,214,340,3,5,0,0,0,0,0,0,9,6,12,11,23,2623,2582,173,105,488,383,212,615,1217,796,4713,4481,9194
LGA49399,0,0,9,3,7,26,4,4,60,69,129,20,6,3,0,3,3,3,7,3,3,32,19,51,0,0,0,0,4,0,7,9,0,3,11,12,23,25,16,0,3,4,3,0,3,56,40,85,65,150,2066,1130,147,55,476,228,75,128,1584,770,4348,2311,6659
LGA50080,17,12,45,53,58,218,14,13,516,554,1070,268,167,12,3,19,28,71,273,18,12,388,483,871,143,75,3,3,13,12,92,377,9,8,260,475,735,23,32,3,3,7,3,0,5,30,43,63,86,149,6491,6570,404,432,1051,1450,344,1371,4340,3705,12630,13528,26158
