region_id,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Married_M,C11_85o_Married_F,C11_85o_Seprtd_M,C11_85o_Seprtd_F,C11_85o_Divorce_M,C11_85o_Divorce_F,C11_85o_Wid_M,C11_85o_Wid_F,C11_85o_Nvr_mard_M,C11_85o_Nvr_mard_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_OS_visitrs_Marr_M,C11_OS_visitrs_Marr_F,C11_OS_visitr_Separ_M,C11_OS_visitr_Separ_F,C11_OS_visit_Divorc_M,C11_OS_visit_Divorc_F,C11_OS_visito_Widow_M,C11_OS_visito_Widow_F,C11_OS_vis_Nvr_marr_M,C11_OS_vis_Nvr_marr_F,C11_OS_vis_T_M,C11_OS_vis_T_F,C11_OS_vis_T_P,C11_T_Married_M,C11_T_Married_F,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
LGA20110,3,5,18,10,17,88,11,7,224,230,454,102,60,6,3,4,5,26,119,6,7,144,194,338,67,28,0,0,5,7,37,151,5,7,114,193,307,4,11,0,0,0,3,0,0,21,31,25,45,70,2736,2716,167,140,403,477,136,589,1720,1335,5162,5257,10419
LGA20260,0,3,15,12,30,100,30,12,201,220,421,85,57,3,6,10,10,27,127,11,7,136,207,343,50,34,3,0,0,3,33,136,4,13,90,186,276,6,5,0,0,3,0,0,4,0,3,9,12,21,2301,2177,176,163,378,391,169,540,1629,1111,4653,4382,9035
LGA20570,28,23,78,99,139,613,59,69,1101,1415,2516,553,367,19,9,44,58,155,816,41,60,812,1310,2122,334,187,18,11,21,47,247,1055,20,50,640,1350,1990,43,55,3,3,5,4,3,7,73,70,127,139,266,16364,16583,1060,1367,2643,4010,920,3916,14229,13484,35216,39360,74576
LGA20660,33,34,81,133,148,706,72,75,1446,1830,3276,855,555,19,13,51,94,230,977,31,61,1186,1700,2886,546,288,11,11,24,78,373,1513,28,88,982,1978,2960,100,166,3,0,3,8,5,37,99,146,210,357,567,24097,24391,1053,1475,2720,4470,1202,4749,17363,15694,46435,50779,97214
LGA20740,23,14,50,47,64,224,23,16,569,619,1188,279,185,8,5,24,36,104,302,17,16,432,544,976,157,96,0,0,11,21,110,399,16,22,294,538,832,31,29,3,0,3,5,0,3,28,60,65,97,162,6320,5943,443,475,1169,1375,443,1446,3856,3147,12231,12386,24617
LGA20830,12,9,43,48,66,258,33,10,588,650,1238,288,164,14,3,11,21,68,323,26,11,407,522,929,136,67,3,5,11,14,111,445,13,29,274,560,834,6,15,0,0,0,4,0,0,21,36,27,55,82,8500,8679,444,550,1234,1600,420,1662,5424,4825,16022,17316,33338
LGA20910,27,25,84,140,93,490,83,78,1084,1413,2497,729,516,10,20,57,94,155,822,56,81,1007,1533,2540,562,348,20,0,36,96,372,1636,49,129,1039,2209,3248,98,106,3,3,14,19,6,16,98,160,219,304,523,19242,19894,693,953,2104,3616,887,4046,10847,10303,33773,38812,72585
LGA21010,10,4,24,19,20,91,3,18,217,262,479,131,89,6,7,10,11,47,148,4,0,198,255,453,90,45,0,0,0,11,54,197,7,10,151,263,414,4,7,0,0,0,0,0,0,5,19,9,26,35,2710,2756,182,220,486,603,203,665,1644,1433,5225,5677,10902
LGA21110,34,26,82,177,152,752,128,181,1722,2123,3845,1015,698,24,23,74,136,215,1173,119,212,1447,2242,3689,831,475,9,11,36,108,434,2237,74,333,1384,3164,4548,303,382,4,7,11,36,9,59,463,534,790,1018,1808,32068,33305,945,1291,2628,4789,1206,5820,25037,24005,61884,69210,131094
LGA21180,49,31,93,88,186,991,57,35,1781,2073,3854,809,498,9,18,39,64,219,995,32,34,1108,1609,2717,404,197,16,9,30,40,301,1130,26,33,777,1409,2186,189,313,3,12,14,13,12,76,99,118,317,532,849,37071,37123,2254,2885,4455,6303,1431,6073,28263,22202,73474,74586,148060
