region_id,C11_OTT_DS_FUA,C11_OTT_DS_OD,C11_OTT_DS_NS_,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_FUA,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS_,C11_TT_NS_T,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_FUA,C11_Tot_DS_OD,C11_Tot_DS_NS_,C11_T_T
LGA35670,0,0,0,0,0,0,0,0,0,0,135,0,40,4,3,182
LGA35760,0,8,0,61,266,4,33,196,0,499,3847,45,126,502,4,4524
LGA35780,0,24,0,24,7,0,4,33,0,44,386,0,129,246,6,767
LGA35790,3,3,0,6,0,0,3,3,0,6,293,0,78,25,0,396
LGA35800,0,10,0,20,58,0,0,12,0,70,729,3,21,122,23,898
LGA36070,0,0,0,4,0,0,0,0,0,0,129,0,37,0,0,166
LGA36150,0,0,0,12,12,0,3,5,3,23,356,9,20,60,15,460
LGA36250,40,7,0,665,1529,315,94,42,0,1980,43632,4866,1636,354,15,50503
LGA36300,0,0,0,11,32,4,11,8,0,55,313,13,14,54,9,403
LGA36360,31,36,0,392,2282,120,345,243,7,2997,35607,1274,3153,1728,39,41801
LGA36510,4,6,3,126,578,21,27,43,0,669,12863,304,347,267,12,13793
LGA36580,0,8,0,73,364,3,5,42,3,417,7734,42,107,266,6,8155
LGA36630,9,5,0,94,611,8,46,61,28,754,11337,71,713,320,49,12490
LGA36660,6,3,3,131,517,20,41,46,3,627,12165,281,681,188,28,13343
LGA36710,277,54,0,1993,3724,805,1305,358,4,6196,92355,12253,15243,3871,74,123796
LGA36810,4,27,3,183,953,21,100,167,5,1246,15265,330,911,1141,48,17695
LGA36910,161,9,6,606,2142,172,479,78,0,2871,48681,2398,5732,493,59,57363
LGA36950,3,3,3,28,74,27,26,9,0,136,551,177,189,51,3,971
LGA36960,0,3,0,10,39,0,0,0,0,39,912,0,48,22,0,982
LGA37010,92,16,0,558,2983,366,1070,223,8,4650,51590,3712,8777,1455,62,65596
LGA37300,3,4,0,10,65,21,27,24,0,137,715,218,200,109,0,1242
LGA37310,11,17,0,162,780,23,63,114,6,986,10946,175,463,470,24,12078
LGA37340,23,42,4,131,695,94,311,291,0,1391,8845,712,1976,1684,37,13254
LGA37400,0,5,0,16,25,0,0,29,3,57,487,13,18,181,39,738
LGA37550,0,0,0,3,5,0,0,0,3,8,179,0,45,0,3,227
LGA37570,0,0,0,3,0,0,0,0,0,0,58,0,15,0,0,73
LGA37600,0,6,0,11,3,0,0,3,0,6,348,0,35,42,0,425
LGA39399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA40070,51,0,0,90,66,251,647,103,3,1070,1088,3120,5085,127,19,9439
LGA40120,11,0,0,148,420,17,4,8,3,452,13414,340,100,41,12,13907
LGA40220,3,3,0,218,335,32,16,6,0,389,9088,414,188,147,5,9842
LGA40250,5,0,0,46,14,0,3,0,0,17,515,0,55,13,6,589
LGA40310,20,6,3,162,321,15,24,3,0,363,8066,337,292,92,12,8799
LGA40430,12,0,0,28,47,0,0,0,0,47,1010,3,44,35,3,1095
LGA40520,15,7,0,53,205,33,45,19,0,302,3730,276,306,107,7,4426
LGA40700,201,0,0,359,399,141,252,0,0,792,11701,2313,3133,16,5,17168
LGA40910,113,0,0,312,629,123,131,0,3,886,15171,2046,1916,9,9,19151
LGA41010,10,3,0,27,55,0,9,31,0,95,1210,6,82,148,11,1457
LGA41060,131,3,0,506,1458,440,443,25,0,2366,31460,6944,5357,167,12,43940
LGA41140,0,3,0,24,126,3,14,8,0,151,3302,66,87,75,3,3533
LGA41190,0,0,0,10,19,0,0,0,0,19,681,3,0,21,3,708
LGA41330,0,0,0,13,104,0,0,0,3,107,756,21,10,45,8,840
LGA41560,5,3,0,80,179,22,18,7,0,226,5086,271,122,99,3,5581
LGA41750,0,0,0,11,10,0,0,8,0,18,412,0,13,66,3,494
LGA41830,0,5,0,8,35,0,4,30,0,69,667,9,21,83,10,790
LGA41960,7,0,0,7,38,0,4,11,0,53,484,9,23,36,0,552
LGA42030,0,0,0,153,305,77,19,18,0,419,7231,895,255,78,9,8468
LGA42110,0,0,0,14,81,0,0,5,3,89,1667,51,17,37,3,1775
LGA42250,0,0,0,35,110,0,0,3,0,113,2745,12,17,40,7,2821
LGA42600,187,0,3,322,313,161,552,6,0,1032,8127,2911,4475,60,9,15582
LGA42750,4,3,0,26,96,3,8,9,0,116,1810,20,73,41,0,1944
LGA43080,0,0,0,6,23,0,0,6,0,29,411,0,0,19,0,430
LGA43220,0,0,0,12,19,0,3,0,0,22,415,4,6,0,4,429
LGA43360,0,0,0,16,56,0,0,5,0,61,901,23,29,21,0,974
LGA43650,4,0,0,23,155,0,3,0,0,158,4793,52,48,11,3,4907
LGA43710,3,3,0,20,50,0,0,0,0,50,1690,19,22,61,3,1795
LGA43790,7,0,0,73,164,11,17,34,0,226,4158,237,135,143,0,4673
LGA43920,0,0,0,22,126,0,0,4,0,130,2945,18,21,32,0,3016
LGA44000,0,0,0,0,3,0,0,0,0,3,14,0,9,0,7,30
LGA44060,67,0,0,389,954,374,250,4,0,1582,25355,6090,3324,23,5,34797
LGA44210,0,0,0,38,234,6,0,13,21,274,3264,119,15,122,38,3558
LGA44340,140,3,0,518,635,93,155,8,3,894,19990,1722,2525,78,6,24321
LGA44550,21,3,0,149,334,22,31,9,0,396,10372,341,381,84,3,11181
LGA44620,23,3,0,218,266,41,77,11,3,398,8507,689,1247,67,3,10513
LGA44830,7,0,0,26,64,4,0,17,0,85,1165,7,18,65,0,1255
LGA45040,17,4,0,146,395,61,25,11,3,495,6783,672,275,93,8,7831
LGA45090,10,3,3,44,129,3,14,9,0,155,3022,36,132,42,3,3235
LGA45120,3,3,0,27,52,5,0,4,0,61,1805,43,11,47,0,1906
LGA45290,143,0,0,393,335,245,256,15,0,851,8414,3660,3506,45,6,15631
LGA45340,79,8,3,1032,2141,253,167,42,0,2603,55973,3510,2303,406,33,62225
LGA45400,0,0,0,6,18,0,0,0,4,22,357,0,3,14,10,384
LGA45540,0,0,0,3,54,3,0,7,0,64,781,6,18,39,0,844
LGA45680,29,3,3,140,1212,390,111,16,0,1729,24175,4453,1267,128,6,30029
LGA45890,109,3,3,476,1785,479,470,18,3,2755,33669,7169,5292,179,31,46340
LGA46090,0,6,0,29,354,64,60,34,3,515,4662,463,290,224,13,5652
LGA46300,7,0,0,57,190,48,60,64,0,362,4284,875,490,103,4,5756
LGA46450,11,3,0,40,238,45,29,11,0,323,6070,691,367,103,4,7235
LGA46510,33,3,0,74,245,62,77,0,0,384,5852,920,1280,10,6,8068
LGA46670,9,0,0,36,210,10,20,114,0,354,3325,117,246,148,16,3852
LGA46860,0,0,0,7,40,6,0,0,0,46,562,22,15,20,0,619
LGA46970,0,0,3,9,57,10,16,5,0,88,1189,124,105,49,9,1476
LGA47140,29,4,0,493,2054,330,315,11,0,2710,41340,4539,2999,150,18,49046
LGA47290,0,0,0,18,28,0,0,3,0,31,836,0,21,10,0,867
LGA47490,0,0,0,12,44,0,0,14,3,61,754,9,24,85,3,875
LGA47630,4,3,0,71,62,3,4,10,3,82,2400,61,29,67,7,2564
LGA47700,69,0,0,744,1040,127,64,0,0,1231,32875,2699,1112,3,9,36698
LGA47800,0,7,0,43,178,16,4,10,0,208,2160,51,20,70,0,2301
LGA47910,0,0,0,3,28,0,3,26,0,57,969,36,47,29,3,1084
LGA47980,99,0,0,299,340,179,195,4,0,718,9154,3050,2998,8,9,15219
LGA48050,6,0,0,207,355,44,26,8,0,433,5392,436,258,55,0,6141
LGA48130,0,0,3,36,116,9,0,5,0,130,2548,48,19,36,6,2657
LGA48260,23,0,0,48,128,47,25,10,3,213,2158,349,344,63,3,2917
LGA48340,0,0,0,34,174,7,17,3,0,201,4346,152,164,49,7,4718
LGA48410,128,0,0,404,681,189,398,4,3,1275,15445,3064,5284,23,14,23830
LGA48540,4,3,0,28,382,199,45,48,0,674,6313,2648,437,144,5,9547
LGA48640,0,0,0,8,16,0,0,0,0,16,495,0,0,11,0,506
LGA48750,3,0,0,22,80,4,3,9,0,96,1828,42,49,44,3,1966
LGA48830,7,0,0,63,171,12,10,23,0,216,4578,80,78,244,0,4980
LGA49399,0,27,26,77,227,3,22,161,14,427,1398,15,100,463,142,2118
LGA50080,35,5,0,151,448,52,60,63,0,623,11520,771,521,260,7,13079
LGA50210,12,0,0,208,1147,116,104,24,0,1391,20399,1370,1117,131,8,23025
LGA50250,3,20,8,61,127,19,6,168,8,328,1828,194,46,671,62,2801
LGA50280,11,5,0,60,327,20,8,32,3,390,4249,224,66,171,7,4717
LGA50350,13,0,0,53,244,41,36,5,0,326,4784,588,556,9,0,5937
LGA50420,40,0,0,196,839,347,357,9,0,1552,17297,4605,3566,16,17,25501
LGA50490,40,0,3,99,806,205,159,13,0,1183,10587,2226,1738,60,20,14631
LGA50560,0,0,0,6,22,8,0,0,0,30,651,18,3,15,0,687
LGA50630,0,0,0,5,33,4,0,0,0,37,552,26,19,22,0,619
LGA50770,0,0,0,4,24,0,0,0,0,24,627,3,0,0,4,634
LGA50840,0,0,0,25,44,3,0,8,0,55,1684,54,7,28,4,1777
LGA50910,0,0,0,7,24,3,0,5,0,32,325,27,0,11,0,363
LGA50980,7,42,9,100,382,73,69,255,11,790,3633,544,448,2387,109,7121
LGA51080,0,0,0,3,15,0,0,3,0,18,395,5,4,10,0,414
LGA51120,0,0,0,3,18,0,0,0,0,18,381,0,22,3,0,406
LGA51190,13,5,0,165,627,177,89,13,0,906,10041,1941,933,198,8,13121
LGA51260,20,13,0,151,478,41,26,46,0,591,10088,844,349,299,16,11596
LGA51310,39,3,0,199,262,72,86,3,0,423,7363,965,965,6,12,9311
LGA51330,101,0,0,320,1015,392,245,3,0,1655,24704,4080,2444,36,8,31272
LGA51400,0,0,0,27,220,0,8,0,0,228,4787,11,37,20,10,4865
LGA51470,0,0,0,3,24,0,0,0,0,24,233,9,0,5,0,247
LGA51540,0,29,4,52,182,41,13,222,4,462,1678,181,71,1441,53,3424
LGA51610,0,0,0,5,25,0,0,8,0,33,414,9,0,60,3,486
LGA51680,0,3,0,19,72,0,0,3,3,78,1512,20,0,36,6,1574
LGA51750,75,0,0,113,121,43,109,0,0,273,2446,416,970,0,4,3836
LGA51820,9,4,3,189,1222,204,156,49,0,1631,28378,2962,1563,162,9,33074
LGA51890,0,0,0,13,147,7,11,4,0,169,3193,83,88,66,0,3430
LGA51960,0,5,0,10,151,14,8,16,3,192,1233,68,69,69,6,1445
LGA52030,0,0,0,8,28,0,0,0,0,28,439,0,12,29,0,480
LGA52100,0,0,0,6,14,0,0,0,0,14,421,7,21,7,0,456
LGA52170,5,0,0,16,164,28,110,0,3,305,2066,343,668,0,3,3080
LGA52240,0,0,0,5,27,0,0,0,0,27,428,8,0,0,0,436
LGA52310,0,0,0,3,10,0,0,0,0,10,341,0,0,12,0,353
LGA52380,0,0,0,4,13,0,0,19,0,32,105,0,0,76,0,181
LGA52450,0,0,0,7,24,3,0,0,0,27,481,15,6,10,0,512
