region_id,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650m,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R0_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650m,C11_Tot_R_NS,C11_Tot_R_Tot
LGA44000,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,6,24
LGA44060,33,18,11,24,26,16,5,0,4,67,272,726,1171,1141,836,584,1304,2242,1309,148,50,71,403,9985
LGA44210,0,0,0,0,0,0,0,0,0,4,8,115,52,137,132,78,59,11,3,5,0,3,36,631
LGA44340,16,10,3,4,4,0,4,0,0,16,74,249,155,311,377,328,821,1029,667,173,65,62,152,4389
LGA44550,0,5,3,6,10,0,0,0,0,9,40,152,126,183,173,182,479,747,311,40,12,23,91,2519
LGA44620,17,17,5,4,3,0,0,0,0,36,111,245,383,798,916,403,419,157,29,4,6,25,124,3509
LGA44830,3,3,0,0,0,0,0,0,0,0,9,73,15,47,32,9,6,0,0,0,0,6,12,200
LGA45040,12,18,4,7,0,0,0,0,0,21,77,193,261,381,549,356,518,136,17,7,0,12,117,2547
LGA45090,4,5,0,0,0,0,0,0,0,3,15,117,62,165,215,104,61,19,3,3,0,8,54,811
LGA45120,4,3,0,0,0,0,0,0,0,3,13,98,22,85,75,26,17,5,9,0,0,6,24,367
LGA45290,5,6,10,12,9,7,3,0,3,32,115,364,413,399,419,435,974,1142,843,293,82,98,186,5648
LGA45340,44,23,5,51,44,15,0,0,4,99,356,856,1046,1219,1226,1061,3123,3714,1007,115,54,78,497,13996
LGA45400,0,0,0,0,0,0,0,0,0,0,0,21,3,21,6,0,0,0,0,0,3,0,0,54
LGA45540,3,0,0,0,0,0,0,0,0,3,9,41,15,56,10,0,3,0,3,0,0,9,15,152
LGA45680,55,38,27,37,25,0,0,0,6,94,374,658,1142,1303,1540,1399,2315,1499,167,24,6,53,395,10501
LGA45890,73,31,20,40,45,12,7,0,3,136,514,1123,1957,1913,1720,1317,2615,3329,1443,174,61,102,730,16484
LGA46090,14,21,4,3,0,0,0,0,0,21,85,187,199,396,513,172,164,91,31,7,10,16,101,1887
LGA46300,8,11,0,4,0,0,0,0,0,20,55,137,188,298,453,194,294,265,76,7,5,7,97,2021
LGA46450,17,11,3,4,0,0,0,0,0,29,85,228,302,464,641,169,166,63,21,0,0,4,110,2168
LGA46510,5,0,0,3,12,3,0,0,0,8,40,138,125,141,234,210,506,535,380,93,21,18,84,2485
LGA46670,8,12,3,3,0,0,0,0,0,8,43,119,121,278,349,74,54,36,3,0,0,9,40,1083
LGA46860,0,4,0,4,0,0,0,0,0,0,8,30,4,27,36,22,29,6,0,0,0,6,9,169
LGA46970,0,0,0,0,0,0,4,0,0,3,11,58,23,187,175,22,28,56,148,115,54,26,56,948
LGA47140,47,41,18,28,48,8,0,3,3,95,359,755,955,1229,1425,1257,2744,3180,693,143,47,67,515,13010
LGA47290,0,0,0,0,0,0,0,0,0,0,3,76,20,60,23,3,3,0,0,0,0,0,9,194
LGA47490,0,3,0,0,0,0,0,0,0,0,6,54,13,28,38,22,11,3,3,0,3,10,15,200
LGA47630,3,3,0,0,3,0,0,0,0,3,16,146,40,147,148,72,20,13,9,0,0,0,32,627
LGA47700,6,9,10,9,20,6,0,0,6,37,132,356,486,498,475,450,1247,2092,541,54,18,37,240,6494
LGA47800,3,3,0,0,3,0,0,0,0,3,17,152,55,140,99,25,12,3,0,0,0,6,37,529
LGA47910,0,0,0,0,3,0,0,0,0,3,9,51,30,45,61,28,24,9,0,0,0,0,19,267
LGA47980,4,4,3,4,9,4,3,0,4,23,78,237,262,216,324,325,759,1042,723,306,127,131,135,4587
LGA48050,4,9,4,6,0,0,0,0,5,8,39,91,52,135,220,208,344,201,18,6,3,8,47,1333
LGA48130,0,5,3,0,0,0,0,0,0,4,20,133,37,98,175,57,50,5,3,0,0,3,23,584
LGA48260,5,0,0,0,0,0,0,0,0,3,14,100,67,56,46,21,77,147,92,54,23,31,18,732
LGA48340,9,3,3,0,0,3,0,0,0,3,27,172,107,344,248,73,29,9,12,0,0,9,46,1049
LGA48410,24,16,8,18,20,8,0,3,3,43,180,531,526,674,900,770,1484,1811,988,189,50,52,287,8262
LGA48540,21,27,0,3,3,4,0,0,3,53,147,315,575,713,966,216,219,246,97,18,3,18,215,3601
LGA48640,0,0,0,0,0,0,0,0,0,0,0,47,21,32,9,12,0,0,0,0,0,0,12,133
LGA48750,0,0,0,3,0,0,0,0,0,3,6,58,14,43,97,74,66,33,8,0,0,6,20,419
LGA48830,3,5,3,0,0,0,0,0,0,16,34,242,87,175,236,104,64,14,3,9,0,10,84,1028
LGA49399,0,3,3,0,4,0,0,0,0,7,40,487,57,76,58,16,15,10,9,3,4,15,87,837
LGA50080,13,7,3,18,11,0,0,0,0,23,98,351,218,472,452,331,741,853,323,29,6,26,162,3964
LGA50210,14,8,3,9,25,9,3,0,5,36,138,289,208,326,316,264,714,1883,669,227,33,33,184,5146
LGA50250,3,0,0,0,3,0,0,0,3,7,35,1300,94,74,37,24,21,14,17,7,15,27,153,1783
LGA50280,0,3,0,3,7,5,3,0,3,3,33,170,40,101,130,117,210,414,175,24,6,25,78,1490
LGA50350,3,0,6,3,3,3,0,0,0,13,41,112,102,143,115,84,124,434,362,55,13,8,71,1623
LGA50420,10,16,3,17,30,31,6,3,4,45,198,477,309,365,568,429,986,2116,1961,435,99,93,232,8070
LGA50490,22,13,12,10,16,21,3,0,0,35,167,352,379,392,326,234,488,1238,1316,396,98,68,189,5476
LGA50560,0,0,0,0,0,0,0,0,0,0,0,43,8,21,25,6,6,0,0,0,0,0,7,116
LGA50630,0,0,0,0,0,0,0,0,0,0,0,42,7,19,19,8,4,27,37,19,3,0,18,203
LGA50770,4,0,0,0,0,0,0,0,0,0,4,33,6,26,24,10,6,4,0,0,0,0,15,124
LGA50840,4,0,0,3,0,0,0,0,0,0,10,54,16,67,71,51,68,32,5,0,0,6,15,385
LGA50910,0,0,0,0,0,0,0,0,0,3,3,30,11,12,19,16,0,0,3,0,0,0,6,97
LGA50980,6,6,3,10,3,3,3,0,16,29,94,515,228,279,347,141,150,156,225,194,168,343,227,2973
LGA51080,0,0,0,0,0,0,0,0,0,0,0,49,6,19,13,3,3,3,3,0,0,0,12,111
LGA51120,0,0,0,0,0,0,0,0,0,3,3,43,12,18,16,0,0,0,0,0,0,3,12,104
LGA51190,24,8,8,15,10,3,5,5,4,29,139,277,215,361,425,400,1002,1191,386,106,65,62,142,4632
LGA51260,4,13,3,6,4,6,3,0,3,23,96,258,143,319,278,218,564,1109,507,55,10,42,141,3644
LGA51310,4,4,0,3,3,6,0,4,3,3,34,106,19,38,73,92,228,316,357,293,166,347,49,2084
LGA51330,14,18,11,11,24,39,7,3,3,51,219,551,414,523,427,296,544,1901,2842,691,150,175,328,8842
