region_id,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_CF_T,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_CF_T
LGA31820,68,50,32,12,162,3251,3411,1473,717,8852
LGA31900,15,9,6,7,37,690,776,382,136,1984
LGA31950,0,0,0,0,0,12,11,3,3,29
LGA32070,107,83,49,37,276,6085,6663,2491,1095,16334
LGA32250,3,0,6,3,12,53,54,25,30,162
LGA32260,27,18,14,8,67,1081,1050,484,230,2845
LGA32270,24,28,20,9,81,1176,1466,739,303,3684
LGA32310,16,18,5,6,45,412,488,234,125,1259
LGA32330,0,0,0,0,0,22,23,20,38,103
LGA32450,4,0,3,3,10,92,95,53,36,276
LGA32500,7,3,0,3,13,89,115,56,35,295
LGA32600,0,0,0,0,0,9,15,7,0,31
LGA32750,0,0,0,0,0,16,10,0,0,26
LGA32770,0,0,0,0,0,45,28,31,46,150
LGA33100,0,3,0,0,3,37,29,22,6,94
LGA33200,3,3,0,0,6,66,55,38,19,178
LGA33220,63,76,24,14,177,3316,3481,1475,681,8953
LGA33360,44,43,23,11,121,2565,2992,1246,472,7275
LGA33430,341,319,91,45,796,20724,23015,7988,2524,54251
LGA33610,8,6,3,3,20,377,443,269,94,1183
LGA33620,29,28,13,7,77,1571,1763,787,383,4504
LGA33800,14,8,10,0,32,476,511,223,73,1283
LGA33830,3,0,0,3,6,27,34,22,22,105
LGA33960,133,101,49,37,320,7179,7920,3383,1696,20178
LGA33980,19,33,10,3,65,873,1251,590,220,2934
LGA34420,3,0,0,0,3,39,32,14,16,101
LGA34570,0,0,0,0,0,6,9,9,10,34
LGA34580,27,26,17,14,84,1307,1333,726,403,3769
LGA34590,198,253,107,100,658,12480,13677,5725,3101,34983
LGA34710,0,3,3,0,6,154,158,83,58,453
