region_id,C11_All_in_ns_1PF_1C,C11_All_in_ns_1PF_2C,C11_All_in_ns_1PF_3C,C11_All_in_ns_1_pa_fa_4m_c,C11_All_in_ns_1_pa_fa_w_To,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1_pa_fa_4mor_ch,C11_Tot_T
LGA26980,73,15,4,0,92,3489,1646,401,113,5649
LGA27070,113,71,28,9,221,3566,2206,811,269,6852
LGA27170,22,15,16,0,53,969,562,202,79,1812
LGA27260,105,38,22,31,196,3543,2260,854,373,7030
LGA27350,32,19,6,9,66,1607,655,160,81,2503
LGA27450,87,38,17,3,145,3310,1951,661,196,6118
LGA27630,9,0,0,0,9,136,64,18,13,231
LGA29399,0,0,0,0,0,3,3,0,3,9
LGA30250,10,0,5,0,15,56,18,16,18,108
LGA30300,7,0,0,0,7,76,53,18,17,164
LGA30370,16,7,0,0,23,262,118,41,19,440
LGA30410,3,0,0,0,3,67,23,6,6,102
LGA30450,0,0,0,0,0,4,6,0,0,10
LGA30760,3,3,0,0,6,45,16,3,0,64
LGA30900,0,0,0,0,0,12,0,0,0,12
LGA31000,524,244,67,44,879,23257,11242,3313,1237,39049
LGA31750,0,0,0,0,0,3,3,0,0,6
LGA31820,70,43,10,13,136,2280,1210,482,246,4218
LGA31900,16,9,3,6,34,360,170,83,46,659
LGA31950,0,0,0,0,0,3,4,0,3,10
LGA32070,149,79,43,34,305,4192,2218,837,450,7697
LGA32250,0,0,4,3,7,35,11,11,10,67
LGA32260,30,11,9,3,53,650,321,119,72,1162
LGA32270,14,10,0,3,27,347,192,66,35,640
LGA32310,15,5,3,0,23,275,144,56,37,512
LGA32330,0,0,0,0,0,48,24,12,20,104
LGA32450,0,0,0,3,3,52,20,9,11,92
LGA32500,4,3,3,0,10,80,51,15,8,154
LGA32600,5,0,0,0,5,5,5,0,4,14
LGA32750,0,0,0,0,0,3,0,0,0,3
LGA32770,0,3,0,3,6,24,21,14,9,68
LGA33100,0,0,0,0,0,8,3,0,6,17
LGA33200,6,0,3,0,9,31,7,9,0,47
LGA33220,92,50,16,13,171,2555,1297,545,258,4655
LGA33360,35,22,8,5,70,1084,537,230,89,1940
LGA33430,307,136,47,7,497,13212,6593,1973,644,22422
LGA33610,7,12,0,0,19,180,108,40,22,350
LGA33620,45,17,11,9,82,1086,586,250,129,2051
LGA33800,10,3,0,0,13,225,102,30,17,374
LGA33830,0,0,0,0,0,33,23,8,9,73
LGA33960,121,71,22,32,246,4546,2598,1067,586,8797
LGA33980,12,7,0,3,22,246,131,41,24,442
LGA34420,3,0,0,0,3,48,25,12,4,89
LGA34570,0,0,0,0,0,11,16,3,3,33
LGA34580,35,15,10,3,63,778,418,175,100,1471
LGA34590,268,128,49,52,497,7759,4213,1694,908,14574
LGA34710,0,4,3,0,7,83,38,29,8,158
LGA34770,81,41,9,3,134,2239,1120,453,175,3987
LGA34800,4,0,0,0,4,14,4,4,0,22
LGA34830,0,0,0,0,0,15,3,0,0,18
LGA34860,7,3,0,5,15,241,115,39,8,403
LGA35010,273,136,81,28,518,9376,5280,1888,828,17372
LGA35250,0,4,0,0,4,30,22,15,16,83
LGA35300,32,3,8,0,43,380,196,100,71,747
LGA35600,4,0,0,0,4,90,37,20,12,159
LGA35670,0,0,0,0,0,35,20,8,15,78
LGA35760,11,6,0,0,17,198,87,47,24,356
LGA35780,3,0,3,3,9,67,36,25,25,153
LGA35790,0,0,0,0,0,72,41,32,30,175
LGA35800,3,3,3,3,12,44,16,12,12,84
LGA36070,0,0,0,0,0,26,14,0,6,46
LGA36150,3,0,0,0,3,34,6,6,0,46
LGA36250,77,35,9,10,131,3195,1758,577,247,5777
LGA36300,3,0,0,0,3,18,6,0,3,27
LGA36360,113,40,18,13,184,2688,1358,558,240,4844
LGA36510,20,8,5,3,36,795,412,162,73,1442
LGA36580,18,5,5,0,28,481,256,117,50,904
LGA36630,36,15,4,5,60,727,347,153,110,1337
LGA36660,28,22,4,4,58,773,378,170,83,1404
LGA36710,194,82,32,8,316,7678,3976,1284,431,13369
LGA36810,50,24,13,3,90,1086,513,234,113,1946
LGA36910,92,38,15,9,154,3371,1774,695,367,6207
LGA36950,10,4,4,3,21,68,39,38,22,167
LGA36960,3,3,0,0,6,148,82,40,39,309
LGA37010,124,72,29,18,243,4117,2272,828,430,7647
LGA37300,7,0,0,0,7,52,23,11,3,89
LGA37310,24,16,8,0,48,567,286,121,76,1050
LGA37340,29,16,3,0,48,621,285,97,55,1058
LGA37400,3,0,0,0,3,27,10,9,0,46
LGA37550,0,0,0,0,0,28,24,15,22,89
LGA37570,0,0,0,0,0,11,3,3,6,23
LGA37600,0,0,0,0,0,98,64,37,37,236
LGA39399,0,0,0,0,0,0,0,0,0,0
LGA40070,7,4,0,0,11,259,79,15,3,356
LGA40120,13,3,3,3,22,616,366,112,29,1123
LGA40220,14,4,0,0,18,484,281,89,19,873
LGA40250,3,0,3,0,6,82,36,20,16,154
LGA40310,6,0,3,0,9,392,180,93,25,690
LGA40430,0,0,0,0,0,40,15,6,6,67
LGA40520,17,8,0,0,25,304,139,50,36,529
LGA40700,11,6,0,0,17,814,423,103,25,1365
LGA40910,16,9,7,3,35,1149,629,187,43,2008
LGA41010,0,0,0,0,0,67,44,13,11,135
LGA41060,70,35,5,3,113,2974,1346,433,167,4920
LGA41140,6,0,3,3,12,123,88,31,15,257
LGA41190,0,0,3,0,3,22,13,3,0,38
LGA41330,6,3,0,0,9,25,15,6,6,52
LGA41560,17,4,4,0,25,305,166,56,22,549
LGA41750,0,0,0,0,0,15,6,6,0,27
LGA41830,0,0,3,0,3,40,21,13,0,74
LGA41960,0,0,0,0,0,9,6,5,7,27
LGA42030,14,7,0,0,21,580,386,111,38,1115
LGA42110,4,0,0,3,7,96,39,15,11,161
LGA42250,8,0,0,0,8,106,57,23,3,189
LGA42600,10,7,0,0,17,817,295,53,20,1185
LGA42750,0,0,0,0,0,68,40,10,0,118
LGA43080,0,0,0,0,0,13,8,3,0,24
LGA43220,0,0,0,0,0,12,6,0,0,18
LGA43360,6,0,0,0,6,49,15,6,3,73
LGA43650,7,0,0,0,7,226,119,57,20,422
LGA43710,0,0,0,0,0,64,43,14,3,124
LGA43790,9,3,3,3,18,223,130,36,24,413
LGA43920,0,0,0,0,0,164,87,30,9,290
LGA44000,0,0,0,0,0,0,4,0,0,4
LGA44060,58,8,9,3,78,2366,1081,289,91,3827
LGA44210,9,0,0,0,9,166,74,32,14,286
LGA44340,20,4,0,0,24,1224,682,190,35,2131
