region_id,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Pe_no_sa_ho,C11_150_199_H_c_o_c_c_g,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Pe_no_sa_ho,C11_200_224_H_c_o_c_c_g,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Pe_no_sa_ho,C11_225_274_H_c_o_c_c_g,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Pe_no_sa_ho,C11_275_349_H_c_o_c_c_g,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Pe_no_sa_ho,C11_350_449_H_c_o_c_c_g,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Pe_no_sa_ho,C11_450_549_H_c_o_c_c_g,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Pe_no_sa_ho,C11_550_649_H_c_o_c_c_g,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_over_REA,C11_650over_ST_HA,C11_650ove_Pe_no_sa_ho,C11_650ov_H_co_op_c_ch_gr,C11_650over_Oth_lan_typ,C11_650over_LLT_NS,C11_650_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T
LGA13380,29,7,615,630,131,254,41,48,6,1110,360,36,182,13,15,0,606,820,14,170,14,19,7,1044,523,4,70,8,4,3,612,116,3,23,0,0,0,142,5,0,3,0,3,0,11,3,0,3,0,3,0,9,15,3,16,0,7,0,41,32,45,42,12,29,7,167,2742,594,1046,189,192,144,4907
LGA13450,40,3,434,360,81,134,17,33,4,629,228,10,101,5,24,4,372,350,10,70,0,11,3,444,151,3,33,0,3,0,190,86,0,17,0,0,0,103,5,3,3,0,0,0,11,0,0,3,0,3,0,6,11,0,0,0,0,0,11,19,21,28,5,28,12,113,1437,334,580,61,192,111,2715
LGA13500,9,4,53,43,8,19,0,11,0,81,29,0,12,0,3,0,44,15,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,9,0,8,0,17,106,31,103,0,60,30,330
LGA13550,12,3,219,146,56,56,10,14,3,285,97,26,49,4,4,3,183,137,13,40,0,8,0,198,90,5,21,0,0,0,116,46,0,11,3,5,0,65,11,0,3,0,0,0,14,0,0,3,0,3,0,6,6,0,8,0,0,0,14,15,3,26,3,23,3,73,641,170,342,47,133,51,1384
LGA13650,9,3,85,27,15,40,14,6,3,105,8,8,20,5,3,0,44,6,3,10,0,3,0,22,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,9,3,12,0,27,76,44,148,25,56,28,377
LGA13660,21,0,123,33,3,37,0,10,0,83,11,0,11,0,0,0,22,7,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,26,0,36,93,22,171,8,132,73,499
LGA13700,8,3,81,30,5,38,0,5,3,81,7,0,10,0,3,3,23,8,0,4,0,0,0,12,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,4,0,8,3,15,79,13,121,6,53,40,312
LGA13800,18,3,336,91,156,104,22,83,4,460,147,74,110,10,118,3,462,366,66,166,13,61,6,678,1017,66,232,12,34,7,1368,785,5,135,8,27,4,964,167,3,29,0,4,0,203,65,3,15,0,0,0,83,43,3,15,0,3,3,67,46,44,50,9,39,12,200,2760,715,1052,142,437,139,5245
LGA13850,10,0,135,30,0,42,0,8,3,83,6,0,4,0,0,0,10,7,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,3,0,3,0,6,0,0,3,0,0,0,3,6,3,7,0,6,0,22,102,41,136,6,74,19,378
LGA13950,12,5,594,107,302,110,58,9,0,586,129,85,104,22,17,9,366,394,100,163,24,18,8,707,2179,141,431,19,59,17,2846,3191,46,465,10,49,19,3780,625,4,128,4,17,6,784,127,10,19,0,3,0,159,60,12,24,0,4,0,100,113,165,89,23,20,22,432,6963,2184,1725,306,226,168,11572
