region_id,C01_T_P_Mo_O_B_OS,C01_T_P_BP_B_Aus,C01_T_P_Bplace_NS,C01_T_P_Tot_resp,C06_Aus_BP_B_OS,C06_Aus_Fa_O_B_OS,C06_Aus_Mo_O_B_OS,C06_Aus_BP_B_Aus,C06_Aus_Bplace_NS,C06_Aus_Tot_resp,C06_Aus_Ab_BP_B_OS,C06_Aus_Ab_Fa_O_B_OS,C06_Aus_Ab_Mo_O_B_OS,C06_Aus_Ab_BP_B_Aus,C06_Aus_Abor_Bplace_NS,C06_Aus_Abor_Tot_respons,C06_Chi_BP_B_OS,C06_Chi_Fa_O_B_OS,C06_Chi_Mo_O_B_OS,C06_Chi_BP_B_Aus,C06_Chi_Bplace_NS,C06_Chi_Tot_resp,C06_Cro_BP_B_OS,C06_Cro_Fa_O_B_OS,C06_Cro_Mo_O_B_OS,C06_Cro_BP_B_Aus,C06_Cro_Bplace_NS,C06_Cro_Tot_resp,C06_Dut_BP_B_OS,C06_Dut_Fa_O_B_OS,C06_Dut_Mo_O_B_OS,C06_Dut_BP_B_Aus,C06_Dut_Bplace_NS,C06_Dut_Tot_resp,C06_Eng_BP_B_OS,C06_Eng_Fa_O_B_OS,C06_Eng_Mo_O_B_OS,C06_Eng_BP_B_Aus,C06_Eng_Bplace_NS,C06_Eng_Tot_resp,C06_Fil_BP_B_OS,C06_Fil_Fa_O_B_OS,C06_Fil_Mo_O_B_OS,C06_Fil_BP_B_Aus,C06_Fil_Bplace_NS,C06_Fil_Tot_resp,C06_Fre_BP_B_OS,C06_Fre_Fa_O_B_OS,C06_Fre_Mo_O_B_OS,C06_Fre_BP_B_Aus,C06_Fre_Bplace_NS,C06_Fre_Tot_resp,C06_Ger_BP_B_OS,C06_Ger_Fa_O_B_OS,C06_Ger_Mo_O_B_OS,C06_Ger_BP_B_Aus,C06_Ger_Bplace_NS,C06_Ger_Tot_resp,C06_Gre_BP_B_OS,C06_Gre_Fa_O_B_OS,C06_Gre_Mo_O_B_OS,C06_Gre_BP_B_Aus,C06_Gre_Bplace_NS,C06_Gre_Tot_resp,C06_Hun_BP_B_OS,C06_Hun_Fa_O_B_OS,C06_Hun_Mo_O_B_OS,C06_Hun_BP_B_Aus,C06_Hun_Bplace_NS,C06_Hun_Tot_resp,C06_Ind_BP_B_OS,C06_Ind_Fa_O_B_OS,C06_Ind_Mo_O_B_OS,C06_Ind_BP_B_Aus,C06_Ind_Bplace_NS,C06_Ind_Tot_resp,C06_Iri_BP_B_OS,C06_Iri_Fa_O_B_OS,C06_Iri_Mo_O_B_OS,C06_Iri_BP_B_Aus,C06_Iri_Bplace_NS,C06_Iri_Tot_resp,C06_Ita_BP_B_OS,C06_Ita_Fa_O_B_OS,C06_Ita_Mo_O_B_OS,C06_Ita_BP_B_Aus,C06_Ita_Bplace_NS,C06_Ita_Tot_resp,C06_Kor_BP_B_OS,C06_Kor_Fa_O_B_OS,C06_Kor_Mo_O_B_OS,C06_Kor_BP_B_Aus,C06_Kor_Bplace_NS,C06_Kor_Tot_resp,C06_Leb_BP_B_OS,C06_Leb_Fa_O_B_OS,C06_Leb_Mo_O_B_OS,C06_Leb_BP_B_Aus,C06_Leb_Bplace_NS,C06_Leb_Tot_resp,C06_Mac_BP_B_OS,C06_Mac_Fa_O_B_OS,C06_Mac_Mo_O_B_OS,C06_Mac_BP_B_Aus,C06_Mac_Bplace_NS,C06_Mac_Tot_resp,C06_Mal_BP_B_OS,C06_Mal_Fa_O_B_OS,C06_Mal_Mo_O_B_OS,C06_Mal_BP_B_Aus,C06_Mal_Bplace_NS,C06_Mal_Tot_resp,C06_Mao_BP_B_OS,C06_Mao_Fa_O_B_OS,C06_Mao_Mo_O_B_OS,C06_Mao_BP_B_Aus,C06_Mao_Bplace_NS,C06_Mao_Tot_resp,C06_NZ_BP_B_OS,C06_NZ_Fa_O_B_OS,C06_NZ_Mo_O_B_OS,C06_NZ_BP_B_Aus,C06_NZ_Bplace_NS,C06_NZ_Tot_resp,C06_Pol_Bo_par_brn_os,C06_Pol_Fa_only_brn_os,C06_Pol_Mo_only_brn_os,C06_Pol_Bo_par_brn_Aus,C06_Pol_Bplace_NS,C06_Pol_Tot_resp,C06_Rus_Bo_par_brn_os,C06_Rus_Fa_only_brn_os,C06_Rus_Mo_only_brn_os,C06_Rus_Bo_par_brn_Aus,C06_Rus_Birthplac_ns,C06_Rus_Tot_resp,C06_Sco_BP_B_OS,C06_Sco_Fa_O_B_OS,C06_Sco_Mo_O_B_OS,C06_Sco_BP_B_Aus,C06_Sco_Birthplac_ns,C06_Sco_Tot_resp,C06_Ser_BP_B_OS,C06_Ser_Fa_O_B_OS,C06_Ser_Mo_O_B_OS,C06_Ser_BP_B_Aus,C06_Ser_Bplace_NS,C06_Ser_Tot_resp,C06_Sinha_BP_B_OS,C06_Sinh_Fa_O_B_OS,C06_Sinh_Mo_O_B_OS,C06_Sinh_BP_B_Aus,C06_Sinha_Bplace_NS,C06_Sinha_Tot_resp,C06_S_Afr_Bo_par_brn_os,C06_S_Af_Fa_only_brn_os,C06_S_Af_Mo_only_brn_os,C06_S_Af_Bo_par_brn_Aus,C06_S_Af_Bplace_NS,C06_S_Af_Tot_resp,C06_Span_BP_B_OS,C06_Span_Fa_O_B_OS,C06_Span_Mo_O_B_OS,C06_Span_BP_B_Aus,C06_Span_Bplace_NS,C06_Span_Tot_resp,C06_Turk_BP_B_OS,C06_Turk_Fa_O_B_OS,C06_Turk_Mo_O_B_OS,C06_Turk_BP_B_Aus,C06_Turk_Bplace_NS,C06_Turk_Tot_resp,C06_Viet_BP_B_OS,C06_Viet_Fa_O_B_OS,C06_Viet_Mo_O_B_OS,C06_Viet_BP_B_Aus,C06_Viet_Bplace_NS,C06_Viet_Tot_resp,C06_Welsh_BP_B_OS,C06_Wels_Fa_O_B_OS,C06_Wels_Mo_O_B_OS,C06_Wels_BP_B_Aus,C06_Welsh_Bplace_NS,C06_Welsh_Tot_resp,C06_Other_BP_B_OS,C06_Othr_Fa_O_B_OS,C06_Othr_Mo_O_B_OS,C06_Othr_BP_B_Aus,C06_Other_Bplace_NS,C06_Other_Tot_resp,C06_Anc_ns_Bo_pa_born_os,C06_Anc_ns_Fa_on_born_os,C06_Anc_ns_Mo_on_born_os,C06_Anc_ns_Bo_pa_bor_Aus,C06_Anc_ns_Bplace_NS,C06_Anc_NS_T_resp,C06_Tot_res_Bo_par_bo_os,C06_Tot_res_Fa_onl_bo_os,C06_Tot_res_Mo_onl_bo_os,C06_Tot_res_Bo_pa_bo_Aus
LGA18100,117,2995,163,3650,5,78,60,1691,62,1899,0,0,0,8,0,8,0,0,0,0,0,0,0,0,3,0,0,5,19,7,3,5,0,36,120,84,61,1168,19,1444,0,0,0,0,0,3,4,0,0,3,0,3,17,3,3,79,0,111,7,0,0,3,0,4,4,0,0,0,0,4,3,0,4,0,0,8,15,15,13,339,3,383,9,4,3,37,0,50,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,7,0,0,3,0,14,4,0,0,0,0,4,8,4,3,4,0,12,0,3,0,3,0,5,0,0,0,0,0,3,27,20,14,246,6,314,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,0,21,20,18,6,19,3,70,5,4,3,108,56,178,283,240,180,3726
LGA18150,211,6680,589,8228,18,172,133,4032,161,4516,0,12,0,65,11,79,19,0,6,50,0,80,0,0,0,3,0,3,37,5,10,14,3,69,193,169,131,2226,119,2828,23,0,0,0,0,26,0,4,3,21,0,32,45,18,16,193,11,278,9,4,0,13,0,20,13,4,0,4,0,23,15,0,0,0,0,11,15,33,13,752,20,831,15,5,3,40,3,62,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,9,4,0,4,3,27,7,5,3,0,0,15,8,10,4,3,7,29,3,4,0,3,0,10,4,3,0,4,0,9,42,37,30,426,7,548,3,3,0,0,0,5,0,0,0,3,0,3,3,0,0,0,0,3,4,0,0,4,0,4,0,0,0,0,3,8,3,0,0,0,3,7,4,0,3,14,0,24,59,27,6,36,0,124,8,3,15,294,325,648,559,522,376,8207
LGA18200,173,5305,553,6972,19,146,84,2926,109,3279,0,11,0,135,14,163,6,0,0,15,0,22,12,0,0,3,0,18,26,3,4,15,3,52,178,126,101,1938,73,2408,8,0,3,0,0,11,4,4,3,7,0,12,23,17,13,320,10,377,13,6,0,21,0,45,9,3,0,3,0,17,20,0,0,0,0,23,34,26,16,510,13,604,136,37,9,114,11,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,19,9,8,4,3,0,25,24,5,7,3,3,42,9,5,0,10,0,28,3,3,0,3,0,11,43,26,23,471,8,570,8,4,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,5,3,0,0,0,0,3,0,0,3,0,0,4,8,0,4,19,0,33,81,30,9,36,0,157,19,10,7,245,345,620,702,470,290,6812
LGA18250,2841,21451,3637,58319,550,2501,1833,12207,329,17415,0,0,0,4,0,15,9643,158,251,149,161,10359,494,58,27,38,5,626,364,143,88,64,9,662,4949,1831,1169,7620,312,15884,501,5,54,0,15,576,258,60,36,117,18,487,676,150,102,623,27,1573,551,98,43,221,8,915,388,52,13,46,7,506,1017,26,27,10,13,1087,1036,511,303,3801,97,5745,1171,241,108,518,57,2100,1717,0,16,7,36,1778,372,47,19,64,17,518,115,11,9,8,0,137,77,24,14,31,0,148,95,0,11,3,0,108,520,98,89,29,12,760,309,54,32,63,0,463,228,31,28,52,4,336,1120,420,300,2447,74,4365,176,17,5,15,3,220,132,9,14,0,7,160,368,50,23,7,10,459,195,9,14,14,0,238,58,11,3,0,0,72,133,5,9,0,3,150,151,39,22,114,3,328,6084,496,421,410,132,7543,580,49,54,391,3738,4811,34028,7204,5137,29073
LGA18350,2099,25435,2281,40636,221,1960,1365,14850,463,18848,3,5,0,35,0,48,278,14,12,30,13,347,73,14,8,12,0,105,375,132,66,151,16,742,3511,1660,1193,10045,359,16765,58,7,6,0,3,72,69,30,7,103,3,219,463,138,76,811,24,1518,150,50,10,86,5,307,128,24,11,22,3,185,63,10,3,7,0,87,620,343,181,3639,92,4874,390,129,33,358,16,933,16,0,4,4,0,27,42,13,6,35,0,94,31,5,0,4,0,48,108,37,12,71,3,232,43,28,17,15,13,117,161,81,47,19,5,313,169,44,15,54,6,286,56,16,12,39,0,119,854,430,266,2671,63,4285,76,7,3,7,6,102,16,3,4,5,0,24,57,25,8,14,0,102,61,15,10,29,4,114,21,0,0,0,0,21,17,0,0,0,0,17,106,34,21,89,8,252,952,276,175,325,58,1783,139,81,48,678,1760,2703,9327,5611,3619,34208
LGA18400,1845,22911,2138,36953,209,1847,1213,15665,467,19402,0,8,0,101,9,121,116,18,9,55,10,202,169,32,9,35,9,257,320,105,47,128,10,620,2896,1417,1059,8340,299,14011,83,0,23,0,4,107,60,13,11,68,4,157,413,117,78,664,31,1313,156,45,10,83,4,305,95,20,4,31,4,159,62,14,11,6,0,93,544,248,185,2656,101,3731,586,213,65,530,37,1434,17,0,0,0,0,17,184,14,11,35,7,250,18,0,0,6,0,26,479,134,66,279,25,987,45,17,3,10,3,82,158,75,60,43,3,350,145,22,11,31,0,208,65,11,3,29,0,108,593,299,203,1681,68,2849,122,29,11,39,13,213,6,0,5,0,0,8,58,14,8,9,0,95,62,13,3,22,3,110,21,6,0,3,0,32,8,0,0,3,0,11,84,30,27,91,3,234,1046,236,137,290,33,1746,168,80,62,778,1514,2608,8988,5077,3334,31711
LGA18450,9061,88070,10944,180358,1398,7731,5427,53799,1905,70250,13,26,15,365,23,442,2634,68,78,210,68,3053,1269,153,63,168,32,1690,1654,526,298,716,61,3256,13287,6165,4372,31556,1546,56929,865,35,150,23,30,1097,341,60,42,315,12,771,2314,657,389,2789,131,6283,1878,318,110,634,77,3019,435,86,28,100,12,659,714,48,29,31,9,837,2153,1124,724,11139,340,15481,6149,1285,534,2609,263,10841,193,6,9,17,3,234,1027,143,97,122,71,1462,5185,362,130,365,172,6216,906,268,105,366,40,1686,392,92,48,40,26,600,487,200,176,95,18,982,1049,163,101,286,20,1625,259,47,32,80,4,420,3819,1708,1208,7746,278,14754,1969,154,64,124,53,2368,219,25,5,3,8,262,315,24,36,15,3,396,1113,120,100,157,40,1532,939,63,26,11,51,1092,693,10,12,7,13,731,705,227,144,509,20,1603,7873,1167,803,1356,272,11477,1477,383,242,2712,7707,12519,63724,23444,15597,118465
LGA18500,2541,18273,5424,49179,418,2159,1498,8630,286,12982,0,3,4,11,0,20,1275,97,72,78,36,1563,129,17,29,22,0,200,326,93,56,67,3,545,4931,1505,1033,6553,309,14336,153,9,16,0,0,171,468,63,41,139,12,721,925,183,102,592,28,1834,752,166,58,374,48,1394,934,96,69,79,20,1200,321,26,33,6,0,379,1100,455,259,3511,104,5431,755,230,83,363,29,1459,144,7,0,7,0,153,163,65,30,143,9,404,19,6,0,0,0,25,95,25,4,12,4,144,68,19,6,7,0,94,486,73,65,18,12,660,961,153,83,136,28,1361,644,81,59,76,25,886,1063,364,244,2294,64,4027,139,14,3,15,10,182,54,5,15,3,0,76,1288,86,61,14,18,1469,205,20,15,25,3,271,75,4,0,3,3,82,74,0,3,0,0,77,126,25,20,103,6,275,4183,616,457,462,98,5816,355,71,61,331,5803,6624,22629,6736,4479,24074
LGA18550,6011,87290,7674,130536,593,5574,3861,53936,1959,65920,0,20,14,415,20,470,556,61,52,276,37,991,205,41,3,27,5,285,914,283,165,417,38,1819,9233,4742,3312,33703,1665,52662,419,18,138,15,21,605,213,52,46,287,16,614,927,316,207,2485,112,4048,359,97,30,254,30,765,183,40,19,57,13,313,300,45,25,37,8,417,1657,919,527,10315,365,13785,974,388,120,1226,91,2796,42,0,10,4,0,53,134,41,15,79,13,279,34,14,4,3,0,55,748,227,71,428,34,1505,547,127,86,70,43,870,557,285,206,140,25,1212,272,54,34,145,15,510,124,22,26,58,6,231,2248,1114,689,6909,294,11258,184,53,9,39,0,288,29,16,3,17,3,66,167,31,15,18,10,243,287,31,24,120,12,473,53,13,0,9,0,71,38,3,7,0,3,54,295,122,49,337,14,820,2462,709,393,947,154,4659,564,253,215,3289,5756,10083,25318,15711,10375,116062
LGA18710,463,8279,468,11348,49,514,376,5614,121,6679,3,0,0,8,0,9,28,7,6,10,0,55,64,11,3,34,3,110,134,38,19,46,6,250,804,382,286,3301,92,4868,12,4,0,0,0,15,22,10,5,43,0,72,128,56,21,292,3,494,23,16,3,14,0,51,18,9,4,3,0,31,16,3,0,3,0,25,139,109,58,1272,25,1603,70,22,4,87,3,195,4,0,0,3,0,5,7,0,7,6,0,21,3,3,0,0,0,8,22,11,5,26,3,61,4,3,3,4,0,15,41,14,7,9,0,69,37,13,7,11,4,77,11,5,0,7,3,22,178,81,73,775,17,1125,26,3,0,3,0,29,8,0,3,4,0,13,11,4,0,5,0,26,16,5,0,10,0,28,0,0,0,0,0,0,4,0,0,3,0,9,27,12,3,31,4,80,225,64,39,112,10,450,17,15,10,238,428,713,2151,1414,942,11974
LGA18750,275,9158,606,11274,27,259,194,5575,155,6210,0,3,0,20,0,26,14,0,0,10,0,26,3,3,0,8,0,7,49,20,3,26,0,93,298,230,146,3479,111,4265,19,0,0,0,0,26,10,3,0,28,0,38,48,16,20,284,3,374,11,0,0,4,0,20,4,4,0,0,0,7,23,4,0,0,6,30,53,46,36,1284,31,1447,31,12,0,43,0,87,3,0,0,0,0,3,54,30,3,12,0,90,6,0,0,0,0,12,15,14,0,7,0,39,19,0,0,0,0,21,32,16,20,5,0,77,6,0,0,3,0,15,3,0,0,0,0,3,78,51,39,675,24,863,28,0,0,3,3,33,0,0,0,0,0,0,0,0,6,0,0,11,10,3,0,11,0,16,0,0,0,0,3,3,0,0,0,0,0,0,13,4,0,19,3,42,124,43,37,61,8,278,32,4,13,355,284,700,1013,765,517,11912
LGA19399,144,1803,367,2896,3,48,30,646,22,754,0,0,0,3,0,3,3,0,0,0,0,11,3,0,3,0,0,3,8,3,0,0,0,9,74,45,34,439,9,597,4,0,3,0,0,4,0,0,0,0,0,3,8,12,3,56,0,79,3,4,0,3,0,5,3,0,0,0,0,3,4,0,0,0,0,4,14,11,6,155,0,181,7,3,0,16,0,28,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,7,3,0,5,0,11,6,0,3,3,0,11,11,3,3,0,0,13,0,0,0,0,0,0,3,0,0,0,0,4,29,10,8,124,0,183,3,0,0,0,0,3,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,3,3,0,3,0,8,32,4,9,14,0,59,6,3,0,23,90,120,256,152,102,1490
LGA20110,561,8057,643,12762,55,460,345,4542,118,5518,0,0,0,11,0,11,33,4,3,22,0,65,44,10,0,6,3,64,153,40,32,55,8,286,771,420,307,3110,110,4721,29,0,4,0,6,40,30,3,0,32,0,71,225,28,38,378,17,687,30,16,4,33,3,79,23,4,4,9,3,41,8,4,3,3,0,18,121,82,38,1086,19,1346,721,123,41,400,27,1314,0,0,0,3,0,3,19,7,3,3,0,32,6,0,0,0,0,6,25,7,0,10,4,43,18,3,3,3,0,23,36,17,15,6,4,73,61,12,3,24,3,101,21,3,3,3,0,25,152,101,70,876,22,1225,18,6,3,3,0,32,13,0,0,0,0,13,10,4,3,3,0,12,29,7,6,14,0,53,0,0,0,0,0,0,6,0,0,0,0,7,22,7,3,44,0,80,289,67,31,110,16,514,51,12,16,236,480,789,3019,1447,978,11025
LGA20260,321,8564,923,11075,28,239,171,4794,124,5344,0,0,0,11,0,14,20,0,0,12,0,37,21,3,0,12,0,34,62,16,10,40,4,143,376,227,151,3036,79,3868,13,0,3,0,0,20,9,0,0,17,0,30,80,27,22,367,7,500,10,3,0,9,3,19,26,4,0,3,0,37,12,0,0,0,0,13,51,45,25,996,25,1142,33,29,11,88,4,166,3,0,0,0,0,3,8,3,0,0,0,10,0,0,0,0,0,0,4,3,4,9,3,27,26,7,3,3,0,39,12,7,4,8,3,35,19,7,4,5,0,36,3,4,0,3,0,8,87,60,50,964,21,1180,8,3,0,0,0,16,3,3,0,0,0,3,12,0,5,0,0,14,6,0,0,3,0,8,7,3,0,0,0,9,0,0,0,0,0,0,10,0,0,39,0,45,82,31,13,64,0,189,25,20,13,309,649,1012,1056,744,489,10792
LGA20570,2767,61082,4206,79794,187,2253,1622,33734,1019,38814,4,4,7,73,3,92,421,44,22,274,21,783,215,43,23,53,0,335,944,434,262,695,34,2359,2832,1821,1479,23127,844,30104,141,3,51,0,4,208,62,17,11,217,12,325,509,198,133,2391,65,3296,188,59,23,127,7,403,86,24,8,40,3,162,357,16,5,18,3,404,530,421,278,9501,245,10976,417,202,85,1097,45,1838,28,0,3,0,3,34,14,16,4,39,0,71,15,3,0,5,0,26,101,60,20,84,8,269,36,21,8,47,4,118,155,98,53,40,4,346,214,71,25,117,9,438,78,12,8,22,0,125,771,517,367,6357,140,8149,109,35,7,36,0,187,43,9,4,3,0,70,75,14,6,10,3,117,35,12,14,67,6,136,10,8,0,0,4,22,24,5,3,0,3,31,110,46,35,312,10,516,1139,294,201,646,70,2352,199,106,67,2354,3724,6447,10049,6866,4834,81486
LGA20660,4835,62703,6274,113696,559,4027,2703,33337,898,41529,0,3,0,74,8,85,3180,80,124,222,74,3681,811,92,36,105,10,1057,731,259,132,315,21,1451,5507,3098,2036,21781,741,33167,428,11,54,11,9,520,199,30,29,225,9,493,1136,304,199,1964,57,3662,2633,433,186,781,81,4121,284,55,14,55,4,412,1014,51,35,10,28,1136,1398,823,520,9810,252,12797,5977,1318,443,2806,219,10754,122,3,0,0,3,126,743,72,43,74,29,963,893,159,35,161,36,1288,593,143,108,224,6,1081,100,15,16,14,10,159,387,122,103,41,16,678,681,100,57,165,11,1010,283,31,26,46,13,393,1488,743,560,5861,160,8814,505,55,32,37,11,645,638,32,25,22,22,739,201,34,19,22,9,279,223,39,23,74,3,362,116,24,3,13,3,167,454,3,17,3,14,490,181,69,51,234,13,547,4883,678,424,908,154,7044,802,155,125,1692,4383,7156,37150,13061,8178,81087
LGA20740,1096,14506,2239,23971,98,949,673,8614,280,10616,0,0,3,9,0,13,62,4,12,58,3,138,28,3,3,5,0,47,369,116,57,166,18,719,2108,829,611,6015,276,9844,37,0,16,0,0,59,34,10,7,39,3,98,228,79,34,442,13,799,93,20,6,26,0,152,38,16,8,20,0,74,44,12,7,8,3,65,359,169,93,1923,69,2615,535,148,48,521,37,1290,3,0,0,0,0,3,11,0,0,0,0,15,18,0,3,14,4,38,71,25,6,22,3,123,36,6,10,4,0,61,72,29,17,11,6,128,60,3,0,13,3,80,25,9,0,12,0,45,502,240,149,1699,61,2655,27,10,0,7,0,40,24,6,7,0,4,39,11,5,4,0,3,26,22,7,3,15,0,47,8,0,0,0,0,6,11,6,0,0,0,16,75,17,14,75,3,187,392,111,63,174,26,762,88,42,24,532,1653,2344,5489,2871,1878,20424
LGA20830,1563,24534,1679,34632,123,1407,944,14987,389,17861,0,0,3,46,0,48,88,7,12,55,10,162,55,13,3,5,0,72,611,201,108,329,26,1265,1886,1120,877,9315,322,13520,59,4,27,6,4,95,41,3,8,83,9,142,342,105,86,849,31,1421,58,13,11,28,3,109,64,14,7,27,3,123,59,13,5,8,0,78,330,218,135,2884,77,3646,464,186,54,522,27,1254,0,0,0,0,0,0,11,3,0,0,0,11,3,4,0,0,0,13,67,33,16,46,3,162,19,11,0,7,4,40,91,50,34,22,3,206,126,17,6,52,0,194,38,0,3,11,0,54,495,300,198,2111,84,3194,46,7,3,4,0,61,38,8,3,0,0,49,49,4,3,3,0,60,18,12,4,18,3,53,4,6,0,0,4,8,5,3,3,0,0,18,65,22,14,100,3,203,449,144,90,278,18,982,117,57,47,852,1134,2203,5821,3985,2704,32648
LGA20910,4392,44344,4224,83504,518,3883,2720,23566,688,31369,0,0,0,3,0,10,1293,80,81,119,32,1604,323,39,29,70,6,465,713,200,96,233,14,1264,7415,2892,2099,16431,621,29454,134,6,40,5,3,193,344,54,43,185,11,635,1368,322,229,1379,49,3338,1855,300,154,691,63,3065,376,73,17,37,17,517,600,33,33,19,5,688,1582,687,408,7154,201,10028,1846,533,203,1189,69,3846,105,3,0,0,4,111,185,69,20,76,4,350,76,21,8,4,4,112,174,44,30,63,4,314,121,14,17,9,7,165,593,153,97,35,14,886,1147,139,76,202,24,1601,787,44,39,56,15,937,1879,724,497,4817,143,8067,227,38,13,29,12,318,238,35,35,17,0,330,632,41,26,16,4,711,143,29,25,55,5,254,183,28,10,5,3,227,76,3,6,3,0,84,220,43,29,196,6,493,4444,644,513,755,103,6464,500,140,116,1020,3584,5348,30097,11314,7709,58439
LGA21010,428,10188,657,13280,28,378,271,5618,149,6444,0,0,0,11,0,14,21,4,0,42,0,65,8,0,0,3,0,7,118,40,9,46,3,213,500,352,241,3792,119,5007,12,0,8,0,0,13,19,3,7,33,0,60,146,50,36,410,8,655,19,7,0,21,0,43,22,6,0,12,3,35,39,0,0,0,0,45,100,69,36,1351,49,1602,68,22,11,163,4,263,5,0,0,0,0,5,0,0,0,6,0,7,3,0,0,0,0,3,15,3,4,7,0,28,7,0,3,0,3,17,23,9,10,8,0,55,71,7,5,6,6,95,6,0,3,9,0,18,113,105,48,1068,18,1353,21,5,0,3,0,28,3,3,0,3,0,9,0,3,0,0,0,3,7,0,0,9,3,16,3,0,0,0,0,0,0,0,0,0,0,3,21,3,0,28,4,59,189,61,19,82,7,359,35,16,8,334,382,776,1622,1146,719,13065
LGA21110,7263,75043,7656,148532,798,5985,4288,39010,904,50985,3,3,0,15,0,28,12703,290,442,308,241,13984,471,67,41,105,14,697,839,390,217,428,15,1893,8303,4328,3055,26197,811,42696,342,14,44,4,9,410,468,109,100,315,25,1015,1574,470,356,2440,102,4951,4511,631,274,1393,151,6962,544,85,42,92,10,762,3254,107,62,29,59,3513,2075,1152,806,13446,313,17794,4617,1058,411,2634,150,8875,494,3,8,21,20,541,284,48,37,93,13,475,328,49,30,76,6,493,337,88,47,108,9,592,114,14,16,6,3,156,775,223,166,56,21,1240,1153,213,129,311,21,1825,401,76,37,89,11,614,2106,1135,847,9071,209,13366,361,38,24,36,11,462,916,68,54,32,24,1088,528,71,44,21,11,661,247,36,34,82,10,405,164,8,7,6,6,189,1107,11,15,9,18,1162,278,87,75,339,9,795,7332,1145,841,1297,190,10796,897,181,127,1528,5833,8566,58324,18183,12676,99597
LGA21180,4726,33624,12136,162931,2507,2828,1901,17023,923,25181,9,3,0,65,12,94,8027,61,64,97,292,8547,4899,333,121,328,162,5834,562,141,91,189,26,1006,5636,1779,1248,10229,850,19738,4768,39,176,16,192,5192,230,25,6,94,13,369,1767,300,163,1060,84,3376,5604,671,251,928,236,7683,584,43,31,44,11,722,3448,86,49,20,89,3692,1039,415,251,3485,137,5324,8275,1369,586,2433,414,13073,83,0,3,3,0,95,1516,149,57,56,62,1833,5349,309,112,242,164,6173,9850,1135,603,1589,407,13587,586,43,22,11,45,714,241,82,47,18,23,412,2722,176,108,244,76,3330,320,23,10,34,23,411,1129,363,306,2209,95,4104,2394,135,64,104,58,2752,1010,34,5,19,20,1092,114,13,8,0,0,141,1248,53,43,50,40,1439,2562,165,89,92,98,3000,16882,60,109,96,781,17926,95,41,23,95,8,263,16648,769,487,592,734,19227,6042,386,263,1456,8467,16612,116146,12029,7297,42921
LGA21270,166,6037,237,6961,7,132,91,2933,74,3240,0,3,0,3,0,9,8,0,0,11,0,18,6,0,0,0,0,7,27,5,3,12,8,53,138,114,89,1951,62,2352,7,0,7,0,0,18,0,0,3,7,0,16,21,5,7,183,5,217,3,0,0,4,3,4,3,0,0,0,0,3,0,3,0,3,0,4,22,14,23,947,27,1040,19,15,3,40,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,12,4,0,0,0,0,3,10,3,0,3,0,19,8,0,0,4,0,10,3,3,0,0,0,3,51,35,26,669,12,796,4,3,0,3,0,7,10,0,0,0,0,8,3,0,0,0,0,7,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,17,0,24,27,6,5,35,6,77,10,10,14,232,176,443,405,354,271,7063
LGA21370,1102,27346,1855,34551,75,779,643,15654,377,17524,0,0,0,79,8,90,42,0,0,95,8,149,19,7,0,6,0,35,211,74,61,159,12,512,1171,737,594,10526,316,13341,55,0,29,7,4,97,22,4,0,84,0,117,175,67,47,1000,16,1302,39,15,11,35,3,101,34,3,3,14,0,51,8,5,0,3,0,23,212,145,110,3405,86,3959,430,92,36,606,19,1178,0,0,0,0,0,0,13,5,3,6,0,19,13,0,0,8,0,25,32,9,12,25,4,75,34,8,7,3,3,55,68,23,22,16,9,138,46,14,5,19,4,93,16,0,3,5,0,23,281,195,157,2600,64,3297,16,0,4,3,0,26,11,7,0,3,0,27,11,0,0,4,0,18,26,4,0,23,0,54,11,4,0,4,3,19,0,0,0,0,0,0,36,13,9,85,3,146,228,69,53,276,14,637,76,38,31,995,1096,2225,3411,2317,1840,35748
