region_id,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T
LGA30300,1160,410,48,251,1869
LGA30370,3812,1218,132,522,5684
LGA30410,826,342,28,251,1447
LGA30450,87,42,4,62,195
LGA30760,583,270,12,123,988
LGA30900,103,52,9,34,198
LGA31000,261971,91384,27420,17690,398465
LGA31750,85,31,0,82,198
LGA31820,24608,8324,1097,2177,36206
LGA31900,4702,1661,134,513,7010
LGA31950,79,31,3,239,352
LGA32070,39425,14872,2828,6430,63555
LGA32250,428,198,20,610,1256
LGA32260,7311,2656,343,1575,11885
LGA32270,6839,1755,376,2026,10996
LGA32310,3031,1051,122,582,4786
LGA32330,208,33,5,3,249
LGA32450,622,249,38,342,1251
LGA32500,838,453,47,620,1958
LGA32600,72,25,3,58,158
LGA32750,57,39,3,92,191
LGA32770,187,14,9,31,241
LGA33100,217,118,9,314,658
LGA33200,456,187,19,144,806
LGA33220,26384,9200,1162,2619,39365
LGA33360,14874,3839,695,2594,22002
LGA33430,128957,41751,10912,13963,195583
LGA33610,2682,1045,111,370,4208
LGA33620,12525,4436,495,1090,18546
LGA33800,3183,1216,92,403,4894
LGA33830,191,29,4,10,234
LGA33960,42870,11476,1978,2135,58459
LGA33980,5160,1258,236,1262,7916
LGA34420,187,34,8,29,258
LGA34570,90,19,3,20,132
LGA34580,8993,2400,504,664,12561
LGA34590,72120,16050,3127,3569,94866
LGA34710,1043,437,49,499,2028
LGA34770,29431,7757,1379,2465,41032
LGA34800,186,103,9,91,389
LGA34830,53,18,0,19,90
LGA34860,3241,1058,146,653,5098
LGA35010,102227,26514,3863,4822,137426
LGA35250,189,51,7,18,265
LGA35300,4588,1514,300,1711,8113
LGA35600,1146,472,34,269,1921
LGA35670,157,21,0,3,181
LGA35760,2740,1125,123,537,4525
LGA35780,439,109,12,210,770
LGA35790,330,44,9,12,395
LGA35800,444,249,14,191,898
LGA36070,136,22,3,6,167
LGA36150,250,121,9,81,461
LGA36250,38143,9704,1321,1334,50502
LGA36300,215,89,10,89,403
LGA36360,27879,9372,1283,3268,41802
LGA36510,10048,2897,335,515,13795
LGA36580,5891,1709,220,338,8158
LGA36630,8411,3076,375,627,12489
LGA36660,9125,3408,329,479,13341
LGA36710,84729,27375,4611,7081,123796
LGA36810,11435,4343,461,1456,17695
LGA36910,39312,14101,1773,2176,57362
LGA36950,610,174,35,153,972
LGA36960,748,186,11,35,980
LGA37010,44348,13397,3225,4625,65595
LGA37300,783,184,41,236,1244
LGA37310,7887,2697,367,1128,12079
LGA37340,7602,2702,545,2407,13256
LGA37400,350,183,11,194,738
LGA37550,172,45,6,3,226
LGA37570,58,12,0,0,70
LGA37600,378,44,0,0,422
LGA39399,0,0,0,0,0
