region_id,Ot_ty_Ed_Ins_Pt_st_C01_P,Ot_ty_Ed_Ins_Pt_st_C06_M,Ot_ty_Ed_Ins_Pt_st_C06_F,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,O_t_E_I_F_P_s_s_ns_C01_M,O_t_E_I_F_P_s_s_ns_C01_F,O_t_E_I_F_P_s_s_ns_C01_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,Oth_ty_Edu_Ins_Tot_C01_M,Oth_ty_Edu_Ins_Tot_C01_F,Oth_ty_Edu_Ins_Tot_C01_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Type_Educ_Insti_ns_C01_M,Type_Educ_Insti_ns_C01_F,Type_Educ_Insti_ns_C01_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,OS_vis_C01_M,OS_vis_C01_F,OS_vis_C01_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,Tot_C01_M,Tot_C01_F,Tot_C01_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P
LGA11200,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,3,9,110,42,152,177,107,284,61,52,113,0,3,3,3,3,6,7,4,11,324,297,621,359,319,678,236,278,514
LGA11250,105,14,49,63,21,46,67,3,0,3,0,0,0,0,4,4,56,75,131,20,63,83,28,68,96,520,544,1064,894,924,1818,926,938,1864,49,40,89,22,22,44,29,19,48,2927,2907,5834,2793,2916,5709,2665,2836,5501
LGA11300,255,80,120,200,84,155,239,6,11,17,4,3,7,3,6,9,246,340,586,172,195,367,239,273,512,899,925,1824,1515,1437,2952,1223,1058,2281,278,301,579,185,277,462,211,275,486,5114,5308,10422,5733,5921,11654,5721,5834,11555
LGA11350,245,51,149,200,60,135,195,0,3,3,3,3,6,0,0,0,88,212,300,75,178,253,87,179,266,865,816,1681,1558,1447,3005,1237,1051,2288,670,659,1329,407,500,907,453,520,973,5060,5124,10184,5182,5347,10529,4868,5149,10017
LGA11400,33,8,31,39,12,20,32,0,0,0,0,0,0,0,0,0,13,28,41,15,31,46,15,23,38,183,177,360,348,306,654,263,291,554,11,14,25,9,7,16,51,40,91,1623,1718,3341,1733,1766,3499,1716,1869,3585
LGA11450,183,63,148,211,66,179,245,3,0,3,6,3,9,3,5,8,61,156,217,89,183,272,96,222,318,730,740,1470,1355,1521,2876,1399,1359,2758,72,94,166,61,82,143,59,86,145,6677,6856,13533,7852,8266,16118,8843,9235,18078
LGA11500,676,179,358,537,211,423,634,5,7,12,12,20,32,10,13,23,353,546,899,242,472,714,332,573,905,3809,4043,7852,6232,6369,12601,5300,5596,10896,231,335,566,196,258,454,221,281,502,25018,24813,49831,24487,24989,49476,23332,24333,47665
LGA11520,440,125,231,356,135,282,417,0,3,3,0,3,3,0,5,5,231,329,560,170,311,481,194,409,603,1553,1722,3275,2827,2862,5689,2760,2587,5347,221,307,528,234,327,561,278,444,722,8082,8488,16570,9724,10156,19880,11196,11690,22886
LGA11550,839,211,449,660,345,501,846,19,19,38,19,17,36,17,19,36,625,751,1376,404,648,1052,737,851,1588,4949,5047,9996,6911,6541,13452,6239,5827,12066,452,560,1012,405,542,947,427,594,1021,20924,20352,41276,21952,21470,43422,23181,22255,45436
LGA11600,10,0,9,9,0,4,4,0,0,0,0,0,0,0,0,0,9,7,16,0,9,9,0,4,4,89,52,141,168,102,270,74,57,131,13,5,18,27,18,45,35,19,54,441,393,834,458,414,872,342,346,688
