region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
ILOC10700710,24,565,589,131,3564,3695,0,116,116,9,141,150,140,3821,3961,9,159,168,173,4545,4718
ILOC10700711,27,393,420,61,1540,1601,3,72,75,9,135,144,73,1747,1820,8,100,108,108,2240,2348
ILOC10700712,14,263,277,58,1365,1423,3,51,54,4,54,58,65,1470,1535,3,46,49,82,1779,1861
ILOC10700713,16,271,287,61,1439,1500,4,50,54,7,93,100,72,1582,1654,3,45,48,91,1898,1989
ILOC10700801,40,4064,4104,63,11882,11945,4,447,451,4,580,584,71,12909,12980,5,911,916,116,17884,18000
ILOC10700802,63,5137,5200,163,12961,13124,6,548,554,8,543,551,177,14052,14229,18,987,1005,258,20176,20434
ILOC10700803,53,3946,3999,206,12874,13080,6,490,496,12,464,476,224,13828,14052,17,735,752,294,18509,18803
ILOC10700804,109,10779,10888,237,29945,30182,10,1106,1116,18,1531,1549,265,32582,32847,42,2155,2197,416,45516,45932
ILOC10700901,133,10304,10437,221,21126,21347,7,1006,1013,22,1165,1187,250,23297,23547,43,2028,2071,426,35629,36055
ILOC10700902,39,3749,3788,123,14388,14511,3,547,550,9,544,553,135,15479,15614,13,862,875,187,20090,20277
ILOC10701001,34,1090,1124,152,5826,5978,3,297,300,4,162,166,159,6285,6444,8,262,270,201,7637,7838
ILOC10701002,36,1091,1127,114,2907,3021,4,142,146,13,218,231,131,3267,3398,5,156,161,172,4514,4686
ILOC10701003,80,1460,1540,217,5560,5777,10,215,225,21,298,319,248,6073,6321,13,275,288,341,7808,8149
ILOC10701101,95,6795,6890,256,22422,22678,13,835,848,24,1061,1085,293,24318,24611,18,1276,1294,406,32389,32795
ILOC10701201,46,8652,8698,288,73727,74015,10,1822,1832,4,1615,1619,302,77164,77466,15,2305,2320,363,88121,88484
ILOC10701301,27,6320,6347,148,32217,32365,6,943,949,15,1206,1221,169,34366,34535,11,1273,1284,207,41959,42166
ILOC10701401,50,5099,5149,167,19857,20024,11,654,665,8,719,727,186,21230,21416,7,972,979,243,27301,27544
ILOC10701402,19,3105,3124,74,14613,14687,4,454,458,11,436,447,89,15503,15592,4,628,632,112,19236,19348
ILOC10701501,24,1255,1279,102,5283,5385,0,290,290,7,196,203,109,5769,5878,4,226,230,137,7250,7387
ILOC10701502,176,4878,5054,549,14578,15127,28,720,748,59,698,757,636,15996,16632,41,709,750,853,21583,22436
ILOC10701601,70,2497,2567,176,16501,16677,0,463,463,16,1040,1056,192,18004,18196,14,540,554,276,21041,21317
ILOC10701701,227,7282,7509,485,21573,22058,23,923,946,65,1226,1291,573,23722,24295,55,1667,1722,855,32671,33526
ILOC10701702,63,2615,2678,199,14563,14762,5,627,632,16,702,718,220,15892,16112,14,698,712,297,19205,19502
ILOC10701801,0,21,21,3,107,110,0,3,3,0,0,0,3,110,113,0,0,0,3,131,134
ILOC10701901,141,4608,4749,336,21771,22107,9,667,676,33,1469,1502,378,23907,24285,25,922,947,544,29437,29981
ILOC10702001,54,8584,8638,286,50727,51013,8,1628,1636,32,2450,2482,326,54805,55131,21,1978,1999,401,65367,65768
ILOC10702002,9,2141,2150,97,15795,15892,11,544,555,5,547,552,113,16886,16999,6,619,625,128,19646,19774
ILOC10702101,35,2434,2469,103,13063,13166,7,408,415,12,787,799,122,14258,14380,12,667,679,169,17359,17528
ILOC10702102,54,2705,2759,98,11960,12058,7,359,366,13,429,442,118,12748,12866,7,559,566,179,16012,16191
ILOC10702103,33,2111,2144,132,9487,9619,3,299,302,5,312,317,140,10098,10238,8,436,444,181,12645,12826
ILOC10702104,54,2474,2528,84,6448,6532,3,266,269,7,356,363,94,7070,7164,12,582,594,160,10126,10286
ILOC10702201,48,1026,1074,242,5137,5379,11,187,198,14,253,267,267,5577,5844,16,194,210,331,6797,7128
ILOC10702202,15,531,546,136,5190,5326,4,125,129,6,187,193,146,5502,5648,5,158,163,166,6191,6357
ILOC10702203,85,2356,2441,293,7096,7389,8,253,261,28,465,493,329,7814,8143,19,411,430,433,10581,11014
ILOC10702204,95,2064,2159,368,7539,7907,6,250,256,29,457,486,403,8246,8649,24,417,441,522,10727,11249
ILOC10702205,129,2218,2347,294,5298,5592,12,200,212,23,349,372,329,5847,6176,28,396,424,486,8461,8947
ILOC10702206,34,1197,1231,229,7660,7889,8,241,249,13,271,284,250,8172,8422,13,304,317,297,9673,9970
ILOC10702207,26,703,729,109,3466,3575,0,120,120,5,122,127,114,3708,3822,7,183,190,147,4594,4741
ILOC10702301,46,353,399,92,1152,1244,6,40,46,6,50,56,104,1242,1346,10,76,86,160,1671,1831
ILOC10702302,137,6901,7038,403,33586,33989,20,1109,1129,38,2003,2041,461,36698,37159,28,1502,1530,626,45101,45727
ILOC10702401,55,6967,7022,207,23766,23973,16,904,920,15,1135,1150,238,25805,26043,4,1339,1343,297,34111,34408
ILOC10702501,74,6649,6723,322,28624,28946,12,1086,1098,27,1447,1474,361,31157,31518,26,1269,1295,461,39075,39536
ILOC10702502,53,4461,4514,345,28206,28551,15,900,915,21,797,818,381,29903,30284,19,995,1014,453,35359,35812
ILOC10702601,154,2574,2728,252,16326,16578,8,434,442,38,1230,1268,298,17990,18288,36,684,720,488,21248,21736
ILOC10702602,58,3079,3137,151,18041,18192,6,591,597,17,2009,2026,174,20641,20815,24,675,699,256,24395,24651
ILOC10702603,92,2377,2469,152,18146,18298,5,454,459,29,1264,1293,186,19864,20050,12,759,771,290,23000,23290
ILOC10702604,70,799,869,67,2079,2146,3,82,85,10,172,182,80,2333,2413,12,194,206,162,3326,3488
ILOC10702701,23,2594,2617,85,11155,11240,3,407,410,10,529,539,98,12091,12189,5,485,490,126,15170,15296
ILOC10702702,15,1875,1890,42,7873,7915,0,216,216,0,273,273,42,8362,8404,0,434,434,57,10671,10728
ILOC10702703,32,3989,4021,109,21462,21571,0,570,570,13,1012,1025,122,23044,23166,10,820,830,164,27853,28017
ILOC10702704,4,1660,1664,42,8679,8721,3,237,240,5,318,323,50,9234,9284,0,430,430,54,11324,11378
ILOC10702801,12,3642,3654,95,30158,30253,0,735,735,8,1095,1103,103,31988,32091,7,840,847,122,36470,36592
ILOC10702802,15,3599,3614,90,31435,31525,3,937,940,9,2121,2130,102,34493,34595,5,945,950,122,39037,39159
ILOC10702901,71,2196,2267,321,9426,9747,20,483,503,25,347,372,366,10256,10622,20,517,537,457,12969,13426
ILOC10703001,506,16143,16649,1278,46163,47441,59,2357,2416,120,2453,2573,1457,50973,52430,106,2581,2687,2069,69697,71766
ILOC10703101,18,3126,3144,106,18674,18780,4,610,614,11,1416,1427,121,20700,20821,6,901,907,145,24727,24872
ILOC10703102,11,2159,2170,41,16064,16105,3,503,506,4,1048,1052,48,17615,17663,3,626,629,62,20400,20462
ILOC19499494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC19799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
