region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
ILOC10501402,6,306,6,318,4,68,0,72,13,439,0,452,8,130,0,138,4,116,3,123,0,8,3,11,0,45,48,93,35,1112,60,1207,12,429,0,441,3,55,3,61,14,315,3,332,3,83,0,86,5,63,3,71,0,3,0,3,5,38,34,77,42,986,43,1071,18,735,6,759,7,123,3,133,27,754,3,784,11,213,0,224,9,179,6,194,0,11,3,14,5,83,82,170,77,2098,103,2278
ILOC10501403,8,82,3,93,5,20,0,25,20,123,0,143,9,38,0,47,19,49,0,68,0,0,0,0,9,25,14,48,70,337,17,424,11,129,0,140,6,24,3,33,29,120,0,149,14,35,0,49,14,41,0,55,0,4,0,4,7,13,18,38,81,366,21,468,19,211,3,233,11,44,3,58,49,243,0,292,23,73,0,96,33,90,0,123,0,4,0,4,16,38,32,86,151,703,38,892
ILOC10501501,45,1830,9,1884,17,464,7,488,87,2938,32,3057,36,783,10,829,32,619,9,660,3,25,0,28,78,629,333,1040,298,7288,400,7986,43,2227,13,2283,25,449,5,479,87,2611,23,2721,42,892,16,950,25,573,11,609,0,14,0,14,11,363,320,694,233,7129,388,7750,88,4057,22,4167,42,913,12,967,174,5549,55,5778,78,1675,26,1779,57,1192,20,1269,3,39,0,42,89,992,653,1734,531,14417,788,15736
ILOC10501502,8,492,3,503,6,127,0,133,19,762,4,785,6,195,3,204,6,147,3,156,0,14,0,14,19,163,66,248,64,1900,79,2043,15,651,0,666,3,120,3,126,9,632,4,645,8,171,3,182,6,106,3,115,0,11,0,11,0,73,50,123,41,1764,63,1868,23,1143,3,1169,9,247,3,259,28,1394,8,1430,14,366,6,386,12,253,6,271,0,25,0,25,19,236,116,371,105,3664,142,3911
ILOC10501601,46,2466,22,2534,23,550,5,578,120,3062,30,3212,48,930,8,986,38,725,23,786,0,42,7,49,12,381,520,913,287,8156,615,9058,66,3113,21,3200,31,500,7,538,82,2854,34,2970,40,853,10,903,16,602,17,635,0,38,0,38,20,385,372,777,255,8345,461,9061,112,5579,43,5734,54,1050,12,1116,202,5916,64,6182,88,1783,18,1889,54,1327,40,1421,0,80,7,87,32,766,892,1690,542,16501,1076,18119
ILOC10501701,14,445,3,462,11,117,0,128,43,676,11,730,35,214,5,254,29,217,3,249,3,0,3,6,27,144,117,288,162,1813,142,2117,20,580,13,613,10,127,3,140,41,658,11,710,40,176,3,219,18,168,3,189,3,3,0,6,20,157,110,287,152,1869,143,2164,34,1025,16,1075,21,244,3,268,84,1334,22,1440,75,390,8,473,47,385,6,438,6,3,3,12,47,301,227,575,314,3682,285,4281
ILOC10501801,23,1110,0,1133,3,179,3,185,42,912,6,960,13,234,0,247,13,166,3,182,0,17,0,17,8,80,111,199,102,2698,123,2923,26,1339,8,1373,10,165,3,178,37,984,5,1026,15,255,3,273,14,146,0,160,0,13,0,13,7,130,83,220,109,3032,102,3243,49,2449,8,2506,13,344,6,363,79,1896,11,1986,28,489,3,520,27,312,3,342,0,30,0,30,15,210,194,419,211,5730,225,6166
ILOC10501802,22,610,3,635,6,109,0,115,45,674,3,722,14,192,3,209,16,166,4,186,3,12,0,15,16,95,149,260,122,1858,162,2142,20,723,10,753,11,130,0,141,50,694,4,748,19,205,3,227,11,191,3,205,0,11,0,11,28,111,102,241,139,2065,122,2326,42,1333,13,1388,17,239,0,256,95,1368,7,1470,33,397,6,436,27,357,7,391,3,23,0,26,44,206,251,501,261,3923,284,4468
ILOC10501803,13,1098,3,1114,7,141,3,151,14,799,11,824,8,179,3,190,8,127,3,138,3,8,3,14,3,75,79,157,56,2427,105,2588,16,1200,8,1224,8,169,3,180,16,843,12,871,15,196,0,211,7,129,0,136,0,7,3,10,7,108,56,171,69,2652,82,2803,29,2298,11,2338,15,310,6,331,30,1642,23,1695,23,375,3,401,15,256,3,274,3,15,6,24,10,183,135,328,125,5079,187,5391
ILOC10501804,16,283,4,303,13,75,0,88,34,406,5,445,19,165,4,188,17,147,3,167,3,14,0,17,20,90,98,208,122,1180,114,1416,23,372,0,395,12,77,0,89,37,392,5,434,28,184,0,212,22,124,3,149,3,18,0,21,30,89,107,226,155,1256,115,1526,39,655,4,698,25,152,0,177,71,798,10,879,47,349,4,400,39,271,6,316,6,32,0,38,50,179,205,434,277,2436,229,2942
