region_id,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC10700701,133,177,199,376,126,141,267,442,495,937,83,77,160,651,713,1364
ILOC10700702,721,512,513,1025,69,84,153,1594,1527,3121,364,386,750,2027,1997,4024
ILOC10700703,416,329,342,671,50,51,101,1001,1108,2109,216,225,441,1267,1384,2651
ILOC10700704,54,63,65,128,12,5,17,240,276,516,32,31,63,284,312,596
ILOC10700705,959,906,874,1780,148,165,313,2984,3263,6247,558,467,1025,3690,3895,7585
ILOC10700706,726,543,597,1140,116,119,235,1609,1643,3252,371,415,786,2096,2177,4273
ILOC10700707,445,484,473,957,61,63,124,2150,2141,4291,255,253,508,2466,2457,4923
ILOC10700708,571,817,1081,1898,136,145,281,2906,3239,6145,294,349,643,3336,3733,7069
ILOC10700709,467,491,495,986,60,84,144,1665,1688,3353,264,256,520,1989,2028,4017
ILOC10700710,397,416,384,800,78,87,165,2022,1985,4007,218,217,435,2318,2289,4607
ILOC10700711,230,282,270,552,53,78,131,1090,1113,2203,137,123,260,1280,1314,2594
ILOC10700712,143,171,130,301,45,40,85,657,646,1303,92,70,162,794,756,1550
ILOC10700713,153,200,190,390,47,50,97,892,1000,1892,81,76,157,1020,1126,2146
ILOC10700801,3265,3072,2933,6005,39,42,81,9154,9319,18473,1865,1706,3571,11058,11067,22125
ILOC10700802,2555,3005,2651,5656,99,107,206,9515,9362,18877,1519,1350,2869,11133,10819,21952
ILOC10700803,1607,1567,1624,3191,140,134,274,6924,7139,14063,898,859,1757,7962,8132,16094
ILOC10700804,6495,6326,5872,12198,136,160,296,19001,18294,37295,3732,3258,6990,22869,21712,44581
ILOC10700901,4004,5034,5048,10082,194,176,370,16768,17521,34289,2360,2270,4630,19322,19967,39289
ILOC10700902,1592,2153,2073,4226,109,86,195,9943,10027,19970,992,929,1921,11044,11042,22086
ILOC10701001,1235,974,820,1794,103,77,180,3324,3379,6703,701,610,1311,4128,4066,8194
ILOC10701002,407,405,429,834,65,74,139,1433,1619,3052,220,221,441,1718,1914,3632
ILOC10701003,694,674,683,1357,187,180,367,3102,3263,6365,410,362,772,3699,3805,7504
ILOC10701101,4172,3992,3860,7852,133,176,309,12937,13157,26094,2425,2110,4535,15495,15443,30938
ILOC10701201,6132,5213,5470,10683,133,177,310,39683,41084,80767,3468,3311,6779,43284,44572,87856
ILOC10701301,3760,3216,3201,6417,98,75,173,16374,16435,32809,2099,1909,4008,18571,18419,36990
ILOC10701401,2193,2216,2289,4505,102,98,200,10426,10575,21001,1227,1144,2371,11755,11817,23572
ILOC10701402,1604,1462,1524,2986,50,55,105,7524,7726,15250,922,847,1769,8496,8628,17124
ILOC10701501,441,466,440,906,61,68,129,2484,2546,5030,282,216,498,2827,2830,5657
ILOC10701502,1402,1750,1748,3498,450,454,904,8110,8557,16667,808,768,1576,9368,9779,19147
ILOC10701601,2441,1685,1610,3295,80,95,175,5165,5889,11054,1306,1201,2507,6551,7185,13736
ILOC10701701,5802,5084,5134,10218,393,373,766,14222,14919,29141,3180,3020,6200,17795,18312,36107
ILOC10701702,2169,2394,2365,4759,171,171,342,11141,11354,22495,1258,1219,2477,12570,12744,25314
ILOC10701801,9,7,5,12,0,0,0,19,25,44,4,5,9,23,30,53
ILOC10701901,4561,3360,2902,6262,188,197,385,8370,9173,17543,2587,2122,4709,11145,11492,22637
ILOC10702001,5949,5015,4920,9935,120,135,255,22908,23570,46478,3396,2932,6328,26424,26637,53061
ILOC10702002,1804,1538,1547,3085,60,48,108,7224,7589,14813,1061,893,1954,8345,8530,16875
ILOC10702101,3086,2739,2005,4744,117,49,166,6081,5811,11892,1783,1418,3201,7981,7278,15259
ILOC10702102,1361,1287,1357,2644,77,54,131,6372,6482,12854,777,703,1480,7226,7239,14465
ILOC10702103,937,944,1078,2022,93,70,163,4598,4831,9429,531,517,1048,5222,5418,10640
ILOC10702104,2046,1983,1812,3795,56,64,120,5161,5192,10353,1244,1000,2244,6461,6256,12717
ILOC10702201,758,1227,849,2076,258,219,477,3539,3400,6939,460,373,833,4257,3992,8249
ILOC10702202,390,369,376,745,81,87,168,3080,3300,6380,222,211,433,3383,3598,6981
ILOC10702203,1152,1014,1115,2129,184,233,417,3076,3426,6502,619,611,1230,3879,4270,8149
ILOC10702204,988,974,949,1923,255,243,498,4033,4211,8244,562,519,1081,4850,4973,9823
ILOC10702205,1077,1118,1111,2229,204,223,427,2959,3285,6244,645,515,1160,3808,4023,7831
ILOC10702206,767,901,838,1739,181,145,326,4459,4596,9055,460,403,863,5100,5144,10244
ILOC10702207,299,318,471,789,66,117,183,1705,1838,3543,173,147,320,1944,2102,4046
ILOC10702301,330,238,257,495,75,82,157,557,554,1111,164,173,337,796,809,1605
ILOC10702302,7410,6496,4928,11424,446,272,718,17855,17108,34963,4100,3619,7719,22401,20999,43400
