region_id,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
ILOC10100101,198,211,409,4,4,8,0,3,3,202,218,420,1179,1118,2297,100,93,193,1481,1429,2910
ILOC10100201,964,1121,2085,5,11,16,16,16,32,985,1148,2133,5314,6066,11380,228,232,460,6527,7446,13973
ILOC10100202,198,248,446,0,4,4,0,0,0,198,252,450,1235,1400,2635,127,119,246,1560,1771,3331
ILOC10100203,356,361,717,8,8,16,3,6,9,367,375,742,3168,3527,6695,176,152,328,3711,4054,7765
ILOC10100204,180,157,337,4,4,8,4,0,4,188,161,349,3220,3022,6242,235,202,437,3643,3385,7028
ILOC10100205,624,645,1269,9,15,24,3,14,17,636,674,1310,2601,2690,5291,126,115,241,3363,3479,6842
ILOC10100301,267,256,523,3,3,6,0,4,4,270,263,533,1691,1852,3543,107,117,224,2068,2232,4300
ILOC10100401,404,477,881,12,7,19,11,4,15,427,488,915,1312,1406,2718,81,77,158,1820,1971,3791
ILOC10100402,77,89,166,0,0,0,0,4,4,77,93,170,962,803,1765,61,47,108,1100,943,2043
ILOC10100403,109,112,221,0,3,3,0,0,0,109,115,224,303,295,598,17,12,29,429,422,851
ILOC10100501,377,371,748,4,7,11,3,3,6,384,381,765,4187,4515,8702,287,273,560,4858,5169,10027
ILOC10100502,104,117,221,0,0,0,4,0,4,108,117,225,1601,1505,3106,123,101,224,1832,1723,3555
ILOC10100503,93,109,202,0,0,0,0,0,0,93,109,202,254,268,522,17,14,31,364,391,755
ILOC10100601,151,207,358,0,0,0,0,0,0,151,207,358,1140,1104,2244,61,46,107,1352,1357,2709
ILOC10100701,211,218,429,0,0,0,3,0,3,214,218,432,909,1079,1988,82,74,156,1205,1371,2576
ILOC10100702,179,178,357,0,7,7,10,3,13,189,188,377,2559,2394,4953,152,119,271,2900,2701,5601
ILOC10100801,550,547,1097,13,3,16,9,8,17,572,558,1130,1481,1664,3145,135,129,264,2188,2351,4539
ILOC10100802,412,178,590,7,4,11,3,6,9,422,188,610,1887,1651,3538,85,77,162,2394,1916,4310
ILOC10200101,689,802,1491,7,7,14,11,6,17,707,815,1522,10275,11132,21407,619,712,1331,11601,12659,24260
ILOC10200201,238,220,458,7,6,13,9,8,17,254,234,488,3840,3981,7821,191,155,346,4285,4370,8655
ILOC10200301,539,547,1086,5,3,8,6,6,12,550,556,1106,3105,3302,6407,197,179,376,3852,4037,7889
ILOC10200302,130,113,243,4,4,8,0,0,0,134,117,251,1925,1767,3692,120,108,228,2179,1992,4171
ILOC10200401,131,125,256,5,6,11,0,3,3,136,134,270,1857,1873,3730,109,93,202,2102,2100,4202
ILOC10200402,82,92,174,0,0,0,4,0,4,86,92,178,170,165,335,8,6,14,264,263,527
ILOC10200501,87,74,161,18,9,27,0,0,0,105,83,188,2280,2265,4545,71,55,126,2456,2403,4859
ILOC10200502,521,479,1000,19,14,33,8,12,20,548,505,1053,7015,7420,14435,339,251,590,7902,8176,16078
ILOC10200601,63,69,132,7,0,7,0,4,4,70,73,143,1583,1459,3042,103,82,185,1756,1614,3370
ILOC10200602,152,174,326,0,9,9,0,4,4,152,187,339,1046,1123,2169,44,28,72,1242,1338,2580
ILOC10200603,47,39,86,0,0,0,3,0,3,50,39,89,3,0,3,0,0,0,53,39,92
ILOC10200604,122,116,238,3,3,6,3,0,3,128,119,247,578,569,1147,19,26,45,725,714,1439
ILOC10200701,165,173,338,0,0,0,0,8,8,165,181,346,1064,1081,2145,130,94,224,1359,1356,2715
ILOC10200702,443,512,955,5,10,15,5,4,9,453,526,979,1000,947,1947,221,249,470,1674,1722,3396
ILOC10200703,96,95,191,3,0,3,3,3,6,102,98,200,610,617,1227,37,37,74,749,752,1501
ILOC10200704,145,173,318,0,3,3,0,0,0,145,176,321,34,41,75,34,27,61,213,244,457
ILOC10200801,176,188,364,0,0,0,0,3,3,176,191,367,130,109,239,11,11,22,317,311,628
ILOC10200802,115,106,221,0,0,0,0,0,0,115,106,221,1958,1686,3644,99,52,151,2172,1844,4016
ILOC10200803,42,80,122,3,3,6,0,3,3,45,86,131,168,162,330,12,12,24,225,260,485
ILOC10200804,113,118,231,0,0,0,0,0,0,113,118,231,53,38,91,0,0,0,166,156,322
ILOC10200901,308,336,644,4,9,13,4,0,4,316,345,661,4949,4800,9749,334,298,632,5599,5443,11042
ILOC10200902,110,71,181,6,0,6,0,0,0,116,71,187,2295,1972,4267,157,138,295,2568,2181,4749
ILOC10201001,288,314,602,3,16,19,11,4,15,302,334,636,2169,2253,4422,106,116,222,2577,2703,5280
ILOC10201002,180,208,388,7,0,7,6,3,9,193,211,404,2713,2572,5285,162,136,298,3068,2919,5987
ILOC10201003,175,167,342,0,0,0,0,0,0,175,167,342,604,606,1210,52,49,101,831,822,1653
