region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
ILOC10100501,17,40,38,372,495,485,781,930,916,1213,1387,1369,155,165,160,1.2,1.1,1.1,3.1,2.4,2.4,7.1,1.8,2.3
ILOC10100502,23,43,42,395,437,435,827,937,926,654,1100,1091,120,80,90,1.3,1.1,1.1,3.2,2.7,2.7,7.6,2.4,2.8
ILOC10100503,19,51,46,312,350,340,541,562,556,867,889,867,100,110,110,1.1,1.0,1.1,2.7,1.9,2.1,11.9,1.7,4.4
ILOC10100601,23,45,42,341,530,492,675,920,881,730,900,900,130,100,110,1.1,1.1,1.1,2.8,2.3,2.3,7.2,0.7,1.7
ILOC10100701,20,50,45,311,395,385,729,646,664,1359,867,870,138,150,140,1.2,1.1,1.1,3.4,2.1,2.3,7.7,1.8,2.7
ILOC10100702,19,47,45,335,381,378,679,700,698,607,913,867,120,100,100,1.2,1.1,1.1,3.4,2.3,2.4,9.6,2.0,2.5
ILOC10100801,19,50,42,352,395,388,735,659,677,997,1010,1000,140,140,140,1.2,1.0,1.1,3.1,2.1,2.3,6.4,1.6,2.7
ILOC10100802,27,43,40,323,467,452,838,875,871,1042,1300,1300,100,110,100,1.2,1.1,1.1,3.2,2.5,2.5,5.7,2.0,2.4
ILOC10200101,20,36,35,338,507,494,756,1016,992,1325,1465,1459,190,210,200,1.2,1.1,1.1,3.1,2.4,2.4,8.8,2.0,2.4
ILOC10200201,22,48,46,323,398,395,804,730,734,1300,1083,1083,150,155,155,1.3,1.1,1.1,3.1,2.2,2.3,9.3,1.3,1.8
ILOC10200301,19,43,39,358,498,478,776,909,886,1083,1300,1300,185,200,200,1.2,1.1,1.1,3.1,2.2,2.4,8.1,1.6,2.5
ILOC10200302,23,41,40,384,504,497,966,1082,1076,865,1300,1300,170,95,100,1.2,1.1,1.1,3.1,2.7,2.8,3.8,1.8,2.0
ILOC10200401,21,42,41,384,440,436,861,840,841,1148,1153,1153,175,135,150,1.3,1.1,1.1,3.7,2.5,2.5,8.9,1.4,1.8
ILOC10200402,17,50,37,309,370,347,628,623,626,2320,575,650,160,118,150,1.4,1.2,1.2,4.3,2.3,2.8,18.0,6.0,9.3
ILOC10200501,17,46,46,322,388,386,700,721,719,867,953,953,140,100,100,1.2,1.1,1.1,3.5,2.3,2.3,14.1,1.5,2.0
ILOC10200502,19,42,41,305,442,430,732,798,793,1138,1200,1200,170,163,165,1.2,1.1,1.1,3.4,2.4,2.5,9.1,2.5,2.9
ILOC10200601,19,45,44,353,507,501,825,943,939,1517,1200,1200,75,75,75,1.2,1.1,1.1,3.1,2.4,2.4,10.2,0.6,1.0
ILOC10200602,27,45,43,386,441,433,861,765,780,867,1213,1170,175,170,175,1.1,1.1,1.1,2.9,2.2,2.3,5.5,1.8,2.3
ILOC10200603,26,31,27,338,350,340,633,0,633,0,0,0,120,0,120,1.2,0,1.2,2.7,0,2.7,0,0,0
