region_id,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_199_M,PI1_199_F,PI1_199_P,PI200_299_M,PI200_299_F,PI200_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_599_M,PI400_599_F,PI400_599_P,PI600_799_M,PI600_799_F,PI600_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC10400505,9,8,17,5,10,15,20,21,41,11,21,32,13,20,33,10,0,10,6,3,9,11,6,17,5,6,11,90,95,185
ILOC10400506,14,9,23,18,12,30,41,40,81,28,45,73,21,34,55,9,12,21,6,5,11,7,10,17,14,14,28,158,181,339
ILOC10400507,22,25,47,32,26,58,39,36,75,20,34,54,18,52,70,25,21,46,7,8,15,21,22,43,15,18,33,199,242,441
ILOC10400601,6,12,18,9,8,17,13,9,22,8,16,24,12,12,24,18,12,30,0,6,6,15,3,18,6,4,10,87,82,169
ILOC10400602,8,5,13,9,6,15,6,16,22,7,21,28,9,19,28,8,7,15,6,0,6,9,4,13,6,0,6,68,78,146
ILOC10400701,48,42,90,46,47,93,31,43,74,37,51,88,39,54,93,42,36,78,36,24,60,89,43,132,18,15,33,386,355,741
ILOC10400702,109,71,180,78,103,181,90,123,213,78,133,211,82,135,217,78,97,175,58,42,100,137,86,223,63,61,124,773,851,1624
ILOC10400801,14,22,36,27,28,55,22,32,54,17,24,41,21,40,61,28,19,47,15,4,19,24,10,34,7,7,14,175,186,361
ILOC10400802,19,13,32,26,24,50,24,45,69,29,45,74,23,30,53,8,16,24,9,8,17,17,9,26,15,9,24,170,199,369
ILOC10400803,3,3,6,6,16,22,17,12,29,12,15,27,10,7,17,7,7,14,4,0,4,11,0,11,6,4,10,76,64,140
ILOC10400901,32,25,57,34,33,67,72,76,148,58,90,148,43,75,118,22,33,55,11,16,27,7,25,32,39,49,88,318,422,740
ILOC10400902,29,15,44,24,25,49,48,41,89,32,36,68,28,27,55,10,23,33,9,8,17,19,11,30,181,25,206,380,211,591
ILOC10400903,3,3,6,8,4,12,8,14,22,13,18,31,3,8,11,0,3,3,0,0,0,4,0,4,9,3,12,48,53,101
ILOC10400904,12,4,16,18,25,43,42,37,79,42,56,98,12,36,48,12,12,24,0,14,14,16,5,21,13,18,31,167,207,374
ILOC10400905,6,8,14,7,6,13,7,7,14,16,17,33,7,10,17,7,8,15,3,7,10,12,8,20,5,6,11,70,77,147
ILOC10401001,3,6,9,8,15,23,23,11,34,17,13,30,7,13,20,18,15,33,0,5,5,10,0,10,17,8,25,103,86,189
ILOC10401002,4,7,11,9,9,18,22,15,37,7,11,18,8,9,17,5,8,13,3,0,3,0,3,3,7,9,16,65,71,136
ILOC10401101,39,42,81,57,69,126,71,104,175,44,97,141,66,106,172,47,67,114,36,27,63,94,33,127,42,33,75,496,578,1074
ILOC10401102,58,71,129,66,73,139,85,85,170,50,82,132,61,120,181,65,81,146,63,61,124,154,61,215,35,47,82,637,681,1318
ILOC10401103,51,55,106,57,73,130,74,91,165,50,67,117,67,105,172,55,52,107,26,31,57,107,48,155,48,45,93,535,567,1102
ILOC10401201,14,14,28,28,30,58,33,46,79,30,34,64,11,42,53,22,23,45,10,19,29,22,24,46,25,27,52,195,259,454
ILOC10401202,8,7,15,17,14,31,17,30,47,21,31,52,16,21,37,11,12,23,6,7,13,8,10,18,13,10,23,117,142,259
ILOC10401203,11,13,24,17,14,31,37,23,60,17,20,37,10,16,26,7,8,15,7,4,11,6,17,23,12,14,26,124,129,253
ILOC10401204,6,9,15,14,20,34,12,10,22,9,14,23,10,24,34,7,8,15,7,8,15,15,12,27,9,5,14,89,110,199
ILOC10401301,39,71,110,84,93,177,90,112,202,71,104,175,52,134,186,56,89,145,53,48,101,147,67,214,48,49,97,640,767,1407
ILOC10401401,28,21,49,42,36,78,74,57,131,36,76,112,47,68,115,41,48,89,38,43,81,84,54,138,39,29,68,429,432,861
ILOC10401402,41,38,79,43,53,96,61,82,143,61,81,142,50,79,129,46,50,96,33,34,67,75,52,127,31,39,70,441,508,949
ILOC10401403,44,27,71,43,52,95,71,70,141,35,53,88,38,84,122,36,45,81,36,30,66,112,44,156,28,32,60,443,437,880
ILOC10401501,23,18,41,22,31,53,43,24,67,27,37,64,33,53,86,21,28,49,21,7,28,25,15,40,10,9,19,225,222,447
