region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
ILOC10400403,10,68,78,11,142,153,29,332,361,29,816,845,88,1297,1385,78,941,1019,69,804,873,73,683,756,49,557,606,41,755,796,25,427,452,12,250,262,9,253,262,67,572,639,34,309,343,624,8206,8830
ILOC10400404,0,25,25,5,47,52,10,96,106,14,241,255,13,489,502,11,349,360,10,289,299,10,189,199,8,136,144,10,159,169,4,90,94,0,61,61,0,53,53,8,159,167,4,65,69,107,2448,2555
ILOC10400405,3,63,66,11,138,149,11,223,234,16,599,615,42,955,997,32,746,778,27,581,608,16,449,465,12,363,375,19,409,428,10,223,233,4,130,134,3,128,131,26,384,410,11,173,184,243,5564,5807
ILOC10400501,0,61,61,4,104,108,15,185,200,14,467,481,27,758,785,25,601,626,20,516,536,15,395,410,15,308,323,21,393,414,5,223,228,3,129,132,0,136,136,17,416,433,0,139,139,181,4831,5012
ILOC10400502,0,0,0,3,7,10,3,17,20,7,56,63,16,79,95,17,57,74,5,31,36,5,33,38,3,20,23,6,16,22,3,3,6,0,0,0,0,0,0,7,16,23,3,6,9,78,341,419
ILOC10400503,9,201,210,22,294,316,32,752,784,47,1613,1660,123,2586,2709,99,2115,2214,79,1903,1982,87,1704,1791,65,1348,1413,95,1947,2042,47,1246,1293,28,782,810,17,870,887,98,1403,1501,33,532,565,881,19296,20177
ILOC10400504,3,10,13,3,20,23,0,48,48,8,123,131,13,206,219,10,145,155,7,117,124,5,83,88,3,66,69,6,81,87,0,40,40,3,17,20,0,9,9,3,63,66,9,32,41,73,1060,1133
ILOC10400505,0,34,34,0,80,80,3,134,137,6,306,312,23,510,533,12,417,429,19,349,368,16,280,296,14,199,213,18,268,286,9,139,148,3,73,76,3,95,98,7,264,271,4,83,87,137,3231,3368
ILOC10400506,0,31,31,4,42,46,16,153,169,26,413,439,31,466,497,28,369,397,29,252,281,21,160,181,9,120,129,10,128,138,8,49,57,0,43,43,0,38,38,18,118,136,8,101,109,208,2483,2691
ILOC10400507,3,47,50,5,78,83,14,196,210,19,523,542,50,836,886,36,706,742,28,538,566,33,493,526,27,404,431,26,525,551,16,351,367,9,176,185,3,170,173,26,372,398,15,171,186,310,5586,5896
ILOC10400601,0,31,31,0,48,48,4,78,82,8,257,265,18,360,378,11,318,329,12,235,247,15,229,244,12,213,225,10,312,322,7,204,211,4,183,187,3,201,204,19,232,251,5,88,93,128,2989,3117
ILOC10400602,4,24,28,0,48,48,3,73,76,9,206,215,14,282,296,18,207,225,17,198,215,7,143,150,9,114,123,9,161,170,7,78,85,4,86,90,3,64,67,9,130,139,0,69,69,113,1883,1996
ILOC10400701,6,235,241,8,341,349,11,529,540,22,1642,1664,35,2676,2711,40,1991,2031,48,1960,2008,45,1749,1794,58,1587,1645,51,2582,2633,55,1925,1980,27,1856,1883,50,2349,2399,59,2064,2123,12,623,635,527,24109,24636
ILOC10400702,8,353,361,29,525,554,49,1177,1226,75,3057,3132,127,3983,4110,134,3528,3662,105,2957,3062,91,2941,3032,88,2559,2647,128,4020,4148,85,2513,2598,67,2016,2083,64,2186,2250,111,2460,2571,54,1168,1222,1215,35443,36658
ILOC10400801,3,100,103,10,139,149,6,176,182,13,547,560,54,949,1003,36,786,822,25,699,724,22,448,470,20,387,407,26,465,491,16,235,251,7,176,183,10,152,162,25,495,520,5,209,214,278,5963,6241
ILOC10400802,0,49,49,5,104,109,11,206,217,26,532,558,34,931,965,35,730,765,27,511,538,23,331,354,16,313,329,14,362,376,12,188,200,4,154,158,3,169,172,22,306,328,11,209,220,243,5095,5338
ILOC10400803,3,29,32,3,52,55,3,121,124,18,350,368,23,568,591,7,398,405,9,285,294,5,151,156,5,117,122,8,110,118,4,68,72,0,52,52,3,40,43,12,117,129,10,131,141,113,2589,2702
ILOC10400901,7,19,26,7,37,44,35,137,172,54,355,409,70,409,479,66,293,359,46,226,272,26,198,224,31,113,144,18,159,177,6,62,68,5,37,42,3,26,29,46,128,174,24,93,117,444,2292,2736
ILOC10400902,0,51,51,14,103,117,4,171,175,20,380,400,46,647,693,35,538,573,36,450,486,22,387,409,21,292,313,19,388,407,10,232,242,8,141,149,6,112,118,19,344,363,15,138,153,275,4374,4649
ILOC10400903,0,7,7,3,10,13,4,10,14,3,51,54,6,41,47,8,41,49,4,32,36,4,17,21,3,11,14,0,22,22,0,3,3,3,3,6,0,0,0,10,28,38,3,8,11,51,284,335
ILOC10400904,0,4,4,4,12,16,6,28,34,16,59,75,32,107,139,23,79,102,5,79,84,16,79,95,14,45,59,12,60,72,7,37,44,8,23,31,4,22,26,14,59,73,7,20,27,168,713,881
ILOC10400905,0,21,21,0,41,41,6,74,80,9,229,238,17,372,389,15,256,271,6,210,216,8,133,141,4,125,129,9,124,133,5,76,81,3,51,54,4,36,40,10,120,130,5,63,68,101,1931,2032
ILOC10401001,3,28,31,4,81,85,5,168,173,6,383,389,20,565,585,27,392,419,11,341,352,12,235,247,7,207,214,9,225,234,9,123,132,0,89,89,0,62,62,20,213,233,6,89,95,139,3201,3340
ILOC10401002,3,5,8,0,6,6,6,8,14,5,14,19,8,27,35,6,23,29,9,15,24,6,14,20,3,6,9,0,15,15,0,10,10,0,6,6,0,4,4,4,14,18,3,8,11,53,175,228
ILOC10401101,6,197,203,19,291,310,36,691,727,59,1991,2050,119,2635,2754,75,2089,2164,74,1728,1802,76,1523,1599,59,1360,1419,75,2246,2321,46,1652,1698,32,1522,1554,38,2018,2056,71,1693,1764,33,701,734,818,22337,23155
ILOC10401102,9,191,200,18,275,293,19,572,591,47,1905,1952,87,2571,2658,87,2341,2428,80,2069,2149,76,2121,2197,63,1897,1960,126,3371,3497,94,2487,2581,54,1948,2002,59,2567,2626,92,1948,2040,35,634,669,946,26897,27843
ILOC10401103,5,184,189,20,287,307,34,528,562,40,1507,1547,95,2403,2498,96,1932,2028,59,1673,1732,63,1430,1493,58,1277,1335,80,1900,1980,62,1260,1322,28,1076,1104,40,1309,1349,82,1498,1580,42,526,568,804,18790,19594
ILOC10401201,4,27,31,6,63,69,18,140,158,23,376,399,29,615,644,32,506,538,34,447,481,33,455,488,19,392,411,30,503,533,10,313,323,6,200,206,4,173,177,30,292,322,15,90,105,293,4592,4885
ILOC10401202,4,32,36,0,56,56,7,188,195,21,338,359,20,493,513,28,418,446,15,350,365,16,333,349,10,261,271,19,316,335,3,196,199,6,132,138,0,131,131,20,209,229,5,86,91,174,3539,3713
ILOC10401203,5,37,42,5,61,66,9,132,141,17,342,359,21,419,440,25,373,398,13,297,310,15,283,298,8,244,252,16,332,348,8,147,155,6,79,85,3,109,112,14,222,236,5,75,80,170,3152,3322
ILOC10401204,0,61,61,5,87,92,3,207,210,6,317,323,20,525,545,21,453,474,10,427,437,18,391,409,10,333,343,18,474,492,6,274,280,3,173,176,12,166,178,13,326,339,3,79,82,148,4293,4441
ILOC10401301,9,188,197,25,244,269,25,528,553,48,1586,1634,97,2146,2243,109,1925,2034,96,1680,1776,97,1767,1864,83,1572,1655,120,2798,2918,79,2052,2131,54,1999,2053,77,2283,2360,87,1662,1749,49,562,611,1055,22992,24047
ILOC10401401,7,204,211,19,276,295,45,761,806,49,1605,1654,52,1679,1731,60,1609,1669,55,1430,1485,52,1520,1572,41,1376,1417,65,2226,2291,61,1582,1643,48,1688,1736,32,2173,2205,59,1499,1558,27,472,499,672,20100,20772
ILOC10401402,7,182,189,4,208,212,35,469,504,44,1349,1393,65,1695,1760,65,1397,1462,54,1222,1276,62,1284,1346,43,1122,1165,75,1838,1913,46,1291,1337,35,983,1018,34,1032,1066,71,1117,1188,29,401,430,669,15590,16259
ILOC10401403,13,171,184,9,284,293,36,732,768,33,1854,1887,60,2072,2132,65,1766,1831,57,1520,1577,40,1532,1572,50,1344,1394,63,2238,2301,71,1692,1763,31,1486,1517,45,1962,2007,55,1480,1535,32,586,618,660,20719,21379
ILOC10401501,6,100,106,7,194,201,7,266,273,35,843,878,52,1454,1506,47,1150,1197,29,972,1001,23,705,728,28,643,671,32,797,829,23,482,505,13,272,285,6,358,364,25,688,713,6,302,308,339,9226,9565
ILOC10401502,4,164,168,12,276,288,19,604,623,38,1546,1584,94,2413,2507,79,1970,2049,55,1688,1743,53,1301,1354,48,1112,1160,45,1477,1522,29,890,919,23,728,751,20,772,792,49,1049,1098,34,520,554,602,16510,17112
ILOC10401503,3,11,14,7,48,55,10,91,101,11,286,297,31,352,383,29,291,320,9,219,228,21,217,238,13,139,152,8,189,197,4,86,90,3,42,45,4,44,48,17,130,147,7,67,74,177,2212,2389
ILOC10401601,0,3,3,3,11,14,4,21,25,5,62,67,13,77,90,11,39,50,8,36,44,4,27,31,0,21,21,3,27,30,3,13,16,0,13,13,3,7,10,5,19,24,3,13,16,65,389,454
ILOC10401602,3,18,21,0,26,26,3,28,31,3,89,92,8,176,184,3,192,195,4,217,221,12,251,263,12,242,254,14,410,424,18,330,348,11,262,273,6,242,248,12,241,253,0,45,45,109,2769,2878
ILOC10401603,3,84,87,0,99,99,6,224,230,7,575,582,21,980,1001,23,783,806,19,691,710,19,493,512,8,490,498,21,658,679,12,433,445,6,334,340,8,368,376,16,459,475,10,217,227,179,6888,7067
ILOC10401604,6,88,94,6,106,112,11,208,219,14,699,713,29,1116,1145,39,885,924,18,762,780,27,622,649,29,561,590,40,860,900,15,601,616,17,493,510,14,554,568,39,627,666,10,239,249,314,8421,8735
ILOC10401605,0,29,29,5,69,74,11,165,176,33,408,441,37,539,576,43,449,492,24,393,417,30,412,442,27,349,376,40,535,575,20,355,375,20,180,200,6,197,203,34,316,350,15,150,165,345,4546,4891
ILOC10401701,5,22,27,9,69,78,19,161,180,27,480,507,44,621,665,45,472,517,31,407,438,31,308,339,15,270,285,31,325,356,13,173,186,5,74,79,3,54,57,37,186,223,24,148,172,339,3770,4109
ILOC10401702,3,4,7,0,3,3,0,12,12,6,35,41,9,61,70,12,44,56,5,31,36,5,45,50,4,23,27,4,32,36,0,18,18,0,7,7,0,3,3,3,22,25,8,12,20,59,352,411
ILOC10401703,3,44,47,3,103,106,4,138,142,10,322,332,17,555,572,21,463,484,10,415,425,12,348,360,13,264,277,13,363,376,11,210,221,4,90,94,6,84,90,15,297,312,11,119,130,153,3815,3968
ILOC10401801,3,66,69,10,98,108,16,159,175,19,363,382,17,516,533,22,432,454,21,425,446,28,414,442,17,467,484,50,852,902,32,534,566,39,1050,1089,46,1194,1240,35,621,656,17,188,205,372,7379,7751
ILOC10401901,0,0,0,0,4,4,3,6,9,7,10,17,3,23,26,12,11,23,8,4,12,0,16,16,4,7,11,3,7,10,0,7,7,0,0,0,0,4,4,0,8,8,0,3,3,40,110,150
ILOC10401902,8,64,72,26,108,134,40,314,354,62,805,867,103,1096,1199,64,846,910,43,647,690,45,551,596,33,371,404,33,525,558,16,258,274,5,142,147,5,132,137,54,372,426,37,258,295,574,6489,7063
ILOC10401903,4,101,105,8,193,201,13,310,323,16,814,830,35,1356,1391,45,1104,1149,27,908,935,36,715,751,35,638,673,29,732,761,16,487,503,8,276,284,6,297,303,21,659,680,13,246,259,312,8836,9148
ILOC10401904,3,14,17,4,32,36,3,72,75,9,212,221,8,264,272,12,230,242,8,151,159,3,157,160,4,122,126,9,162,171,4,68,72,0,28,28,0,21,21,9,99,108,3,65,68,79,1697,1776
ILOC10402001,3,102,105,5,145,150,9,300,309,20,656,676,38,1006,1044,24,919,943,18,750,768,33,637,670,12,510,522,19,686,705,6,397,403,8,240,248,10,250,260,22,602,624,12,197,209,239,7397,7636
ILOC10402002,3,44,47,3,67,70,3,108,111,4,271,275,22,536,558,18,445,463,19,380,399,18,336,354,16,319,335,22,483,505,21,285,306,5,203,208,11,182,193,20,334,354,3,93,96,188,4086,4274
ILOC10402003,11,245,256,17,359,376,33,747,780,50,2059,2109,90,3323,3413,109,2486,2595,74,2056,2130,93,1630,1723,81,1427,1508,96,1775,1871,67,1109,1176,27,726,753,34,717,751,94,1380,1474,49,784,833,925,20823,21748
ILOC10402101,17,300,317,15,412,427,43,894,937,57,2611,2668,171,4070,4241,174,2990,3164,118,2456,2574,138,2087,2225,116,1897,2013,167,2806,2973,97,1913,2010,51,1147,1198,50,1162,1212,133,1957,2090,67,1001,1068,1414,27703,29117
ILOC10402102,13,233,246,20,402,422,38,885,923,62,2224,2286,150,3145,3295,112,2636,2748,96,2199,2295,106,2086,2192,86,1783,1869,116,2700,2816,85,1930,2015,43,1276,1319,48,1460,1508,97,1873,1970,48,841,889,1120,25673,26793
ILOC10500101,0,35,35,3,42,45,6,85,91,3,247,250,6,366,372,3,421,424,4,382,386,9,414,423,10,371,381,9,633,642,4,497,501,7,366,373,3,386,389,13,337,350,3,112,115,83,4694,4777
ILOC10500102,6,156,162,17,225,242,21,513,534,37,1218,1255,65,1660,1725,55,1438,1493,40,1214,1254,30,1129,1159,25,946,971,27,1473,1500,16,1013,1029,5,569,574,10,652,662,35,902,937,28,432,460,417,13540,13957
ILOC10500201,3,3,6,0,4,4,3,16,19,4,40,44,10,49,59,5,49,54,6,45,51,3,38,41,0,24,24,0,41,41,5,15,20,0,6,6,0,14,14,5,24,29,3,27,30,47,395,442
ILOC10500202,3,42,45,0,41,41,9,46,55,4,127,131,14,219,233,18,206,224,14,195,209,17,169,186,6,180,186,8,214,222,3,131,134,3,87,90,3,113,116,6,184,190,9,75,84,117,2029,2146
ILOC10500203,0,0,0,0,0,0,0,0,0,6,0,6,11,0,11,6,0,6,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,33,0,33
ILOC10500204,0,4,4,0,5,5,0,4,4,7,21,28,11,22,33,8,18,26,8,17,25,7,15,22,0,7,7,8,13,21,0,8,8,0,4,4,0,4,4,6,5,11,0,3,3,55,150,205
ILOC10500205,0,11,11,3,11,14,4,27,31,8,64,72,0,78,78,3,56,59,9,28,37,3,28,31,4,27,31,6,24,30,0,24,24,0,7,7,0,7,7,6,40,46,6,18,24,52,450,502
ILOC10500301,11,107,118,12,181,193,22,406,428,44,948,992,67,1336,1403,72,1181,1253,50,1075,1125,54,1041,1095,47,976,1023,63,1530,1593,44,1137,1181,17,869,886,26,949,975,57,937,994,24,346,370,610,13019,13629
ILOC10500401,3,85,88,9,110,119,12,218,230,16,550,566,24,711,735,22,586,608,16,548,564,18,575,593,20,482,502,27,721,748,24,492,516,8,361,369,3,530,533,29,546,575,10,222,232,241,6737,6978
