region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC10501202,0,147,222,369,3,7,10,31,62,93,0,0,0,34,69,103,27,24,51,973,429,1402,7,0,7,1007,453,1460,203,246,449,4161,4155,8316,54,59,113,4418,4460,8878,72,90,162,636,696,1332,8,8,16,716,794,1510,120,118,238,2899,2893,5792,32,41,73,3051,3052,6103,119,160,279,1634,1682,3316,18,23,41,1771,1865,3636
ILOC10501301,4,210,336,546,0,0,0,35,100,135,0,6,6,35,106,141,26,21,47,1136,565,1701,12,5,17,1174,591,1765,165,166,331,4865,4848,9713,90,89,179,5120,5103,10223,37,55,92,685,646,1331,11,11,22,733,712,1445,116,104,220,3647,3587,7234,61,67,128,3824,3758,7582,68,81,149,1565,1578,3143,33,23,56,1666,1682,3348
ILOC10501401,3,31,74,105,8,10,18,5,18,23,0,0,0,13,28,41,18,21,39,171,75,246,3,0,3,192,96,288,265,315,580,817,819,1636,11,11,22,1093,1145,2238,53,49,102,106,141,247,5,6,11,164,196,360,161,190,351,606,612,1218,9,12,21,776,814,1590,107,105,212,263,304,567,4,7,11,374,416,790
ILOC10501402,0,52,91,143,0,0,0,16,17,33,0,0,0,16,17,33,5,3,8,217,99,316,3,3,6,225,105,330,61,58,119,1265,1153,2418,14,7,21,1340,1218,2558,5,12,17,132,119,251,0,3,3,137,134,271,38,37,75,1005,882,1887,11,8,19,1054,927,1981,15,24,39,305,312,617,3,0,3,323,336,659
ILOC10501403,0,15,25,40,0,0,0,4,7,11,0,0,0,4,7,11,8,5,13,69,34,103,3,0,3,80,39,119,83,95,178,361,382,743,6,11,17,450,488,938,17,18,35,50,49,99,0,0,0,67,67,134,50,56,106,279,281,560,3,9,12,332,346,678,38,47,85,109,131,240,3,0,3,150,178,328
ILOC10501501,4,362,506,868,4,3,7,64,160,224,0,0,0,68,163,231,54,32,86,2332,842,3174,19,3,22,2405,877,3282,340,334,674,7836,7756,15592,95,127,222,8271,8217,16488,68,57,125,948,991,1939,15,12,27,1031,1060,2091,200,170,370,5647,5582,11229,72,84,156,5919,5836,11755,154,175,329,2617,2693,5310,23,34,57,2794,2902,5696
ILOC10501502,0,91,142,233,0,0,0,11,27,38,0,0,0,11,27,38,13,8,21,578,209,787,3,0,3,594,217,811,63,53,116,2043,1930,3973,27,26,53,2133,2009,4142,14,7,21,292,291,583,0,3,3,306,301,607,43,33,76,1485,1423,2908,19,23,42,1547,1479,3026,28,28,56,706,656,1362,3,4,7,737,688,1425
ILOC10501601,11,425,738,1163,6,3,9,91,163,254,0,4,4,97,170,267,63,33,96,2596,1001,3597,27,10,37,2686,1044,3730,352,329,681,8774,8746,17520,134,141,275,9260,9216,18476,120,120,240,1679,1740,3419,32,22,54,1831,1882,3713,197,176,373,6137,6022,12159,83,85,168,6417,6283,12700,212,217,429,3679,3838,7517,59,53,112,3950,4108,8058
ILOC10501701,4,62,133,195,3,3,6,12,51,63,0,0,0,15,54,69,15,14,29,452,203,655,6,3,9,473,220,693,222,232,454,2032,2083,4115,29,41,70,2283,2356,4639,45,57,102,259,247,506,8,4,12,312,308,620,148,126,274,1491,1490,2981,20,29,49,1659,1645,3304,91,116,207,648,695,1343,18,13,31,757,824,1581
ILOC10501801,0,189,344,533,0,3,3,30,64,94,0,3,3,30,70,100,25,19,44,858,438,1296,7,3,10,890,460,1350,133,149,282,2974,3234,6208,31,35,66,3138,3418,6556,45,43,88,656,718,1374,8,10,18,709,771,1480,69,75,144,1860,2018,3878,15,31,46,1944,2124,4068,90,91,181,1454,1620,3074,11,3,14,1555,1714,3269
ILOC10501802,3,94,171,265,4,6,10,28,45,73,0,0,0,32,51,83,15,13,28,506,274,780,5,0,5,526,287,813,177,188,365,1969,2111,4080,28,27,55,2174,2326,4500,43,38,81,487,461,948,5,6,11,535,505,1040,116,109,225,1244,1383,2627,19,16,35,1379,1508,2887,71,83,154,1032,1015,2047,5,9,14,1108,1107,2215
ILOC10501803,5,187,327,514,0,3,3,33,60,93,0,0,0,33,63,96,11,12,23,690,319,1009,11,4,15,712,335,1047,85,91,176,2727,2926,5653,21,31,52,2833,3048,5881,22,41,63,556,616,1172,5,5,10,583,662,1245,51,43,94,1746,1839,3585,20,21,41,1817,1903,3720,49,75,124,1300,1502,2802,4,17,21,1353,1594,2947
ILOC10501804,0,45,83,128,3,4,7,11,42,53,0,3,3,14,49,63,18,6,24,276,171,447,3,0,3,297,177,474,210,199,409,1278,1308,2586,15,22,37,1503,1529,3032,41,36,77,233,272,505,4,4,8,278,312,590,112,100,212,809,855,1664,12,10,22,933,965,1898,86,94,180,567,605,1172,3,10,13,656,709,1365
ILOC10501805,0,100,179,279,0,5,5,21,18,39,0,0,0,21,23,44,10,4,14,333,165,498,0,0,0,343,169,512,38,41,79,1474,1747,3221,20,18,38,1532,1806,3338,22,13,35,370,396,766,0,5,5,392,414,806,17,21,38,900,1097,1997,14,13,27,931,1131,2062,33,27,60,828,929,1757,3,6,9,864,962,1826
ILOC10501806,0,131,180,311,0,0,0,13,32,45,0,0,0,13,32,45,9,4,13,506,193,699,0,3,3,515,200,715,32,36,68,1835,1746,3581,13,10,23,1880,1792,3672,24,16,40,344,368,712,0,0,0,368,384,752,24,22,46,1277,1191,2468,7,10,17,1308,1223,2531,20,23,43,792,800,1592,4,3,7,816,826,1642
ILOC10501807,0,46,103,149,0,0,0,7,22,29,0,0,0,7,22,29,5,9,14,288,123,411,6,3,9,299,135,434,43,55,98,1014,1045,2059,9,8,17,1066,1108,2174,11,9,20,169,176,345,4,5,9,184,190,374,32,24,56,712,754,1466,11,8,19,755,786,1541,22,30,52,396,405,801,3,6,9,421,441,862
ILOC10501901,0,215,305,520,3,8,11,36,76,112,0,0,0,39,84,123,25,23,48,1149,487,1636,11,3,14,1185,513,1698,172,207,379,4333,4200,8533,33,36,69,4538,4443,8981,30,60,90,639,612,1251,9,7,16,678,679,1357,83,102,185,3194,3034,6228,27,32,59,3304,3168,6472,82,123,205,1493,1526,3019,8,10,18,1583,1659,3242
ILOC10502001,10,517,831,1348,0,8,8,86,216,302,0,3,3,86,227,313,32,16,48,3023,1244,4267,32,11,43,3087,1271,4358,207,182,389,11477,11186,22663,156,145,301,11840,11513,23353,48,59,107,1379,1505,2884,26,17,43,1453,1581,3034,126,103,229,8465,8080,16545,117,105,222,8708,8288,16996,91,107,198,3679,3904,7583,46,41,87,3816,4052,7868
ILOC10502101,6,358,503,861,6,6,12,61,139,200,3,0,3,70,145,215,36,38,74,1456,704,2160,10,6,16,1502,748,2250,218,226,444,5307,5651,10958,58,76,134,5583,5953,11536,73,74,147,1102,1134,2236,12,9,21,1187,1217,2404,131,114,245,3518,3732,7250,45,55,100,3694,3901,7595,119,141,260,2526,2682,5208,21,15,36,2666,2838,5504
ILOC10502102,0,126,205,331,0,3,3,22,44,66,0,0,0,22,47,69,15,11,26,626,273,899,3,3,6,644,287,931,63,69,132,2151,2253,4404,25,20,45,2239,2342,4581,25,16,41,674,772,1446,9,6,15,708,794,1502,33,30,63,1286,1375,2661,22,14,36,1341,1419,2760,43,44,87,1405,1528,2933,9,8,17,1457,1580,3037
ILOC10502103,0,311,424,735,4,3,7,42,91,133,0,0,0,46,94,140,9,13,22,1186,519,1705,3,0,3,1198,532,1730,56,80,136,4359,4682,9041,30,35,65,4445,4797,9242,28,26,54,819,899,1718,5,7,12,852,932,1784,29,35,64,2675,2880,5555,16,19,35,2720,2934,5654,43,56,99,2136,2294,4430,16,20,36,2195,2370,4565
ILOC10502104,6,286,362,648,3,3,6,59,101,160,0,0,0,62,104,166,20,13,33,1277,536,1813,13,5,18,1310,554,1864,100,111,211,4783,4705,9488,52,52,104,4935,4868,9803,50,32,82,1127,950,2077,8,14,22,1185,996,2181,60,60,120,3072,2963,6035,49,42,91,3181,3065,6246,73,70,143,2486,2329,4815,12,18,30,2571,2417,4988
ILOC10502105,4,214,349,563,3,7,10,50,122,172,3,0,3,56,129,185,70,54,124,1285,728,2013,12,3,15,1367,785,2152,521,530,1051,4632,5197,9829,71,78,149,5224,5805,11029,127,145,272,1058,1227,2285,19,16,35,1204,1388,2592,324,320,644,2827,3204,6031,39,50,89,3190,3574,6764,226,261,487,2365,2757,5122,31,33,64,2622,3051,5673
ILOC10502201,0,187,341,528,3,0,3,40,81,121,0,3,3,43,84,127,19,10,29,1154,507,1661,10,0,10,1183,517,1700,126,132,258,4516,4747,9263,61,58,119,4703,4937,9640,39,52,91,746,813,1559,3,8,11,788,873,1661,63,68,131,3174,3312,6486,50,48,98,3287,3428,6715,74,99,173,1706,1866,3572,11,15,26,1791,1980,3771
ILOC10600101,0,61,90,151,3,3,6,16,29,45,0,0,0,19,32,51,4,7,11,325,177,502,8,0,8,337,184,521,75,87,162,1450,1617,3067,32,33,65,1557,1737,3294,24,22,46,242,288,530,4,5,9,270,315,585,37,44,81,972,1073,2045,23,25,48,1032,1142,2174,46,48,94,583,715,1298,7,11,18,636,774,1410
ILOC10600102,9,636,1034,1670,4,7,11,74,189,263,0,0,0,78,196,274,34,20,54,2969,1037,4006,21,11,32,3024,1068,4092,169,163,332,9718,9910,19628,103,128,231,9990,10201,20191,40,53,93,1618,1707,3325,14,13,27,1672,1773,3445,105,82,187,6806,6796,13602,72,87,159,6983,6965,13948,86,100,186,4033,4285,8318,35,46,81,4154,4431,8585
ILOC10600103,0,44,80,124,3,3,6,3,30,33,0,0,0,6,33,39,4,0,4,294,135,429,3,6,9,301,141,442,95,93,188,1095,1176,2271,12,19,31,1202,1288,2490,19,18,37,200,197,397,3,3,6,222,218,440,63,51,114,760,787,1547,11,16,27,834,854,1688,36,47,83,467,518,985,5,5,10,508,570,1078
