region_id,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
ILOC10300302,0,4,0,4,0,6,0,6,0,6,0,6,0,5,0,5,0,8,0,8,0,4,0,4,0,0,0,0,0,33,0,33,0,3,3,6,0,3,0,3,0,7,0,7,0,3,0,3,0,4,0,4,0,0,0,0,3,3,0,6,3,23,3,29,0,7,3,10,0,9,0,9,0,13,0,13,0,8,0,8,0,12,0,12,0,4,0,4,3,3,0,6,3,56,3,62
ILOC10300401,5,39,5,49,4,17,3,24,5,43,0,48,3,42,3,48,8,31,3,42,3,35,3,41,0,19,3,22,28,226,20,274,6,39,4,49,8,24,3,35,12,41,5,58,13,45,3,61,12,36,3,51,12,19,3,34,0,25,3,28,63,229,24,316,11,78,9,98,12,41,6,59,17,84,5,106,16,87,6,109,20,67,6,93,15,54,6,75,0,44,6,50,91,455,44,590
ILOC10300402,0,4,0,4,0,3,0,3,0,6,0,6,4,5,0,9,0,5,0,5,0,5,0,5,0,0,0,0,4,28,0,32,0,3,0,3,0,5,0,5,0,3,0,3,0,8,0,8,4,3,0,7,0,0,0,0,0,5,0,5,4,27,0,31,0,7,0,7,0,8,0,8,0,9,0,9,4,13,0,17,4,8,0,12,0,5,0,5,0,5,0,5,8,55,0,63
ILOC10300403,3,4,0,7,0,4,0,4,0,7,0,7,5,11,0,16,3,8,0,11,0,3,0,3,0,4,0,4,11,41,0,52,0,7,0,7,0,10,0,10,0,6,5,11,5,11,0,16,0,7,0,7,0,7,0,7,0,3,0,3,5,51,5,61,3,11,0,14,0,14,0,14,0,13,5,18,10,22,0,32,3,15,0,18,0,10,0,10,0,7,0,7,16,92,5,113
ILOC10300501,5,58,11,74,3,41,21,65,11,42,36,89,9,42,12,63,5,42,9,56,0,26,4,30,0,13,8,21,33,264,101,398,6,62,13,81,4,65,6,75,14,61,9,84,22,71,15,108,7,51,6,64,7,27,3,37,3,18,8,29,63,355,60,478,11,120,24,155,7,106,27,140,25,103,45,173,31,113,27,171,12,93,15,120,7,53,7,67,3,31,16,50,96,619,161,876
ILOC10300502,0,3,3,6,3,6,8,17,3,7,14,24,0,6,6,12,3,4,0,7,0,10,0,10,0,5,0,5,9,41,31,81,0,5,0,5,0,6,0,6,0,3,0,3,0,7,3,10,0,7,0,7,3,8,0,11,0,5,0,5,3,41,3,47,0,8,3,11,3,12,8,23,3,10,14,27,0,13,9,22,3,11,0,14,3,18,0,21,0,10,0,10,12,82,34,128
ILOC10300503,0,5,5,10,0,6,0,6,0,10,0,10,3,9,0,12,0,13,0,13,0,4,0,4,3,3,0,6,6,50,5,61,0,16,0,16,0,4,0,4,0,7,0,7,0,9,0,9,0,13,0,13,6,3,0,9,0,3,5,8,6,55,5,66,0,21,5,26,0,10,0,10,0,17,0,17,3,18,0,21,0,26,0,26,6,7,0,13,3,6,5,14,12,105,10,127
ILOC10300504,0,23,3,26,3,10,0,13,4,18,0,22,7,27,0,34,3,21,0,24,0,12,0,12,0,5,0,5,17,116,3,136,0,19,3,22,5,12,3,20,5,25,0,30,7,23,0,30,8,25,0,33,3,13,0,16,3,13,0,16,31,130,6,167,0,42,6,48,8,22,3,33,9,43,0,52,14,50,0,64,11,46,0,57,3,25,0,28,3,18,0,21,48,246,9,303
ILOC10300601,0,4,0,4,0,5,0,5,0,7,3,10,3,7,0,10,0,6,0,6,0,13,0,13,0,4,0,4,3,46,3,52,0,7,3,10,0,3,0,3,3,8,3,14,3,12,3,18,3,6,0,9,3,9,0,12,0,6,0,6,12,51,9,72,0,11,3,14,0,8,0,8,3,15,6,24,6,19,3,28,3,12,0,15,3,22,0,25,0,10,0,10,15,97,12,124
ILOC10300602,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,0,7,0,0,6,6,0,4,0,4,4,10,6,20,0,5,0,5,0,0,3,3,0,3,0,3,4,5,0,9,4,0,3,7,0,0,0,0,0,0,0,0,8,13,6,27,0,5,0,5,0,0,3,3,0,3,0,3,4,8,0,12,8,3,3,14,0,0,6,6,0,4,0,4,12,23,12,47
ILOC10300603,0,11,3,14,3,9,0,12,6,17,0,23,5,14,3,22,3,9,3,15,4,19,3,26,0,3,3,6,21,82,15,118,0,16,3,19,0,10,0,10,11,18,4,33,7,18,3,28,9,22,3,34,7,9,0,16,0,9,3,12,34,102,16,152,0,27,6,33,3,19,0,22,17,35,4,56,12,32,6,50,12,31,6,49,11,28,3,42,0,12,6,18,55,184,31,270
ILOC10300604,0,8,0,8,0,5,0,5,0,4,0,4,0,6,0,6,0,11,3,14,0,3,0,3,0,3,0,3,0,40,3,43,0,6,0,6,0,0,0,0,0,0,0,0,0,9,0,9,0,6,0,6,0,6,0,6,0,0,0,0,0,27,0,27,0,14,0,14,0,5,0,5,0,4,0,4,0,15,0,15,0,17,3,20,0,9,0,9,0,3,0,3,0,67,3,70
ILOC10300605,0,31,14,45,4,23,10,37,5,30,5,40,8,27,12,47,3,32,8,43,5,22,0,27,0,20,6,26,25,185,55,265,0,28,15,43,3,31,6,40,3,41,3,47,13,36,6,55,12,33,8,53,4,14,8,26,4,15,8,27,39,198,54,291,0,59,29,88,7,54,16,77,8,71,8,87,21,63,18,102,15,65,16,96,9,36,8,53,4,35,14,53,64,383,109,556
ILOC10300606,0,5,0,5,0,6,0,6,0,13,0,13,3,11,3,17,4,18,0,22,3,9,0,12,0,10,7,17,10,72,10,92,0,13,0,13,0,6,0,6,0,4,0,4,3,11,0,14,6,11,0,17,0,8,0,8,0,7,0,7,9,60,0,69,0,18,0,18,0,12,0,12,0,17,0,17,6,22,3,31,10,29,0,39,3,17,0,20,0,17,7,24,19,132,10,161
