region_id,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA37010,9553,4679,2268,866,73999
LGA37300,157,28,5,0,1535
LGA37310,1492,799,444,159,10979
LGA37340,2001,1009,436,127,13659
LGA37400,66,59,32,3,452
LGA37550,15,0,3,0,162
LGA37570,9,0,0,0,61
LGA37600,39,0,0,0,399
LGA39399,34,23,20,6,275
LGA39499,1421,711,167,29,6641
LGA40070,1491,849,394,207,12169
LGA40120,4080,1910,682,242,19115
LGA40220,2067,1635,785,205,10118
LGA40250,62,13,6,3,478
LGA40310,1612,800,458,174,8982
LGA40430,166,117,70,19,803
LGA40520,615,350,241,131,3766
LGA40700,4303,2706,1600,829,23085
LGA40910,2764,2024,1258,475,21276
LGA41010,197,87,37,13,1143
LGA41060,6418,3713,2650,1345,45408
LGA41140,688,371,191,73,3496
LGA41190,95,46,32,14,580
LGA41330,141,126,36,0,721
LGA41560,766,679,372,98,4413
LGA41750,68,21,17,12,338
LGA41830,144,77,30,13,670
LGA41960,103,45,22,6,456
LGA42030,1212,727,563,173,8038
LGA42110,278,183,83,36,1462
LGA42250,509,253,101,52,2932
LGA42600,3148,1700,1331,838,18073
LGA42750,370,206,77,42,1795
LGA43080,56,21,19,6,311
LGA43220,62,28,24,20,363
LGA43360,165,81,57,27,794
LGA43650,751,390,177,72,5195
LGA43710,297,180,75,16,1828
LGA43790,648,365,195,115,3775
LGA43920,462,225,62,15,2757
LGA44000,3,0,0,0,22
LGA44060,5581,2967,2188,1053,38050
LGA44210,716,447,215,63,3236
LGA44340,5564,3253,1915,877,32649
LGA44550,2152,1072,460,194,12864
LGA44620,1353,745,522,207,9067
LGA44830,204,141,60,22,1091
LGA45040,985,686,369,132,6938
LGA45090,466,204,121,67,2875
LGA45120,303,154,102,35,1621
LGA45290,2698,1390,899,513,18584
LGA45340,11058,5897,3118,1309,66534
LGA45400,77,39,20,8,330
LGA45540,122,86,46,18,543
LGA45680,3096,1816,1317,417,25518
LGA45890,6026,3161,2319,1094,47985
LGA46090,843,459,256,89,5538
LGA46300,786,434,259,125,5346
LGA46450,947,593,412,127,5705
LGA46510,1352,530,335,161,9945
LGA46670,500,287,176,83,3192
LGA46860,110,79,33,8,594
LGA46970,152,9,3,3,2287
LGA47140,6167,3537,2026,770,47219
LGA47290,102,55,38,20,706
LGA47490,135,66,39,12,718
LGA47630,318,143,99,41,2176
LGA47700,6693,3885,1904,655,41222
LGA47800,318,229,93,41,1894
LGA47910,175,101,74,33,901
LGA47980,3340,1515,869,822,20273
LGA48050,1284,1200,792,320,6171
LGA48130,390,211,126,64,2161
LGA48260,723,446,318,136,3819
LGA48340,649,386,203,84,3867
LGA48410,2782,1763,1458,831,25925
LGA48540,1211,877,474,114,8581
LGA48640,62,29,20,13,407
LGA48750,454,338,146,37,1879
LGA48830,822,646,349,114,3889
LGA49399,310,111,35,3,1912
LGA49499,245,123,65,67,1635
