region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA18050,6126,13333,2692,2803,4085,2716,500,1107,670,34032
LGA18100,510,181,149,129,119,79,105,157,20,1449
LGA18150,654,452,328,433,302,241,188,378,60,3036
LGA18200,678,385,387,242,313,209,241,390,49,2894
LGA18250,6141,13439,2336,2299,4717,2489,504,1073,659,33657
LGA18350,2822,3864,3025,1948,2340,1824,1161,1930,347,19261
LGA18400,2624,3236,3893,1975,3273,1760,2096,2046,388,21291
LGA18450,8227,18599,12665,9495,11804,7423,5937,7343,1358,82851
LGA18500,5854,11242,1176,1738,3245,1984,194,452,657,26542
LGA18550,5816,8545,9988,7195,8277,7156,4708,7236,1033,59954
LGA18710,1499,1588,1075,725,1196,510,357,651,162,7763
LGA18750,916,662,760,442,542,571,295,719,102,5009
LGA19399,276,48,67,49,49,18,30,142,11,690
LGA19499,337,741,542,465,394,238,350,490,93,3650
LGA20110,1025,789,867,544,500,507,374,653,86,5345
LGA20260,980,605,598,661,399,411,270,739,116,4779
LGA20570,4529,8843,6449,4543,5676,4565,2438,4439,810,42292
LGA20660,7265,16748,7578,5550,9344,5458,2089,3410,1230,58672
LGA20740,1774,1766,2181,1253,1233,1262,692,1723,256,12140
LGA20830,3148,3250,3284,1874,2255,1621,1454,2554,363,19803
LGA20910,9019,14519,3328,3453,5978,4394,646,1355,1045,43737
LGA21010,991,904,917,619,646,553,462,805,126,6023
LGA21110,14229,31120,5027,6119,11040,7295,1003,2723,1738,80294
LGA21180,5959,10479,11306,7122,11574,7605,9129,10714,2493,76381
LGA21270,895,341,306,203,224,167,201,341,49,2727
LGA21370,2949,2089,2340,1528,1674,1486,1215,2354,307,15942
LGA21450,4527,5043,6880,3254,5271,3548,3111,3898,724,36256
LGA21610,11876,16542,20506,10442,19244,12357,12209,13415,2943,119534
LGA21670,576,525,750,471,438,506,359,714,90,4429
LGA21750,1758,1168,1301,1040,841,864,685,1666,155,9478
LGA21830,2321,833,904,588,603,575,501,1113,128,7566
LGA21890,7267,18337,7648,5935,9369,5574,3157,4949,1572,63808
