region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA36950,245,26,25,29,4,0,6,335
LGA36960,326,18,27,50,5,5,18,449
LGA37010,16437,1707,1170,220,28,30,132,19724
LGA37300,338,37,27,4,0,0,3,409
LGA37310,3002,218,201,30,4,0,27,3482
LGA37340,2552,240,151,22,4,8,16,2993
LGA37400,115,16,5,4,0,0,0,140
LGA37550,39,11,11,8,0,0,4,73
LGA37570,18,6,4,4,0,0,0,32
LGA37600,143,5,9,27,3,0,10,197
LGA39399,0,0,0,0,0,0,0,0
LGA39499,0,0,0,0,0,0,0,0
LGA40070,651,53,17,3,0,0,0,724
LGA40120,4840,397,171,15,4,0,12,5439
LGA40220,1953,173,142,22,4,3,11,2308
LGA40250,160,9,14,30,5,5,15,238
LGA40310,2410,202,121,9,4,3,15,2764
LGA40430,191,12,6,0,0,0,0,209
LGA40520,891,92,65,5,0,0,10,1063
LGA40700,4655,278,107,25,0,0,11,5076
LGA40910,5452,339,171,31,0,0,9,6002
LGA41010,271,32,18,9,0,7,10,347
LGA41060,10366,803,353,66,4,8,43,11643
LGA41140,802,68,39,5,0,3,7,924
LGA41190,163,5,14,0,0,3,0,185
LGA41330,96,16,9,3,0,0,3,127
LGA41560,966,109,63,12,0,0,10,1160
LGA41750,114,5,3,0,0,0,3,125
LGA41830,129,16,3,0,4,0,0,152
LGA41960,116,8,5,0,0,0,0,129
LGA42030,1878,215,114,18,0,0,10,2235
LGA42110,350,38,13,8,0,0,3,412
LGA42250,913,52,51,7,0,3,7,1033
LGA42600,2981,258,88,8,0,3,9,3347
LGA42750,371,29,16,3,0,0,0,419
LGA43080,104,5,7,0,0,0,0,116
LGA43220,124,4,0,0,0,0,0,128
LGA43360,201,11,6,0,0,0,0,218
LGA43650,1692,151,94,10,0,3,9,1959
LGA43710,508,39,41,3,0,0,6,597
LGA43790,1048,79,47,11,0,0,6,1191
LGA43920,919,104,71,14,0,0,13,1121
LGA44000,5,0,0,0,0,0,0,5
LGA44060,8189,673,349,60,0,3,27,9301
LGA44210,603,56,40,10,0,3,11,723
LGA44340,7256,544,208,34,6,3,22,8073
LGA44550,3390,277,182,33,4,3,18,3907
LGA44620,2172,231,168,21,5,0,24,2621
LGA44830,242,20,9,6,0,0,4,281
LGA45040,1610,189,133,18,0,4,17,1971
LGA45090,819,63,53,0,0,0,5,940
LGA45120,420,25,17,3,0,0,7,472
LGA45290,3090,203,59,12,0,0,4,3368
LGA45340,16249,1784,1070,106,16,18,82,19325
LGA45400,75,5,3,0,0,0,0,83
LGA45540,93,7,3,3,0,3,3,112
LGA45680,6879,873,616,86,12,26,58,8550
LGA45890,10068,866,422,129,12,12,67,11576
LGA46090,1119,104,71,15,0,5,21,1335
LGA46300,1207,117,88,14,0,0,11,1437
LGA46450,1444,139,117,19,0,3,14,1736
LGA46510,2272,112,40,11,0,4,8,2447
LGA46670,814,77,49,12,0,0,3,955
LGA46860,116,7,9,0,0,0,0,132
LGA46970,525,42,32,7,0,0,4,610
LGA47140,12758,1372,772,187,8,29,72,15198
LGA47290,208,11,8,0,0,3,0,230
LGA47490,197,12,13,0,0,0,0,222
LGA47630,688,44,31,0,5,0,0,768
LGA47700,10849,974,450,76,3,12,39,12403
LGA47800,472,45,36,4,0,3,5,565
LGA47910,229,13,15,0,0,0,0,257
LGA47980,3769,251,95,16,0,3,8,4142
LGA48050,834,80,54,9,0,0,10,987
LGA48130,603,55,41,0,0,3,4,706
LGA48260,721,35,11,0,0,3,3,773
LGA48340,1110,77,50,12,4,0,10,1263
LGA48410,5053,332,146,27,0,4,13,5575
LGA48540,1802,224,143,25,0,4,34,2232
LGA48640,143,8,9,0,0,0,0,160
LGA48750,322,26,23,4,0,0,4,379
LGA48830,791,68,35,10,0,0,5,909
LGA49399,256,28,13,6,5,3,8,319
LGA49499,0,0,0,0,0,0,0,0
LGA50080,3051,306,198,32,3,0,27,3617
LGA50210,6169,659,473,90,10,15,55,7471
LGA50250,687,58,51,9,3,3,3,814
LGA50280,1173,82,55,6,0,0,9,1325
LGA50350,1341,117,68,14,0,4,5,1549
LGA50420,5843,460,197,51,6,6,36,6599
LGA50490,2894,278,125,40,3,0,19,3359
LGA50560,123,7,12,0,0,0,4,146
LGA50630,164,23,17,0,0,0,0,204
LGA50770,152,7,12,0,0,0,3,174
LGA50840,382,29,22,3,0,0,3,439
LGA50910,83,9,5,3,0,0,3,103
LGA50980,1196,106,83,40,4,8,28,1465
LGA51080,121,9,3,4,3,0,0,140
LGA51120,84,3,7,4,0,0,0,98
LGA51190,2488,278,175,29,0,4,21,2995
LGA51260,2997,268,167,13,3,3,9,3460
LGA51310,3196,182,69,12,0,0,6,3465
LGA51330,9545,636,268,135,3,13,36,10636
LGA51400,1783,125,124,21,3,0,7,2063
LGA51470,52,5,0,0,3,0,0,60
LGA51540,458,30,32,15,0,0,12,547
LGA51610,141,8,8,0,0,0,3,160
LGA51680,485,55,36,4,0,0,3,583
LGA51750,891,58,11,0,0,0,0,960
LGA51820,10549,824,463,87,9,15,42,11989
LGA51890,816,110,58,9,0,0,11,1004
LGA51960,350,41,32,12,0,0,4,439
LGA52030,77,12,6,3,0,0,0,98
LGA52100,81,11,3,0,0,0,3,98
LGA52170,798,54,9,4,0,0,3,868
LGA52240,99,9,3,0,0,0,3,114
LGA52310,93,4,5,0,0,0,0,102
LGA52380,7,3,4,3,0,0,0,17
