region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA23110,1259,334,1613,13527,4264,527,18318,44907,5433,68658
LGA23190,342,152,500,3077,1225,163,4465,9912,1140,15517
LGA23270,896,246,1159,28133,7841,838,36812,82366,10300,129478
LGA23350,280,44,327,2450,978,138,3566,7831,910,12307
LGA23430,2908,597,3552,23353,8013,998,32364,76983,7977,117324
LGA23670,2089,418,2533,25011,8957,1190,35158,80472,6025,121655
LGA23810,1152,240,1402,11096,4701,587,16384,37213,4700,58297
LGA23940,185,39,227,959,437,47,1443,4201,521,6165
LGA24130,541,80,628,7585,2555,447,10587,20482,1897,32966
LGA24210,2001,537,2562,17460,7789,573,25822,62406,4803,93031
LGA24250,131,24,164,1091,465,55,1611,4383,434,6428
LGA24330,932,201,1147,10795,2842,415,14052,39614,6102,59768
LGA24410,1909,453,2378,17630,6475,962,25067,54801,4479,84347
LGA24600,631,158,795,6378,3224,207,9809,66430,10743,86982
LGA24650,555,90,655,21844,5245,682,27771,48022,6466,82259
LGA24780,934,179,1118,7890,3038,388,11316,25470,3497,40283
LGA24850,343,70,416,6092,1937,293,8322,16519,2174,27015
LGA24900,619,173,799,4012,1639,209,5860,14777,2050,22687
LGA24970,3100,772,3920,25219,9725,781,35725,98542,8669,142936
LGA25060,1947,521,2501,16315,5723,578,22616,59923,6652,89191
LGA25150,318,87,411,4893,1689,260,6842,13833,1537,22212
LGA25250,2766,758,3561,20699,6607,839,28145,84880,10361,123386
LGA25340,3071,1101,4195,22706,9789,1272,33767,74853,9437,118057
LGA25430,282,196,484,2482,1142,201,3825,9251,1650,14726
LGA25490,245,83,331,2765,1021,141,3927,7717,896,12540
LGA25620,210,52,262,1976,765,104,2845,7044,925,10814
LGA25710,448,146,606,11211,3918,718,15847,29840,2079,47766
LGA25810,282,59,341,1689,702,95,2486,6549,741,9776
LGA25900,807,366,1188,10370,4164,427,14961,58495,7869,81325
LGA25990,114,22,136,905,383,59,1347,3633,545,5525
LGA26080,127,26,153,354,236,24,614,1757,199,2570
LGA26170,567,103,670,4131,1824,220,6175,14396,1497,22068
LGA26260,443,89,535,2462,954,148,3564,8879,875,13318
LGA26350,1708,419,2161,11496,4850,422,16768,57460,6739,80967
LGA26430,241,63,307,1184,598,53,1835,5518,653,8006
LGA26490,405,72,483,4772,1679,280,6731,12279,1336,20346
LGA26610,372,97,478,3062,1180,165,4407,10227,1586,16220
LGA26670,148,37,185,880,335,45,1260,3259,309,4828
LGA26700,537,211,748,4049,1757,237,6043,14181,1511,21735
LGA26730,568,222,802,5096,2271,284,7651,15938,2099,25688
LGA26810,692,167,867,6157,2578,374,9109,21105,3361,33575
LGA26890,105,17,122,673,222,37,932,2279,241,3452
LGA26980,3233,994,4282,24310,8679,1153,34142,83240,7815,125197
LGA27070,1113,424,1546,26552,7952,752,35256,78726,8679,122661
LGA27170,447,89,540,6073,2282,355,8710,17370,1725,27805
LGA27260,878,217,1106,31872,7692,998,40562,73385,9308,123255
LGA27350,736,161,903,8151,3457,377,11985,47532,5817,65334
LGA27450,1503,442,1965,25222,9518,1498,36238,72616,6823,115677
LGA27630,238,45,286,942,385,66,1393,3948,505,5846
LGA29399,0,0,0,78,24,6,108,514,90,712
LGA29499,39,15,54,831,371,24,1226,4418,1624,7268
LGA30250,0,0,4,179,205,33,417,407,78,902
LGA30300,39,11,53,790,246,31,1067,2131,314,3512
LGA30370,150,35,185,2681,697,113,3491,6741,826,11058
LGA30410,30,5,35,554,147,8,709,1590,216,2515
LGA30450,4,0,4,51,9,0,60,214,16,290
LGA30760,25,7,32,354,100,10,464,1176,128,1768
LGA30900,0,0,0,62,24,3,89,249,30,368
LGA31000,14405,4095,18692,164069,57737,7871,229677,566149,60247,856073
LGA31750,0,0,0,66,24,3,93,189,34,316
LGA31820,1428,433,1868,13168,4647,657,18472,47845,6066,72383
LGA31900,315,56,377,2684,1029,127,3840,8844,1075,13759
LGA31950,0,0,0,65,27,0,92,240,99,431
LGA32070,1284,378,1683,25285,8090,1381,34756,75111,12449,122316
LGA32250,7,0,7,228,102,7,337,987,296,1620
LGA32260,393,76,472,4018,1409,193,5620,14643,1986,22249
LGA32270,69,41,113,5587,1289,265,7141,12127,2382,21650
LGA32310,177,30,207,1898,649,77,2624,5805,968,9397
LGA32330,0,0,0,202,135,50,387,382,14,783
LGA32450,13,5,18,459,156,17,632,1515,416,2563
LGA32500,15,4,19,465,159,29,653,1937,805,3395
LGA32600,0,3,3,57,6,0,63,127,43,233
LGA32750,0,0,0,37,4,3,44,174,15,233
LGA32770,7,0,7,241,72,14,327,458,11,796
LGA33100,3,0,3,137,34,6,177,474,80,731
LGA33200,13,6,19,278,105,15,398,870,146,1414
