region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
LGA33430,3831,2639,9300,93153,105706,46682,35853,81793,39588,402775
LGA33610,73,38,155,1574,1923,974,1066,1686,865,8088
LGA33620,233,319,808,6049,9008,5166,5623,6925,3596,36367
LGA33800,170,41,313,1562,2120,1277,1539,2197,826,9521
LGA33830,0,0,6,227,209,58,30,126,38,688
LGA33960,915,352,1803,27130,33478,15544,13852,26481,10588,127073
LGA33980,38,13,65,3615,3961,1755,1992,3306,2248,16877
LGA34420,0,0,4,276,163,136,92,74,3,744
LGA34570,0,0,0,51,103,67,81,38,15,355
LGA34580,242,79,461,5191,6618,3628,3611,5520,2662,27230
LGA34590,1146,637,2502,46566,55245,25657,21991,45654,18308,213421
LGA34710,35,9,64,661,828,380,337,678,273,3157
LGA34770,643,235,1281,18556,22548,10373,10289,18363,8710,88839
LGA34800,4,0,7,148,192,79,83,258,130,890
LGA34830,6,0,9,64,66,25,15,36,0,206
LGA34860,91,25,156,1916,2435,1208,1130,2185,1232,10106
LGA35010,2491,1385,5577,65421,80360,38945,32895,55001,22459,295081
LGA35250,3,0,3,292,149,46,25,205,23,740
LGA35300,39,12,73,3103,3981,1667,1411,3217,2744,16123
LGA35600,38,14,74,622,862,458,361,887,405,3595
LGA35670,0,0,0,59,144,110,202,46,6,567
LGA35760,63,90,216,1350,1811,1115,1125,1735,1022,8158
LGA35780,5,0,8,485,384,122,148,258,88,1485
LGA35790,0,0,3,665,373,112,97,318,36,1601
LGA35800,11,0,21,218,363,161,147,389,158,1436
LGA36070,0,0,0,96,169,47,79,97,6,494
LGA36150,10,0,13,145,196,86,80,217,55,779
LGA36250,1365,496,2715,25579,31035,14810,11684,20729,7018,110855
LGA36300,6,4,16,120,149,63,77,155,89,653
LGA36360,645,656,1808,16672,21705,10855,10027,17328,9903,86490
LGA36510,356,92,679,5488,7536,4366,4058,5318,2168,28934
LGA36580,124,65,276,2877,4142,2414,2591,3569,1466,17059
LGA36630,270,141,605,4016,5911,3479,3730,5035,2228,24399
LGA36660,377,168,808,4695,6676,3874,3938,5489,2224,26896
LGA36710,3162,1469,7028,51700,68547,35565,29033,45120,18869,248834
LGA36810,246,260,758,5823,8430,4758,4960,6719,4236,34926
LGA36910,1192,874,3044,24081,31198,15763,14677,22964,10008,118691
LGA36950,11,4,19,439,486,161,168,597,430,2281
LGA36960,6,0,11,693,654,258,293,652,156,2706
LGA37010,870,371,1855,30549,37859,16852,13542,25645,13186,137633
LGA37300,0,0,0,525,720,252,180,426,350,2453
LGA37310,232,119,520,4576,5646,3072,3322,4944,2650,24210
LGA37340,177,67,346,4988,6228,2898,2658,5189,3575,25536
LGA37400,16,3,19,187,243,120,129,285,116,1080
LGA37550,0,0,0,232,112,19,36,177,27,603
LGA37570,0,0,0,143,21,3,0,42,3,212
LGA37600,6,0,9,551,439,145,171,255,16,1577
LGA39399,0,3,6,55,62,35,24,186,90,452
LGA39499,26,14,50,2233,2172,944,755,3389,1991,11484
LGA40070,206,52,365,5121,4430,1213,623,4920,2190,18497
LGA40120,246,105,568,6836,9553,4962,3702,4351,1630,31034
LGA40220,301,76,579,3648,5293,3148,2744,3609,1263,19705
LGA40250,7,0,16,590,550,73,32,454,103,1802
LGA40310,282,81,551,3660,4964,2704,2346,3105,981,17760
