region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
LGA34590,15118,133039,19776,278048
LGA34710,160,3265,293,4192
LGA34770,4572,77127,8903,112798
LGA34800,25,766,126,1047
LGA34830,3,249,4,265
LGA34860,334,10174,1278,13077
LGA35010,20020,222657,23169,378037
LGA35250,3,1067,23,1144
LGA35300,840,12350,3323,21243
LGA35600,109,3565,424,4615
LGA35670,0,832,3,854
LGA35760,297,7607,835,10134
LGA35780,30,2027,134,2296
LGA35790,7,2239,20,2337
LGA35800,38,1525,164,1863
LGA36070,4,626,3,660
LGA36150,29,795,53,972
LGA36250,7553,76404,7181,138668
LGA36300,26,652,71,826
LGA36360,3911,79009,9858,109332
LGA36510,1791,23728,2193,36464
LGA36580,939,14997,1357,21641
LGA36630,1154,22921,1890,31030
LGA36660,1237,24763,1962,33883
LGA36710,16473,180023,18668,306913
LGA36810,1964,26931,3864,43734
LGA36910,5457,110610,9435,151196
LGA36950,78,2276,467,3256
LGA36960,109,3549,167,4245
LGA37010,8262,112724,14470,174457
LGA37300,142,2172,419,3334
LGA37310,927,24460,2700,31577
LGA37340,1402,19246,3841,31426
LGA37400,35,1113,64,1336
LGA37550,3,910,23,946
LGA37570,0,261,0,267
LGA37600,7,2356,23,2404
LGA39399,29,218,79,472
LGA39499,452,6009,1984,12546
LGA40070,793,6416,2247,19642
LGA40120,2260,22637,1719,38628
LGA40220,1139,15101,1118,23702
LGA40250,26,2193,82,2441
LGA40310,1040,15336,864,22172
LGA40430,77,1938,120,2453
LGA40520,368,7088,736,10580
LGA40700,2174,20212,2161,42198
LGA40910,1857,18126,2101,48163
LGA41010,108,2712,215,3479
LGA41060,4288,46377,6005,104979
LGA41140,348,6593,379,8750
LGA41190,46,1488,44,1727
LGA41330,63,785,204,1698
LGA41560,459,9655,643,12946
LGA41750,31,863,39,1041
LGA41830,53,1327,116,1693
LGA41960,42,976,106,1270
LGA42030,1232,11593,1135,20541
LGA42110,163,3098,233,4164
LGA42250,221,6018,518,7845
LGA42600,1566,18662,2280,34605
LGA42750,186,3031,248,4414
LGA43080,35,811,70,1033
LGA43220,31,924,60,1079
LGA43360,94,1813,117,2280
LGA43650,759,8970,591,13783
LGA43710,186,3784,294,4914
LGA43790,332,8752,491,11280
LGA43920,456,5056,487,8345
LGA44000,3,54,17,80
LGA44060,4011,42645,4288,82992
LGA44210,307,5541,760,8134
LGA44340,3472,34364,2370,62904
LGA44550,1637,19035,1148,29768
LGA44620,895,18281,1219,25241
LGA44830,82,2227,155,2877
LGA45040,700,13470,1724,19736
LGA45090,253,6066,446,8113
LGA45120,176,3594,192,4499
LGA45290,1645,15225,2021,34881
LGA45340,9122,85177,8285,159578
LGA45400,37,701,34,874
LGA45540,68,1192,147,1733
LGA45680,4819,38893,5589,79107
LGA45890,4612,47489,8320,112811
LGA46090,367,9860,1903,13983
LGA46300,536,10273,811,14089
LGA46450,511,13137,966,17324
LGA46510,905,9093,1011,19956
LGA46670,276,5999,743,9251
LGA46860,73,1040,95,1401
LGA46970,219,2838,539,4708
LGA47140,6350,56129,8679,129107
LGA47290,49,1680,95,2102
LGA47490,82,1617,158,2108
LGA47630,185,5167,216,6555
LGA47700,5388,47148,4025,95470
LGA47800,218,4128,449,5527
LGA47910,86,2099,91,2586
LGA47980,1815,18717,2330,36849
LGA48050,543,8336,1059,13841
LGA48130,253,4859,390,6669
LGA48260,388,3385,427,6999
LGA48340,441,8674,544,11626
LGA48410,2337,24099,3326,54957
LGA48540,1129,11981,1652,22090
LGA48640,40,1073,27,1245
LGA48750,212,2653,220,4399
