region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
LGA11860,41,1018,472,0,1015,1.1,951,2.7
LGA12000,43,1192,452,125,1037,1.1,857,2.6
LGA12050,43,1300,534,180,1254,1.1,943,2.3
LGA12150,41,790,437,120,976,1.1,816,2.4
LGA12200,47,1083,425,150,1026,1.1,768,2.3
LGA12300,47,1300,469,180,1093,1.1,873,2.3
LGA12350,45,1098,412,155,1003,1.1,785,2.3
LGA12500,44,1083,479,150,1169,1.0,856,2.2
LGA12600,36,1500,577,200,1340,1.1,1096,2.6
LGA12700,44,1647,484,185,1278,1.1,1005,2.5
LGA12750,50,1430,424,220,939,1.1,784,2.3
LGA12850,36,1800,369,280,1065,1.2,1022,3.2
LGA12900,41,1127,460,150,1010,1.1,832,2.4
LGA12950,44,953,418,125,932,1.1,771,2.4
LGA13010,46,1083,395,155,915,1.1,734,2.3
LGA13050,50,1517,422,165,971,1.1,810,2.3
LGA13100,42,1950,534,280,1395,1.1,1089,2.5
LGA13310,41,1517,516,185,1281,1.1,981,2.4
LGA13320,52,1395,395,220,881,1.1,729,2.2
LGA13340,43,1200,479,150,1181,1.1,943,2.5
LGA13380,46,1300,395,200,930,1.1,770,2.4
LGA13450,36,1517,531,180,1288,1.1,1065,2.7
LGA13500,42,1186,470,140,1130,1.1,907,2.5
LGA13550,40,1300,485,190,1200,1.1,937,2.5
LGA13650,41,1083,418,150,985,1.1,805,2.5
LGA13660,45,928,387,100,907,1.1,726,2.3
LGA13700,47,1083,424,140,1030,1.1,763,2.4
LGA13800,36,2029,622,280,1598,1.1,1385,2.8
LGA13850,43,1083,441,125,981,1.1,805,2.4
LGA13950,34,2058,517,330,1353,1.2,1209,2.8
LGA14000,39,2400,682,400,2119,1.1,1824,2.9
LGA14100,42,3000,820,390,2715,1.1,2178,2.6
LGA14150,37,2167,540,350,1475,1.2,1284,2.8
LGA14200,41,1200,430,160,963,1.1,792,2.5
LGA14250,45,1000,449,80,1068,1.1,856,2.5
LGA14300,39,1192,472,155,1142,1.1,895,2.5
LGA14350,45,1300,386,190,902,1.1,748,2.4
LGA14400,45,2000,564,300,1522,1.1,1234,2.5
LGA14450,37,2167,605,380,1667,1.2,1463,2.8
LGA14500,41,3000,814,575,2679,1.1,2508,2.9
LGA14550,45,1083,376,170,883,1.1,714,2.4
LGA14600,40,867,445,110,985,1.1,846,2.4
LGA14650,41,1733,520,255,1396,1.1,1117,2.5
LGA14700,37,2734,970,420,2637,1.1,2181,2.5
LGA14750,36,1300,478,160,1195,1.1,966,2.5
LGA14800,37,3000,1086,480,2738,1.1,2234,2.3
LGA14850,40,1495,469,224,1123,1.1,907,2.4
LGA14870,42,1452,450,170,1190,1.1,896,2.3
LGA14900,33,2167,510,295,1401,1.2,1299,3.2
LGA14920,44,1083,433,150,988,1.1,797,2.4
LGA14950,44,997,456,100,1069,1.1,868,2.5
LGA15050,36,1733,562,259,1555,1.1,1292,2.7
LGA15150,37,3033,985,520,2649,1.1,2221,2.5
LGA15200,36,2485,772,370,1964,1.2,1605,2.3
LGA15270,41,1551,449,200,1204,1.1,929,2.4
LGA15300,35,1300,558,140,1253,1.1,1053,2.5
LGA15350,40,3033,1117,473,2838,1.1,2465,2.3
LGA15500,47,1435,463,200,1043,1.1,845,2.3
LGA15550,38,1062,508,140,1109,1.1,894,2.5
LGA15650,34,1733,619,230,1697,1.1,1399,2.6
LGA15700,49,1200,377,195,853,1.1,700,2.3
LGA15750,39,1300,520,140,1246,1.1,982,2.5
LGA15800,43,1075,453,140,1013,1.1,810,2.4
LGA15850,39,1083,492,145,1084,1.1,850,2.5
LGA15900,37,1777,563,275,1530,1.1,1165,2.4
LGA15950,36,2700,1216,480,2768,1.2,2205,2.0
LGA16100,41,1517,525,170,1272,1.1,988,2.5
LGA16150,36,1625,582,230,1472,1.1,1161,2.5
LGA16180,41,2165,824,250,2104,1.1,1813,2.7
LGA16200,39,1300,456,150,1131,1.1,882,2.5
LGA16250,33,2063,544,340,1451,1.2,1288,2.7
LGA16350,34,1983,623,300,1582,1.1,1398,2.9
LGA16370,42,3000,754,498,2137,1.1,1819,2.7
LGA16380,47,1650,447,250,1008,1.1,837,2.3
LGA16400,42,1725,498,250,1246,1.1,999,2.5
LGA16470,35,2000,842,285,2066,1.1,1657,2.5
LGA16550,35,2600,718,440,2066,1.2,1577,2.4
LGA16610,42,1300,407,200,956,1.1,789,2.4
LGA16650,36,2167,555,370,1443,1.2,1276,2.7
LGA16700,36,2329,635,370,1841,1.2,1466,2.6
LGA16900,37,1900,479,250,1346,1.1,1126,2.7
LGA16950,46,1517,426,220,984,1.1,822,2.3
LGA17000,35,2000,640,260,1927,1.1,1692,2.7
LGA17050,38,1517,634,230,1405,1.1,1154,2.4
LGA17100,33,2195,558,400,1595,1.3,1421,2.9
LGA17150,39,2400,718,370,2014,1.1,1674,2.7
LGA17200,32,2539,888,465,2273,1.3,1639,1.9
LGA17310,39,1430,515,200,1181,1.1,958,2.5
LGA17350,44,1083,416,132,978,1.1,779,2.3
LGA17400,47,1083,377,150,865,1.1,694,2.3
LGA17420,38,2570,719,450,2188,1.1,2044,3.1
LGA17450,44,1083,473,150,1108,1.1,884,2.3
LGA17500,41,1300,480,165,1208,1.1,942,2.4
LGA17550,45,1733,442,295,1045,1.1,845,2.4
LGA17620,39,1600,552,170,1392,1.1,1071,2.4
LGA17640,46,1460,492,140,1192,1.1,943,2.4
LGA17650,43,1230,481,150,1128,1.1,933,2.6
LGA17700,45,500,390,80,854,1.1,721,2.4
LGA17750,34,1549,586,220,1418,1.1,1149,2.5
LGA17800,48,960,414,120,985,1.1,810,2.4
LGA17850,44,867,459,100,1077,1.1,826,2.4
LGA17900,41,810,386,100,959,1.1,706,2.3
LGA17950,42,900,498,110,1128,1.1,874,2.4
LGA18000,38,2600,745,440,2080,1.1,1722,2.7
LGA18020,45,870,380,120,869,1.1,689,2.4
LGA18050,35,3000,973,500,2496,1.2,1912,2.3
LGA18100,47,867,383,105,874,1.1,717,2.3
LGA18150,41,1200,411,130,950,1.1,765,2.4
LGA18200,42,1200,473,150,1095,1.1,886,2.5
LGA18250,37,2817,858,490,2479,1.2,1996,2.6
LGA18350,45,1873,548,260,1348,1.1,1094,2.5
LGA18400,36,2167,617,270,1661,1.1,1478,3.0
LGA18450,38,1950,489,250,1426,1.1,1101,2.5
LGA18500,38,3234,1145,550,2832,1.1,2398,2.3
LGA18550,40,1733,469,260,1171,1.1,934,2.5
LGA18710,40,2000,756,250,1917,1.1,1625,2.7
LGA18750,40,1257,439,180,995,1.1,808,2.5
LGA19399,45,1040,549,53,1145,1.1,955,2.3
LGA19499,37,0,349,0,0,0,0,0
LGA20110,48,1300,462,170,1069,1.1,829,2.3
LGA20260,45,1018,479,150,1055,1.1,844,2.3
LGA20570,37,1307,512,200,1272,1.1,988,2.4
LGA20660,39,1900,618,300,1731,1.1,1394,2.6
LGA20740,46,1300,472,224,1071,1.1,855,2.2
LGA20830,40,1387,511,200,1273,1.1,1025,2.5
LGA20910,42,2414,758,390,2426,1.1,1826,2.6
LGA21010,46,1200,465,171,1074,1.1,827,2.3
LGA21110,38,2400,773,364,2505,1.1,1893,2.6
LGA21180,35,1600,429,265,1195,1.1,1106,2.9
LGA21270,48,737,406,100,959,1.1,742,2.3
LGA21370,42,1300,469,170,1099,1.1,886,2.4
LGA21450,34,1733,592,280,1479,1.1,1303,2.8
LGA21610,33,1733,572,295,1450,1.1,1342,3.0
LGA21670,48,867,381,150,864,1.1,685,2.2
LGA21750,42,1248,497,175,1161,1.1,914,2.4
LGA21830,43,1050,480,135,1149,1.1,909,2.5
LGA21890,36,1900,534,295,1438,1.1,1178,2.5
LGA22110,47,1296,436,180,990,1.1,798,2.3
LGA22170,37,1647,568,265,1396,1.1,1140,2.5
LGA22250,47,988,422,125,962,1.1,764,2.3
LGA22310,37,2147,679,335,1925,1.1,1445,2.5
LGA22410,43,1148,463,161,1178,1.1,899,2.3
LGA22490,39,1500,538,200,1385,1.1,1217,2.8
LGA22620,38,1300,513,200,1245,1.1,991,2.5
LGA22670,35,1517,396,250,1050,1.2,953,2.8
LGA22750,39,1517,517,231,1341,1.1,1049,2.4
LGA22830,38,1300,510,185,1206,1.1,980,2.5
LGA22910,46,1226,451,185,1072,1.1,850,2.3
LGA22980,47,800,439,120,990,1.1,785,2.3
LGA23110,38,1800,582,281,1568,1.1,1286,2.6
LGA23190,40,1170,530,170,1207,1.1,946,2.4
LGA23270,33,1712,477,280,1309,1.1,1214,3.1
LGA23350,44,1367,540,180,1321,1.1,1066,2.5
LGA23430,39,1950,597,300,1625,1.1,1292,2.5
LGA23670,38,1733,598,300,1610,1.1,1401,2.8
LGA23810,39,1200,468,160,1236,1.1,942,2.4
LGA23940,50,758,377,100,880,1.1,686,2.2
LGA24130,41,1733,593,240,1661,1.1,1395,2.7
LGA24210,42,2000,571,360,1713,1.1,1467,2.8
LGA24250,45,1200,488,180,1146,1.1,891,2.3
LGA24330,34,2000,577,280,1525,1.2,1257,2.5
LGA24410,38,1733,611,290,1615,1.1,1308,2.6
LGA24600,28,2167,711,400,1962,1.2,1352,2.0
LGA24650,32,1733,610,270,1486,1.1,1363,3.0
LGA24780,39,1268,463,170,1092,1.1,878,2.5
LGA24850,37,1600,548,205,1368,1.1,1170,2.7
LGA24900,44,1200,437,160,1001,1.1,828,2.4
LGA24970,38,2000,520,345,1549,1.1,1321,2.7
LGA25060,38,2000,628,300,1776,1.1,1377,2.5
LGA25150,39,1517,540,208,1409,1.1,1183,2.7
LGA25250,35,1950,551,310,1452,1.2,1215,2.5
LGA25340,43,1733,538,260,1351,1.1,1054,2.4
LGA25430,47,1213,460,190,1078,1.1,838,2.3
LGA25490,41,1300,531,150,1276,1.1,1040,2.6
LGA25620,45,1400,473,170,1161,1.1,917,2.4
LGA25710,39,1950,698,315,2070,1.1,1872,3.0
LGA25810,45,910,447,140,1053,1.1,815,2.3
LGA25900,35,2200,985,365,2371,1.2,1672,2.0
LGA25990,47,997,389,130,910,1.1,732,2.3
LGA26080,55,1500,576,220,1422,1.0,1022,2.1
LGA26170,44,1300,481,180,1148,1.1,920,2.4
LGA26260,44,1083,503,150,1187,1.1,908,2.3
LGA26350,35,2447,902,360,2465,1.1,1722,2.2
LGA26430,50,1104,456,152,1027,1.1,843,2.2
LGA26490,40,1800,602,280,1516,1.1,1277,2.6
LGA26610,39,1192,481,157,1089,1.1,886,2.5
LGA26670,47,1083,459,133,1052,1.1,850,2.3
LGA26700,43,1300,498,175,1170,1.1,913,2.4
LGA26730,38,1495,531,220,1296,1.1,1025,2.4
LGA26810,41,1213,479,170,1168,1.1,905,2.4
LGA26890,46,715,487,80,1033,1.1,815,2.3
LGA26980,39,1950,561,320,1682,1.1,1317,2.6
LGA27070,34,1863,519,300,1375,1.1,1275,3.0
LGA27170,35,1473,577,205,1317,1.1,1075,2.5
LGA27260,32,1800,635,280,1556,1.1,1424,2.9
LGA27350,33,2253,866,370,2198,1.2,1680,2.2
LGA27450,38,1642,579,265,1492,1.1,1281,2.7
LGA27630,48,650,426,110,986,1.1,773,2.3
LGA29399,31,1500,738,1000,1339,1.2,900,1.9
LGA29499,32,0,352,0,0,0,0,0
LGA30250,25,0,259,80,633,1.8,1153,5.0
LGA30300,36,1200,568,120,1202,1.1,1015,2.6
LGA30370,35,1625,630,148,1646,1.1,1392,2.6
LGA30410,40,867,575,75,1252,1.1,1042,2.4
LGA30450,43,453,649,70,1363,1.2,1019,2.3
LGA30760,41,953,503,100,1170,1.1,876,2.3
LGA30900,31,500,564,51,1237,1.3,1072,2.6
LGA31000,34,2100,696,350,1873,1.1,1547,2.6
LGA31750,31,934,726,105,1347,1.1,964,2.5
LGA31820,43,1350,423,230,980,1.1,833,2.4
LGA31900,41,1300,540,180,1284,1.1,1009,2.5
LGA31950,37,884,824,80,1231,1.4,1230,2.6
LGA32070,36,1733,620,250,1393,1.1,1145,2.5
LGA32250,37,898,590,110,1310,1.3,997,2.6
LGA32260,42,1300,503,200,1145,1.1,931,2.5
LGA32270,31,2000,831,112,2321,1.1,1998,2.8
LGA32310,38,1350,487,170,1221,1.1,979,2.5
LGA32330,22,0,282,75,717,1.5,786,4.3
LGA32450,34,1500,889,102,1871,1.2,1471,2.7
LGA32500,38,1000,497,140,1062,1.3,831,2.3
LGA32600,36,844,467,115,1053,1.2,1020,2.8
LGA32750,37,780,679,116,1196,1.0,1083,2.3
LGA32770,22,303,280,105,683,1.9,1146,5.1
LGA33100,43,650,487,70,944,1.2,729,2.3
LGA33200,40,693,537,100,1175,1.1,939,2.3
LGA33220,44,1387,396,235,912,1.1,780,2.4
LGA33360,35,2000,689,300,1941,1.1,1724,2.7
LGA33430,37,2075,571,350,1379,1.1,1174,2.5
LGA33610,38,1300,563,160,1232,1.1,1026,2.5
LGA33620,43,1347,413,220,947,1.1,806,2.4
LGA33800,46,1200,478,152,1187,1.1,917,2.4
LGA33830,25,0,294,98,738,1.4,895,3.9
LGA33960,32,1733,592,280,1398,1.1,1233,2.8
LGA33980,31,1907,1052,64,2671,1.1,2579,2.9
LGA34420,28,0,286,45,760,1.6,1077,4.1
LGA34570,26,0,312,113,1062,1.4,1140,3.9
LGA34580,37,1517,462,250,1163,1.1,1003,2.7
LGA34590,33,1800,576,300,1381,1.1,1263,2.9
LGA34710,34,1465,668,142,1422,1.1,1158,2.5
LGA34770,36,2167,705,310,1821,1.1,1578,2.7
LGA34800,33,975,836,88,1410,1.1,1152,2.4
LGA34830,31,0,298,53,854,1.3,892,3.2
LGA34860,36,1365,645,150,1444,1.1,1209,2.6
LGA35010,37,1928,581,300,1451,1.1,1258,2.7
LGA35250,26,0,287,60,690,1.6,977,4.0
LGA35300,30,2000,952,250,2397,1.2,2064,2.7
LGA35600,37,1083,569,130,1259,1.1,979,2.5
LGA35670,23,0,260,90,692,1.5,827,4.2
LGA35760,44,1000,440,115,950,1.1,790,2.3
LGA35780,22,0,439,60,907,1.5,959,3.6
LGA35790,24,0,290,100,954,1.8,1181,4.8
LGA35800,39,520,501,90,1165,1.1,875,2.3
LGA36070,33,0,321,80,768,1.5,1053,3.5
LGA36150,40,650,578,100,1134,1.1,929,2.3
LGA36250,39,2000,608,350,1604,1.1,1365,2.7
LGA36300,37,715,577,47,1104,1.1,964,2.4
LGA36360,37,1690,578,250,1435,1.1,1166,2.6
LGA36510,42,1733,493,250,1212,1.1,1013,2.6
LGA36580,41,1500,445,240,1069,1.1,928,2.6
LGA36630,42,1200,397,190,952,1.1,789,2.4
LGA36660,42,1300,448,195,1001,1.1,837,2.4
LGA36710,42,1863,519,320,1219,1.1,1010,2.5
LGA36810,43,1424,451,188,1049,1.1,854,2.4
LGA36910,37,1517,549,230,1308,1.1,1061,2.5
LGA36950,28,1817,682,117,1577,1.4,1579,3.4
LGA36960,23,0,314,60,788,1.4,849,3.7
LGA37010,33,1860,675,290,1626,1.1,1381,2.6
LGA37300,30,2000,1242,231,2647,1.2,2503,2.8
LGA37310,37,1300,541,200,1294,1.1,1067,2.6
LGA37340,38,1768,621,260,1405,1.1,1165,2.4
LGA37400,43,921,546,70,1081,1.1,850,2.3
LGA37550,22,0,284,105,706,1.6,760,3.8
LGA37570,24,0,257,65,614,1.4,942,3.6
LGA37600,22,0,274,120,728,1.7,1015,4.9
LGA39399,46,0,668,0,0,0,0,0
LGA39499,44,0,379,0,0,0,0,0
LGA40070,30,1857,562,320,1870,1.1,1144,1.9
LGA40120,42,1700,665,260,1798,1.1,1509,2.7
LGA40220,47,1365,454,210,1019,1.1,861,2.3
LGA40250,26,0,277,20,691,1.6,1117,3.8
LGA40310,41,1460,566,210,1394,1.1,1125,2.5
LGA40430,51,867,404,145,918,1.1,714,2.2
LGA40520,42,1083,446,150,997,1.1,804,2.3
LGA40700,44,2000,715,290,2123,1.1,1472,2.4
LGA40910,41,1600,517,260,1366,1.1,1069,2.5
LGA41010,37,1192,585,136,1327,1.1,1048,2.5
LGA41060,41,1700,524,235,1345,1.1,1019,2.3
LGA41140,43,1200,523,180,1193,1.1,945,2.4
LGA41190,44,733,536,85,1136,1.1,938,2.3
LGA41330,45,581,435,100,1057,1.1,694,2.0
LGA41560,47,1083,398,185,926,1.0,749,2.2
LGA41750,43,1083,497,62,988,1.1,804,2.3
LGA41830,45,910,483,130,1166,1.1,853,2.3
LGA41960,43,1120,458,180,992,1.1,845,2.3
LGA42030,40,1408,516,220,1253,1.1,960,2.4
LGA42110,46,758,413,120,940,1.1,755,2.3
LGA42250,41,1300,577,135,1372,1.1,1184,2.7
LGA42600,45,1850,646,270,1727,1.1,1159,2.1
LGA42750,46,1083,489,159,1053,1.1,834,2.2
LGA43080,46,802,389,88,887,1.1,761,2.4
LGA43220,45,575,577,85,1365,1.1,1017,2.4
LGA43360,46,1083,480,130,988,1.0,819,2.2
LGA43650,38,1430,570,200,1457,1.1,1274,2.8
LGA43710,40,1200,526,140,1238,1.1,1039,2.6
LGA43790,43,1062,458,135,1070,1.1,830,2.3
LGA43920,40,1354,526,190,1317,1.1,1167,2.7
LGA44000,38,0,258,0,724,1.2,500,1.9
LGA44060,39,1600,552,240,1422,1.1,1064,2.3
LGA44210,48,1083,403,140,931,1.1,757,2.2
LGA44340,41,1733,637,265,1815,1.1,1387,2.5
LGA44550,38,1612,598,266,1502,1.1,1254,2.6
LGA44620,37,1257,504,160,1174,1.1,899,2.3
LGA44830,49,910,423,100,994,1.1,795,2.3
LGA45040,40,1200,454,180,1026,1.1,836,2.4
LGA45090,40,1083,575,150,1243,1.1,1017,2.4
LGA45120,46,900,459,110,1069,1.1,843,2.3
LGA45290,39,1809,601,260,1677,1.1,1133,2.2
LGA45340,38,1473,542,250,1311,1.1,1080,2.5
LGA45400,49,867,433,71,1090,1.1,932,2.3
LGA45540,50,563,355,125,727,1.1,564,2.0
LGA45680,32,1300,455,200,1063,1.1,896,2.6
LGA45890,37,1600,484,220,1221,1.1,952,2.4
LGA46090,38,1200,541,150,1245,1.1,986,2.4
LGA46300,38,1300,523,180,1203,1.1,924,2.4
LGA46450,41,1000,404,150,1006,1.1,771,2.3
LGA46510,36,1777,660,260,1821,1.1,1336,2.4
LGA46670,40,1083,462,150,1052,1.1,842,2.4
LGA46860,45,1389,555,160,1206,1.0,846,2.3
LGA46970,29,2323,1464,196,2840,1.1,2756,2.9
LGA47140,35,1410,502,240,1193,1.1,1021,2.6
LGA47290,43,780,480,95,1060,1.1,866,2.3
LGA47490,43,1116,463,140,1044,1.1,812,2.4
LGA47630,40,1000,528,132,1152,1.1,946,2.5
LGA47700,40,1517,591,260,1493,1.0,1246,2.6
LGA47800,44,877,427,110,964,1.1,785,2.4
LGA47910,48,1200,457,150,1012,1.1,787,2.2
LGA47980,39,1950,723,280,2065,1.1,1428,2.3
LGA48050,56,1213,408,210,905,1.0,751,2.1
LGA48130,42,997,460,150,1041,1.1,842,2.4
LGA48260,44,1950,699,261,2118,1.1,1451,2.3
LGA48340,42,975,470,130,1131,1.1,884,2.4
LGA48410,38,1690,546,250,1359,1.1,1014,2.3
LGA48540,38,1300,472,150,1276,1.1,934,2.3
LGA48640,38,758,544,84,1262,1.1,973,2.4
LGA48750,51,1120,437,190,946,1.1,778,2.2
LGA48830,52,975,394,138,889,1.1,717,2.2
LGA49399,39,867,746,45,1340,1.2,1087,2.3
LGA49499,39,0,368,0,0,0,0,0
LGA50080,41,1560,522,230,1269,1.1,1003,2.4
LGA50210,34,1850,621,290,1534,1.1,1309,2.7
LGA50250,33,954,1873,30,2831,1.1,2705,2.8
LGA50280,39,1733,593,260,1327,1.1,1096,2.5
LGA50350,38,1842,643,300,1620,1.1,1277,2.4
LGA50420,37,1954,662,300,1622,1.1,1290,2.4
LGA50490,35,2000,659,300,1556,1.1,1263,2.4
LGA50560,51,1200,404,95,909,1.1,771,2.2
LGA50630,38,2080,1207,220,2225,1.1,1814,2.6
LGA50770,44,1122,495,107,1178,1.1,890,2.4
LGA50840,46,1500,467,180,1117,1.1,883,2.4
LGA50910,45,1200,456,86,1055,1.1,867,2.4
LGA50980,32,2600,779,193,1809,1.2,1610,2.8
LGA51080,37,965,473,70,1023,1.1,859,2.7
LGA51120,40,451,495,74,1088,1.1,841,2.3
LGA51190,39,1647,582,250,1445,1.1,1139,2.3
LGA51260,39,1881,555,270,1334,1.0,1078,2.5
LGA51310,39,2600,915,385,2750,1.1,2285,2.6
LGA51330,34,1900,595,330,1719,1.1,1423,2.7
LGA51400,34,1993,664,310,1783,1.1,1628,2.9
LGA51470,45,650,549,95,1231,1.0,1007,2.3
LGA51540,38,1517,594,155,1372,1.2,1107,2.5
LGA51610,42,1500,568,150,1413,1.1,1244,2.6
LGA51680,42,2000,565,220,1577,1.1,1368,2.7
LGA51750,41,2700,826,398,2612,1.1,1789,2.3
LGA51820,34,2015,691,330,1820,1.0,1554,2.7
LGA51890,39,1586,558,195,1695,1.1,1339,2.5
LGA51960,31,1300,846,180,2177,1.1,1818,2.6
LGA52030,46,1400,493,115,1125,1.1,917,2.2
LGA52100,47,693,539,100,1113,1.1,915,2.2
LGA52170,40,3000,1024,450,2799,1.1,2409,2.5
LGA52240,41,860,485,80,1031,1.1,842,2.4
LGA52310,44,1000,469,100,991,1.1,895,2.4
LGA52380,49,217,380,100,840,1.2,671,2.0
LGA52450,38,997,510,114,1239,1.1,947,2.4
LGA52520,40,953,681,110,1488,1.1,1171,2.5
LGA52590,43,1500,573,200,1283,1.1,994,2.3
LGA52660,35,1900,636,290,1697,1.0,1502,2.7
LGA52730,47,1359,470,210,1042,1.1,848,2.3
LGA52800,29,1733,409,65,1048,1.3,1208,3.2
LGA52870,44,1404,496,195,1278,1.1,990,2.5
LGA52940,43,650,518,90,1023,1.1,827,2.3
LGA53010,40,813,497,80,958,1.1,810,2.3
LGA53080,37,655,796,100,1555,1.1,1130,2.3
LGA53150,42,2200,858,360,2530,1.1,1834,2.5
LGA53220,32,358,1812,75,2756,1.2,2695,3.1
LGA53290,38,1517,578,180,1401,1.1,1138,2.5
LGA53360,38,2167,737,257,1719,1.1,1373,2.4
LGA53430,41,2167,680,300,1863,1.1,1299,2.2
LGA53520,36,1647,603,230,1492,1.1,1225,2.6
LGA53570,44,1603,472,200,1123,1.1,937,2.5
LGA53640,36,650,612,100,1307,1.1,1003,2.5
LGA53710,42,1000,475,100,1042,1.1,852,2.5
LGA53780,33,1800,623,310,1561,1.1,1372,2.8
LGA53920,26,175,312,50,755,1.6,968,3.7
LGA53990,37,1842,603,260,1683,1.1,1464,2.7
LGA54060,44,1700,517,195,1283,1.1,995,2.4
LGA54130,40,1000,597,105,1191,1.1,958,2.4
LGA54170,38,2000,718,370,2036,1.0,1780,2.8
LGA54200,38,1989,681,320,1779,1.0,1521,2.7
LGA54280,31,1950,897,260,2280,1.1,1969,2.7
LGA54340,36,1213,526,140,1149,1.1,950,2.6
LGA54410,43,737,391,100,1027,1.1,824,2.5
LGA54480,37,758,611,80,1083,1.0,990,2.6
LGA54550,41,932,528,103,1158,1.1,954,2.4
LGA54620,39,823,610,110,992,1.1,920,2.4
LGA54690,42,379,502,86,859,1.0,865,2.5
LGA54760,41,520,540,89,1130,1.1,918,2.4
LGA54830,32,1800,606,260,1451,1.1,1253,2.7
LGA54900,40,950,616,100,1302,1.0,993,2.3
LGA54970,37,953,1460,70,793,1.3,900,2.5
LGA55040,32,800,1562,0,2200,1.1,1874,2.7
LGA55110,42,1950,494,270,1254,1.0,984,2.4
LGA55180,42,1300,493,150,1122,1.1,912,2.4
LGA55250,34,442,920,84,1097,1.2,1006,2.5
LGA55320,40,2167,694,350,2130,1.0,1619,2.6
LGA55390,37,2813,292,86,700,1.5,900,3.1
LGA55460,36,1144,599,130,1458,1.1,1099,2.4
LGA55530,39,309,700,100,1399,1.1,981,2.4
LGA55600,37,919,590,125,1361,1.1,1180,2.5
LGA55670,37,850,550,100,1256,1.1,1086,2.6
LGA55740,38,2582,747,285,2555,1.1,1497,2.3
LGA55810,37,650,582,130,885,1.3,1045,2.5
LGA55880,39,860,613,60,1275,1.0,970,2.5
LGA55950,45,530,550,65,1312,1.1,1055,2.3
LGA56020,37,600,690,92,1220,1.1,1005,2.5
LGA56090,40,1842,644,300,1779,1.1,1531,2.7
LGA56160,38,6100,553,45,1187,1.2,1018,2.6
LGA56230,43,1950,488,245,1325,1.1,1069,2.5
LGA56300,49,1620,459,116,984,1.1,821,2.3
LGA56370,44,650,538,100,1181,1.1,961,2.3
LGA56450,37,1001,532,100,1423,1.1,1309,2.7
LGA56520,37,1300,506,160,1181,1.1,955,2.4
LGA56580,41,3000,818,430,2779,1.1,2490,2.8
LGA56620,28,0,272,21,595,1.4,939,3.4
LGA56730,39,1300,517,180,1242,1.1,1005,2.5
LGA56790,46,1500,430,180,936,1.1,768,2.3
LGA56860,47,1350,433,50,866,1.1,818,2.3
LGA56930,40,2167,1028,370,2912,1.0,2685,2.8
LGA57000,38,867,1297,100,1471,1.1,1105,2.5
LGA57080,32,2496,1018,440,2448,1.2,1858,1.8
LGA57140,44,1083,411,124,910,1.1,759,2.4
LGA57210,43,1300,470,164,1093,1.1,888,2.4
LGA57280,31,2600,1421,120,2944,1.2,2809,2.8
LGA57350,48,738,486,75,1010,1.1,850,2.3
LGA57420,39,1175,747,220,1593,1.1,1361,2.4
LGA57490,34,2000,620,300,1656,1.0,1410,2.7
LGA57560,32,3000,1555,120,2952,1.2,2839,2.9
