region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
LGA11750,22,37,35,371,614,582,1130,1293,1263,1192,1307,1300,135,143,140,1.1,1.1,1.1,3.0,2.3,2.4,6.6,1.6,2.3
LGA11800,20,43,42,368,473,469,869,903,902,1733,1561,1569,250,255,250,1.2,1.1,1.1,3.1,2.4,2.4,9.4,2.3,2.6
LGA11860,27,41,41,350,479,475,1291,936,939,1018,1100,1059,50,0,0,1.0,1.1,1.1,4.8,2.7,2.7,0,0,0
LGA12000,15,43,43,378,452,450,1115,843,852,867,1170,1127,155,110,120,1.2,1.1,1.1,3.6,2.5,2.6,0,1.9,1.9
LGA12050,24,43,43,371,538,534,838,947,943,1517,1300,1300,180,180,180,1.1,1.1,1.1,3.3,2.3,2.3,9.5,1.6,1.8
LGA12150,23,47,41,353,485,438,741,834,803,867,810,832,130,80,120,1.2,1.1,1.1,3.0,2.2,2.4,7.2,1.6,3.2
LGA12200,24,47,47,340,430,425,768,769,769,889,1083,1083,142,150,150,1.1,1.1,1.1,3.1,2.2,2.3,3.5,1.1,1.2
LGA12300,17,47,47,345,471,469,587,877,872,997,1300,1300,198,180,180,1.2,1.1,1.1,2.9,2.3,2.3,5.6,1.0,1.1
LGA12350,21,46,45,326,420,412,758,788,785,1213,1092,1096,155,152,155,1.2,1.1,1.1,2.8,2.3,2.3,7.1,1.8,2.2
LGA12500,18,45,44,333,487,479,570,869,857,975,1083,1083,135,150,150,1.1,1.0,1.0,2.9,2.2,2.3,7.8,0.8,1.1
