region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
LGA18150,5,145,244,389,9,7,16,20,42,62,0,0,0,29,49,78,69,53,122,618,288,906,9,5,14,696,346,1042,552,523,1075,2643,2675,5318,54,58,112,3249,3256,6505,151,143,294,332,355,687,9,7,16,492,505,997,334,327,661,1917,1907,3824,34,41,75,2285,2275,4560,259,261,520,881,958,1839,15,14,29,1155,1233,2388
LGA18200,0,119,175,294,0,6,6,17,28,45,0,0,0,17,34,51,21,14,35,625,237,862,4,0,4,650,251,901,263,281,544,2506,2278,4784,46,31,77,2815,2590,5405,39,62,101,358,348,706,6,7,13,403,417,820,183,194,377,1800,1588,3388,29,20,49,2012,1802,3814,90,112,202,888,880,1768,15,12,27,993,1004,1997
LGA18250,27,2167,3222,5389,0,0,0,101,174,275,0,3,3,101,177,278,5,4,9,2161,1056,3217,20,8,28,2186,1068,3254,47,43,90,25033,27139,52172,177,180,357,25257,27362,52619,16,21,37,5133,5564,10697,41,53,94,5190,5638,10828,25,31,56,15197,16722,31919,102,134,236,15324,16887,32211,34,31,65,12905,14001,26906,93,82,175,13032,14114,27146
LGA18350,17,1317,2123,3440,0,5,5,109,280,389,0,0,0,109,285,394,52,38,90,4377,1722,6099,45,8,53,4474,1768,6242,291,329,620,16986,18374,35360,168,241,409,17445,18944,36389,63,59,122,2606,2978,5584,33,32,65,2702,3069,5771,160,196,356,11404,12301,23705,114,138,252,11678,12635,24313,155,145,300,7068,7959,15027,71,108,179,7294,8212,15506
LGA18400,12,917,1562,2479,5,10,15,113,305,418,0,0,0,118,315,433,86,52,138,5517,1843,7360,46,10,56,5649,1905,7554,411,441,852,17614,17484,35098,178,193,371,18203,18118,36321,66,84,150,2228,2398,4626,37,27,64,2331,2509,4840,276,301,577,12496,12406,24902,127,124,251,12899,12831,25730,155,171,326,5959,6222,12181,57,52,109,6171,6445,12616
LGA18450,60,5440,6984,12424,20,33,53,563,1286,1849,6,8,14,589,1327,1916,298,184,482,19326,7662,26988,141,52,193,19765,7898,27663,1612,1607,3219,75452,77396,152848,852,965,1817,77916,79968,157884,375,425,800,11580,11824,23404,118,148,266,12073,12397,24470,990,993,1983,53012,54492,107504,612,688,1300,54614,56173,110787,759,802,1561,28827,29797,58624,265,294,559,29851,30893,60744
LGA18500,22,1451,2454,3905,0,0,0,66,103,169,0,0,0,66,103,169,3,7,10,1345,760,2105,16,10,26,1364,777,2141,40,41,81,17067,19496,36563,169,194,363,17276,19731,37007,15,11,26,4205,4826,9031,28,34,62,4248,4871,9119,14,20,34,10026,11712,21738,105,145,250,10145,11877,22022,40,30,70,10108,11448,21556,69,61,130,10217,11539,21756
LGA18550,45,3106,4816,7922,39,41,80,509,1161,1670,5,0,5,553,1202,1755,318,288,606,16336,7322,23658,134,51,185,16788,7661,24449,1984,2118,4102,55908,59869,115777,695,733,1428,58587,62720,121307,545,578,1123,9010,9877,18887,129,112,241,9684,10567,20251,1118,1204,2322,36950,39390,76340,453,492,945,38521,41086,79607,1097,1200,2297,23668,26320,49988,273,257,530,25038,27777,52815
LGA18710,11,419,564,983,0,0,0,49,74,123,0,0,0,49,74,123,20,4,24,1351,528,1879,17,3,20,1388,535,1923,121,106,227,5850,5988,11838,62,60,122,6033,6154,12187,35,25,60,906,946,1852,8,13,21,949,984,1933,84,64,148,3844,3854,7698,42,35,77,3970,3953,7923,49,44,93,2471,2646,5117,21,26,47,2541,2716,5257
LGA18750,3,188,350,538,3,0,3,36,81,117,0,0,0,39,81,120,18,11,29,1172,510,1682,9,0,9,1199,521,1720,127,132,259,4569,4782,9351,61,59,120,4757,4973,9730,38,52,90,752,824,1576,3,8,11,793,884,1677,64,68,132,3211,3334,6545,51,48,99,3326,3450,6776,72,100,172,1726,1887,3613,10,14,24,1808,2001,3809
LGA19399,0,27,44,71,3,0,3,5,10,15,0,0,0,8,10,18,4,3,7,132,52,184,0,3,3,136,58,194,11,17,28,506,445,951,7,8,15,524,470,994,11,0,11,55,61,116,0,0,0,66,61,127,11,10,21,379,323,702,0,6,6,390,339,729,7,7,14,156,142,298,6,0,6,169,149,318
LGA19499,5,296,349,645,5,3,8,46,80,126,3,3,6,54,86,140,52,25,77,1020,334,1354,15,3,18,1087,362,1449,63,63,126,1240,733,1973,29,16,45,1332,812,2144,249,213,462,3854,3310,7164,57,59,116,4160,3582,7742,49,29,78,806,437,1243,22,12,34,877,478,1355,222,207,429,4051,3433,7484,50,55,105,4323,3695,8018
