region_id,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_199_M,PI1_199_F,PI1_199_P,PI200_299_M,PI200_299_F,PI200_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_599_M,PI400_599_F,PI400_599_P,PI600_799_M,PI600_799_F,PI600_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
LGA17750,89,62,151,80,100,180,117,128,245,70,133,203,86,150,236,102,88,190,70,57,127,115,90,205,65,60,125,794,868,1662
LGA17800,3,3,6,9,4,13,4,4,8,3,7,10,0,6,6,4,5,9,3,0,3,3,4,7,6,8,14,35,41,76
LGA17850,6,6,12,12,9,21,9,21,30,7,14,21,8,3,11,5,8,13,0,0,0,5,0,5,6,11,17,58,72,130
LGA17900,36,41,77,87,75,162,112,105,217,83,100,183,73,102,175,52,55,107,25,22,47,34,61,95,81,76,157,583,637,1220
LGA17950,4,9,13,13,15,28,14,31,45,25,32,57,10,24,34,10,11,21,4,4,8,5,3,8,13,10,23,98,139,237
LGA18000,19,30,49,7,17,24,17,21,38,4,16,20,20,31,51,24,23,47,26,19,45,73,50,123,14,17,31,204,224,428
LGA18020,25,26,51,27,30,57,60,59,119,33,65,98,31,45,76,19,15,34,9,5,14,17,14,31,19,22,41,240,281,521
LGA18050,7,3,10,7,11,18,5,4,9,4,12,16,11,9,20,7,5,12,7,7,14,41,40,81,6,0,6,95,91,186
LGA18100,4,3,7,0,0,0,0,5,5,5,0,5,3,3,6,3,3,6,0,0,0,3,3,6,8,0,8,26,17,43
LGA18150,40,36,76,54,47,101,80,81,161,60,87,147,52,77,129,34,47,81,21,25,46,44,36,80,284,62,346,669,498,1167
LGA18200,20,22,42,29,32,61,49,41,90,40,46,86,30,51,81,14,18,32,5,12,17,12,14,26,15,17,32,214,253,467
LGA18250,4,11,15,0,3,3,4,3,7,0,3,3,9,7,16,8,3,11,8,4,12,12,16,28,8,3,11,53,53,106
LGA18350,27,29,56,21,28,49,23,32,55,21,36,57,28,43,71,29,28,57,18,9,27,53,27,80,11,36,47,231,268,499
LGA18400,27,35,62,21,47,68,24,33,57,28,37,65,34,50,84,28,38,66,32,26,58,79,47,126,23,16,39,296,329,625
LGA18450,126,131,257,143,173,316,211,233,444,131,211,342,126,237,363,135,147,282,83,70,153,251,142,393,94,87,181,1300,1431,2731
LGA18500,9,6,15,3,3,6,3,3,6,3,3,6,3,3,6,3,8,11,3,3,6,16,14,30,3,4,7,46,47,93
LGA18550,163,141,304,180,229,409,219,234,453,140,249,389,156,314,470,177,215,392,140,108,248,269,169,438,128,107,235,1572,1766,3338
LGA18710,16,3,19,13,4,17,9,18,27,9,4,13,7,14,21,13,12,25,10,5,15,22,10,32,4,4,8,103,74,177
LGA18750,9,11,20,9,17,26,21,24,45,14,20,34,13,19,32,9,8,17,3,4,7,13,0,13,14,12,26,105,115,220
LGA19399,0,0,0,4,0,4,3,0,3,4,3,7,0,4,4,0,0,0,0,0,0,8,0,8,3,3,6,22,10,32
LGA19499,27,25,52,66,43,109,116,71,187,87,61,148,23,46,69,21,12,33,13,4,17,18,4,22,67,38,105,438,304,742
