region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
LGA15650,5,47,52,7,71,78,11,136,147,22,307,329,34,429,463,36,405,441,16,350,366,24,355,379,25,359,384,41,554,595,37,366,403,30,634,664,34,645,679,24,367,391,10,152,162,356,5177,5533
LGA15700,6,74,80,9,144,153,20,356,376,47,899,946,85,1266,1351,74,983,1057,63,749,812,41,558,599,28,405,433,37,496,533,17,232,249,4,134,138,7,141,148,37,460,497,23,221,244,498,7118,7616
LGA15750,11,66,77,16,64,80,26,135,161,49,348,397,71,466,537,75,388,463,34,360,394,42,335,377,25,335,360,49,434,483,26,307,333,18,230,248,8,222,230,55,341,396,40,206,246,545,4237,4782
LGA15800,0,32,32,7,47,54,7,90,97,22,211,233,32,281,313,38,209,247,23,209,232,16,146,162,11,136,147,22,168,190,13,127,140,5,55,60,5,56,61,23,153,176,16,85,101,240,2005,2245
LGA15850,3,43,46,21,34,55,27,76,103,37,212,249,75,231,306,60,196,256,40,175,215,44,143,187,29,151,180,46,186,232,20,115,135,7,76,83,12,75,87,47,172,219,30,67,97,498,1952,2450
LGA15900,24,560,584,34,764,798,110,1963,2073,132,4806,4938,182,5454,5636,190,4773,4963,168,4174,4342,157,4336,4493,133,3844,3977,198,6314,6512,173,4568,4741,118,4162,4280,110,5171,5281,186,4097,4283,89,1462,1551,2004,56448,58452
LGA15950,3,434,437,0,250,250,3,450,453,4,824,828,4,1163,1167,6,1132,1138,3,1342,1345,5,1702,1707,4,1804,1808,13,3156,3169,16,1771,1787,9,5261,5270,22,6692,6714,7,1918,1925,0,431,431,99,28330,28429
LGA16100,0,29,29,0,27,27,0,68,68,4,137,141,0,208,208,8,177,185,13,177,190,11,155,166,0,138,138,13,213,226,3,124,127,3,82,85,3,93,96,8,130,138,3,60,63,69,1818,1887
LGA16150,9,120,129,27,194,221,43,397,440,58,995,1053,105,1269,1374,77,1138,1215,58,983,1041,73,1027,1100,47,949,996,78,1519,1597,36,1039,1075,42,893,935,42,1146,1188,75,962,1037,55,409,464,825,13040,13865
LGA16180,0,54,54,5,58,63,0,60,60,0,191,191,5,286,291,7,276,283,3,291,294,3,265,268,9,307,316,16,537,553,14,460,474,15,454,469,14,995,1009,11,426,437,0,85,85,102,4745,4847
LGA16200,5,61,66,13,110,123,26,185,211,55,534,589,82,608,690,59,482,541,40,398,438,43,393,436,35,329,364,25,484,509,25,293,318,15,235,250,22,241,263,45,378,423,29,152,181,519,4883,5402
LGA16250,11,947,958,19,1026,1045,46,1752,1798,57,3148,3205,69,4475,4544,63,4434,4497,62,4221,4283,36,4599,4635,36,4262,4298,52,6804,6856,51,4877,4928,36,4357,4393,57,5735,5792,56,3931,3987,33,1451,1484,684,56019,56703
LGA16350,20,527,547,54,641,695,75,1261,1336,103,2918,3021,187,4273,4460,187,4263,4450,177,4109,4286,206,4884,5090,188,4486,4674,312,7813,8125,251,6239,6490,133,4308,4441,200,5523,5723,196,4284,4480,74,1499,1573,2363,57028,59391
LGA16370,0,239,239,4,207,211,0,263,263,0,657,657,7,1160,1167,10,1122,1132,7,1232,1239,3,1206,1209,6,1220,1226,13,2071,2084,18,1729,1747,17,2381,2398,26,3753,3779,13,1938,1951,4,469,473,128,19647,19775
LGA16380,6,274,280,25,516,541,37,963,1000,82,2669,2751,181,4216,4397,159,3409,3568,93,2881,2974,98,2221,2319,89,1894,1983,90,2462,2552,63,1457,1520,32,1046,1078,28,1175,1203,87,1868,1955,49,891,940,1119,27942,29061
LGA16400,13,226,239,15,311,326,31,647,678,62,1829,1891,111,2883,2994,119,2342,2461,76,2095,2171,97,1797,1894,76,1655,1731,119,2483,2602,61,1730,1791,54,1279,1333,39,1359,1398,101,1666,1767,35,665,700,1009,22967,23976
LGA16470,7,93,100,7,100,107,22,269,291,27,698,725,47,802,849,33,802,835,27,812,839,38,1007,1045,43,1001,1044,68,1756,1824,50,1348,1398,33,1316,1349,63,2366,2429,33,937,970,27,279,306,525,13586,14111
LGA16550,9,1329,1338,24,822,846,51,1290,1341,53,2414,2467,65,3000,3065,67,2712,2779,41,2780,2821,50,2919,2969,51,2875,2926,58,4736,4794,58,3681,3739,65,5016,5081,93,8334,8427,64,3774,3838,40,1093,1133,789,46775,47564
LGA16610,14,69,83,15,170,185,26,309,335,39,837,876,75,1233,1308,76,982,1058,39,849,888,50,702,752,34,554,588,45,717,762,32,397,429,5,168,173,7,143,150,52,504,556,38,278,316,547,7912,8459
LGA16650,5,650,655,6,592,598,4,851,855,10,1982,1992,20,2946,2966,18,2711,2729,26,2602,2628,27,2757,2784,19,2517,2536,37,4131,4168,35,2977,3012,31,2504,2535,28,3459,3487,19,2556,2575,10,877,887,295,34112,34407
LGA16700,0,943,943,0,589,589,7,929,936,9,1925,1934,13,2730,2743,8,2446,2454,15,2515,2530,10,2765,2775,17,2576,2593,24,4158,4182,26,3027,3053,22,3753,3775,25,5783,5808,18,2607,2625,3,733,736,197,37479,37676
LGA16900,5,181,186,19,293,312,29,655,684,60,1598,1658,97,2480,2577,92,1904,1996,68,1711,1779,71,1629,1700,60,1513,1573,90,2630,2720,56,1880,1936,37,1390,1427,46,1515,1561,76,1616,1692,47,588,635,853,21583,22436
LGA16950,20,347,367,42,667,709,90,1199,1289,134,3287,3421,260,5334,5594,252,4012,4264,164,3477,3641,172,2713,2885,124,2357,2481,179,2934,3113,103,1763,1866,53,1100,1153,37,1270,1307,168,2465,2633,83,1127,1210,1881,34052,35933
LGA17000,3,67,70,10,98,108,16,159,175,19,363,382,18,517,535,22,432,454,20,426,446,27,415,442,17,468,485,49,853,902,32,534,566,39,1051,1090,47,1195,1242,36,620,656,17,188,205,372,7386,7758
LGA17050,3,26,29,0,34,34,3,65,68,3,148,151,0,212,212,0,221,221,3,207,210,3,223,226,0,200,200,4,266,270,3,198,201,4,138,142,3,152,155,4,182,186,4,57,61,37,2329,2366
LGA17100,3,307,310,0,188,188,0,291,291,3,550,553,6,818,824,3,836,839,3,737,740,6,813,819,6,778,784,6,1245,1251,0,968,968,3,896,899,5,1725,1730,9,943,952,0,230,230,53,11325,11378
LGA17150,13,627,640,18,769,787,34,1317,1351,33,3519,3552,58,4955,5013,52,4759,4811,55,4878,4933,58,4836,4894,53,4769,4822,122,8485,8607,104,7242,7346,75,7906,7981,121,12742,12863,88,6099,6187,30,1529,1559,914,74432,75346
