region_id,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
IARE104009,12,114,38,164,7,68,48,123,13,102,79,194,13,106,50,169,35,110,22,167,25,66,8,99,10,43,9,62,115,609,254,978,9,127,27,163,18,85,14,117,30,124,11,165,51,120,14,185,40,118,11,169,18,85,10,113,7,43,10,60,173,702,97,972,21,241,65,327,25,153,62,240,43,226,90,359,64,226,64,354,75,228,33,336,43,151,18,212,17,86,19,122,288,1311,351,1950
IARE104010,5,21,4,30,7,9,0,16,5,22,0,27,5,17,5,27,5,21,0,26,3,21,3,27,3,7,3,13,33,118,15,166,3,21,6,30,6,11,0,17,4,17,0,21,4,24,4,32,7,17,6,30,3,10,3,16,3,8,3,14,30,108,22,160,8,42,10,60,13,20,0,33,9,39,0,48,9,41,9,59,12,38,6,56,6,31,6,43,6,15,6,27,63,226,37,326
IARE104011,12,263,47,322,16,192,20,228,32,267,16,315,41,232,17,290,46,197,19,262,27,106,16,149,12,77,16,105,186,1334,151,1671,34,269,34,337,20,178,14,212,61,234,15,310,84,262,25,371,51,208,20,279,47,120,10,177,17,95,24,136,314,1366,142,1822,46,532,81,659,36,370,34,440,93,501,31,625,125,494,42,661,97,405,39,541,74,226,26,326,29,172,40,241,500,2700,293,3493
IARE104012,9,71,15,95,9,55,5,69,17,95,4,116,12,78,3,93,17,60,6,83,5,36,5,46,0,16,3,19,69,411,41,521,8,94,19,121,10,66,4,80,13,102,6,121,32,93,7,132,31,65,5,101,20,36,3,59,7,20,4,31,121,476,48,645,17,165,34,216,19,121,9,149,30,197,10,237,44,171,10,225,48,125,11,184,25,72,8,105,7,36,7,50,190,887,89,1166
IARE104013,6,97,14,117,6,87,4,97,10,122,12,144,14,89,10,113,19,62,6,87,9,42,3,54,3,21,7,31,67,520,56,643,16,113,11,140,12,80,3,95,22,101,9,132,35,122,7,164,25,84,6,115,11,53,7,71,8,30,10,48,129,583,53,765,22,210,25,257,18,167,7,192,32,223,21,276,49,211,17,277,44,146,12,202,20,95,10,125,11,51,17,79,196,1103,109,1408
IARE104014,16,180,29,225,12,187,13,212,26,218,18,262,35,184,19,238,22,150,19,191,21,88,9,118,7,50,11,68,139,1057,118,1314,13,161,28,202,18,183,10,211,45,221,13,279,59,170,10,239,53,155,9,217,36,91,4,131,16,53,29,98,240,1034,103,1377,29,341,57,427,30,370,23,423,71,439,31,541,94,354,29,477,75,305,28,408,57,179,13,249,23,103,40,166,379,2091,221,2691
IARE104015,19,111,14,144,5,77,7,89,11,97,10,118,16,78,6,100,25,83,8,116,10,67,6,83,11,39,10,60,97,552,61,710,11,103,15,129,15,71,0,86,24,90,6,120,48,94,6,148,37,98,7,142,23,51,8,82,6,30,13,49,164,537,55,756,30,214,29,273,20,148,7,175,35,187,16,238,64,172,12,248,62,181,15,258,33,118,14,165,17,69,23,109,261,1089,116,1466
IARE104016,14,122,18,154,11,76,3,90,5,104,3,112,14,92,6,112,17,79,4,100,5,58,3,66,0,34,12,46,66,565,49,680,13,107,16,136,9,79,3,91,21,91,3,115,38,113,6,157,34,91,7,132,11,52,3,66,9,33,10,52,135,566,48,749,27,229,34,290,20,155,6,181,26,195,6,227,52,205,12,269,51,170,11,232,16,110,6,132,9,67,22,98,201,1131,97,1429
IARE104017,8,57,19,84,3,43,3,49,7,49,13,69,8,58,10,76,10,48,9,67,3,40,10,53,0,17,7,24,39,312,71,422,6,77,15,98,6,40,5,51,20,64,9,93,22,57,8,87,18,43,10,71,16,21,11,48,0,21,5,26,88,323,63,474,14,134,34,182,9,83,8,100,27,113,22,162,30,115,18,163,28,91,19,138,19,61,21,101,0,38,12,50,127,635,134,896
IARE104018,0,46,5,51,0,31,0,31,9,51,4,64,5,33,0,38,7,35,0,42,3,12,5,20,0,12,4,16,24,220,18,262,6,39,0,45,3,29,0,32,8,33,5,46,9,37,4,50,8,30,4,42,0,23,0,23,0,11,5,16,34,202,18,254,6,85,5,96,3,60,0,63,17,84,9,110,14,70,4,88,15,65,4,84,3,35,5,43,0,23,9,32,58,422,36,516
