region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
IARE105001,51,6580,36,6667,29,1872,18,1919,94,4859,43,4996,40,1335,24,1399,40,1001,24,1065,0,87,7,94,31,697,731,1459,285,16431,883,17599,70,8073,36,8179,30,1928,23,1981,97,4798,42,4937,47,1337,22,1406,50,1088,29,1167,0,88,6,94,43,956,622,1621,337,18268,780,19385,121,14653,72,14846,59,3800,41,3900,191,9657,85,9933,87,2672,46,2805,90,2089,53,2232,0,175,13,188,74,1653,1353,3080,622,34699,1663,36984
IARE105002,16,805,5,826,16,479,5,500,73,835,6,914,55,368,5,428,67,396,7,470,5,19,0,24,15,181,194,390,247,3083,222,3552,40,1040,8,1088,31,438,5,474,64,701,9,774,65,285,0,350,53,255,3,311,7,17,0,24,29,157,123,309,289,2893,148,3330,56,1845,13,1914,47,917,10,974,137,1536,15,1688,120,653,5,778,120,651,10,781,12,36,0,48,44,338,317,699,536,5976,370,6882
IARE105003,103,5438,32,5573,31,758,5,794,98,4185,36,4319,64,1026,8,1098,34,703,14,751,3,45,0,48,167,981,607,1755,500,13136,702,14338,124,6462,32,6618,37,710,4,751,133,3990,32,4155,67,1071,11,1149,40,648,8,696,0,39,3,42,34,542,576,1152,435,13462,666,14563,227,11900,64,12191,68,1468,9,1545,231,8175,68,8474,131,2097,19,2247,74,1351,22,1447,3,84,3,90,201,1523,1183,2907,935,26598,1368,28901
IARE105004,22,2108,12,2142,11,402,0,413,54,2577,18,2649,20,703,4,727,21,573,6,600,0,17,0,17,12,274,206,492,140,6654,246,7040,29,2748,12,2789,11,418,7,436,69,2258,26,2353,12,577,3,592,12,393,3,408,0,21,0,21,7,315,176,498,140,6730,227,7097,51,4856,24,4931,22,820,7,849,123,4835,44,5002,32,1280,7,1319,33,966,9,1008,0,38,0,38,19,589,382,990,280,13384,473,14137
IARE105005,11,453,10,474,11,127,3,141,43,642,9,694,17,212,0,229,21,209,4,234,0,13,0,13,17,88,72,177,120,1744,98,1962,20,608,7,635,11,110,0,121,39,488,10,537,25,158,3,186,13,117,5,135,4,9,0,13,11,63,54,128,123,1553,79,1755,31,1061,17,1109,22,237,3,262,82,1130,19,1231,42,370,3,415,34,326,9,369,4,22,0,26,28,151,126,305,243,3297,177,3717
IARE105006,21,1807,17,1845,14,824,11,849,36,1899,24,1959,16,804,14,834,24,768,14,806,3,40,3,46,14,406,300,720,128,6548,383,7059,38,2314,18,2370,9,866,6,881,50,1628,17,1695,13,638,12,663,15,556,11,582,4,17,3,24,12,416,247,675,141,6435,314,6890,59,4121,35,4215,23,1690,17,1730,86,3527,41,3654,29,1442,26,1497,39,1324,25,1388,7,57,6,70,26,822,547,1395,269,12983,697,13949
IARE105007,19,1704,14,1737,18,413,5,436,46,2740,26,2812,21,892,12,925,25,709,8,742,0,22,0,22,14,316,233,563,143,6796,298,7237,29,2287,7,2323,9,415,0,424,57,2572,32,2661,17,786,17,820,17,578,5,600,0,9,4,13,9,333,183,525,138,6980,248,7366,48,3991,21,4060,27,828,5,860,103,5312,58,5473,38,1678,29,1745,42,1287,13,1342,0,31,4,35,23,649,416,1088,281,13776,546,14603
IARE105008,14,677,3,694,3,154,3,160,20,980,9,1009,14,311,3,328,18,261,3,282,0,11,0,11,9,155,118,282,78,2549,139,2766,23,867,5,895,5,157,0,162,25,1027,5,1057,22,285,3,310,10,250,4,264,3,7,0,10,5,210,98,313,93,2803,115,3011,37,1544,8,1589,8,311,3,322,45,2007,14,2066,36,596,6,638,28,511,7,546,3,18,0,21,14,365,216,595,171,5352,254,5777
IARE105009,29,1103,3,1135,10,219,3,232,64,1626,11,1701,29,561,9,599,55,463,10,528,3,17,0,20,47,229,238,514,237,4218,274,4729,44,1331,6,1381,12,281,7,300,73,1624,9,1706,43,477,6,526,31,367,5,403,3,12,0,15,29,250,224,503,235,4342,257,4834,73,2434,9,2516,22,500,10,532,137,3250,20,3407,72,1038,15,1125,86,830,15,931,6,29,0,35,76,479,462,1017,472,8560,531,9563
IARE105010,23,1430,12,1465,12,682,5,699,34,1430,18,1482,34,621,3,658,26,525,7,558,3,19,0,22,20,296,244,560,152,5003,289,5444,27,1747,9,1783,20,746,4,770,50,1350,11,1411,23,538,3,564,17,507,8,532,3,28,0,31,15,326,186,527,155,5242,221,5618,50,3177,21,3248,32,1428,9,1469,84,2780,29,2893,57,1159,6,1222,43,1032,15,1090,6,47,0,53,35,622,430,1087,307,10245,510,11062
