region_id,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IARE501001,1127,1076,805,1881,604,563,1167,1047,1157,2204,623,529,1152,2274,2249,4523
IARE501002,31,57,54,111,261,262,523,37,26,63,17,14,31,315,302,617
IARE502001,442,363,360,723,211,220,431,397,415,812,220,231,451,828,866,1694
IARE502002,159,166,84,250,84,79,163,64,49,113,117,48,165,265,176,441
IARE502003,236,246,176,422,68,75,143,541,536,1077,152,99,251,761,710,1471
IARE502004,1290,1661,1320,2981,821,716,1537,3717,4039,7756,771,629,1400,5309,5384,10693
IARE502005,361,384,268,652,73,68,141,786,784,1570,249,131,380,1108,983,2091
IARE502006,192,175,127,302,92,114,206,41,33,74,126,69,195,259,216,475
IARE502007,110,95,77,172,43,31,74,89,82,171,59,56,115,191,169,360
IARE503001,758,692,590,1282,128,159,287,1670,1748,3418,461,333,794,2259,2240,4499
IARE503002,554,470,301,771,111,110,221,457,502,959,359,212,571,927,824,1751
IARE503003,3008,2352,1802,4154,413,399,812,3172,3189,6361,1777,1324,3101,5362,4912,10274
IARE503004,143,155,68,223,190,136,326,40,40,80,108,35,143,338,211,549
IARE503005,502,481,214,695,63,82,145,224,176,400,382,120,502,669,378,1047
IARE503006,0,19,18,37,56,63,119,15,6,21,0,0,0,71,69,140
IARE503007,136,112,43,155,37,27,64,47,22,69,100,36,136,184,85,269
IARE504001,77,87,22,109,84,76,160,19,5,24,66,14,80,169,95,264
IARE504002,31,76,41,117,208,182,390,24,13,37,26,8,34,258,203,461
IARE504003,24,39,39,78,167,203,370,21,29,50,13,11,24,201,243,444
IARE504004,0,21,18,39,75,70,145,0,0,0,0,0,0,75,70,145
IARE504005,21,22,22,44,65,81,146,3,3,6,12,9,21,80,93,173
IARE504006,352,328,269,597,259,276,535,269,313,582,213,151,364,741,740,1481
IARE504007,58,63,42,105,52,49,101,74,87,161,33,28,61,159,164,323
IARE504008,70,66,59,125,64,86,150,26,33,59,42,35,77,132,154,286
IARE505001,2818,2553,2377,4930,325,365,690,7114,7404,14518,1592,1362,2954,9031,9131,18162
IARE505002,520,497,499,996,86,65,151,1582,1614,3196,306,248,554,1974,1927,3901
IARE505003,2517,2386,1906,4292,159,167,326,6643,6908,13551,1556,1099,2655,8358,8174,16532
IARE505004,2094,1829,1585,3414,206,212,418,3700,3806,7506,1225,976,2201,5131,4994,10125
IARE505005,3053,2810,2397,5207,183,159,342,12401,12441,24842,1889,1384,3273,14473,13984,28457
IARE505006,2972,2991,2697,5688,347,336,683,10753,11229,21982,1765,1417,3182,12865,12982,25847
IARE505007,1475,1279,1168,2447,91,98,189,3670,4133,7803,863,715,1578,4624,4946,9570
IARE505008,4857,5193,3998,9191,691,500,1191,13757,13488,27245,2790,2332,5122,17238,16320,33558
IARE505009,4016,3914,3635,7549,187,192,379,19945,20868,40813,2452,1896,4348,22584,22956,45540
IARE505010,2132,1833,1652,3485,174,210,384,6230,6449,12679,1231,1010,2241,7635,7669,15304
IARE505011,1744,2091,1339,3430,448,155,603,3543,3405,6948,997,849,1846,4988,4409,9397
IARE505012,2864,2679,2577,5256,118,124,242,13106,13830,26936,1718,1378,3096,14942,15332,30274
IARE505013,1524,2681,1256,3937,541,155,696,5469,4726,10195,853,763,1616,6863,5644,12507
IARE505014,8108,5772,4870,10642,117,131,248,16370,17351,33721,4673,3672,8345,21160,21154,42314
IARE505015,4504,3968,3448,7416,340,396,736,12253,13312,25565,2702,2047,4749,15295,15755,31050
IARE505016,531,776,455,1231,72,60,132,2379,2334,4713,333,248,581,2784,2642,5426
IARE505017,4115,3231,2960,6191,205,198,403,9361,9803,19164,2402,1825,4227,11968,11826,23794
IARE505018,10111,8495,7729,16224,472,470,942,24269,25816,50085,5882,4689,10571,30623,30975,61598
IARE505019,4347,4142,3934,8076,623,768,1391,13501,13788,27289,2514,2119,4633,16638,16675,33313
IARE505020,3007,3206,2956,6162,281,280,561,12785,13457,26242,1800,1479,3279,14866,15216,30082
IARE505021,2866,2357,2233,4590,196,216,412,7340,7737,15077,1612,1397,3009,9148,9350,18498
IARE506001,2069,1780,661,2441,376,343,719,606,536,1142,1590,499,2089,2572,1378,3950
IARE506002,1480,1294,447,1741,156,132,288,983,874,1857,1146,355,1501,2285,1361,3646
IARE506003,2849,1988,1156,3144,162,147,309,1467,1326,2793,1829,1043,2872,3458,2516,5974
IARE506004,2668,1920,1248,3168,360,377,737,1043,1003,2046,1668,1043,2711,3071,2423,5494
IARE506005,1361,1317,421,1738,337,184,521,378,308,686,1034,332,1366,1749,824,2573
