region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
IARE301014,36,4080,5846,9926,13,24,37,411,866,1277,5,3,8,429,893,1322,168,147,315,15340,5932,21272,105,42,147,15613,6121,21734,935,1020,1955,53061,55377,108438,475,581,1056,54471,56978,111449,259,288,547,9855,10417,20272,87,104,191,10201,10809,21010,505,559,1064,32871,34111,66982,281,358,639,33657,35028,68685,546,591,1137,26188,28124,54312,207,238,445,26941,28953,55894
IARE302001,8,232,391,623,5,5,10,34,75,109,0,0,0,39,80,119,23,24,47,1270,458,1728,11,4,15,1304,486,1790,224,243,467,4009,4364,8373,69,69,138,4302,4676,8978,103,116,219,812,949,1761,19,25,44,934,1090,2024,81,98,179,2649,2792,5441,47,48,95,2777,2938,5715,184,211,395,1861,2242,4103,37,36,73,2082,2489,4571
IARE302002,47,3672,5192,8864,72,157,229,403,803,1206,0,3,3,475,963,1438,575,490,1065,13756,5627,19383,117,35,152,14448,6152,20600,4034,4550,8584,44938,45313,90251,516,519,1035,49488,50382,99870,1684,2025,3709,11542,12538,24080,133,154,287,13359,14717,28076,1924,2233,4157,25482,25078,50560,307,331,638,27713,27642,55355,2933,3481,6414,27031,29102,56133,260,287,547,30224,32870,63094
IARE302003,0,257,370,627,8,12,20,18,50,68,0,4,4,26,66,92,38,25,63,1175,417,1592,5,7,12,1218,449,1667,278,307,585,3247,3104,6351,37,35,72,3562,3446,7008,112,101,213,890,914,1804,14,11,25,1016,1026,2042,190,196,386,2028,1920,3948,21,22,43,2239,2138,4377,139,165,304,1853,1900,3753,21,22,43,2013,2087,4100
IARE302004,3,91,150,241,4,10,14,13,26,39,0,0,0,17,36,53,22,18,40,655,181,836,5,3,8,682,202,884,177,144,321,1950,1854,3804,22,36,58,2149,2034,4183,40,52,92,231,234,465,9,4,13,280,290,570,91,75,166,1439,1337,2776,11,26,37,1541,1438,2979,104,100,204,638,639,1277,9,12,21,751,751,1502
IARE302005,3,154,255,409,0,3,3,25,36,61,0,0,0,25,39,64,20,5,25,730,260,990,9,0,9,759,265,1024,83,107,190,2424,2396,4820,21,23,44,2528,2526,5054,47,41,88,448,464,912,3,7,10,498,512,1010,52,75,127,1728,1671,3399,20,18,38,1800,1764,3564,63,55,118,979,1039,2018,0,8,8,1042,1102,2144
IARE302006,0,78,145,223,3,5,8,10,29,39,0,0,0,13,34,47,19,25,44,529,194,723,10,4,14,558,223,781,245,257,502,1952,1779,3731,36,30,66,2233,2066,4299,93,136,229,262,282,544,13,5,18,368,423,791,142,151,293,1379,1209,2588,28,18,46,1549,1378,2927,141,188,329,696,739,1435,12,11,23,849,938,1787
IARE302007,4,298,489,787,0,17,17,36,99,135,0,3,3,36,119,155,72,72,144,2032,685,2717,28,4,32,2132,761,2893,612,710,1322,6705,6379,13084,136,108,244,7453,7197,14650,221,212,433,1020,998,2018,23,25,48,1264,1235,2499,351,357,708,4716,4475,9191,97,75,172,5164,4907,10071,375,441,816,2556,2553,5109,42,42,84,2973,3036,6009
IARE302008,4,293,396,689,9,10,19,30,57,87,0,0,0,39,67,106,52,32,84,1340,455,1795,19,3,22,1411,490,1901,446,442,888,4881,4603,9484,76,64,140,5403,5109,10512,106,106,212,673,667,1340,8,8,16,787,781,1568,306,305,611,3426,3171,6597,58,46,104,3790,3522,7312,186,175,361,1825,1810,3635,20,23,43,2031,2008,4039
IARE302009,3,123,183,306,7,7,14,17,40,57,0,0,0,24,47,71,37,40,77,612,248,860,3,0,3,652,288,940,391,400,791,2387,2493,4880,36,55,91,2814,2948,5762,161,198,359,458,470,928,10,10,20,629,678,1307,218,222,440,1581,1626,3207,18,25,43,1817,1873,3690,235,287,522,1094,1177,2271,20,22,42,1349,1486,2835
IARE302010,0,26,32,58,0,7,7,3,0,3,0,0,0,3,7,10,14,13,27,85,22,107,0,0,0,99,35,134,137,140,277,250,221,471,3,0,3,390,361,751,9,10,19,35,34,69,3,4,7,47,48,95,124,123,247,181,152,333,3,0,3,308,275,583,17,15,32,98,91,189,0,5,5,115,111,226
IARE302011,0,7,29,36,17,24,41,0,0,0,0,0,0,17,24,41,93,70,163,0,0,0,0,0,0,93,70,163,1062,1087,2149,23,11,34,11,6,17,1096,1104,2200,61,63,124,5,7,12,0,0,0,66,70,136,916,958,1874,12,4,16,6,5,11,934,967,1901,79,80,159,13,14,27,3,0,3,95,94,189
IARE303001,0,7,13,20,3,6,9,0,0,0,0,0,0,3,6,9,27,7,34,9,0,9,0,0,0,36,7,43,582,583,1165,26,31,57,0,0,0,608,614,1222,4,6,10,21,17,38,0,0,0,25,23,48,509,523,1032,8,9,17,0,0,0,517,532,1049,13,9,22,35,38,73,0,0,0,48,47,95
