region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
IARE106002,276,3507,3783,337,8687,9024,16,592,608,37,381,418,390,9660,10050,37,485,522,703,13652,14355
IARE106003,528,8877,9405,1084,21300,22384,49,1572,1621,125,1044,1169,1258,23916,25174,90,1198,1288,1876,33991,35867
IARE106004,180,4750,4930,510,17924,18434,27,897,924,54,1150,1204,591,19971,20562,37,839,876,808,25560,26368
IARE106005,184,8022,8206,568,23321,23889,40,1354,1394,59,1194,1253,667,25869,26536,47,1111,1158,898,35002,35900
IARE107001,28,3856,3884,81,15825,15906,4,503,507,7,714,721,92,17042,17134,8,1052,1060,128,21950,22078
IARE107002,26,4457,4483,257,45025,45282,7,1137,1144,16,1054,1070,280,47216,47496,5,1358,1363,311,53031,53342
IARE107003,914,15824,16738,1923,65794,67717,74,2091,2165,185,2951,3136,2182,70836,73018,198,3704,3902,3294,90364,93658
IARE107004,98,4338,4436,462,20701,21163,16,829,845,36,735,771,514,22265,22779,17,725,742,629,27328,27957
IARE107005,88,3001,3089,186,9430,9616,10,357,367,14,444,458,210,10231,10441,11,580,591,309,13812,14121
IARE107006,59,2399,2458,398,13810,14208,14,532,546,27,644,671,439,14986,15425,18,551,569,516,17936,18452
IARE107007,502,8631,9133,1270,31961,33231,55,1331,1386,119,1787,1906,1444,35079,36523,109,1791,1900,2055,45501,47556
IARE107008,266,23920,24186,661,67670,68331,29,2588,2617,49,3113,3162,739,73371,74110,80,4789,4869,1085,102080,103165
IARE107009,170,14055,14225,343,35517,35860,12,1551,1563,30,1712,1742,385,38780,39165,55,2887,2942,610,55722,56332
IARE107010,149,3637,3786,484,14295,14779,14,654,668,39,676,715,537,15625,16162,30,692,722,716,19954,20670
IARE107011,95,6795,6890,256,22423,22679,14,835,849,23,1061,1084,293,24319,24612,18,1276,1294,406,32390,32796
IARE107012,46,8651,8697,288,73727,74015,10,1822,1832,5,1614,1619,303,77163,77466,15,2306,2321,364,88120,88484
IARE107013,27,6320,6347,148,32216,32364,7,943,950,14,1207,1221,169,34366,34535,11,1273,1284,207,41959,42166
IARE107014,73,8204,8277,245,34466,34711,13,1110,1123,16,1156,1172,274,36732,37006,10,1600,1610,357,46536,46893
IARE107015,198,6133,6331,652,19863,20515,31,1007,1038,62,896,958,745,21766,22511,49,933,982,992,28832,29824
IARE107016,70,2497,2567,176,16501,16677,0,463,463,16,1040,1056,192,18004,18196,14,540,554,276,21041,21317
IARE107017,288,9898,10186,681,36137,36818,28,1550,1578,83,1929,2012,792,39616,40408,68,2366,2434,1148,51880,53028
IARE107018,0,21,21,3,107,110,0,3,3,0,0,0,3,110,113,0,0,0,3,131,134
IARE107019,141,4608,4749,336,21771,22107,9,667,676,33,1469,1502,378,23907,24285,25,922,947,544,29437,29981
IARE107020,69,10723,10792,384,66523,66907,17,2175,2192,33,3000,3033,434,71698,72132,31,2592,2623,534,85013,85547
IARE107021,173,9722,9895,424,40959,41383,15,1332,1347,38,1885,1923,477,44176,44653,37,2243,2280,687,56141,56828
IARE107022,435,10092,10527,1665,41390,43055,54,1377,1431,113,2110,2223,1832,44877,46709,117,2061,2178,2384,57030,59414
IARE107023,182,7257,7439,495,34738,35233,22,1149,1171,46,2054,2100,563,37941,38504,42,1576,1618,787,46774,47561
IARE107024,54,6967,7021,207,23767,23974,16,903,919,15,1135,1150,238,25805,26043,4,1339,1343,296,34111,34407
IARE107025,130,11107,11237,668,56831,57499,27,1985,2012,49,2243,2292,744,61059,61803,42,2266,2308,916,74432,75348
IARE107026,376,8828,9204,621,54588,55209,22,1565,1587,94,4676,4770,737,60829,61566,86,2310,2396,1199,71967,73166
IARE107027,65,10126,10191,279,49167,49446,6,1433,1439,30,2126,2156,315,52726,53041,19,2165,2184,399,65017,65416
