region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
IARE702009,0,5,5,11,3,14,3,3,6,4,5,9,6,13,19,5,39,44,3,43,46,9,41,50,5,32,37,3,45,48,3,21,24,4,18,22,4,12,16,4,17,21,11,6,17,75,303,378
IARE702010,0,0,0,3,0,3,0,0,0,0,0,0,8,0,8,6,0,6,0,4,4,0,3,3,0,5,5,5,0,5,0,3,3,0,4,4,0,4,4,6,0,6,3,0,3,31,23,54
IARE702011,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,6,0,6,3,3,6,3,3,6,6,3,9,0,0,0,0,3,3,0,0,0,3,3,6,16,0,16,14,0,14,58,15,73
IARE702012,0,0,0,7,0,7,0,0,0,10,0,10,21,0,21,11,0,11,3,0,3,10,0,10,6,0,6,3,7,10,3,0,3,3,0,3,0,5,5,12,0,12,13,0,13,102,12,114
IARE702013,0,0,0,3,0,3,5,0,5,4,0,4,7,3,10,5,0,5,9,0,9,6,3,9,3,0,3,3,5,8,0,0,0,3,4,7,0,3,3,4,0,4,5,4,9,57,22,79
IARE702014,0,0,0,3,0,3,13,0,13,6,0,6,16,0,16,14,5,19,9,5,14,10,4,14,5,3,8,10,4,14,3,5,8,0,4,4,3,3,6,8,3,11,5,0,5,105,36,141
IARE702015,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,4,4,4,0,4,4,0,4,5,0,5,0,4,4,0,0,0,0,0,0,6,0,6,4,0,4,31,8,39
IARE702016,0,0,0,7,0,7,4,0,4,3,0,3,3,0,3,3,0,3,3,0,3,5,0,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,35,3,38
IARE702017,0,3,3,3,0,3,0,3,3,0,0,0,13,0,13,10,3,13,4,3,7,8,3,11,10,10,20,13,10,23,3,3,6,3,3,6,3,3,6,11,0,11,7,0,7,88,44,132
IARE703001,4,14,18,3,3,6,0,23,23,0,31,31,10,51,61,6,53,59,7,90,97,8,102,110,8,115,123,13,192,205,7,163,170,9,128,137,19,271,290,19,172,191,5,24,29,118,1432,1550
IARE703002,4,8,12,0,8,8,4,11,15,5,26,31,9,45,54,6,59,65,13,49,62,16,99,115,20,83,103,27,184,211,28,171,199,28,173,201,28,210,238,20,164,184,5,21,26,213,1311,1524
IARE703003,3,17,20,9,12,21,17,51,68,11,93,104,18,80,98,36,85,121,12,72,84,14,112,126,10,104,114,22,201,223,13,143,156,7,132,139,14,195,209,19,110,129,16,46,62,221,1453,1674
IARE703004,0,27,27,3,17,20,9,34,43,11,73,84,17,62,79,21,54,75,3,64,67,16,38,54,12,41,53,15,64,79,4,27,31,5,39,44,3,39,42,14,56,70,17,24,41,150,659,809
IARE703005,0,67,67,6,40,46,36,90,126,37,183,220,38,187,225,21,219,240,16,300,316,17,427,444,16,443,459,48,805,853,25,684,709,26,884,910,55,1402,1457,48,777,825,39,101,140,428,6609,7037
