region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC40200106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,42,43,85,3,3,6,0,0,0,45,46,91,3,3,6,0,3,3,0,0,0,3,6,9,35,36,71,3,3,6,0,0,0,38,39,77,7,5,12,0,4,4,0,0,0,7,9,16
ILOC40200107,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,5,3,8,4,0,4,0,0,0,9,3,12,114,115,229,14,10,24,0,0,0,128,125,253,7,9,16,6,3,9,0,0,0,13,12,25,100,102,202,0,0,0,3,0,3,103,102,205,7,11,18,16,12,28,0,0,0,23,23,46
ILOC40200108,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,0,0,0,6,0,6,3,0,3,9,0,9,33,45,78,10,6,16,0,0,0,43,51,94,3,6,9,4,6,10,0,0,0,7,12,19,26,36,62,3,0,3,0,0,0,29,36,65,8,6,14,10,12,22,0,0,0,18,18,36
ILOC40200109,0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20,7,3,10,0,0,0,17,13,30,199,210,409,19,29,48,0,0,0,218,239,457,7,9,16,5,4,9,0,0,0,12,13,25,170,178,348,4,7,11,0,0,0,174,185,359,15,17,32,20,23,43,0,0,0,35,40,75
ILOC40200110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,33,0,3,3,0,3,3,20,19,39,4,4,8,0,0,0,0,0,0,4,4,8,13,16,29,0,0,0,0,0,0,13,16,29,5,5,10,0,3,3,0,0,0,5,8,13
ILOC40200201,0,32,49,81,0,0,0,4,7,11,0,0,0,4,7,11,9,3,12,165,63,228,0,0,0,174,66,240,78,97,175,611,412,1023,14,8,22,703,517,1220,20,30,50,115,97,212,0,4,4,135,131,266,40,55,95,448,267,715,10,9,19,498,331,829,50,54,104,245,208,453,0,3,3,295,265,560
ILOC40200202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17,3,0,3,0,3,3,12,11,23,3,0,3,0,0,0,0,0,0,3,0,3,9,8,17,4,0,4,0,0,0,13,8,21,0,3,3,0,0,0,0,0,0,0,3,3
ILOC40200301,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,42,53,95,8,5,13,6,3,9,56,61,117,7,10,17,3,4,7,0,0,0,10,14,24,31,39,70,6,0,6,4,3,7,41,42,83,10,21,31,5,9,14,0,0,0,15,30,45
ILOC40200302,0,0,4,4,4,0,4,0,0,0,0,0,0,4,0,4,6,3,9,0,0,0,0,0,0,6,3,9,22,16,38,0,3,3,0,0,0,22,19,41,9,10,19,0,0,0,0,0,0,9,10,19,20,10,30,0,3,3,0,0,0,20,13,33,8,13,21,0,0,0,0,0,0,8,13,21
ILOC40200303,0,65,50,115,3,3,6,19,16,35,0,0,0,22,19,41,6,7,13,371,86,457,4,0,4,381,93,474,93,60,153,975,550,1525,12,4,16,1080,614,1694,28,19,47,316,173,489,4,3,7,348,195,543,65,46,111,618,350,968,9,0,9,692,396,1088,43,26,69,627,339,966,7,5,12,677,370,1047
