region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
ILOC60100202,22,46,45,340,381,379,670,718,714,1170,997,997,120,65,78,1.2,1.1,1.1,3.3,2.2,2.3,8.5,1.2,1.6
ILOC60100203,20,41,40,357,440,437,824,877,873,1200,1200,1200,175,190,189,1.3,1.1,1.1,3.1,2.5,2.5,9.6,2.9,3.3
ILOC60100204,18,43,43,404,498,497,1062,959,962,1460,1300,1300,193,180,180,1.2,1.1,1.1,3.1,2.4,2.5,8.5,1.4,1.7
ILOC60100205,19,43,42,466,429,430,1068,862,871,1300,1168,1170,130,110,120,1.1,1.1,1.1,3.2,2.5,2.5,4.8,2.1,2.3
ILOC60100301,19,34,33,368,496,485,815,971,956,1300,1300,1300,170,185,183,1.2,1.1,1.1,3.2,2.6,2.7,9.7,2.9,3.6
ILOC60100302,22,41,41,451,580,577,1065,1125,1123,1300,1500,1500,210,240,235,1.1,1.1,1.1,3.0,2.4,2.4,5.4,1.8,1.9
ILOC60100303,22,39,39,407,488,485,908,864,866,1394,1300,1300,220,210,210,1.2,1.1,1.1,2.9,2.3,2.3,6.5,2.9,3.1
ILOC60100304,26,38,38,481,642,640,1215,1259,1258,1733,1700,1700,275,260,265,1.2,1.1,1.1,2.6,2.3,2.3,6.6,2.3,2.4
ILOC60100401,35,44,42,457,394,405,860,652,679,1250,737,1040,115,200,180,1.1,1.1,1.1,2.8,2.2,2.3,7.1,3.1,4.1
ILOC60100402,25,42,39,337,378,374,714,739,734,904,1170,1127,185,185,185,1.6,1.1,1.2,2.8,2.3,2.4,10.3,3.4,4.5
