region_id,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
ILOC40200201,0,7,0,7,5,3,3,11,3,7,0,10,5,18,0,23,0,12,3,15,0,4,4,8,0,5,0,5,13,56,10,79,0,18,3,21,0,3,3,6,0,11,4,15,5,13,4,22,0,19,3,22,0,6,0,6,0,13,0,13,5,83,17,105,0,25,3,28,5,6,6,17,3,18,4,25,10,31,4,45,0,31,6,37,0,10,4,14,0,18,0,18,18,139,27,184
ILOC40200202,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,10,0,10,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,3,0,3,0,6,0,6,0,4,0,4,0,5,0,5,0,3,0,3,0,0,0,0,0,21,0,21
ILOC40200301,0,3,3,6,0,0,0,0,0,3,0,3,0,10,0,10,0,11,0,11,0,0,0,0,0,3,0,3,0,30,3,33,0,0,6,6,0,3,3,6,3,10,0,13,0,12,0,12,0,3,0,3,3,3,0,6,0,0,0,0,6,31,9,46,0,3,9,12,0,3,3,6,3,13,0,16,0,22,0,22,0,14,0,14,3,3,0,6,0,3,0,3,6,61,12,79
ILOC40200302,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,8,0,8,0,3,0,3,0,4,0,4,0,3,0,3,0,3,0,3,0,21,0,21,0,0,0,0,0,3,0,3,0,11,0,11,0,6,0,6,0,7,0,7,0,6,0,6,0,3,0,3,0,36,0,36
ILOC40200303,0,12,3,15,0,7,0,7,3,16,3,22,4,15,0,19,0,21,0,21,3,6,0,9,0,3,3,6,10,80,9,99,0,6,3,9,3,0,0,3,3,7,0,10,0,16,3,19,0,6,0,6,4,7,0,11,0,6,0,6,10,48,6,64,0,18,6,24,3,7,0,10,6,23,3,32,4,31,3,38,0,27,0,27,7,13,0,20,0,9,3,12,20,128,15,163
ILOC40200304,5,0,0,5,0,3,0,3,0,3,0,3,0,5,0,5,0,3,0,3,0,0,0,0,0,3,0,3,5,17,0,22,0,0,0,0,0,0,0,0,4,3,0,7,4,3,0,7,3,3,0,6,0,3,0,3,0,3,0,3,11,15,0,26,5,0,0,5,0,3,0,3,4,6,0,10,4,8,0,12,3,6,0,9,0,3,0,3,0,6,0,6,16,32,0,48
ILOC40200305,0,5,0,5,0,5,3,8,0,11,0,11,0,6,0,6,0,3,0,3,0,3,0,3,0,0,0,0,0,33,3,36,0,3,0,3,0,0,0,0,0,3,0,3,3,4,0,7,0,3,0,3,0,3,0,3,0,0,0,0,3,16,0,19,0,8,0,8,0,5,3,8,0,14,0,14,3,10,0,13,0,6,0,6,0,6,0,6,0,0,0,0,3,49,3,55
ILOC40200401,0,28,5,33,0,25,0,25,5,41,6,52,6,40,3,49,6,34,3,43,0,23,3,26,4,17,3,24,21,208,23,252,0,36,9,45,8,27,4,39,8,42,9,59,10,38,4,52,7,25,0,32,4,22,3,29,3,28,7,38,40,218,36,294,0,64,14,78,8,52,4,64,13,83,15,111,16,78,7,101,13,59,3,75,4,45,6,55,7,45,10,62,61,426,59,546
ILOC40200402,0,6,0,6,0,5,0,5,0,4,0,4,0,0,0,0,0,10,5,15,0,8,0,8,0,3,0,3,0,36,5,41,0,4,0,4,3,3,0,6,3,3,4,10,0,7,0,7,0,8,0,8,4,4,0,8,0,7,0,7,10,36,4,50,0,10,0,10,3,8,0,11,3,7,4,14,0,7,0,7,0,18,5,23,4,12,0,16,0,10,0,10,10,72,9,91
ILOC40200501,0,4,0,4,0,3,3,6,0,8,0,8,0,10,3,13,0,10,3,13,0,10,0,10,4,5,0,9,4,50,9,63,0,6,0,6,0,5,0,5,0,14,0,14,0,7,0,7,0,12,0,12,0,9,3,12,0,10,0,10,0,63,3,66,0,10,0,10,0,8,3,11,0,22,0,22,0,17,3,20,0,22,3,25,0,19,3,22,4,15,0,19,4,113,12,129
