region_id,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,tpe_ur_occ_pvte_dwg_Sh_Indi_M,tpe_ur_occ_pvte_dwg_Sh_Indi_F,tpe_ur_occ_pvte_dwg_Sh_Indi_P,tpe_ur_occ_pte_dw_Sh_No_Ind_M,tpe_ur_occ_pte_dw_Sh_No_Ind_F,tpe_ur_occ_pte_dw_Sh_No_Ind_P,t_ur_occ_pte_dw_Sh_In_st_nsM,t_ur_occ_pte_dw_Sh_In_st_nsF,t_ur_occ_pte_dw_Sh_In_st_nsP,tpe_ur_occ_pvte_dwg_Sh_TotM,tpe_ur_occ_pvte_dwg_Sh_TotF,tpe_ur_occ_pvte_dwg_Sh_TotP,t_ur_oc_p_dw_im_h_t_s_o_In_M,t_ur_oc_p_dw_im_h_t_s_o_In_F,t_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,t_ur_o_p_d_I_h_t_s_o_i_s_nsM,t_ur_o_p_d_I_h_t_s_o_i_s_nsF,t_ur_o_p_d_I_h_t_s_o_i_s_nsP,t_ur_o_p_d_I_h_t_s_o_TotM,t_ur_o_p_d_I_h_t_s_o_TotF,t_ur_o_p_d_I_h_t_s_o_TotP,ty_ur_oc_p_dw_Ot_p_dw_In_M,ty_ur_oc_p_dw_Ot_p_dw_In_F,ty_ur_oc_p_dw_Ot_p_dw_In_P,ty_ur_o_pr_d_Ot_pr_d_No_In_M,ty_ur_o_pr_d_Ot_pr_d_No_In_F,ty_ur_o_pr_d_Ot_pr_d_No_In_P,ty_ur_o_p_d_O_p_d_In_st_nsM,ty_ur_o_p_d_O_p_d_In_st_nsF,ty_ur_o_p_d_O_p_d_In_st_nsP,ty_ur_oc_pr_dw_Ot_pr_dw_TotM,ty_ur_oc_pr_dw_Ot_pr_dw_TotF,ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
ILOC70500504,0,0,0,0,0,6,16,22,5,10,15,0,0,0,0,0,0,5,10,15,15,9,24,0,0,0,0,0,0,15,9,24,0,0,0,0,0,0,0,0,0,0,0,0,63,58,121,0,0,0,3,7,10,66,65,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,58,121,0,0,0,3,7,10,66,65,131,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70500601,3,6,0,0,0,22,41,63,29,39,68,0,0,0,0,0,0,29,39,68,40,45,85,0,0,0,0,0,0,40,45,85,12,22,34,0,0,0,3,3,6,15,25,40,234,291,525,23,21,44,10,9,19,267,321,588,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,6,6,234,294,528,23,24,47,10,9,19,267,327,594,0,9,9,0,0,0,0,0,0,0,9,9
ILOC70500701,5,8,0,0,0,66,103,169,52,54,106,3,0,3,0,0,0,55,54,109,95,74,169,0,0,0,3,0,3,98,74,172,4,4,8,0,0,0,0,0,0,4,4,8,423,449,872,22,24,46,3,3,6,448,476,924,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,0,3,0,0,0,3,9,12,423,458,881,25,24,49,3,3,6,451,485,936,8,5,13,5,3,8,0,0,0,13,8,21
ILOC70500801,0,3,0,0,0,6,9,15,4,3,7,0,0,0,0,0,0,4,3,7,12,15,27,0,0,0,0,0,0,12,15,27,4,0,4,0,0,0,0,0,0,4,0,4,32,40,72,3,0,3,0,0,0,35,40,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,72,3,0,3,0,0,0,35,40,75,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70500802,0,0,0,0,0,10,13,23,8,4,12,0,0,0,0,0,0,8,4,12,7,5,12,0,0,0,0,0,0,7,5,12,3,3,6,0,0,0,0,0,0,3,3,6,46,68,114,0,4,4,0,0,0,46,72,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,68,114,0,4,4,0,0,0,46,72,118,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70500803,5,14,0,0,0,16,5,21,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,26,22,48,0,0,0,30,25,55,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,3,3,6,0,0,0,3,3,6,4,3,7,39,25,64,0,0,0,43,28,71,9,3,12,6,3,9,3,0,3,18,6,24
ILOC70500804,10,23,0,0,0,24,23,47,5,3,8,4,3,7,0,0,0,9,6,15,10,14,24,4,3,7,0,0,0,14,17,31,10,7,17,0,0,0,0,0,0,10,7,17,71,62,133,26,26,52,0,0,0,97,88,185,0,0,0,0,0,0,0,0,0,0,0,0,10,4,14,12,11,23,0,0,0,22,15,37,81,66,147,38,37,75,0,0,0,119,103,222,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70500805,7,27,0,0,0,27,10,37,4,0,4,3,3,6,0,0,0,7,3,10,10,10,20,3,3,6,3,0,3,16,13,29,5,0,5,0,0,0,0,0,0,5,0,5,22,25,47,36,28,64,3,3,6,61,56,117,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,18,12,30,3,3,6,24,15,39,25,25,50,54,40,94,6,6,12,85,71,156,3,0,3,19,15,34,0,0,0,22,15,37
ILOC70500901,0,0,0,0,0,7,7,14,6,8,14,0,0,0,0,0,0,6,8,14,7,3,10,0,0,0,0,0,0,7,3,10,0,8,8,0,0,0,0,0,0,0,8,8,39,31,70,0,0,0,0,0,0,39,31,70,0,0,0,0,0,0,0,0,0,0,0,0,13,15,28,0,0,0,0,0,0,13,15,28,52,46,98,0,0,0,0,0,0,52,46,98,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70500902,5,23,0,0,0,21,8,29,0,3,3,8,0,8,0,0,0,8,3,11,10,4,14,0,0,0,0,0,0,10,4,14,3,3,6,0,0,0,0,0,0,3,3,6,21,21,42,38,38,76,0,0,0,59,59,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,42,38,38,76,0,0,0,59,59,118,0,0,0,21,12,33,0,0,0,21,12,33
