region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
ILOC40101601,56,4375,34,4465,39,2269,21,2329,48,1920,23,1991,17,607,8,632,20,684,14,718,3,34,3,40,26,468,458,952,209,10357,561,11127,54,4931,45,5030,50,2023,15,2088,50,1943,18,2011,12,697,13,722,18,883,8,909,3,41,3,47,31,493,474,998,218,11011,576,11805,110,9306,79,9495,89,4292,36,4417,98,3863,41,4002,29,1304,21,1354,38,1567,22,1627,6,75,6,87,57,961,932,1950,427,21368,1137,22932
ILOC40101602,38,6623,43,6704,19,2006,15,2040,30,1698,10,1738,14,553,11,578,17,790,16,823,4,161,3,168,127,958,510,1595,249,12789,608,13646,42,7060,40,7142,28,1855,15,1898,45,1864,20,1929,24,657,12,693,15,988,15,1018,4,164,3,171,54,820,377,1251,212,13408,482,14102,80,13683,83,13846,47,3861,30,3938,75,3562,30,3667,38,1210,23,1271,32,1778,31,1841,8,325,6,339,181,1778,887,2846,461,26197,1090,27748
ILOC40101603,37,3862,22,3921,20,1173,13,1206,25,1104,14,1143,16,448,4,468,17,691,13,721,3,218,6,227,13,472,382,867,131,7968,454,8553,43,3716,38,3797,46,969,6,1021,43,1029,10,1082,18,485,5,508,14,882,26,922,3,248,6,257,14,510,303,827,181,7839,394,8414,80,7578,60,7718,66,2142,19,2227,68,2133,24,2225,34,933,9,976,31,1573,39,1643,6,466,12,484,27,982,685,1694,312,15807,848,16967
ILOC40101604,22,2990,34,3046,16,758,19,793,30,799,8,837,9,335,5,349,21,663,18,702,0,167,6,173,11,412,285,708,109,6124,375,6608,34,2969,31,3034,16,603,3,622,19,741,15,775,24,386,5,415,17,988,22,1027,0,302,7,309,11,425,239,675,121,6414,322,6857,56,5959,65,6080,32,1361,22,1415,49,1540,23,1612,33,721,10,764,38,1651,40,1729,0,469,13,482,22,837,524,1383,230,12538,697,13465
ILOC40101605,26,1646,13,1685,19,758,7,784,26,726,6,758,10,241,4,255,13,394,7,414,0,59,3,62,15,207,214,436,109,4031,254,4394,33,1737,12,1782,27,620,11,658,33,658,8,699,11,244,6,261,10,444,8,462,3,94,3,100,10,199,160,369,127,3996,208,4331,59,3383,25,3467,46,1378,18,1442,59,1384,14,1457,21,485,10,516,23,838,15,876,3,153,6,162,25,406,374,805,236,8027,462,8725
ILOC40101701,7,898,10,915,6,745,6,757,17,735,6,758,4,302,3,309,3,352,9,364,0,41,0,41,4,211,166,381,41,3284,200,3525,9,1058,11,1078,10,665,7,682,10,742,5,757,7,243,3,253,6,375,10,391,0,51,0,51,8,211,158,377,50,3345,194,3589,16,1956,21,1993,16,1410,13,1439,27,1477,11,1515,11,545,6,562,9,727,19,755,0,92,0,92,12,422,324,758,91,6629,394,7114
ILOC40101801,40,3678,38,3756,39,1991,32,2062,40,2047,17,2104,23,686,7,716,20,895,18,933,0,242,11,253,17,519,347,883,179,10058,470,10707,43,3867,38,3948,50,1755,7,1812,54,2004,11,2069,14,791,13,818,12,1008,25,1045,3,354,11,368,12,614,315,941,188,10393,420,11001,83,7545,76,7704,89,3746,39,3874,94,4051,28,4173,37,1477,20,1534,32,1903,43,1978,3,596,22,621,29,1133,662,1824,367,20451,890,21708
ILOC40101802,22,2839,30,2891,21,1871,12,1904,15,1661,19,1695,18,465,5,488,11,505,11,527,0,74,3,77,6,356,313,675,93,7771,393,8257,26,3057,39,3122,24,1713,10,1747,19,1747,20,1786,7,518,5,530,7,574,12,593,0,83,0,83,7,378,285,670,90,8070,371,8531,48,5896,69,6013,45,3584,22,3651,34,3408,39,3481,25,983,10,1018,18,1079,23,1120,0,157,3,160,13,734,598,1345,183,15841,764,16788
ILOC40101803,41,5291,43,5375,36,2711,25,2772,52,2444,24,2520,16,757,4,777,12,846,13,871,3,134,4,141,12,556,524,1092,172,12739,637,13548,67,5680,40,5787,39,2402,14,2455,61,2557,34,2652,23,829,13,865,18,1014,28,1060,0,203,3,206,21,691,460,1172,229,13376,592,14197,108,10971,83,11162,75,5113,39,5227,113,5001,58,5172,39,1586,17,1642,30,1860,41,1931,3,337,7,347,33,1247,984,2264,401,26115,1229,27745
ILOC40101804,53,6429,45,6527,45,3179,23,3247,58,2890,30,2978,21,904,9,934,16,829,15,860,3,223,4,230,13,598,777,1388,209,15052,903,16164,69,6706,47,6822,49,2785,31,2865,57,2668,30,2755,13,845,15,873,12,890,21,923,3,343,5,351,19,732,604,1355,222,14969,753,15944,122,13135,92,13349,94,5964,54,6112,115,5558,60,5733,34,1749,24,1807,28,1719,36,1783,6,566,9,581,32,1330,1381,2743,431,30021,1656,32108
